"node","layer","lat","lon","zone","atcocode","city"
4230,5,51.09148,1.11991,240,"     930GFET","Folkestone"
7559,4,51.07248,1.11995,240,"900GNX001284","Folkestone"
7559,5,51.07248,1.11995,240,"900GNX001284","Folkestone"
10875,4,51.07101,1.07965,240,"900GNX000730","Folkestone"
10875,5,51.07101,1.07965,240,"900GNX000730","Folkestone"
12951,2,51.08039,1.17423,240," 910GFLKSTNC","Folkestone"
12951,5,51.08039,1.17423,240," 910GFLKSTNC","Folkestone"
12951,4,51.08039,1.17423,240," 910GFLKSTNC","Folkestone"
26979,4,51.0855,1.03502,240,"900GNX001045","Folkestone"
29329,5,51.07123,1.07169,240," 940GZZRHHYT","Folkestone"
36496,5,51.08459,1.15391,240," 910GFLKSTNW","Folkestone"
36496,2,51.08459,1.15391,240," 910GFLKSTNW","Folkestone"
37840,5,51.09037,1.06606,240,"    910GSDLG","Folkestone"
37840,2,51.09037,1.06606,240,"    910GSDLG","Folkestone"
39591,4,51.0736,1.1443,240,"900GNX001268","Folkestone"
39591,5,51.0736,1.1443,240,"900GNX001268","Folkestone"
52170,5,51.07166,1.12498,240,"2400A027580A","Folkestone"
52314,5,51.07035,1.08446,240,"2400A027660A","Folkestone"
53126,5,51.09305,1.11475,240,"2400A027790A","Folkestone"
53315,5,51.08994,1.12991,240,"2400A027930A","Folkestone"
53393,5,51.08115,1.16346,240,"   240099279","Folkestone"
53394,5,51.09332,1.19725,240,"   240099277","Folkestone"
53395,5,51.09308,1.19679,240,"   240099275","Folkestone"
53396,5,51.10147,1.20967,240,"   240099273","Folkestone"
54437,5,51.07644,1.1674,240,"2400A030320A","Folkestone"
55512,5,51.08039,1.0774,240,"2400A043100A","Folkestone"
56534,5,51.09021,1.16924,240,"2400A028760A","Folkestone"
56630,5,51.06423,1.05573,240,"2400A027270A","Folkestone"
56667,5,51.08309,1.14254,240,"2400A028640A","Folkestone"
57114,5,51.10265,1.21598,240,"2400A030450A","Folkestone"
57856,5,51.07431,1.07995,240,"2400A042980A","Folkestone"
59303,5,51.09043,1.18642,240,"   240097052","Folkestone"
59307,5,51.09332,1.17506,240,"   240097058","Folkestone"
