"node","layer","lat","lon","zone","atcocode","city"
5840,2,53.78739,-2.88181,910," 910GKIRKHAM","Fylde"
5840,5,53.78739,-2.88181,910," 910GKIRKHAM","Fylde"
52053,5,53.87642,-2.8895,250,"   250012702","Fylde"
52635,5,53.86179,-2.82283,250,"2500LAA07358","Fylde"
52639,5,53.86738,-2.81585,250,"2500LAA07357","Fylde"
54982,5,53.87069,-2.87693,250,"   250014065","Fylde"
58045,5,53.88886,-2.8518,250,"   250014449","Fylde"
61278,5,53.8808,-2.78745,250,"    25001659","Fylde"
62550,5,53.8351,-2.82261,250,"2500LAA07611","Fylde"
62551,5,53.83421,-2.81814,250,"2500LAA07610","Fylde"
62552,5,53.83662,-2.94075,250,"2500LAA07612","Fylde"
64089,5,53.84609,-2.96966,250," 2500DCL2081","Fylde"
64090,5,53.84765,-2.95122,250," 2500DCL2080","Fylde"
72909,5,53.75773,-2.85712,250," 2500LA00096","Fylde"
75725,5,53.84718,-2.94925,250," 2500LA00440","Fylde"
76083,5,53.86619,-2.8186,250,"2500LAA15729","Fylde"
77302,5,53.85499,-2.87039,250,"     2500615","Fylde"
82635,5,53.77949,-2.85673,250," 2500LA00081","Fylde"
82636,5,53.78064,-2.86384,250," 2500LA00080","Fylde"
82637,5,53.77791,-2.85132,250," 2500LA00083","Fylde"
82638,5,53.77917,-2.85763,250," 2500LA00082","Fylde"
82639,5,53.7765,-2.84878,250," 2500LA00084","Fylde"
92643,5,53.85514,-2.96737,250,"2500LAA07538","Fylde"
93765,5,53.84716,-2.9494,250," 2500LA00439","Fylde"
96275,5,53.8308,-2.81449,250,"     2500626","Fylde"
97979,5,53.77704,-2.91641,250,"     2500715","Fylde"
102999,5,53.8331,-2.81611,250,"   250014616","Fylde"
106013,5,53.78643,-2.9422,250,"     2500634","Fylde"
107295,5,53.78001,-2.89867,250,"   250060003","Fylde"
107656,5,53.81978,-2.93305,250,"     2500703","Fylde"
107657,5,53.80472,-2.93648,250,"     2500702","Fylde"
107658,5,53.7892,-2.88504,250,"     2500707","Fylde"
107659,5,53.79208,-2.88694,250,"     2500708","Fylde"
107907,5,53.84489,-2.97898,250,"    25001738","Fylde"
108878,5,53.85174,-2.96292,250,"  2500IMG805","Fylde"
115788,5,53.85444,-2.90898,250," 2500DCL2076","Fylde"
115799,5,53.85538,-2.86777,250," 2500DCL2072","Fylde"
115834,5,53.84012,-2.88069,250,"     2500605","Fylde"
115835,5,53.83846,-2.8846,250,"     2500606","Fylde"
116030,5,53.79303,-2.93569,250,"    25001814","Fylde"
117387,5,53.84202,-2.98165,250,"2500LAA07059","Fylde"
117781,5,53.89608,-2.81699,250,"    25001708","Fylde"
118192,5,53.8105,-2.89228,250,"2500LAA07291","Fylde"
118193,5,53.81941,-2.89885,250,"2500LAA07290","Fylde"
119455,5,53.85669,-2.80356,250,"  2500550018","Fylde"
119457,5,53.82462,-2.79708,250,"  2500550014","Fylde"
119458,5,53.84445,-2.80046,250,"  2500550015","Fylde"
125006,5,53.87317,-2.91343,250,"   250012695","Fylde"
125028,5,53.83567,-2.92758,250,"2500LAA00522","Fylde"
125029,5,53.83403,-2.90296,250,"2500LAA00523","Fylde"
125547,5,53.8547,-2.87246,250,"     2500617","Fylde"
125548,5,53.85475,-2.87344,250,"     2500616","Fylde"
125550,5,53.85603,-2.86415,250,"     2500614","Fylde"
125902,5,53.78571,-2.92499,250," 2500LA00129","Fylde"
127380,5,53.77451,-2.84303,250,"    25001710","Fylde"
127383,5,53.77137,-2.84125,250,"    25001713","Fylde"
127810,5,53.86203,-2.81994,250,"2500LAA07286","Fylde"
127811,5,53.84997,-2.92282,250,"2500LAA07287","Fylde"
127813,5,53.86191,-2.81982,250,"2500LAA07285","Fylde"
129802,5,53.81985,-2.93267,250," 2500LA00148","Fylde"
137293,5,53.83448,-2.90481,250,"    25001765","Fylde"
137469,5,53.85545,-2.8524,250,"   250013895","Fylde"
149686,5,53.77083,-2.87139,250," 2500LA00122","Fylde"
149687,5,53.77125,-2.87047,250," 2500LA00123","Fylde"
149688,5,53.76237,-2.87129,250," 2500LA00120","Fylde"
149689,5,53.76212,-2.87115,250," 2500LA00121","Fylde"
149690,5,53.78077,-2.92036,250," 2500LA00127","Fylde"
149691,5,53.77276,-2.8711,250," 2500LA00124","Fylde"
149692,5,53.77247,-2.87076,250," 2500LA00125","Fylde"
152229,5,53.81374,-2.89478,250,"   250011766","Fylde"
159476,5,53.83856,-2.88462,250," 2500LA00131","Fylde"
159477,5,53.78556,-2.92478,250," 2500LA00130","Fylde"
162864,5,53.77676,-2.91563,250,"2500LAA00413","Fylde"
166773,5,53.86668,-2.92197,250,"   250012699","Fylde"
166970,5,53.86459,-2.82062,250,"    25001759","Fylde"
166973,5,53.83656,-2.94024,250,"    25001756","Fylde"
167604,4,53.84948,-2.92486,250," 2500DCL2078","Fylde"
167604,5,53.84948,-2.92486,250," 2500DCL2078","Fylde"
167605,5,53.84778,-2.95109,250," 2500DCL2079","Fylde"
167607,4,53.85563,-2.88367,250," 2500DCL2074","Fylde"
167607,5,53.85563,-2.88367,250," 2500DCL2074","Fylde"
167608,4,53.8557,-2.88556,250," 2500DCL2075","Fylde"
167608,5,53.8557,-2.88556,250," 2500DCL2075","Fylde"
167610,4,53.85001,-2.92338,250," 2500DCL2077","Fylde"
167610,5,53.85001,-2.92338,250," 2500DCL2077","Fylde"
167612,5,53.86759,-2.81554,250," 2500DCL2071","Fylde"
167613,5,53.85525,-2.86799,250," 2500DCL2073","Fylde"
168102,5,53.88841,-2.92782,250,"   250014086","Fylde"
169878,5,53.80478,-2.93666,250,"  2500IMG433","Fylde"
171535,5,53.82421,-2.86003,250,"   250013013","Fylde"
171536,5,53.82191,-2.8464,250,"   250013012","Fylde"
172234,5,53.8484,-2.95027,250,"   250012395","Fylde"
172235,5,53.78663,-2.94191,250,"   250012394","Fylde"
172635,5,53.86602,-2.87825,250,"2500LAA00429","Fylde"
173270,5,53.79035,-2.88824,250," 2500LA00066","Fylde"
176691,5,53.84698,-2.81811,250,"   250015201","Fylde"
176915,5,53.81864,-2.79617,250,"2500LAA07608","Fylde"
176916,5,53.81863,-2.79636,250,"2500LAA07609","Fylde"
179728,5,53.88092,-2.78756,250,"   250020125","Fylde"
180645,5,53.77992,-2.86833,250," 2500LA00021","Fylde"
182403,5,53.86556,-2.87821,250,"2500LAA00430","Fylde"
182967,5,53.90218,-2.90691,250,"   250015772","Fylde"
189061,5,53.82377,-2.93961,250,"2500WEE00002","Fylde"
190332,5,53.83988,-2.88143,250," 2500LA00052","Fylde"
190333,5,53.84785,-2.8807,250," 2500LA00053","Fylde"
190334,5,53.83828,-2.87858,250," 2500LA00050","Fylde"
190335,5,53.83839,-2.87934,250," 2500LA00051","Fylde"
190336,5,53.85057,-2.87835,250," 2500LA00056","Fylde"
190337,5,53.84769,-2.88106,250," 2500LA00054","Fylde"
190338,5,53.85073,-2.87828,250," 2500LA00055","Fylde"
190340,5,53.85339,-2.87349,250," 2500LA00058","Fylde"
190341,5,53.85329,-2.87348,250," 2500LA00059","Fylde"
194346,5,53.91715,-2.89762,250,"   250012799","Fylde"
194960,5,53.78866,-2.87909,250,"2500LAA07321","Fylde"
194961,5,53.78803,-2.8862,250,"2500LAA07320","Fylde"
197760,5,53.76593,-2.87543,250,"2500LAA16059","Fylde"
200084,5,53.83762,-2.86808,250," 2500LA00048","Fylde"
200085,5,53.83228,-2.81559,250," 2500LA00045","Fylde"
200087,5,53.83519,-2.82238,250," 2500LA00047","Fylde"
200088,5,53.83427,-2.81796,250," 2500LA00046","Fylde"
201156,5,53.85534,-2.85245,250,"   250011796","Fylde"
201157,5,53.8562,-2.86377,250,"   250011797","Fylde"
201158,5,53.84892,-2.85553,250,"   250011790","Fylde"
