"node","layer","lat","lon","zone","atcocode","city"
2907,5,51.37267,0.5596,249,"  249G103001","Gillingham"
5198,5,51.3663,0.61135,249," 910GRAINHMK","Gillingham"
5198,2,51.3663,0.61135,249," 910GRAINHMK","Gillingham"
19615,5,51.38672,0.55051,249," 910GGLNGHMK","Gillingham"
19615,2,51.38672,0.55051,249," 910GGLNGHMK","Gillingham"
38372,5,51.36464,0.60217,249,"249G00000485","Gillingham"
45435,5,51.36778,0.58535,249,"249G00000177","Gillingham"
47920,5,51.37355,0.55337,249,"249G00000631","Gillingham"
52103,5,51.39269,0.54965,249,"249000000931","Gillingham"
59599,5,51.35895,0.60228,249,"249000000853","Gillingham"
59601,5,51.37916,0.56699,249,"249000000856","Gillingham"
60496,5,51.34144,0.59513,249,"249000000454","Gillingham"
60497,5,51.34127,0.59512,249,"249000000455","Gillingham"
60498,5,51.34315,0.59774,249,"249000000452","Gillingham"
60499,5,51.34298,0.59744,249,"249000000453","Gillingham"
60500,5,51.34321,0.60056,249,"249000000450","Gillingham"
60501,5,51.34399,0.59948,249,"249000000451","Gillingham"
62161,5,51.35312,0.58483,249,"249000000522","Gillingham"
62162,5,51.35305,0.58164,249,"249000000523","Gillingham"
62163,5,51.35505,0.58453,249,"249000000520","Gillingham"
62164,5,51.35329,0.58468,249,"249000000521","Gillingham"
62167,5,51.35298,0.5812,249,"249000000524","Gillingham"
66773,5,51.39063,0.53702,249,"249000000643","Gillingham"
66774,5,51.39097,0.53629,249,"249000000642","Gillingham"
66775,5,51.38851,0.54476,249,"249000000641","Gillingham"
67141,5,51.37298,0.62946,240,"  2400101844","Gillingham"
67814,5,51.3789,0.54761,249,"249000000770","Gillingham"
70027,5,51.34536,0.58879,249,"249000000463","Gillingham"
70031,5,51.35193,0.59062,249,"249000000467","Gillingham"
70032,5,51.34913,0.58881,249,"249000000466","Gillingham"
70033,5,51.34887,0.58891,249,"249000000465","Gillingham"
70034,5,51.3463,0.58861,249,"249000000464","Gillingham"
70035,5,51.35298,0.592,249,"249000000469","Gillingham"
70036,5,51.35294,0.59163,249,"249000000468","Gillingham"
70737,5,51.37344,0.59506,249,"249000000409","Gillingham"
71696,5,51.35622,0.58628,249,"249000000519","Gillingham"
71697,5,51.35656,0.5861,249,"249000000518","Gillingham"
71698,5,51.35767,0.58606,249,"249000000517","Gillingham"
71699,5,51.35822,0.58576,249,"249000000516","Gillingham"
71700,5,51.36085,0.5849,249,"249000000515","Gillingham"
71701,5,51.36101,0.5847,249,"249000000514","Gillingham"
72116,5,51.3714,0.5663,249,"249000000780","Gillingham"
76522,5,51.36124,0.59816,249,"  2490101822","Gillingham"
78698,5,51.37288,0.6296,240,"  2400101842","Gillingham"
79790,5,51.35075,0.59637,249,"249000000470","Gillingham"
79791,5,51.3508,0.59653,249,"249000000471","Gillingham"
79792,5,51.34773,0.59794,249,"249000000472","Gillingham"
79793,5,51.34721,0.59837,249,"249000000473","Gillingham"
79794,5,51.34537,0.59848,249,"249000000474","Gillingham"
79795,5,51.34539,0.59867,249,"249000000475","Gillingham"
79796,5,51.35257,0.59764,249,"249000000476","Gillingham"
79797,5,51.35294,0.5979,249,"249000000477","Gillingham"
79798,5,51.35497,0.60069,249,"249000000478","Gillingham"
79799,5,51.35575,0.60208,249,"249000000479","Gillingham"
80736,5,51.37115,0.6184,249,"249000000917","Gillingham"
80737,5,51.37006,0.61691,249,"249000000916","Gillingham"
81435,5,51.34606,0.58726,249,"249000000502","Gillingham"
81436,5,51.34589,0.58785,249,"249000000503","Gillingham"
83185,5,51.38426,0.55031,249,"249000000991","Gillingham"
83186,5,51.38201,0.55032,249,"249000000990","Gillingham"
83188,5,51.34486,0.59177,249,"249000000995","Gillingham"
83189,5,51.34745,0.59235,249,"249000000994","Gillingham"
84078,5,51.39273,0.53143,249,"249000000752","Gillingham"
84085,5,51.38375,0.55105,249,"249000000758","Gillingham"
86004,5,51.38411,0.54468,249,"249000000629","Gillingham"
86005,5,51.3843,0.54444,249,"249000000628","Gillingham"
86007,5,51.38983,0.54752,249,"249000000624","Gillingham"
86008,5,51.39447,0.55074,249,"249000000621","Gillingham"
86009,5,51.39455,0.55095,249,"249000000620","Gillingham"
