"node","layer","lat","lon","zone","atcocode","city"
17,5,55.89195,-4.17978,609,"   609G04290","Glasgow"
281,5,55.87246,-4.28457,609,"   609G06852","Glasgow"
429,5,55.86834,-4.24385,609,"   609G06950","Glasgow"
486,5,55.8702,-4.2984,609,"   609G06868","Glasgow"
502,5,55.94125,-4.33601,611,"   611G24938","Glasgow"
510,2,55.85255,-4.34069,910,"    910GCDNL","Glasgow"
510,5,55.85255,-4.34069,910,"    910GCDNL","Glasgow"
632,5,55.90167,-4.29524,609,"   609G04129","Glasgow"
672,5,55.90101,-4.34546,609,"   609G05209","Glasgow"
837,5,55.89569,-4.35424,609,"   609G05123","Glasgow"
994,5,55.85458,-4.30467,940," 940GZZGLIBX","Glasgow"
994,3,55.85458,-4.30467,940," 940GZZGLIBX","Glasgow"
1051,5,55.88768,-4.365,910,"    910GGSCD","Glasgow"
1051,2,55.88768,-4.365,910,"    910GGSCD","Glasgow"
1082,2,55.90479,-4.33487,910," 910GWESTRTN","Glasgow"
1082,5,55.90479,-4.33487,910," 910GWESTRTN","Glasgow"
1105,5,55.86122,-4.30655,609,"   609G06897","Glasgow"
1112,5,55.8292,-4.29234,910," 910GSHWLNDS","Glasgow"
1112,2,55.8292,-4.29234,910," 910GSHWLNDS","Glasgow"
1164,5,55.89496,-4.22835,609,"   609G04045","Glasgow"
1167,5,55.88868,-4.23059,609,"   609G04042","Glasgow"
1288,5,55.88265,-4.33871,609,"   609G05157","Glasgow"
1411,2,55.89715,-4.30194,910," 910GMRYHILL","Glasgow"
1411,5,55.89715,-4.30194,910," 910GMRYHILL","Glasgow"
1479,5,55.91099,-4.3364,611,"   611G08007","Glasgow"
1482,5,55.8915,-4.35153,609,"   609G05129","Glasgow"
1500,5,55.89585,-4.34701,609,"   609G05127","Glasgow"
1503,5,55.89689,-4.34564,609,"   609G05126","Glasgow"
1775,5,55.85346,-4.28078,609,"   609G06916","Glasgow"
1791,5,55.87512,-4.30441,609,"   609G06845","Glasgow"
1792,5,55.87626,-4.30598,609,"   609G06844","Glasgow"
1802,5,55.87853,-4.19524,609,"   609G04213","Glasgow"
1803,5,55.87971,-4.18792,609,"   609G04216","Glasgow"
1804,5,55.87846,-4.19234,609,"   609G04214","Glasgow"
1972,5,55.87201,-4.2805,609,"   609G06853","Glasgow"
2087,5,55.89265,-4.19112,609,"   609G04259","Glasgow"
