"node","layer","lat","lon","zone","atcocode","city"
12154,4,51.87361,-2.21173,160,"900GNX000602","Gloucester"
12154,5,51.87361,-2.21173,160,"900GNX000602","Gloucester"
24964,4,51.86542,-2.23866,910," 910GGLOSTER","Gloucester"
24964,2,51.86542,-2.23866,910," 910GGLOSTER","Gloucester"
24964,5,51.86542,-2.23866,910," 910GGLOSTER","Gloucester"
35785,0,51.89598,-2.17217,920,"    920GGLO1","Gloucester"
35785,5,51.89598,-2.17217,920,"    920GGLO1","Gloucester"
52909,5,51.81853,-2.28128,160,"  1600GL1979","Gloucester"
53938,5,51.81137,-2.28496,160,"  1600GLB458","Gloucester"
53939,5,51.81124,-2.28457,160,"  1600GLB457","Gloucester"
53940,5,51.81727,-2.27995,160,"  1600GLB455","Gloucester"
53941,5,51.81865,-2.27921,160,"  1600GLB454","Gloucester"
53942,5,51.82104,-2.27805,160,"  1600GLB452","Gloucester"
53943,5,51.82102,-2.2779,160,"  1600GLB451","Gloucester"
53944,5,51.82543,-2.27714,160,"  1600GLB450","Gloucester"
54949,5,51.84883,-2.21024,160,"  1600GLB189","Gloucester"
55011,5,51.8769,-2.20407,160,"  1600GL3038","Gloucester"
55013,5,51.87686,-2.20441,160,"  1600GL3037","Gloucester"
55015,5,51.87807,-2.21775,160,"  1600GL3030","Gloucester"
57767,5,51.88811,-2.18497,160,"  1600GLA571","Gloucester"
57768,5,51.88655,-2.17985,160,"  1600GLA570","Gloucester"
57769,5,51.87988,-2.16848,160,"  1600GLA573","Gloucester"
57770,5,51.88787,-2.1835,160,"  1600GLA572","Gloucester"
57771,5,51.87821,-2.16342,160,"  1600GLA575","Gloucester"
57772,5,51.87997,-2.16852,160,"  1600GLA574","Gloucester"
57773,5,51.88767,-2.18545,160,"  1600GLA577","Gloucester"
57774,5,51.87803,-2.16363,160,"  1600GLA576","Gloucester"
57841,5,51.81665,-2.29174,160,"  1600GL2009","Gloucester"
57844,5,51.84392,-2.23634,160,"  1600GL2004","Gloucester"
58435,5,51.86899,-2.3109,160,"  1600GLF098","Gloucester"
58440,5,51.86886,-2.3109,160,"  1600GLF097","Gloucester"
58774,5,51.83725,-2.25626,160,"  1600GLB072","Gloucester"
59162,5,51.85084,-2.26837,160,"  1600GL2441","Gloucester"
62459,5,51.94188,-2.2975,160,"  1600GLN020","Gloucester"
63029,5,51.8948,-2.33338,160,"  1600GLF847","Gloucester"
63030,5,51.89486,-2.33342,160,"  1600GLF848","Gloucester"
63568,5,51.83228,-2.2085,160,"  1600GLB448","Gloucester"
63569,5,51.82533,-2.27698,160,"  1600GLB449","Gloucester"
63572,5,51.83763,-2.20742,160,"  1600GLB440","Gloucester"
63573,5,51.83527,-2.21063,160,"  1600GLB441","Gloucester"
63574,5,51.8353,-2.21082,160,"  1600GLB442","Gloucester"
63575,5,51.83222,-2.20825,160,"  1600GLB447","Gloucester"
64557,5,51.8423,-2.21005,160,"  1600GLB198","Gloucester"
64558,5,51.84725,-2.22223,160,"  1600GLB199","Gloucester"
64559,5,51.84548,-2.20945,160,"  1600GLB193","Gloucester"
64560,5,51.84855,-2.2102,160,"  1600GLB190","Gloucester"
64562,5,51.84369,-2.21206,160,"  1600GLB196","Gloucester"
64563,5,51.84211,-2.20934,160,"  1600GLB197","Gloucester"
64564,5,51.84555,-2.20952,160,"  1600GLB194","Gloucester"
64565,5,51.84366,-2.21177,160,"  1600GLB195","Gloucester"
64625,5,51.82114,-2.34975,160,"  1600GL3042","Gloucester"
64626,5,51.8212,-2.34953,160,"  1600GL3041","Gloucester"
64732,5,51.86118,-2.25227,160,"  1600GL2968","Gloucester"
64733,5,51.86109,-2.25234,160,"  1600GL2967","Gloucester"
65278,5,51.86325,-2.30097,160,"  1600GL3289","Gloucester"
65279,5,51.84071,-2.35724,160,"  1600GL3288","Gloucester"
65280,5,51.86068,-2.30363,160,"  1600GL3285","Gloucester"
65281,5,51.85238,-2.33187,160,"  1600GL3284","Gloucester"
65282,5,51.84034,-2.35708,160,"  1600GL3287","Gloucester"
65283,5,51.86072,-2.30399,160,"  1600GL3286","Gloucester"
65284,5,51.85635,-2.30919,160,"  1600GL3281","Gloucester"
65285,5,51.85311,-2.31713,160,"  1600GL3280","Gloucester"
65286,5,51.8522,-2.33217,160,"  1600GL3283","Gloucester"
65287,5,51.85674,-2.30786,160,"  1600GL3282","Gloucester"
65492,5,51.85572,-2.18829,160,"  1600GL2579","Gloucester"
65507,5,51.85351,-2.18177,160,"  1600GL2571","Gloucester"
