"node","layer","lat","lon","zone","atcocode","city"
325,5,50.79472,-1.11729,930,"     930GGOS","Gosport"
325,1,50.79472,-1.11729,930,"     930GGOS","Gosport"
16552,5,50.72858,-1.21337,230,"     930GFSB","Gosport"
16552,1,50.72858,-1.21337,230,"     930GFSB","Gosport"
35510,2,50.73534,-1.15965,230,"     930GRYD","Gosport"
35510,5,50.73534,-1.15965,230,"     930GRYD","Gosport"
35510,1,50.73534,-1.15965,230,"     930GRYD","Gosport"
39288,5,50.72435,-1.15657,230,"    910GRYDS","Gosport"
39288,2,50.72435,-1.15657,230,"    910GRYDS","Gosport"
52485,5,50.70962,-1.14393,230,"230000001090","Gosport"
52671,5,50.72795,-1.16641,230,"230000002010","Gosport"
53187,5,50.79368,-1.12088,190,"1900HA050181","Gosport"
53188,5,50.79365,-1.12097,190,"1900HA050180","Gosport"
53834,5,50.72586,-1.1507,230,"230000001410","Gosport"
55188,5,50.71973,-1.1674,230,"230000002150","Gosport"
56071,5,50.71519,-1.11273,230,"230000000460","Gosport"
59609,5,50.81754,-1.17043,190,"1900HA050061","Gosport"
59612,5,50.81729,-1.17027,190,"1900HA050062","Gosport"
59613,5,50.81572,-1.17279,190,"1900HA050063","Gosport"
59617,5,50.81564,-1.17253,190,"1900HA050064","Gosport"
59812,5,50.71795,-1.19108,230,"      230077","Gosport"
62851,5,50.79446,-1.12298,190,"1900HA050192","Gosport"
62852,5,50.79437,-1.12243,190,"1900HA050193","Gosport"
62853,5,50.79424,-1.12668,190,"1900HA050194","Gosport"
62854,5,50.79464,-1.12663,190,"1900HA050195","Gosport"
62855,5,50.79555,-1.12916,190,"1900HA050196","Gosport"
62856,5,50.7952,-1.12904,190,"1900HA050197","Gosport"
62857,5,50.79429,-1.13151,190,"1900HA050199","Gosport"
64794,5,50.71958,-1.16699,230,"230000002140","Gosport"
65345,5,50.71878,-1.14652,230,"230000001260","Gosport"
65673,5,50.71773,-1.11313,230,"230000000470","Gosport"
67673,5,50.72287,-1.18933,230,"     2300183","Gosport"
67674,5,50.725,-1.18869,230,"     2300185","Gosport"
70553,5,50.80858,-1.17073,190,"1900HAA13476","Gosport"
70555,5,50.80231,-1.17445,190,"1900HAA13473","Gosport"
70556,5,50.80263,-1.17426,190,"1900HAA13472","Gosport"
72012,5,50.70831,-1.1165,230,"230000000620","Gosport"
72874,5,50.79955,-1.20118,190,"1900HA050110","Gosport"
72882,5,50.79925,-1.19914,190,"1900HA050114","Gosport"
73324,5,50.72648,-1.17537,230,"230000002740","Gosport"
73472,5,50.71449,-1.11885,230,"230000000710","Gosport"
74238,5,50.72229,-1.16714,230,"230000002170","Gosport"
76523,5,50.80679,-1.17089,190,"1900HA050086","Gosport"
76525,5,50.80815,-1.17266,190,"1900HA050087","Gosport"
79407,5,50.71774,-1.17087,230,"230000002400","Gosport"
81735,5,50.70829,-1.11615,230,"230000000630","Gosport"
83237,5,50.71048,-1.11737,230,"230000000700","Gosport"
84028,5,50.71789,-1.16726,230,"230000002160","Gosport"
84581,5,50.70815,-1.14615,230,"230000001240","Gosport"
84915,5,50.71283,-1.1119,230,"230000000410","Gosport"
88773,5,50.80479,-1.19311,190,"1900HA050127","Gosport"
89928,5,50.79843,-1.19339,190,"1900HAA13453","Gosport"
89929,5,50.79811,-1.19365,190,"1900HAA13452","Gosport"
92401,2,50.71109,-1.1542,910," 9100SMALBRK","Gosport"
92896,5,50.72365,-1.12268,230,"230000000730","Gosport"
93748,5,50.72476,-1.16687,230,"230000002110","Gosport"
94301,5,50.70961,-1.14621,230,"230000001230","Gosport"
94344,5,50.72703,-1.19119,230,"230000003690","Gosport"
96209,5,50.78403,-1.15935,190,"1900HA050155","Gosport"
96211,5,50.78423,-1.15976,190,"1900HA050156","Gosport"
96213,5,50.79005,-1.15303,190,"1900HA050150","Gosport"
97614,5,50.7255,-1.15061,230,"     2300487","Gosport"
97624,5,50.7275,-1.15086,230,"     2300489","Gosport"
98958,5,50.7264,-1.17858,230,"230000002950","Gosport"
99558,5,50.80381,-1.2059,190,"1900HAA13444","Gosport"
99562,5,50.80376,-1.206,190,"1900HAA13443","Gosport"
100988,5,50.72199,-1.11572,230,"230000000610","Gosport"
102349,5,50.81072,-1.14553,190,"1900HA050244","Gosport"
102360,5,50.81099,-1.15261,190,"1900HA050240","Gosport"
102366,5,50.81089,-1.15247,190,"1900HA050241","Gosport"
102368,5,50.81075,-1.14889,190,"1900HA050242","Gosport"
102976,5,50.72393,-1.1227,230,"230000014010","Gosport"
103351,5,50.7241,-1.16666,230,"230000002100","Gosport"
103843,5,50.80278,-1.12515,190,"1900HAA90889","Gosport"
103949,5,50.70959,-1.14566,230,"230000001220","Gosport"
104439,5,50.80233,-1.14903,190,"1900HA050224","Gosport"
105399,5,50.80188,-1.204,190,"1900HA050111","Gosport"
105414,5,50.80249,-1.20396,190,"1900HA050112","Gosport"
105418,5,50.80171,-1.20195,190,"1900HA050113","Gosport"
105857,5,50.71581,-1.14627,230,"     2300539","Gosport"
107325,5,50.72855,-1.15033,230,"     2300491","Gosport"
107808,5,50.728,-1.16157,230,"230000013260","Gosport"
112243,5,50.7175,-1.11384,230,"230000000520","Gosport"
113642,5,50.8025,-1.12666,190,"1900HAA90899","Gosport"
113920,5,50.795,-1.14884,190,"1900HA050231","Gosport"
113927,5,50.80398,-1.15069,190,"1900HA050232","Gosport"
113929,5,50.80611,-1.15271,190,"1900HA050235","Gosport"
113930,5,50.80591,-1.1525,190,"1900HA050234","Gosport"
113933,5,50.80848,-1.15325,190,"1900HA050236","Gosport"
115585,5,50.72348,-1.14225,230,"230000001080","Gosport"
116201,5,50.72555,-1.19069,230,"     2300179","Gosport"
117860,5,50.81282,-1.15672,190,"1900HA050016","Gosport"
