"node","layer","lat","lon","zone","atcocode","city"
497,5,51.46278,0.36901,159," 159G0028301","Gravesend"
2393,5,51.48189,0.42349,159," 159G0047301","Gravesend"
4959,5,51.41254,0.38411,240,"240GA017620A","Gravesend"
5942,5,51.38315,0.3781,240,"  910GSOLEST","Gravesend"
5942,2,51.38315,0.3781,240,"  910GSOLEST","Gravesend"
8959,5,51.44441,0.32263,240," 910GNRTHFLT","Gravesend"
8959,2,51.44441,0.32263,240," 910GNRTHFLT","Gravesend"
12257,5,51.46326,0.37609,159," 159G0028701","Gravesend"
22723,5,51.38642,0.35695,240," 910GMEOPHAM","Gravesend"
22723,2,51.38642,0.35695,240," 910GMEOPHAM","Gravesend"
23879,5,51.46669,0.3697,159," 159G0027901","Gravesend"
25930,5,51.39616,0.30038,240,"    910GLGFD","Gravesend"
25930,2,51.39616,0.30038,240,"    910GLGFD","Gravesend"
26157,5,51.42942,0.40227,240,"240GA018050A","Gravesend"
29540,5,51.46159,0.36445,159," 159G0026801","Gravesend"
31849,5,51.43234,0.39369,240," 240G018330A","Gravesend"
33592,5,51.48234,0.41574,159," 910GETILBRY","Gravesend"
33592,2,51.48234,0.41574,159," 910GETILBRY","Gravesend"
37081,5,51.46237,0.36369,159," 159G0027101","Gravesend"
41254,5,51.49027,0.40885,159," 159G0034901","Gravesend"
46973,5,51.44226,0.36711,240,"     930GGVS","Gravesend"
46973,2,51.44226,0.36711,240,"     930GGVS","Gravesend"
46973,1,51.44226,0.36711,240,"     930GGVS","Gravesend"
47030,5,51.45071,0.36608,159,"     930GTIL","Gravesend"
47030,1,51.45071,0.36608,159,"     930GTIL","Gravesend"
49854,5,51.46496,0.36941,159," 159G0028101","Gravesend"
50618,5,51.44461,0.33263,240,"240GA018480A","Gravesend"
51668,5,51.3639,0.31472,240,"2400A016630A","Gravesend"
52134,5,51.41822,0.3829,240,"2400A017730A","Gravesend"
52461,5,51.43466,0.35449,240,"2400A016740A","Gravesend"
52970,5,51.42432,0.37477,240,"2400A017680A","Gravesend"
52981,5,51.43311,0.36451,240,"2400A018380A","Gravesend"
53397,5,51.43539,0.35798,240,"   240099271","Gravesend"
53616,5,51.43108,0.37515,240,"2400A017180A","Gravesend"
53703,5,51.4125,0.38697,240,"2400A073120A","Gravesend"
53759,5,51.41537,0.38498,240,"2400A017270A","Gravesend"
53811,5,51.42157,0.35248,240,"2400A016800A","Gravesend"
53888,5,51.43969,0.37944,240,"2400A018190A","Gravesend"
54732,5,51.40098,0.38561,240,"   240097691","Gravesend"
54734,5,51.38615,0.37666,240,"   240097695","Gravesend"
55515,5,51.40572,0.35122,240,"2400A015190A","Gravesend"
56119,5,51.43186,0.39987,240,"2400A018120A","Gravesend"
