"node","layer","lat","lon","zone","atcocode","city"
292,5,51.49706,0.34548,159," 159G0703101","Grays"
319,5,51.47656,0.31207,159," 159G0015501","Grays"
1154,5,51.47626,0.26887,159," 159G0011301","Grays"
1386,5,51.49336,0.34011,159," 159G0023701","Grays"
1893,2,51.47625,0.32183,159,"   910GGRAYS","Grays"
1893,5,51.47625,0.32183,159,"   910GGRAYS","Grays"
2009,5,51.51019,0.2838,159," 159G0007001","Grays"
2019,5,51.50266,0.29392,159," 159G0008601","Grays"
2660,5,51.46236,0.35404,159," 910GTLBYTWN","Grays"
2660,2,51.46236,0.35404,159," 910GTLBYTWN","Grays"
2679,5,51.522,0.29047,159," 910GOCKENDN","Grays"
2679,2,51.522,0.29047,159," 910GOCKENDN","Grays"
2702,5,51.45076,0.27886,240,"    910GGNHT","Grays"
2702,2,51.45076,0.27886,240,"    910GGNHT","Grays"
2807,5,51.54447,0.29411,490,"490G00014605","Grays"
2966,5,51.48102,0.37348,159," 159G0034101","Grays"
3521,5,51.47688,0.33061,159," 159G0018101","Grays"
3616,5,51.49236,0.29342,159," 159G0701301","Grays"
3939,5,51.48973,0.27409,159," 159G0012501","Grays"
4602,5,51.4815,0.3626,159," 159G0029401","Grays"
5098,5,51.4909,0.34783,159," 159G0024701","Grays"
5878,5,51.47839,0.27449,159," 159G0012701","Grays"
5895,5,51.51335,0.28395,159," 159G0007301","Grays"
6465,5,51.51051,0.27603,159," 159G0005801","Grays"
6525,5,51.5354,0.29831,159," 159G0010801","Grays"
7263,5,51.48556,0.28746,159," 910GCHADHDD","Grays"
7263,2,51.48556,0.28746,159," 910GCHADHDD","Grays"
7357,5,51.49543,0.34567,159," 159G0023901","Grays"
7694,5,51.5075,0.27628,159," 159G0005601","Grays"
8022,5,51.4767,0.34155,159," 159G0018501","Grays"
8345,5,51.49452,0.34177,159," 159G0704701","Grays"
8413,5,51.47639,0.29058,159," 159G0014501","Grays"
8709,5,51.49083,0.31229,159," 159G0049201","Grays"
9041,5,51.47807,0.26122,159," 159G0001201","Grays"
10148,5,51.5116,0.29306,159," 159G0009001","Grays"
10426,5,51.49457,0.32039,159," 159G0020201","Grays"
10490,5,51.50869,0.39507,159," 159G0035601","Grays"
10782,5,51.49752,0.24746,159," 159G0002901","Grays"
11063,5,51.48114,0.33208,159," 159G0019201","Grays"
11346,5,51.49895,0.32707,159," 159G0705114","Grays"
11698,5,51.49328,0.31725,159," 159G0016101","Grays"
11721,5,51.49949,0.26195,159," 159G0003901","Grays"
11741,5,51.48416,0.34037,159," 159G0019901","Grays"
12088,5,51.4778,0.3022,159," 159G0015101","Grays"
12721,5,51.48924,0.3132,159," 159G0049101","Grays"
12904,5,51.49981,0.32086,159,"159G07075112","Grays"
13171,5,51.50255,0.28703,159," 159G0008301","Grays"
13270,5,51.48505,0.35244,159," 159G0025301","Grays"
13485,5,51.51266,0.2781,159," 159G0006001","Grays"
14084,5,51.4764,0.3094,159," 159G0015301","Grays"
14098,5,51.5035,0.24821,159," 159G0004701","Grays"
14713,5,51.48387,0.32486,159," 159G0017201","Grays"
15049,5,51.50103,0.33452,159," 159G0022601","Grays"
15363,5,51.49557,0.24728,159," 159G0003101","Grays"
15402,5,51.50606,0.24823,159," 159G0004901","Grays"
15663,5,51.49785,0.32808,159," 159G0022101","Grays"
15690,5,51.48555,0.33588,159," 159G0019601","Grays"
16341,5,51.48789,0.336,159," 159G0022801","Grays"
16888,5,51.49787,0.33861,159," 159G0024301","Grays"
17158,5,51.50847,0.35489,159," 159G0031001","Grays"
17545,5,51.49491,0.29568,159,"159G07075117","Grays"
18674,5,51.48992,0.32675,159," 159G0021001","Grays"
19292,5,51.49719,0.32627,159," 159G0021901","Grays"
19362,5,51.47583,0.28077,159," 159G0013601","Grays"
20268,5,51.50456,0.37409,159," 159G0032101","Grays"
21018,5,51.49633,0.34131,159," 159G0024001","Grays"
21511,5,51.51785,0.29395,159," 159G0009701","Grays"
21584,5,51.49861,0.35741,159," 159G0030301","Grays"
23002,5,51.49243,0.32024,159," 159G0016401","Grays"
23088,5,51.47919,0.28723,159," 159G0700201","Grays"
23230,5,51.48195,0.36057,159," 159G0042701","Grays"
23346,5,51.47628,0.33614,159," 159G0018301","Grays"
23667,5,51.49605,0.25453,159," 159G0003501","Grays"
23987,5,51.48912,0.34112,159," 159G0023101","Grays"
24272,5,51.477,0.26461,159," 159G0001401","Grays"
24477,5,51.48167,0.36791,159," 159G0029601","Grays"
24725,5,51.47093,0.36743,159," 159G0027601","Grays"
25486,5,51.50332,0.27651,159," 159G0006401","Grays"
25844,5,51.46841,0.36446,159," 159G0027201","Grays"
26098,5,51.4992,0.25081,159," 159G0004301","Grays"
26803,5,51.54113,0.29593,490,"490G00013486","Grays"
27616,5,51.48856,0.31763,159," 159G0016001","Grays"
27638,5,51.48491,0.34668,159," 159G0024901","Grays"
27697,5,51.50421,0.27641,159," 159G0005401","Grays"
27966,5,51.48823,0.37283,159," 159G0033201","Grays"
28378,5,51.47687,0.29567,159," 159G0014701","Grays"
28686,5,51.49107,0.3407,159," 159G0023501","Grays"
29441,5,51.47663,0.33342,159," 159G0018201","Grays"
30164,5,51.506,0.28213,159," 159G0006801","Grays"
30721,5,51.48898,0.26299,159," 159G0701101","Grays"
31346,5,51.50125,0.324,159," 159G0703401","Grays"
31633,5,51.4773,0.34545,159," 159G0019001","Grays"
32046,5,51.49923,0.29576,159," 159G0045801","Grays"
32261,5,51.50046,0.33729,159," 159G0024501","Grays"
33738,5,51.51563,0.28404,159," 159G0007601","Grays"
34155,5,51.49049,0.29203,159," 159G0050601","Grays"
34591,5,51.49815,0.32314,159," 159G0021701","Grays"
34998,5,51.50688,0.29311,159," 159G0008801","Grays"
35006,5,51.50683,0.38748,159," 159G0035401","Grays"
36839,5,51.49612,0.33934,159," 159G0024101","Grays"
