"node","layer","lat","lon","zone","atcocode","city"
716,5,52.62406,1.60059,290,"    290G1394","Great Yarmouth"
1122,5,52.6216,1.73409,290,"     290G618","Great Yarmouth"
1123,5,52.62499,1.73326,290,"     290G619","Great Yarmouth"
1124,5,52.61824,1.73326,290,"     290G616","Great Yarmouth"
1125,5,52.61975,1.73395,290,"     290G617","Great Yarmouth"
1126,5,52.62009,1.72795,290,"     290G614","Great Yarmouth"
1127,5,52.62287,1.72758,290,"     290G615","Great Yarmouth"
1128,5,52.61579,1.72774,290,"     290G612","Great Yarmouth"
2574,5,52.61821,1.72885,290,"     290G613","Great Yarmouth"
3106,5,52.61089,1.7333,290,"    290G2215","Great Yarmouth"
3107,5,52.60286,1.72663,290,"    290G2212","Great Yarmouth"
3274,5,52.57812,1.72748,290,"      290G11","Great Yarmouth"
3276,5,52.58602,1.72359,290,"      290G12","Great Yarmouth"
4002,5,52.5791,1.69233,290,"     290G558","Great Yarmouth"
4007,5,52.58928,1.72599,290,"     290G550","Great Yarmouth"
4008,5,52.5793,1.70666,290,"     290G553","Great Yarmouth"
4009,5,52.58201,1.71215,290,"     290G552","Great Yarmouth"
4011,5,52.57806,1.70496,290,"     290G554","Great Yarmouth"
6719,5,52.64961,1.71958,290,"     290G627","Great Yarmouth"
6720,5,52.64318,1.72909,290,"     290G626","Great Yarmouth"
6722,5,52.63804,1.72859,290,"     290G624","Great Yarmouth"
6723,5,52.63148,1.72812,290,"     290G623","Great Yarmouth"
6724,5,52.62828,1.72789,290,"     290G622","Great Yarmouth"
6725,5,52.62576,1.72771,290,"     290G621","Great Yarmouth"
6726,5,52.62699,1.73325,290,"     290G620","Great Yarmouth"
6898,5,52.54214,1.63775,290,"    290G1546","Great Yarmouth"
6899,5,52.54467,1.64378,290,"    290G1547","Great Yarmouth"
6940,5,52.61218,1.72091,290,"  910GYARMTH","Great Yarmouth"
6940,2,52.61218,1.72091,290,"  910GYARMTH","Great Yarmouth"
7150,5,52.59357,1.72512,290,"     290G585","Great Yarmouth"
8799,5,52.5532,1.66417,290,"    290G2260","Great Yarmouth"
9713,5,52.59346,1.71323,290,"     290G583","Great Yarmouth"
9714,5,52.56761,1.65439,290,"     290G580","Great Yarmouth"
9715,5,52.56462,1.65857,290,"     290G581","Great Yarmouth"
9716,5,52.59583,1.72529,290,"     290G586","Great Yarmouth"
9717,5,52.60008,1.72368,290,"     290G587","Great Yarmouth"
9718,5,52.6039,1.72164,290,"     290G588","Great Yarmouth"
9719,5,52.6067,1.71673,290,"     290G589","Great Yarmouth"
10809,5,52.64847,1.72585,290,"       290G4","Great Yarmouth"
10814,5,52.57527,1.69773,290,"    290G2029","Great Yarmouth"
10861,5,52.57594,1.70203,290,"       290G3","Great Yarmouth"
11496,5,52.55496,1.71789,290,"     290G508","Great Yarmouth"
12530,5,52.66435,1.71765,290,"   290GO0140","Great Yarmouth"
13533,5,52.66849,1.71051,290,"     290G829","Great Yarmouth"
13539,5,52.66198,1.64546,290,"     290G823","Great Yarmouth"
13540,5,52.6626,1.64599,290,"     290G822","Great Yarmouth"
13542,5,52.66,1.66978,290,"     290G824","Great Yarmouth"
13562,5,52.5587,1.67188,290,"    290G1548","Great Yarmouth"
16382,5,52.66745,1.62109,290,"    290G2231","Great Yarmouth"
17210,5,52.57669,1.71627,290,"     290G533","Great Yarmouth"
17211,5,52.57493,1.71462,290,"     290G532","Great Yarmouth"
17212,5,52.57317,1.71115,290,"     290G531","Great Yarmouth"
17213,5,52.57238,1.71405,290,"     290G530","Great Yarmouth"
17214,5,52.57419,1.72566,290,"     290G537","Great Yarmouth"
17215,5,52.57153,1.72486,290,"     290G536","Great Yarmouth"
17216,5,52.57512,1.72258,290,"     290G535","Great Yarmouth"
17217,5,52.57312,1.72134,290,"     290G534","Great Yarmouth"
17218,5,52.57888,1.7208,290,"     290G539","Great Yarmouth"
17219,5,52.57818,1.72515,290,"     290G538","Great Yarmouth"
18708,5,52.59757,1.73574,290,"     290G597","Great Yarmouth"
19717,5,52.56196,1.7209,290,"      290G10","Great Yarmouth"
20113,5,52.60602,1.73675,290,"     290G601","Great Yarmouth"
20114,5,52.60406,1.73651,290,"     290G600","Great Yarmouth"
20115,5,52.61007,1.73753,290,"     290G603","Great Yarmouth"
20116,5,52.61568,1.73796,290,"     290G605","Great Yarmouth"
20117,5,52.61268,1.73779,290,"     290G604","Great Yarmouth"
20118,5,52.62298,1.73817,290,"     290G607","Great Yarmouth"
20119,5,52.61818,1.73804,290,"     290G606","Great Yarmouth"
20120,5,52.62732,1.73891,290,"     290G609","Great Yarmouth"
20121,5,52.62454,1.73821,290,"     290G608","Great Yarmouth"
21224,5,52.64121,1.63888,290,"     290G878","Great Yarmouth"
21225,5,52.65248,1.63602,290,"     290G879","Great Yarmouth"
21230,5,52.63888,1.59202,290,"     290G876","Great Yarmouth"
21231,5,52.63616,1.61494,290,"     290G877","Great Yarmouth"
23091,5,52.58291,1.70364,290,"     290G568","Great Yarmouth"
23092,5,52.58519,1.70469,290,"     290G569","Great Yarmouth"
23093,5,52.57812,1.69144,290,"     290G564","Great Yarmouth"
23094,5,52.58108,1.69898,290,"     290G565","Great Yarmouth"
23096,5,52.5762,1.69416,290,"     290G560","Great Yarmouth"
23097,5,52.5719,1.69604,290,"     290G561","Great Yarmouth"
23098,5,52.57019,1.69231,290,"     290G562","Great Yarmouth"
24223,5,52.57376,1.69922,290,"     290G559","Great Yarmouth"
24238,5,52.58304,1.7161,290,"     290G551","Great Yarmouth"
26914,5,52.69093,1.69328,290,"     290G843","Great Yarmouth"
26915,5,52.6777,1.70443,290,"     290G842","Great Yarmouth"
26916,5,52.67841,1.71125,290,"     290G841","Great Yarmouth"
26917,5,52.67572,1.71934,290,"     290G840","Great Yarmouth"
26919,5,52.69613,1.69992,290,"     290G846","Great Yarmouth"
28953,5,52.60105,1.73092,290,"     290G595","Great Yarmouth"
28954,5,52.59955,1.73015,290,"     290G594","Great Yarmouth"
28955,5,52.59513,1.73555,290,"     290G596","Great Yarmouth"
28956,5,52.5908,1.73141,290,"     290G591","Great Yarmouth"
28957,5,52.6068,1.71856,290,"     290G590","Great Yarmouth"
28958,5,52.59658,1.73063,290,"     290G593","Great Yarmouth"
28959,5,52.59477,1.73068,290,"     290G592","Great Yarmouth"
28961,5,52.60249,1.73632,290,"     290G599","Great Yarmouth"
28962,5,52.59964,1.73594,290,"     290G598","Great Yarmouth"
29655,5,52.66161,1.72372,290,"     290G636","Great Yarmouth"
29663,5,52.6498,1.71668,290,"     290G631","Great Yarmouth"
29676,5,52.56946,1.73007,290,"     290G518","Great Yarmouth"
29704,5,52.56046,1.73102,290,"     290G513","Great Yarmouth"
30019,5,52.66816,1.71484,290,"      290G54","Great Yarmouth"
30507,5,52.58997,1.7253,290,"    290G2355","Great Yarmouth"
30673,5,52.56994,1.72803,290,"     290G519","Great Yarmouth"
30674,5,52.56247,1.73073,290,"     290G514","Great Yarmouth"
30675,5,52.56514,1.72223,290,"     290G516","Great Yarmouth"
30676,5,52.55735,1.72845,290,"     290G511","Great Yarmouth"
30677,5,52.55658,1.72679,290,"     290G510","Great Yarmouth"
30679,5,52.55797,1.7314,290,"     290G512","Great Yarmouth"
34806,5,52.57929,1.72439,290,"    290G2415","Great Yarmouth"
36448,5,52.57972,1.72818,290,"     290G546","Great Yarmouth"
36449,5,52.58126,1.72884,290,"     290G547","Great Yarmouth"
36450,5,52.58047,1.71212,290,"     290G544","Great Yarmouth"
36451,5,52.58068,1.71691,290,"     290G545","Great Yarmouth"
36452,5,52.57863,1.71109,290,"     290G542","Great Yarmouth"
36453,5,52.57952,1.71219,290,"     290G543","Great Yarmouth"
36454,5,52.57895,1.71832,290,"     290G540","Great Yarmouth"
36455,5,52.57697,1.70977,290,"     290G541","Great Yarmouth"
36457,5,52.58366,1.72865,290,"     290G548","Great Yarmouth"
36458,5,52.58645,1.72794,290,"     290G549","Great Yarmouth"
38977,5,52.6704,1.69552,290,"     290G833","Great Yarmouth"
39237,5,52.66119,1.71975,290,"     290G634","Great Yarmouth"
39238,5,52.66134,1.72077,290,"     290G635","Great Yarmouth"
39239,5,52.66308,1.71844,290,"     290G637","Great Yarmouth"
39240,5,52.65139,1.72378,290,"     290G630","Great Yarmouth"
39242,5,52.65383,1.72343,290,"     290G632","Great Yarmouth"
39243,5,52.65713,1.72177,290,"     290G633","Great Yarmouth"
41067,5,52.64058,1.72889,290,"     290G625","Great Yarmouth"
42086,5,52.56994,1.66238,290,"     290G579","Great Yarmouth"
42087,5,52.56977,1.6673,290,"     290G578","Great Yarmouth"
42088,5,52.57081,1.66914,290,"     290G577","Great Yarmouth"
42089,5,52.5793,1.65984,290,"     290G575","Great Yarmouth"
42090,5,52.58724,1.66103,290,"     290G574","Great Yarmouth"
42092,5,52.58628,1.71251,290,"     290G572","Great Yarmouth"
42093,5,52.5874,1.6919,290,"     290G571","Great Yarmouth"
43226,5,52.65113,1.71531,290,"    290G2031","Great Yarmouth"
45949,5,52.67799,1.64677,290,"     290G837","Great Yarmouth"
45950,5,52.67306,1.68876,290,"     290G834","Great Yarmouth"
45951,5,52.67242,1.7107,290,"     290G832","Great Yarmouth"
45952,5,52.66914,1.70501,290,"     290G830","Great Yarmouth"
45956,5,52.6804,1.6878,290,"     290G838","Great Yarmouth"
45957,5,52.67207,1.71901,290,"     290G839","Great Yarmouth"
49673,5,52.56783,1.72159,290,"     290G522","Great Yarmouth"
49674,4,52.57009,1.72032,290,"     290G523","Great Yarmouth"
49674,5,52.57009,1.72032,290,"     290G523","Great Yarmouth"
49675,5,52.56408,1.71919,290,"     290G524","Great Yarmouth"
49676,5,52.56425,1.71605,290,"     290G525","Great Yarmouth"
49677,5,52.5684,1.7129,290,"     290G527","Great Yarmouth"
49678,5,52.56983,1.71181,290,"     290G528","Great Yarmouth"
49679,5,52.57185,1.71089,290,"     290G529","Great Yarmouth"
53241,5,52.55757,1.71948,290,"  2900G17114","Great Yarmouth"
53243,5,52.55863,1.72313,290,"  2900G17113","Great Yarmouth"
55648,5,52.56617,1.71432,290,"  2900G17153","Great Yarmouth"
55649,5,52.56594,1.71427,290,"  2900G17154","Great Yarmouth"
56100,5,52.58633,1.71749,290,"  2900G17160","Great Yarmouth"
59030,5,52.60803,1.72902,290,"  2900Y03400","Great Yarmouth"
61001,5,52.60638,1.71987,290," 2900Y031121","Great Yarmouth"
61002,5,52.60516,1.71783,290," 2900Y031122","Great Yarmouth"
63914,5,52.58121,1.7059,290,"   2900B7025","Great Yarmouth"
63915,5,52.57855,1.7063,290,"   2900B7024","Great Yarmouth"
68790,5,52.60809,1.73313,290,"  2900Y03179","Great Yarmouth"
72495,5,52.61637,1.73376,290,"    2900Y035","Great Yarmouth"
72496,5,52.60753,1.72914,290,"    2900Y031","Great Yarmouth"
72497,5,52.60648,1.72771,290,"    2900Y033","Great Yarmouth"
72498,5,52.59153,1.73499,290,"    2900Y038","Great Yarmouth"
75766,5,52.60553,1.71842,290,"   2900Y3112","Great Yarmouth"
79423,5,52.60809,1.71509,290,"   2900G1726","Great Yarmouth"
79424,5,52.57515,1.70957,290,"   2900G1721","Great Yarmouth"
79425,5,52.58144,1.71478,290,"   2900G1723","Great Yarmouth"
84679,5,52.66165,1.72692,290,"    2900C016","Great Yarmouth"
85700,5,52.57774,1.72977,290,"    2900G100","Great Yarmouth"
87044,5,52.66048,1.71532,290,"   2900C0159","Great Yarmouth"
89129,5,52.58151,1.72452,290,"   2900G1751","Great Yarmouth"
