"node","layer","lat","lon","zone","atcocode","city"
13842,2,52.4082,-1.96585,910,"    910GNRTF","Halesowen"
13842,5,52.4082,-1.96585,910,"    910GNRTF","Halesowen"
16572,2,52.47094,-2.05619,910,"    910GOLHL","Halesowen"
16572,5,52.47094,-2.05619,910,"    910GOLHL","Halesowen"
26895,2,52.39642,-1.98129,910,"    910GLONB","Halesowen"
26895,5,52.39642,-1.98129,910,"    910GLONB","Halesowen"
48861,5,52.47733,-2.03088,910," 910GROWLEYR","Halesowen"
48861,2,52.47733,-2.03088,910," 910GROWLEYR","Halesowen"
51771,5,52.41918,-1.97993,430," 43000334301","Halesowen"
52185,5,52.3924,-2.02273,200," 2000G323040","Halesowen"
52831,5,52.44483,-1.97331,430," 43003240501","Halesowen"
52951,5,52.45957,-1.99154,430," 43000317501","Halesowen"
53313,5,52.43608,-1.97692,430," 43000332201","Halesowen"
53314,5,52.43631,-1.97682,430," 43000332202","Halesowen"
53570,5,52.40681,-2.01058,430," 43000393701","Halesowen"
53638,5,52.47837,-2.03488,430," 43000910703","Halesowen"
53639,5,52.47858,-2.03478,430," 43000910702","Halesowen"
53984,5,52.4636,-2.02283,430," 43000817704","Halesowen"
53985,5,52.46346,-2.02286,430," 43000817703","Halesowen"
54444,5,52.40986,-1.95538,430," 43000362802","Halesowen"
54445,5,52.40986,-1.95543,430," 43000362801","Halesowen"
54483,5,52.45488,-2.06971,430," 43000806702","Halesowen"
54484,5,52.45491,-2.07036,430," 43000806701","Halesowen"
54659,5,52.45289,-2.0806,430," 43000813501","Halesowen"
54764,5,52.46972,-2.00306,430," 43000931801","Halesowen"
54766,5,52.46956,-2.00289,430," 43000931802","Halesowen"
54797,5,52.41929,-1.96527,430," 43000354301","Halesowen"
55104,5,52.47122,-2.01678,430," 43000802101","Halesowen"
55105,5,52.47105,-2.01683,430," 43000802102","Halesowen"
55233,5,52.43229,-1.96708,430," 43003380501","Halesowen"
55234,5,52.43266,-1.96691,430," 43003380502","Halesowen"
55274,5,52.40758,-1.98377,430," 43000363302","Halesowen"
55275,5,52.40776,-1.98373,430," 43000363301","Halesowen"
55851,5,52.46624,-2.0716,430," 43000902201","Halesowen"
55852,5,52.46638,-2.07126,430," 43000902202","Halesowen"
55910,5,52.42876,-1.97581,430," 43000335702","Halesowen"
56064,5,52.44479,-1.97221,430," 43000324302","Halesowen"
56222,5,52.4135,-2.05972,200," 2000G621012","Halesowen"
56223,5,52.41626,-2.06424,200," 2000G621010","Halesowen"
56224,5,52.41472,-2.06144,200," 2000G621011","Halesowen"
56225,5,52.43813,-2.04488,200," 2000G621016","Halesowen"
57796,5,52.45715,-2.07834,430," 43000810402","Halesowen"
57797,5,52.45719,-2.07846,430," 43000810401","Halesowen"
57938,5,52.45404,-2.08724,430," 43000813302","Halesowen"
57967,5,52.46035,-1.98602,430," 43000317101","Halesowen"
58431,5,52.4491,-2.04497,430," 43000804402","Halesowen"
58432,5,52.44929,-2.04514,430," 43000804401","Halesowen"
58596,5,52.46047,-2.00786,430," 43000313502","Halesowen"
58597,5,52.46073,-2.00814,430," 43000313501","Halesowen"
58789,5,52.4643,-2.08571,430," 43000812501","Halesowen"
58790,5,52.46478,-2.08546,430," 43000812502","Halesowen"
58875,5,52.39649,-2.02983,430," 43000391602","Halesowen"
58876,5,52.39641,-2.03036,430," 43000391601","Halesowen"
59265,5,52.45133,-2.05066,430," 43000803901","Halesowen"
