"node","layer","lat","lon","zone","atcocode","city"
9,5,53.6604,-1.95155,450,"    450G7916","Halifax"
246,5,53.76622,-1.85133,450,"    450G9238","Halifax"
434,5,53.71252,-1.99012,450,"    450G4017","Halifax"
534,5,53.74675,-1.88501,450,"    450G4562","Halifax"
870,5,53.7073,-1.85053,450,"    450G2908","Halifax"
902,5,53.71025,-1.85318,450,"    450G2904","Halifax"
1039,5,53.71471,-1.88556,450,"    450G2356","Halifax"
1326,5,53.75505,-1.83444,450,"    450G2997","Halifax"
1450,5,53.72511,-1.86948,450,"    450G5600","Halifax"
1452,5,53.71907,-1.89949,450,"    450G2667","Halifax"
1613,5,53.74736,-1.87121,450,"    450G3764","Halifax"
1618,5,53.74305,-1.87056,450,"    450G3768","Halifax"
1669,5,53.73578,-1.88609,450,"    450G2492","Halifax"
2053,5,53.74846,-1.92794,450,"    450G3593","Halifax"
2247,5,53.71173,-1.88315,450,"    450G3199","Halifax"
2321,5,53.70115,-1.86254,450,"    450G3134","Halifax"
2322,5,53.70107,-1.85942,450,"    450G3133","Halifax"
2329,5,53.72343,-1.87316,450,"    450G2848","Halifax"
2332,5,53.72351,-1.86941,450,"    450G2846","Halifax"
2335,5,53.72141,-1.86634,450,"    450G2841","Halifax"
3004,5,53.69327,-1.8504,450,"    450G3366","Halifax"
3081,5,53.71262,-1.86385,450,"    450G7681","Halifax"
3697,5,53.68306,-1.86282,450,"    450G3407","Halifax"
3698,5,53.6853,-1.85859,450,"    450G3406","Halifax"
3702,5,53.66117,-1.88072,450,"    450G3400","Halifax"
3703,5,53.67549,-1.86727,450,"    450G3409","Halifax"
3704,5,53.67787,-1.86769,450,"    450G3408","Halifax"
3962,5,53.77213,-1.89748,450,"    450G3732","Halifax"
3987,5,53.74037,-1.8892,450,"    450G2464","Halifax"
3997,5,53.74149,-1.88219,450,"    450G2460","Halifax"
3999,5,53.74036,-1.88541,450,"    450G2461","Halifax"
4147,5,53.71919,-1.87051,450,"    450G2596","Halifax"
4661,5,53.66696,-1.95773,450,"    450G3083","Halifax"
4683,5,53.66729,-1.95458,450,"    450G3081","Halifax"
4696,5,53.67305,-1.94546,450,"    450G3080","Halifax"
4787,5,53.70498,-1.93044,450,"    450G4180","Halifax"
4793,5,53.77462,-1.8603,450,"    450G2965","Halifax"
4794,5,53.77229,-1.85446,450,"    450G2964","Halifax"
4795,5,53.77501,-1.87249,450,"    450G2961","Halifax"
4803,5,53.67606,-1.85823,450,"    450G3380","Halifax"
4804,5,53.67479,-1.86138,450,"    450G3381","Halifax"
4805,5,53.67437,-1.86487,450,"    450G3383","Halifax"
4806,5,53.6745,-1.86789,450,"    450G3384","Halifax"
4807,5,53.67382,-1.87186,450,"    450G3385","Halifax"
4808,5,53.67383,-1.87322,450,"    450G3386","Halifax"
4809,5,53.67364,-1.87489,450,"    450G3387","Halifax"
4830,5,53.72565,-1.88759,450,"    450G2388","Halifax"
4834,5,53.71788,-1.86035,450,"    450G2380","Halifax"
