"node","layer","lat","lon","zone","atcocode","city"
242,5,55.79087,-4.1022,615,"   615G10685","Hamilton"
244,5,55.79274,-4.08836,615,"   615G10680","Hamilton"
836,5,55.77046,-4.05525,615,"   615G10960","Hamilton"
988,5,55.7583,-4.06022,615,"   615G10610","Hamilton"
990,5,55.75778,-4.0574,615,"   615G10611","Hamilton"
1000,5,55.76382,-4.05606,615,"   615G10616","Hamilton"
1002,5,55.76561,-4.05515,615,"   615G10617","Hamilton"
1412,5,55.79224,-4.09948,615,"   615G10684","Hamilton"
1417,5,55.79162,-4.08397,615,"   615G10681","Hamilton"
1555,5,55.69099,-3.99222,615,"   615G10715","Hamilton"
2010,5,55.75905,-4.05434,615,"   615G10605","Hamilton"
2011,5,55.76579,-4.05978,615,"   615G10603","Hamilton"
2013,5,55.76376,-4.07351,615,"   615G10600","Hamilton"
2017,5,55.75914,-4.06407,615,"   615G10608","Hamilton"
3223,5,55.77393,-4.06461,615,"   615G10535","Hamilton"
3234,5,55.7887,-4.0771,615,"   615G10531","Hamilton"
4033,5,55.78044,-4.09634,615,"   615G10819","Hamilton"
4907,5,55.76068,-4.06031,615,"   615G10609","Hamilton"
6296,5,55.80004,-4.06429,615,"   615G10650","Hamilton"
6976,5,55.76965,-4.07338,615,"   615G10597","Hamilton"
6977,5,55.76749,-4.0798,615,"   615G10595","Hamilton"
6979,5,55.76708,-4.06919,615,"   615G10599","Hamilton"
6980,5,55.7701,-4.07079,615,"   615G10598","Hamilton"
7494,5,55.68055,-4.05711,615,"   615G10224","Hamilton"
8954,5,55.77895,-4.05416,910," 910GHAMLTNW","Hamilton"
8954,2,55.77895,-4.05416,910," 910GHAMLTNW","Hamilton"
9447,5,55.78659,-4.07618,615,"   615G24315","Hamilton"
10831,5,55.76832,-4.05142,615,"   615G24943","Hamilton"
11214,5,55.77318,-4.03887,910," 910GHAMLTNC","Hamilton"
11214,2,55.77318,-4.03887,910," 910GHAMLTNC","Hamilton"
11214,4,55.77318,-4.03887,910," 910GHAMLTNC","Hamilton"
12130,5,55.7633,-4.06034,615,"   615G10606","Hamilton"
12289,5,55.68818,-3.9993,615,"   615G10713","Hamilton"
13289,5,55.77349,-4.07993,615,"   615G10556","Hamilton"
13324,5,55.77726,-4.08617,615,"   615G10552","Hamilton"
14598,5,55.73303,-4.0596,615,"   615G10643","Hamilton"
14684,5,55.77804,-4.08982,615,"   615G10544","Hamilton"
14686,5,55.7765,-4.09404,615,"   615G10545","Hamilton"
14692,5,55.77266,-4.08926,615,"   615G10548","Hamilton"
16376,5,55.76889,-4.01419,615,"   615G10645","Hamilton"
16417,5,55.71132,-4.0991,615,"   615G10238","Hamilton"
16418,5,55.699,-4.03176,615,"   615G10236","Hamilton"
16645,5,55.77094,-4.0224,615,"   615G10579","Hamilton"
16650,5,55.77291,-4.02913,615,"   615G10577","Hamilton"
16830,2,55.73859,-3.9755,910," 910GLARKHAL","Hamilton"
16830,5,55.73859,-3.9755,910," 910GLARKHAL","Hamilton"
18545,2,55.7487,-3.97824,910," 910GMRRYTON","Hamilton"
18545,5,55.7487,-3.97824,910," 910GMRRYTON","Hamilton"
18576,5,55.81544,-4.08113,615,"   615G10661","Hamilton"
18913,5,55.76387,-4.0334,615,"   615G24600","Hamilton"
19354,5,55.77604,-4.07903,615,"   615G10540","Hamilton"
19400,5,55.7785,-4.08683,615,"   615G10543","Hamilton"
20292,5,55.76681,-4.05343,615,"   615G24471","Hamilton"
20458,5,55.77057,-4.04843,615,"   615G24264","Hamilton"
21118,5,55.75817,-4.04678,615,"   615G10630","Hamilton"
22083,5,55.72579,-3.97504,615,"   615G10766","Hamilton"
23443,5,55.77737,-4.08433,615,"   615G10542","Hamilton"
23591,5,55.72798,-3.97694,615,"   615G10771","Hamilton"
23707,5,55.77428,-4.09211,615,"   615G10547","Hamilton"
24317,5,55.78374,-4.07413,615,"   615G10529","Hamilton"
24598,5,55.74391,-3.97682,615,"   615G10731","Hamilton"
24616,5,55.77546,-4.08096,615,"   615G10541","Hamilton"
24723,5,55.76061,-4.07397,615,"   615G24914","Hamilton"
