"node","layer","lat","lon","zone","atcocode","city"
153,2,51.5031,-0.42067,490," 910GHAYESAH","Hayes"
153,5,51.5031,-0.42067,490," 910GHAYESAH","Hayes"
275,5,51.49039,-0.45774,490,"490G00007821","Hayes"
276,5,51.48966,-0.47452,490,"490G00007820","Hayes"
675,5,51.52966,-0.4486,490,"490G00013980","Hayes"
1498,5,51.52584,-0.48275,490,"490G00003887","Hayes"
1580,5,51.50441,-0.46031,490,"490G00010401","Hayes"
1835,5,51.53312,-0.46766,490,"490G00004527","Hayes"
1997,5,51.46888,-0.42082,490,"490G00017652","Hayes"
2022,5,51.52779,-0.4742,490,"490G00012757","Hayes"
2382,5,51.48537,-0.45381,490,"490G00012180","Hayes"
3084,5,51.4826,-0.47641,490,"490G00003680","Hayes"
3414,5,51.53425,-0.40867,490,"490G00013757","Hayes"
3417,5,51.51276,-0.42002,490,"490G00013751","Hayes"
3421,5,51.54163,-0.45047,490,"490G00010483","Hayes"
3472,5,51.52296,-0.43811,490,"490G00007757","Hayes"
4718,5,51.45593,-0.41814,490,"490G00006595","Hayes"
5274,5,51.51432,-0.41047,490,"490G00011170","Hayes"
5487,5,51.51064,-0.41381,490,"490G00006384","Hayes"
5857,5,51.5262,-0.45185,490,"490G00007815","Hayes"
5859,5,51.48075,-0.43433,490,"490G00007811","Hayes"
5860,5,51.49655,-0.42744,490,"490G00007812","Hayes"
5893,5,51.46269,-0.42616,490,"490G00010142","Hayes"
6011,5,51.51451,-0.43553,490,"490G00004176","Hayes"
6514,5,51.48121,-0.42018,490,"490G00013596","Hayes"
6574,5,51.53594,-0.43377,490,"490G00011666","Hayes"
7003,5,51.52302,-0.44024,490,"490G00015007","Hayes"
7590,5,51.48093,-0.424,490,"490G00010677","Hayes"
7601,5,51.48328,-0.40904,490,"490G00013494","Hayes"
7706,5,51.52735,-0.46281,490,"490G00008225","Hayes"
8045,5,51.48462,-0.43435,490,"490G00014434","Hayes"
8221,5,51.51818,-0.41887,490,"490G00005262","Hayes"
8501,5,51.4804,-0.41346,490,"490G00005704","Hayes"
8969,5,51.51966,-0.41343,490,"490G00003873","Hayes"
8988,5,51.49835,-0.45961,490,"490G00005095","Hayes"
9677,5,51.51578,-0.40906,490,"490G00008109","Hayes"
10924,5,51.52583,-0.43974,490,"490G00010252","Hayes"
11021,5,51.53315,-0.47615,490,"490G00004528","Hayes"
11311,5,51.50324,-0.45103,490,"490G00018251","Hayes"
11456,5,51.52808,-0.41742,490,"490G00007002","Hayes"
12686,5,51.51006,-0.47223,490," 910GWDRYTON","Hayes"
12686,2,51.51006,-0.47223,490," 910GWDRYTON","Hayes"
12822,5,51.52557,-0.45008,490,"490G00009070","Hayes"
12964,5,51.50539,-0.4751,490,"490G00013111","Hayes"
12968,5,51.51581,-0.42642,490,"490G00013119","Hayes"
13381,5,51.46072,-0.42931,490,"490G00004673","Hayes"
13429,5,51.5046,-0.45719,490,"490G00010114","Hayes"
14060,5,51.53344,-0.42269,490,"490G00003111","Hayes"
14158,5,51.50785,-0.41666,490,"490G00010095","Hayes"
14239,5,51.52627,-0.41927,490,"490G00003572","Hayes"
15262,5,51.51783,-0.4068,490,"490G00013384","Hayes"
15524,5,51.52476,-0.43151,490,"490G00007946","Hayes"
15930,5,51.54432,-0.44591,490,"490G00007539","Hayes"
16155,5,51.52082,-0.41744,490,"490G00013977","Hayes"
16156,5,51.53355,-0.45257,490,"490G00013974","Hayes"
16321,5,51.52564,-0.4558,490,"490G00009845","Hayes"
16575,5,51.5207,-0.41604,490,"490G00005294","Hayes"
17930,5,51.52926,-0.47532,490,"490G00005286","Hayes"
18071,5,51.46937,-0.41342,490,"490G00007196","Hayes"
18556,5,51.4986,-0.42596,490,"490G00011489","Hayes"
18571,5,51.49716,-0.46864,490,"490G00007822","Hayes"
18591,5,51.51466,-0.43159,490,"490G00003651","Hayes"
18703,5,51.54378,-0.44416,490,"490G00007541","Hayes"
18766,5,51.49441,-0.41672,490,"490G00004782","Hayes"
19276,5,51.52748,-0.39911,490,"490G00014711","Hayes"
19446,5,51.52379,-0.44136,490,"490G00007469","Hayes"
19587,5,51.49716,-0.42183,490,"490G00009984","Hayes"
21182,5,51.5177,-0.43478,490,"490G00011210","Hayes"
21927,5,51.53013,-0.4814,490,"490G00012611","Hayes"
22525,5,51.47945,-0.43303,490,"490G00007905","Hayes"
22945,5,51.50769,-0.4318,490,"490G00013095","Hayes"
23176,5,51.50174,-0.44147,490,"490G00007206","Hayes"
23323,5,51.53672,-0.42901,490,"490G00005031","Hayes"
23678,5,51.51728,-0.42893,490,"490G00009151","Hayes"
23795,5,51.5219,-0.40192,490,"490G00012032","Hayes"
24286,5,51.5119,-0.41249,490,"490G00003512","Hayes"
24403,5,51.50022,-0.46453,490,"490G00009727","Hayes"
24539,5,51.50244,-0.43175,490,"490G00004200","Hayes"
25039,5,51.49713,-0.42875,490,"490G00005989","Hayes"
25804,5,51.52017,-0.47911,490,"490G00010708","Hayes"
25878,5,51.49753,-0.47643,490,"490G00014790","Hayes"
26176,5,51.5192,-0.46254,490,"490G00003350","Hayes"
26211,5,51.54079,-0.49144,490,"490G00005689","Hayes"
26212,5,51.53835,-0.48218,490,"490G00005688","Hayes"
26463,5,51.5273,-0.45086,490,"490G00003173","Hayes"
26864,5,51.51055,-0.42387,490,"490G00011221","Hayes"
26972,5,51.53535,-0.46535,490,"490G00008220","Hayes"
26973,5,51.53532,-0.46156,490,"490G00008221","Hayes"
26974,5,51.53183,-0.45043,490,"490G00008227","Hayes"
27190,5,51.54039,-0.47246,490,"490G00009602","Hayes"
27518,5,51.53378,-0.41259,490,"490G00016772","Hayes"
27623,5,51.47798,-0.4266,490,"490G00010349","Hayes"
27633,5,51.5235,-0.42464,490,"490G00011690","Hayes"
28077,5,51.5238,-0.44851,490,"490G00010010","Hayes"
28242,5,51.51111,-0.46137,490,"490G00012849","Hayes"
29439,5,51.50962,-0.4368,490,"490G00013560","Hayes"
29561,5,51.52594,-0.45915,490,"490G00005477","Hayes"
29742,5,51.53335,-0.40349,490,"490G00007610","Hayes"
30661,5,51.52316,-0.45763,490,"490G00005478","Hayes"
31356,5,51.54299,-0.44107,490,"490G00009124","Hayes"
31595,5,51.54402,-0.48714,490,"490G00011621","Hayes"
32233,5,51.518,-0.44018,490,"490G00014841","Hayes"
32364,5,51.46383,-0.41614,490,"490G00007902","Hayes"
32579,5,51.5133,-0.42823,490,"490G00017848","Hayes"
34515,5,51.46675,-0.42318,490," 940GZZLUHNX","Hayes"
34515,3,51.46675,-0.42318,490," 940GZZLUHNX","Hayes"
34524,2,51.50851,-0.50672,40,"    910GIVER","Hayes"
34524,5,51.50851,-0.50672,40,"    910GIVER","Hayes"
34640,5,51.53001,-0.41751,490,"490G00006715","Hayes"
34774,5,51.49809,-0.42987,490,"490G00012608","Hayes"
36478,5,51.53219,-0.41912,490,"490G00008963","Hayes"
36506,5,51.50515,-0.46958,490,"490G00005291","Hayes"
36880,5,51.5123,-0.42452,490,"490G00004175","Hayes"
36886,5,51.50963,-0.42089,490,"490G00004178","Hayes"
37057,5,51.53051,-0.44154,490,"490G00018824","Hayes"
37159,5,51.51931,-0.45644,490,"490G00010843","Hayes"
37565,5,51.49401,-0.42031,490,"490G00010901","Hayes"
37567,5,51.52386,-0.427,490,"490G00010802","Hayes"
38185,5,51.53856,-0.45219,490,"490G00005422","Hayes"
38205,5,51.53032,-0.47793,490,"490G00005397","Hayes"
38285,5,51.53641,-0.47003,490,"490G00013396","Hayes"
38287,5,51.50273,-0.47743,490,"490G00013392","Hayes"
38292,5,51.54081,-0.48187,490,"490G00014592","Hayes"
38332,5,51.48953,-0.43513,490,"490G00007808","Hayes"
39013,5,51.52632,-0.39337,490,"490G00013587","Hayes"
39081,5,51.49805,-0.47771,490,"490G00011675","Hayes"
39618,5,51.5333,-0.39662,490,"490G00008784","Hayes"
39722,5,51.50531,-0.4522,490,"490G00012829","Hayes"
39723,5,51.50949,-0.44136,490,"490G00012825","Hayes"
39865,5,51.49885,-0.47071,490,"490G00008996","Hayes"
40140,5,51.49798,-0.41334,490,"490G00013312","Hayes"
40549,5,51.50343,-0.46687,490,"490G00014424","Hayes"
40791,5,51.49348,-0.45813,490,"490G00013500","Hayes"
40922,5,51.50027,-0.44162,490,"490G00011015","Hayes"
40923,5,51.49854,-0.43897,490,"490G00011013","Hayes"
41581,5,51.49785,-0.47284,490,"490G00011738","Hayes"
42046,5,51.51154,-0.45173,490,"490G00008499","Hayes"
43411,5,51.53475,-0.4247,490,"490G00014544","Hayes"
43443,5,51.49531,-0.41465,490,"490G00005618","Hayes"
43974,5,51.53353,-0.45466,490,"490G00013991","Hayes"
44203,5,51.53069,-0.4548,490,"490G00012289","Hayes"
44904,5,51.54216,-0.48906,490,"490G00011604","Hayes"
44928,5,51.5224,-0.42047,490,"490G00008962","Hayes"
45295,5,51.51753,-0.46315,490,"490G00003348","Hayes"
45306,5,51.52987,-0.44669,490,"490G00009069","Hayes"
45440,5,51.53539,-0.42635,490,"490G00004631","Hayes"
47334,5,51.51578,-0.39892,490,"490G00007944","Hayes"
47501,5,51.49794,-0.40474,490,"490G00004573","Hayes"
48297,5,51.52155,-0.45611,490,"490G00003823","Hayes"
48565,5,51.53726,-0.47408,490,"490G00013968","Hayes"
49012,5,51.52761,-0.43927,490,"490G00018825","Hayes"
49014,5,51.53202,-0.44287,490,"490G00018826","Hayes"
49015,5,51.53507,-0.44096,490,"490G00018823","Hayes"
49873,5,51.49682,-0.47409,490,"490G00011740","Hayes"
49898,5,51.5341,-0.48238,490,"490G00006802","Hayes"
50720,5,51.51546,-0.47434,490,"490G00015006","Hayes"
