"node","layer","lat","lon","zone","atcocode","city"
315,5,51.73992,-0.45824,210,"    210G9366","Hemel Hempstead"
316,5,51.73672,-0.44668,210,"    210G9367","Hemel Hempstead"
317,5,51.74342,-0.46765,210,"    210G9364","Hemel Hempstead"
318,5,51.74498,-0.46278,210,"    210G9365","Hemel Hempstead"
708,2,51.74234,-0.49076,210," 910GHEMLHMP","Hemel Hempstead"
708,5,51.74234,-0.49076,210," 910GHEMLHMP","Hemel Hempstead"
894,5,51.81531,-0.49454,210,"    210G2095","Hemel Hempstead"
895,5,51.81257,-0.49277,210,"    210G2094","Hemel Hempstead"
896,5,51.80655,-0.48013,210,"    210G2097","Hemel Hempstead"
897,5,51.78904,-0.48825,210,"    210G2099","Hemel Hempstead"
898,5,51.80127,-0.47117,210,"    210G2098","Hemel Hempstead"
919,5,51.75399,-0.54613,210,"    210G2547","Hemel Hempstead"
920,5,51.75539,-0.5495,210,"    210G2546","Hemel Hempstead"
921,5,51.74811,-0.57697,210,"    210G2544","Hemel Hempstead"
922,5,51.74588,-0.58183,210,"    210G2543","Hemel Hempstead"
923,5,51.75027,-0.57174,210,"    210G2542","Hemel Hempstead"
924,5,51.75275,-0.57732,210,"    210G2540","Hemel Hempstead"
926,5,51.74825,-0.53061,210,"    210G2549","Hemel Hempstead"
927,5,51.7504,-0.53691,210,"    210G2548","Hemel Hempstead"
1393,5,51.74816,-0.4329,210,"    210G2709","Hemel Hempstead"
1399,5,51.75232,-0.44945,210,"    210G2703","Hemel Hempstead"
3528,5,51.74151,-0.46856,210,"    210G2824","Hemel Hempstead"
3533,5,51.74194,-0.4625,210,"    210G2826","Hemel Hempstead"
4470,5,51.7714,-0.4475,210,"    210G2614","Hemel Hempstead"
5183,5,51.78401,-0.52289,210,"    210G2115","Hemel Hempstead"
5185,5,51.79146,-0.50494,210,"    210G2111","Hemel Hempstead"
5248,5,51.73799,-0.45328,210,"    210G2809","Hemel Hempstead"
5249,5,51.7406,-0.4467,210,"    210G2806","Hemel Hempstead"
5250,5,51.73831,-0.44817,210,"    210G2807","Hemel Hempstead"
5251,5,51.74298,-0.44536,210,"    210G2805","Hemel Hempstead"
5252,5,51.74246,-0.44777,210,"    210G2803","Hemel Hempstead"
