"node","layer","lat","lon","zone","atcocode","city"
44423,4,52.06117,-2.70822,910," 910GHEREFRD","Hereford"
44423,2,52.06117,-2.70822,910," 910GHEREFRD","Hereford"
44423,5,52.06117,-2.70822,910," 910GHEREFRD","Hereford"
53354,5,52.04627,-2.72536,209,"  2090A19575","Hereford"
53355,5,52.04597,-2.72565,209,"  2090A19573","Hereford"
53356,5,52.03808,-2.72423,209,"  2090A19571","Hereford"
53359,5,52.04168,-2.72998,209,"  2090A19578","Hereford"
54841,5,52.09739,-2.76521,209," 2090A072600","Hereford"
55052,5,52.05715,-2.73126,209,"  2090A19409","Hereford"
55053,5,52.05564,-2.73253,209,"  2090A19403","Hereford"
55054,5,52.0563,-2.7348,209,"  2090A19401","Hereford"
55055,5,52.05672,-2.73188,209,"  2090A19407","Hereford"
55056,5,52.05573,-2.73269,209,"  2090A19405","Hereford"
55403,5,52.07904,-2.78199,209," 2090A028614","Hereford"
55862,5,52.08446,-2.63926,209," 2090A068801","Hereford"
55863,5,52.09477,-2.65443,209," 2090A068800","Hereford"
56010,5,52.11552,-2.6807,209," 2090A112900","Hereford"
56248,5,52.01846,-2.83817,209,"  2090A20443","Hereford"
56551,5,52.08659,-2.79056,209,"  2090A19341","Hereford"
56552,5,52.08684,-2.79112,209,"  2090A19343","Hereford"
56553,5,52.08748,-2.79378,209,"  2090A19345","Hereford"
56554,5,52.08736,-2.794,209,"  2090A19347","Hereford"
57099,5,52.03798,-2.72403,209," 2090A147601","Hereford"
57973,5,52.05164,-2.68049,209,"  2090A20284","Hereford"
57974,5,52.05083,-2.67989,209,"  2090A20286","Hereford"
57975,5,52.07646,-2.74433,209,"  2090A20280","Hereford"
57976,5,52.05412,-2.68487,209,"  2090A20282","Hereford"
57978,5,52.04957,-2.67917,209,"  2090A20288","Hereford"
58084,5,52.06564,-2.7224,209," 2090A071400","Hereford"
58085,5,52.06686,-2.72211,209," 2090A071402","Hereford"
58371,5,52.08151,-2.63695,209,"  2090A18225","Hereford"
58374,5,52.09459,-2.65436,209,"  2090A18221","Hereford"
58375,5,52.06617,-2.65597,209,"  2090A18223","Hereford"
59385,5,52.08887,-2.80137,209," 2090A114300","Hereford"
59753,5,52.04403,-2.62529,209,"  2090A19722","Hereford"
59754,5,52.04799,-2.61968,209,"  2090A19720","Hereford"
60068,5,52.12873,-2.73094,209,"  2090A18357","Hereford"
60069,5,52.12872,-2.73146,209,"  2090A18359","Hereford"
61354,5,51.98477,-2.72558,209,"  2090A20831","Hereford"
61493,5,52.0467,-2.7322,209,"  2090A19618","Hereford"
61494,5,52.04632,-2.7334,209,"  2090A19616","Hereford"
61496,5,52.04605,-2.73399,209,"  2090A19614","Hereford"
61497,5,52.04374,-2.73196,209,"  2090A19612","Hereford"
61499,5,52.0435,-2.732,209,"  2090A19610","Hereford"
63039,5,52.05275,-2.7067,209,"  2090A19502","Hereford"
63040,5,52.05264,-2.70678,209,"  2090A19500","Hereford"
63041,5,52.05379,-2.70411,209,"  2090A19506","Hereford"
63042,5,52.05424,-2.70369,209,"  2090A19504","Hereford"
63044,5,52.05512,-2.70074,209,"  2090A19509","Hereford"
63806,5,52.06332,-2.6994,209," 2090A068901","Hereford"
64746,5,52.10605,-2.68403,209," 2090A113100","Hereford"
64978,5,51.97434,-2.75183,209,"  2090A18541","Hereford"
64987,5,52.03919,-2.71291,209," 2090A028604","Hereford"
64988,5,52.04095,-2.71135,209," 2090A028601","Hereford"
64989,5,52.04299,-2.71637,209," 2090A028600","Hereford"
64990,5,52.05803,-2.71482,209," 2090A028608","Hereford"
66112,5,52.05621,-2.69688,209," 2090A071500","Hereford"
