"node","layer","lat","lon","zone","atcocode","city"
594,5,53.36261,-1.69856,100,"100G00013387","High Peak"
1734,5,53.28225,-1.86654,100,"100G00013405","High Peak"
2209,5,53.35783,-1.92779,100,"100G00011839","High Peak"
2588,5,53.34877,-1.98884,100," 910GFURNESV","High Peak"
2588,2,53.34877,-1.98884,100," 910GFURNESV","High Peak"
2886,5,53.37867,-1.95194,100,"100G00013853","High Peak"
5227,5,53.34794,-1.7493,100,"100GD0011990","High Peak"
5854,5,53.33922,-1.8631,100,"100GD0012141","High Peak"
6680,5,53.32114,-1.92456,100,"   100G52532","High Peak"
7791,5,53.33622,-1.96857,100,"100GDB000816","High Peak"
7854,5,53.33869,-1.92363,100,"100G00011840","High Peak"
7855,5,53.35237,-1.9267,100,"100G00011841","High Peak"
8910,5,53.28596,-1.87094,100,"100GDPDI0811","High Peak"
9264,5,53.34546,-1.81566,100,"100G00013457","High Peak"
10375,5,53.31684,-1.94042,100,"100G00013822","High Peak"
10377,5,53.31879,-1.93329,100,"100G00013821","High Peak"
10907,5,53.32485,-1.90825,100,"   100G52051","High Peak"
12576,5,53.34164,-1.72446,100,"100G00011991","High Peak"
12577,5,53.35715,-1.7491,100,"100G00011992","High Peak"
12881,5,53.34167,-1.70871,100,"100G00013901","High Peak"
12882,5,53.34176,-1.70353,100,"100G00013900","High Peak"
14272,5,53.28832,-1.86498,100,"100G00013615","High Peak"
14273,5,53.28873,-1.86246,100,"100G00013614","High Peak"
14274,5,53.30973,-1.88576,100,"100G00013617","High Peak"
14275,5,53.30422,-1.88513,100,"100G00013616","High Peak"
14276,5,53.33804,-1.97447,100,"100G00013619","High Peak"
14546,5,53.30443,-1.74922,100,"100G00012201","High Peak"
16139,5,53.34628,-1.73684,100,"100G00013870","High Peak"
16140,5,53.34692,-1.76813,100,"100G00013873","High Peak"
16141,5,53.34744,-1.76215,100,"100G00013872","High Peak"
17416,5,53.37864,-1.94847,100,"100G00013852","High Peak"
19574,5,53.3803,-1.71601,100,"100G00013396","High Peak"
19926,5,53.37522,-1.71397,100,"100G00011733","High Peak"
19927,5,53.42273,-1.75002,100,"100G00011734","High Peak"
19928,5,53.42966,-1.74813,100,"100G00011735","High Peak"
19929,5,53.40023,-1.74319,100,"100G00011736","High Peak"
19930,5,53.43134,-1.76832,100,"100G00011737","High Peak"
20086,5,53.31876,-1.96873,100,"100G00013620","High Peak"
20090,5,53.33758,-1.98214,100,"100G00013625","High Peak"
20091,5,53.29266,-1.85835,100,"100G00013626","High Peak"
20518,5,53.32045,-1.92264,100,"100G00022345","High Peak"
20594,5,53.31015,-1.83166,100,"   100G52281","High Peak"
20876,5,53.34822,-1.7438,100,"100GDH006026","High Peak"
21990,5,53.32808,-1.91177,100,"100G00013845","High Peak"
23384,5,53.34865,-1.81319,100,"100G00014089","High Peak"
23389,2,53.29982,-1.89043,100,"    910GDVHL","High Peak"
23389,5,53.29982,-1.89043,100,"    910GDVHL","High Peak"
23437,5,53.41164,-1.83247,100,"100GDHWSI957","High Peak"
24665,5,53.32096,-1.92641,100,"100G00012171","High Peak"
24666,5,53.31219,-1.88716,100,"100G00012170","High Peak"
24669,5,53.3972,-1.74083,100,"100G00012175","High Peak"
27057,5,53.30854,-1.74874,100,"100G00011879","High Peak"
27753,5,53.35866,-1.6989,100,"100G00013897","High Peak"
27759,5,53.36065,-1.69859,100,"100G00013898","High Peak"
27986,5,53.31003,-1.83048,100,"100GDPF00813","High Peak"
28669,5,53.37477,-1.94257,100,"100G00012182","High Peak"
29126,5,53.32376,-1.91369,100,"100GDC000829","High Peak"
29587,5,53.3177,-1.95321,100,"100G00013819","High Peak"
29588,5,53.28236,-1.8813,100,"100G00013818","High Peak"
32098,5,53.37103,-1.69725,100,"100G00013917","High Peak"
33012,5,53.32896,-1.74175,100,"100GDB006098","High Peak"
33694,5,53.33401,-1.88782,100,"100G00012215","High Peak"
34777,2,53.36481,-1.81633,100,"   910GEDALE","High Peak"
34777,5,53.36481,-1.81633,100,"   910GEDALE","High Peak"
35298,5,53.32564,-1.73936,100,"100G00013867","High Peak"
35301,5,53.3352,-1.73623,100,"100G00013868","High Peak"
35302,5,53.33837,-1.73111,100,"100G00013869","High Peak"
36400,5,53.31225,-1.91877,100,"    910GCHEF","High Peak"
36400,2,53.31225,-1.91877,100,"    910GCHEF","High Peak"
36695,5,53.34148,-1.79223,100,"100G00011854","High Peak"
38687,5,53.37125,-1.78839,100,"100G00012057","High Peak"
38951,5,53.39052,-1.72555,100,"100GDAFR3813","High Peak"
42159,5,53.38534,-1.72029,100,"100G00015556","High Peak"
42746,5,53.29426,-1.88862,100,"100G00013831","High Peak"
42748,5,53.34351,-1.98573,100,"100G00013832","High Peak"
43135,5,53.41642,-1.75281,100,"100G00011908","High Peak"
43136,5,53.39304,-1.73058,100,"100G00011907","High Peak"
43710,5,53.32569,-1.901,100,"100G00012169","High Peak"
43717,5,53.3318,-1.74126,100,"100G00012165","High Peak"
44687,5,53.35952,-1.83079,100,"100G00013464","High Peak"
