"node","layer","lat","lon","zone","atcocode","city"
4635,5,51.63917,-0.7785,40,"040G00003324","High Wycombe"
5099,5,51.70352,-0.70914,40," 910GGTMSNDN","High Wycombe"
5099,2,51.70352,-0.70914,40," 910GGTMSNDN","High Wycombe"
7124,5,51.6402,-0.82928,40,"040G00003448","High Wycombe"
11430,5,51.57282,-0.77234,40,"  910GMARLOW","High Wycombe"
11430,2,51.57282,-0.77234,40,"  910GMARLOW","High Wycombe"
14751,5,51.61746,-0.76221,40,"040G00003417","High Wycombe"
30117,5,51.60239,-0.6374,40,"040G00001216","High Wycombe"
33667,2,51.6759,-0.82547,40," 910GSUNDRTN","High Wycombe"
33667,5,51.6759,-0.82547,40," 910GSUNDRTN","High Wycombe"
37324,2,51.61129,-0.64382,40," 910GBCNSFLD","High Wycombe"
37324,5,51.61129,-0.64382,40," 910GBCNSFLD","High Wycombe"
42467,2,51.62959,-0.74541,40," 910GHWYCOMB","High Wycombe"
42467,5,51.62959,-0.74541,40," 910GHWYCOMB","High Wycombe"
50313,4,51.63133,-0.75647,40,"040G00002951","High Wycombe"
50313,5,51.63133,-0.75647,40,"040G00002951","High Wycombe"
52143,5,51.62108,-0.83178,40,"040000003559","High Wycombe"
52144,5,51.62188,-0.83222,40,"040000003558","High Wycombe"
52145,5,51.62318,-0.83082,40,"040000003553","High Wycombe"
52146,5,51.62316,-0.82351,40,"040000003552","High Wycombe"
52147,5,51.62331,-0.82407,40,"040000003551","High Wycombe"
52148,5,51.62203,-0.81637,40,"040000003550","High Wycombe"
52149,5,51.61959,-0.83435,40,"040000003557","High Wycombe"
52150,5,51.62288,-0.83412,40,"040000003556","High Wycombe"
52151,5,51.62273,-0.83453,40,"040000003555","High Wycombe"
52152,5,51.62332,-0.83066,40,"040000003554","High Wycombe"
53102,5,51.60509,-0.71288,40,"040000003880","High Wycombe"
53103,5,51.60467,-0.71326,40,"040000003883","High Wycombe"
53104,5,51.60476,-0.71048,40,"040000003882","High Wycombe"
53105,5,51.6047,-0.71054,40,"040000003885","High Wycombe"
53106,5,51.60299,-0.70707,40,"040000003884","High Wycombe"
53107,5,51.60267,-0.70787,40,"040000003887","High Wycombe"
53626,5,51.61502,-0.7086,40,"040000003236","High Wycombe"
53627,5,51.62696,-0.71735,40,"040000003237","High Wycombe"
53628,5,51.6161,-0.71208,40,"040000003234","High Wycombe"
53629,5,51.62411,-0.72005,40,"040000003235","High Wycombe"
53630,5,51.61837,-0.71658,40,"040000003232","High Wycombe"
53631,5,51.63211,-0.71027,40,"040000003233","High Wycombe"
53632,5,51.62082,-0.72142,40,"040000003230","High Wycombe"
53633,5,51.62679,-0.72332,40,"040000003231","High Wycombe"
53634,5,51.61169,-0.70301,40,"040000003238","High Wycombe"
54485,5,51.6414,-0.73463,40,"040000003941","High Wycombe"
55333,5,51.63991,-0.77378,40,"040000003302","High Wycombe"
55334,5,51.64792,-0.77676,40,"040000003303","High Wycombe"
55335,5,51.64023,-0.77767,40,"040000003300","High Wycombe"
55336,5,51.64592,-0.77801,40,"040000003301","High Wycombe"
55337,5,51.63788,-0.76858,40,"040000003306","High Wycombe"
55338,5,51.64447,-0.78273,40,"040000003307","High Wycombe"
55339,5,51.63981,-0.77111,40,"040000003304","High Wycombe"
55340,5,51.64192,-0.78254,40,"040000003305","High Wycombe"
55341,5,51.64487,-0.77581,40,"040000003308","High Wycombe"
55342,5,51.64043,-0.78024,40,"040000003309","High Wycombe"
57785,5,51.66366,-0.69737,40,"040000002106","High Wycombe"
57793,5,51.66251,-0.70091,40,"040000002103","High Wycombe"
58563,5,51.6325,-0.72839,40,"040000003168","High Wycombe"
58564,5,51.62951,-0.73847,40,"040000003169","High Wycombe"
58565,5,51.63946,-0.72201,40,"040000003162","High Wycombe"
58566,5,51.6416,-0.72312,40,"040000003160","High Wycombe"
58567,5,51.63454,-0.72519,40,"040000003166","High Wycombe"
58568,5,51.63712,-0.72274,40,"040000003164","High Wycombe"
61891,5,51.62115,-0.80675,40,"040000003548","High Wycombe"
61892,5,51.62192,-0.81687,40,"040000003549","High Wycombe"
61894,5,51.61667,-0.83681,40,"040000003540","High Wycombe"
61895,5,51.61638,-0.83678,40,"040000003541","High Wycombe"
61896,5,51.61856,-0.83599,40,"040000003542","High Wycombe"
61897,5,51.61716,-0.83064,40,"040000003543","High Wycombe"
61898,5,51.61716,-0.83039,40,"040000003544","High Wycombe"
61899,5,51.60919,-0.79893,40,"040000003545","High Wycombe"
61900,5,51.60884,-0.79927,40,"040000003546","High Wycombe"
61901,5,51.62113,-0.80695,40,"040000003547","High Wycombe"
62790,5,51.58392,-0.74867,40,"040000003898","High Wycombe"
62791,5,51.58408,-0.74041,40,"040000003899","High Wycombe"
62792,5,51.58298,-0.71654,40,"040000003896","High Wycombe"
62793,5,51.58305,-0.71648,40,"040000003897","High Wycombe"
62794,5,51.6057,-0.719,40,"040000003892","High Wycombe"
62795,5,51.60542,-0.71871,40,"040000003893","High Wycombe"
62796,5,51.62267,-0.76354,40,"040000003890","High Wycombe"
62797,5,51.62487,-0.76938,40,"040000003891","High Wycombe"
63310,5,51.62948,-0.71974,40,"040000003209","High Wycombe"
63311,5,51.63291,-0.71474,40,"040000003208","High Wycombe"
63313,5,51.63888,-0.72233,40,"040000003203","High Wycombe"
63314,5,51.62802,-0.72456,40,"040000003202","High Wycombe"
63315,5,51.63751,-0.72279,40,"040000003201","High Wycombe"
63316,5,51.6288,-0.72786,40,"040000003200","High Wycombe"
63317,5,51.63239,-0.72182,40,"040000003207","High Wycombe"
63318,5,51.63489,-0.71687,40,"040000003206","High Wycombe"
63319,5,51.62599,-0.72291,40,"040000003204","High Wycombe"
64303,5,51.65702,-0.7094,40,"040000003121","High Wycombe"
64926,5,51.64112,-0.78511,40,"040000003337","High Wycombe"
64927,5,51.63141,-0.76057,40,"040000003336","High Wycombe"
64928,5,51.64007,-0.78165,40,"040000003335","High Wycombe"
64929,5,51.64397,-0.79412,40,"040000003332","High Wycombe"
64930,5,51.64226,-0.78852,40,"040000003330","High Wycombe"
64931,5,51.64207,-0.78822,40,"040000003339","High Wycombe"
64932,5,51.63218,-0.76354,40,"040000003338","High Wycombe"
65459,5,51.69601,-0.82062,40,"040000002254","High Wycombe"
66585,5,51.63403,-0.75254,40,"040000003025","High Wycombe"
67866,5,51.64975,-0.66418,40,"040000002125","High Wycombe"
67867,5,51.64807,-0.6609,40,"040000002127","High Wycombe"
67868,5,51.65392,-0.66725,40,"040000002121","High Wycombe"
67869,5,51.65201,-0.66709,40,"040000002123","High Wycombe"
67870,5,51.64792,-0.65469,40,"040000002129","High Wycombe"
68231,5,51.6348,-0.69132,40,"040000003159","High Wycombe"
68233,5,51.6355,-0.69432,40,"040000003157","High Wycombe"
68234,5,51.64799,-0.73386,40,"040000003156","High Wycombe"
68235,5,51.63648,-0.70088,40,"040000003155","High Wycombe"
68236,5,51.63541,-0.69437,40,"040000003154","High Wycombe"
68237,5,51.63811,-0.698,40,"040000003153","High Wycombe"
68238,5,51.63689,-0.70141,40,"040000003152","High Wycombe"
68239,5,51.63931,-0.69405,40,"040000003151","High Wycombe"
68240,5,51.63806,-0.69838,40,"040000003150","High Wycombe"
69717,5,51.62402,-0.77756,40,"040000003441","High Wycombe"
69718,5,51.61703,-0.77837,40,"040000003440","High Wycombe"
69719,5,51.62505,-0.71296,40,"040000003442","High Wycombe"
69720,5,51.62882,-0.71984,40,"040000003445","High Wycombe"
69721,5,51.64472,-0.80131,40,"040000003444","High Wycombe"
69722,5,51.62739,-0.72026,40,"040000003447","High Wycombe"
69723,5,51.63996,-0.82276,40,"040000003446","High Wycombe"
