"node","layer","lat","lon","zone","atcocode","city"
1176,5,53.36073,-2.85586,910,"  910GHUNTSX","Huyton"
1176,2,53.36073,-2.85586,910,"  910GHUNTSX","Huyton"
13962,2,53.40651,-2.89349,910," 910GBROADGR","Huyton"
13962,5,53.40651,-2.89349,910," 910GBROADGR","Huyton"
18517,4,53.40821,-2.90457,280,"900GNX000858","Huyton"
18517,5,53.40821,-2.90457,280,"900GNX000858","Huyton"
24439,5,53.3645,-2.83014,910,"    910GHALW","Huyton"
24439,2,53.3645,-2.83014,910,"    910GHALW","Huyton"
26071,2,53.41005,-2.85594,910,"    910GROBY","Huyton"
26071,5,53.41005,-2.85594,910,"    910GROBY","Huyton"
27158,5,53.39028,-2.86071,280,"280G00000006","Huyton"
27382,5,53.40969,-2.84299,910,"  910GHUYTON","Huyton"
27382,2,53.40969,-2.84299,910,"  910GHUYTON","Huyton"
35496,5,53.36914,-2.90697,910," 910GWALERTN","Huyton"
35496,2,53.36914,-2.90697,910," 910GWALERTN","Huyton"
43369,5,53.35776,-2.88915,910," 910GLVRPSPY","Huyton"
43369,2,53.35776,-2.88915,910," 910GLVRPSPY","Huyton"
51672,5,53.42037,-2.85171,280," 2800S44017B","Huyton"
51673,5,53.42008,-2.85096,280," 2800S44017A","Huyton"
52160,5,53.40917,-2.82518,280," 2800S51033B","Huyton"
52414,5,53.34885,-2.86587,280," 2800S48186A","Huyton"
52701,5,53.39726,-2.89814,280," 2800S43040C","Huyton"
52702,5,53.39701,-2.89807,280," 2800S43040B","Huyton"
53382,5,53.37028,-2.85203,280," 2800S48013B","Huyton"
53384,5,53.37104,-2.85231,280," 2800S48013A","Huyton"
54294,5,53.34947,-2.88187,280," 2800S43071A","Huyton"
54295,5,53.35035,-2.88258,280," 2800S43071B","Huyton"
54466,5,53.41484,-2.87786,280," 2800S44085A","Huyton"
54467,5,53.41438,-2.87632,280," 2800S44085B","Huyton"
56090,5,53.39787,-2.89702,280," 2800S43142B","Huyton"
56091,5,53.39677,-2.89586,280," 2800S43142C","Huyton"
56450,5,53.36968,-2.82882,280," 2800S48044B","Huyton"
56451,5,53.37086,-2.83209,280," 2800S48044A","Huyton"
57296,5,53.40027,-2.89841,280," 2800S43052A","Huyton"
57526,5,53.38267,-2.86696,280," 2800S43097C","Huyton"
57527,5,53.38252,-2.8671,280," 2800S43097B","Huyton"
57675,5,53.42739,-2.89633,280," 2800S44063A","Huyton"
57676,5,53.42733,-2.89591,280," 2800S44063B","Huyton"
57847,5,53.34444,-2.85045,280," 2800S48004B","Huyton"
57848,5,53.34514,-2.85057,280," 2800S48004A","Huyton"
57915,5,53.413,-2.84731,280," 2800S44038B","Huyton"
58235,5,53.40609,-2.83379,280," 2800S51047A","Huyton"
58676,5,53.39746,-2.88079,280," 2800S43115B","Huyton"
59178,5,53.37014,-2.84903,280," 2800S48110A","Huyton"
59436,5,53.4153,-2.89136,280," 2800S44070A","Huyton"
59437,5,53.41465,-2.89206,280," 2800S44070B","Huyton"
59649,5,53.42356,-2.85359,280," 2800S44009A","Huyton"
59651,5,53.4235,-2.85425,280," 2800S44009B","Huyton"
59831,5,53.43113,-2.90355,280," 2800S44053D","Huyton"
59836,5,53.42968,-2.904,280," 2800S44053C","Huyton"
60159,5,53.41569,-2.82612,280," 2800S51025A","Huyton"
60160,5,53.416,-2.82694,280," 2800S51025B","Huyton"
60813,5,53.42145,-2.84074,280," 2800S44104A","Huyton"
60814,5,53.42143,-2.84176,280," 2800S44104B","Huyton"
61364,5,53.42062,-2.85571,280," 2800S44016A","Huyton"
61365,5,53.421,-2.85587,280," 2800S44016B","Huyton"
62406,5,53.38955,-2.89376,280," 2800S43043D","Huyton"
62408,5,53.38952,-2.89462,280," 2800S43043F","Huyton"
62411,5,53.38967,-2.89387,280," 2800S43043A","Huyton"
62412,5,53.38945,-2.89483,280," 2800S43043B","Huyton"
63051,5,53.38897,-2.85398,280," 2800S50003D","Huyton"
63054,5,53.38914,-2.85451,280," 2800S50003C","Huyton"
63918,5,53.3515,-2.88705,280," 2800S43072A","Huyton"
63919,5,53.35169,-2.88659,280," 2800S43072B","Huyton"
63986,5,53.43533,-2.86983,280," 2800S44122A","Huyton"
64161,5,53.41277,-2.87071,280," 2800S44086A","Huyton"
64162,5,53.41264,-2.87158,280," 2800S44086B","Huyton"
64639,5,53.3826,-2.8114,280," 2800S50032A","Huyton"
64640,5,53.38267,-2.81125,280," 2800S50032B","Huyton"
65726,5,53.40287,-2.89525,280," 2800S43143B","Huyton"
65727,5,53.40245,-2.89659,280," 2800S43143A","Huyton"
65733,5,53.41374,-2.85202,280," 2800S44091B","Huyton"
65847,5,53.41932,-2.88554,280," 2800S44004D","Huyton"
65850,5,53.41831,-2.88787,280," 2800S44004A","Huyton"
66101,5,53.34909,-2.87537,280," 2800S48045A","Huyton"
66104,5,53.34935,-2.87539,280," 2800S48045B","Huyton"
66139,5,53.43541,-2.85222,280," 2800S51129B","Huyton"
66141,5,53.43544,-2.85244,280," 2800S51129A","Huyton"
66552,5,53.36473,-2.82285,280," 2800S48040A","Huyton"
67083,5,53.39408,-2.90106,280," 2800S43094A","Huyton"
67339,5,53.42711,-2.8697,280," 2800S44060A","Huyton"
67340,5,53.42623,-2.86767,280," 2800S44060B","Huyton"
67470,5,53.34266,-2.85098,280," 2800S48005B","Huyton"
68686,5,53.42129,-2.86289,280," 2800S44123B","Huyton"
68688,5,53.42158,-2.86297,280," 2800S44123C","Huyton"
68866,5,53.36519,-2.84664,280," 2800S48111B","Huyton"
68867,5,53.3653,-2.8465,280," 2800S48111A","Huyton"
69009,5,53.40907,-2.90058,280," 2800S44073A","Huyton"
69010,5,53.40948,-2.90125,280," 2800S44073B","Huyton"
69444,5,53.40115,-2.81432,280," 2800S51107A","Huyton"
69746,5,53.4176,-2.82974,280," 2800S51026A","Huyton"
69747,5,53.4177,-2.8301,280," 2800S51026B","Huyton"
70323,5,53.4191,-2.89395,280," 2800S44107A","Huyton"
70324,5,53.41888,-2.89337,280," 2800S44107B","Huyton"
71419,5,53.40456,-2.82111,280," 2800S51031A","Huyton"
71420,5,53.40465,-2.82098,280," 2800S51031B","Huyton"
71761,5,53.4339,-2.88258,280," 2800S44058B","Huyton"
71898,5,53.36945,-2.83286,280," 2800S48152A","Huyton"
71899,5,53.39153,-2.89308,280," 2800S43042B","Huyton"
71900,5,53.39182,-2.89283,280," 2800S43042A","Huyton"
72511,5,53.39139,-2.85639,280," 2800S50002B","Huyton"
72512,5,53.39159,-2.85749,280," 2800S50002A","Huyton"
72673,5,53.43252,-2.90005,280," 2800S44054A","Huyton"
72745,5,53.38865,-2.82488,280," 2800S50031A","Huyton"
73554,5,53.4146,-2.8693,280," 2800S44087C","Huyton"
73555,5,53.41504,-2.86919,280," 2800S44087B","Huyton"
73556,5,53.41539,-2.86802,280," 2800S44087A","Huyton"
73716,5,53.35187,-2.85129,280," 2800S48024A","Huyton"
74093,5,53.38226,-2.80856,280," 2800S50033A","Huyton"
74967,5,53.37548,-2.84643,280," 2800S48170B","Huyton"
74968,5,53.37552,-2.84684,280," 2800S48170A","Huyton"
75108,5,53.40401,-2.8931,280," 2800S43144B","Huyton"
75110,5,53.4042,-2.89249,280," 2800S43144A","Huyton"
75180,5,53.41434,-2.85765,280," 2800S44090B","Huyton"
75181,5,53.41412,-2.8557,280," 2800S44090A","Huyton"
75565,5,53.36035,-2.86665,280," 2800S48046A","Huyton"
75566,5,53.36083,-2.86673,280," 2800S48046B","Huyton"
76748,5,53.387,-2.88264,280," 2800S43095A","Huyton"
76910,5,53.42494,-2.86531,280," 2800S44061B","Huyton"
76911,5,53.4252,-2.86634,280," 2800S44061A","Huyton"
77361,5,53.36202,-2.8767,280," 2800S48051A","Huyton"
77362,5,53.36211,-2.87705,280," 2800S48051B","Huyton"
78725,5,53.40994,-2.89636,280," 2800S44072B","Huyton"
79304,5,53.39642,-2.89765,280," 2800S43142A","Huyton"
80088,5,53.41899,-2.83835,280," 2800S44106B","Huyton"
80089,5,53.41874,-2.83824,280," 2800S44106A","Huyton"
80440,5,53.40846,-2.82989,280," 2800S51029A","Huyton"
80597,5,53.42543,-2.84297,280," 2800S44014B","Huyton"
80598,5,53.42531,-2.84315,280," 2800S44014A","Huyton"
81156,5,53.40572,-2.82345,280," 2800S51030A","Huyton"
81759,5,53.41455,-2.86241,280," 2800S44088A","Huyton"
82292,5,53.3903,-2.85199,280," 2800S50005C","Huyton"
82500,5,53.34577,-2.85842,280," 2800S48135A","Huyton"
83334,5,53.42852,-2.90616,280," 2800S44080B","Huyton"
83335,5,53.42905,-2.90719,280," 2800S44080A","Huyton"
83449,5,53.3469,-2.84971,280," 2800S48025B","Huyton"
83450,5,53.34689,-2.85006,280," 2800S48025A","Huyton"
84145,5,53.37558,-2.86127,280," 2800S43034B","Huyton"
84149,5,53.37568,-2.86132,280," 2800S43034A","Huyton"
84558,5,53.40398,-2.83065,280," 2800S51088A","Huyton"
84559,5,53.40536,-2.83323,280," 2800S51088B","Huyton"
85167,5,53.42266,-2.89315,280," 2800S44026B","Huyton"
85168,5,53.42306,-2.89216,280," 2800S44026A","Huyton"
85687,5,53.44104,-2.85504,280," 2800S51002B","Huyton"
85688,5,53.44057,-2.8552,280," 2800S51002A","Huyton"
86413,5,53.37166,-2.8446,280," 2800S48166A","Huyton"
86414,5,53.37038,-2.84304,280," 2800S48166B","Huyton"
86649,5,53.43678,-2.87525,280," 2800S44066A","Huyton"
87111,5,53.38694,-2.85011,280," 2800S50059A","Huyton"
87461,5,53.38397,-2.85535,280," 2800S50081A","Huyton"
87479,5,53.42534,-2.82985,280," 2800S51011B","Huyton"
87481,5,53.4245,-2.8312,280," 2800S51011A","Huyton"
88078,5,53.41008,-2.90811,280," 2800S44112A","Huyton"
88660,5,53.41889,-2.88704,280," 2800S44004C","Huyton"
89190,5,53.41162,-2.82898,280," 2800S51020A","Huyton"
90210,5,53.4248,-2.84749,280," 2800S44013B","Huyton"
90211,5,53.42457,-2.84839,280," 2800S44013A","Huyton"
90364,5,53.40672,-2.82614,280," 2800S51036A","Huyton"
90365,5,53.40636,-2.82647,280," 2800S51036B","Huyton"
90665,5,53.41309,-2.84733,280," 2800S44038A","Huyton"
91476,5,53.34609,-2.87274,280," 2800S48185B","Huyton"
91826,5,53.41169,-2.82924,280," 2800S51020B","Huyton"
91867,5,53.38651,-2.85632,280," 2800S50004A","Huyton"
91869,5,53.38673,-2.85649,280," 2800S50004B","Huyton"
92195,5,53.37558,-2.86867,280," 2800S43093B","Huyton"
92810,5,53.42887,-2.85672,280," 2800S44127B","Huyton"
92811,5,53.42896,-2.85695,280," 2800S44127A","Huyton"
92943,5,53.42683,-2.90442,280," 2800S44081A","Huyton"
92944,5,53.42627,-2.90352,280," 2800S44081B","Huyton"
93393,5,53.352,-2.84684,280," 2800S48071B","Huyton"
93396,5,53.35198,-2.84702,280," 2800S48071A","Huyton"
94502,5,53.35764,-2.85526,280," 2800S48172A","Huyton"
94503,5,53.35653,-2.85489,280," 2800S48172B","Huyton"
94691,5,53.38309,-2.86326,280," 2800S43146A","Huyton"
94692,5,53.3833,-2.86244,280," 2800S43146B","Huyton"
94863,5,53.36765,-2.8236,280," 2800S48039B","Huyton"
94864,5,53.36692,-2.82309,280," 2800S48039C","Huyton"
94963,5,53.4253,-2.89152,280," 2800S44027A","Huyton"
94965,5,53.42412,-2.89037,280," 2800S44027C","Huyton"
95102,5,53.3646,-2.82262,280," 2800S48040B","Huyton"
95466,5,53.34752,-2.85348,280," 2800S48104B","Huyton"
95510,5,53.44408,-2.85528,280," 2800S51003A","Huyton"
95511,5,53.4438,-2.85509,280," 2800S51003B","Huyton"
96191,5,53.37381,-2.84379,280," 2800S48165B","Huyton"
96366,5,53.43341,-2.8659,280," 2800S44067A","Huyton"
96367,5,53.43321,-2.86491,280," 2800S44067B","Huyton"
97110,5,53.3777,-2.88314,280," 2800S43029A","Huyton"
97111,5,53.3775,-2.88222,280," 2800S43029B","Huyton"
97198,5,53.39172,-2.85195,280," 2800S50080A","Huyton"
97212,5,53.42759,-2.83037,280," 2800S51010B","Huyton"
97697,5,53.41306,-2.90348,280," 2800S44113A","Huyton"
97698,5,53.41268,-2.90365,280," 2800S44113B","Huyton"
97760,5,53.40412,-2.8455,280," 2800S50069A","Huyton"
98035,5,53.35532,-2.89303,280," 2800S43128A","Huyton"
98036,5,53.35517,-2.89256,280," 2800S43128B","Huyton"
98067,5,53.37007,-2.84882,280," 2800S48110B","Huyton"
98303,5,53.4199,-2.88027,280," 2800S44005B","Huyton"
98741,5,53.38436,-2.85856,280," 2800S43058A","Huyton"
98742,5,53.38458,-2.85845,280," 2800S43058B","Huyton"
98807,5,53.41119,-2.8258,280," 2800S51021A","Huyton"
98808,5,53.41116,-2.82638,280," 2800S51021B","Huyton"
99368,5,53.40852,-2.86487,280," 2800S44100A","Huyton"
99369,5,53.40876,-2.86489,280," 2800S44100B","Huyton"
99429,5,53.38394,-2.85185,280," 2800S50018B","Huyton"
99878,5,53.42993,-2.85427,280," 2800S44012A","Huyton"
99879,5,53.43059,-2.85344,280," 2800S44012B","Huyton"
101559,5,53.38661,-2.83833,280," 2800S50007A","Huyton"
101560,5,53.3868,-2.83833,280," 2800S50007B","Huyton"
102666,5,53.42444,-2.90186,280," 2800S44082A","Huyton"
102667,5,53.4244,-2.90166,280," 2800S44082B","Huyton"
104168,5,53.34678,-2.86021,280," 2800S48173A","Huyton"
104169,5,53.36189,-2.88581,280," 2800S43069A","Huyton"
104170,5,53.36212,-2.88479,280," 2800S43069B","Huyton"
104265,5,53.42514,-2.88906,280," 2800S44027B","Huyton"
104345,5,53.36314,-2.88965,280," 2800S43147B","Huyton"
104346,5,53.36349,-2.89029,280," 2800S43147A","Huyton"
104435,5,53.41239,-2.88576,280," 2800S44184A","Huyton"
104436,5,53.41233,-2.8857,280," 2800S44184B","Huyton"
104508,5,53.36811,-2.82767,280," 2800S48038D","Huyton"
104510,5,53.36862,-2.82619,280," 2800S48038B","Huyton"
104897,5,53.39611,-2.84964,280," 2800S50029A","Huyton"
104898,5,53.39639,-2.85008,280," 2800S50029B","Huyton"
105431,5,53.4181,-2.8871,280," 2800S44004B","Huyton"
106079,5,53.40164,-2.8877,280," 2800S43158B","Huyton"
106139,5,53.42612,-2.89322,280," 2800S44064A","Huyton"
106818,5,53.37964,-2.88554,280," 2800S43028B","Huyton"
106819,5,53.38024,-2.88718,280," 2800S43028A","Huyton"
107433,5,53.4181,-2.88913,280," 2800S44110A","Huyton"
107434,5,53.41782,-2.88948,280," 2800S44110B","Huyton"
108027,5,53.421,-2.87655,280," 2800S44006E","Huyton"
108028,5,53.41983,-2.87815,280," 2800S44006A","Huyton"
108029,5,53.41985,-2.87795,280," 2800S44006B","Huyton"
108030,5,53.4203,-2.87635,280," 2800S44006C","Huyton"
108479,5,53.3835,-2.86119,280," 2800S43059B","Huyton"
108480,5,53.38345,-2.8608,280," 2800S43059A","Huyton"
108576,5,53.41128,-2.82315,280," 2800S51022A","Huyton"
108577,5,53.4113,-2.82351,280," 2800S51022B","Huyton"
109119,5,53.41661,-2.8406,280," 2800S44103A","Huyton"
109120,5,53.41676,-2.84039,280," 2800S44103B","Huyton"
109191,5,53.38378,-2.8561,280," 2800S50019B","Huyton"
109632,5,53.42718,-2.85711,280," 2800S44011A","Huyton"
109633,5,53.42748,-2.85678,280," 2800S44011B","Huyton"
109805,5,53.40271,-2.80775,280," 2800S51098B","Huyton"
111323,5,53.3872,-2.84386,280," 2800S50006B","Huyton"
111324,5,53.38737,-2.84446,280," 2800S50006A","Huyton"
111452,5,53.38517,-2.83209,280," 2800S50009A","Huyton"
112346,5,53.42319,-2.85897,280," 2800S44125A","Huyton"
112473,5,53.42308,-2.89998,280," 2800S44083B","Huyton"
112474,5,53.42312,-2.90025,280," 2800S44083A","Huyton"
113788,5,53.40185,-2.83128,280," 2800S51087A","Huyton"
113789,5,53.40131,-2.83148,280," 2800S51087B","Huyton"
114011,5,53.34773,-2.86154,280," 2800S48174A","Huyton"
114012,5,53.36502,-2.88294,280," 2800S43068B","Huyton"
114013,5,53.36544,-2.88319,280," 2800S43068A","Huyton"
114344,5,53.42797,-2.88524,280," 2800S44187A","Huyton"
114533,5,53.42151,-2.89734,280," 2800S44025B","Huyton"
114650,5,53.379,-2.83293,280," 2800S48042A","Huyton"
115025,5,53.4381,-2.85405,280," 2800S51001B","Huyton"
115026,5,53.43787,-2.85404,280," 2800S51001A","Huyton"
115366,5,53.40363,-2.88102,280," 2800S43053B","Huyton"
115888,5,53.43647,-2.87976,280," 2800S44065B","Huyton"
116282,5,53.35558,-2.89598,280," 2800S43191A","Huyton"
116703,5,53.42559,-2.82811,280," 2800S51012A","Huyton"
117028,5,53.38888,-2.89249,280," 2800S43043E","Huyton"
