"node","layer","lat","lon","zone","atcocode","city"
590,5,51.53263,-0.08718,490,"490G00009942","Islington"
887,2,51.52338,-0.07524,490," 910GSHRDHST","Islington"
887,5,51.52338,-0.07524,490," 910GSHRDHST","Islington"
1133,2,51.5203,-0.10505,910,"  910GFNTLSR","Islington"
1133,5,51.5203,-0.10505,910,"  910GFNTLSR","Islington"
1133,3,51.5203,-0.10505,910,"  910GFNTLSR","Islington"
1557,5,51.52917,-0.10608,490,"490G00011849","Islington"
1572,5,51.53622,-0.05975,490,"490G00016361","Islington"
1573,5,51.535,-0.06607,490,"490G00016364","Islington"
2038,5,51.52707,-0.0593,490,"490G00014721","Islington"
2175,2,51.54618,-0.10376,490,"    910GHGHI","Islington"
2175,5,51.54618,-0.10376,490,"    910GHGHI","Islington"
2175,3,51.54618,-0.10376,490,"    910GHGHI","Islington"
3313,5,51.53639,-0.11234,490,"490G00005581","Islington"
3403,5,51.56771,-0.03243,490,"490G00010956","Islington"
3927,5,51.56604,-0.06074,490,"490G00004900","Islington"
4371,5,51.56972,-0.02415,490,"490G00007246","Islington"
4382,5,51.57661,-0.03521,490,"490G00016504","Islington"
4554,2,51.55851,-0.06826,910," 910GRCTRYRD","Islington"
4554,5,51.55851,-0.06826,910," 910GRCTRYRD","Islington"
4719,5,51.54303,-0.08442,490,"490G00006593","Islington"
4899,5,51.53631,-0.12235,490,"490G00015051","Islington"
5128,5,51.53953,-0.08572,490,"490G00006169","Islington"
5135,5,51.58539,-0.0292,490,"490G00005282","Islington"
5714,5,51.55645,-0.08401,490,"490G00005432","Islington"
5729,5,51.54713,-0.07541,490," 910GDALSKLD","Islington"
5729,2,51.54713,-0.07541,490," 910GDALSKLD","Islington"
5790,5,51.56625,-0.05089,490,"490G00016289","Islington"
6245,2,51.56524,-0.07288,490," 910GSTKNWNG","Islington"
6245,5,51.56524,-0.07288,490," 910GSTKNWNG","Islington"
6808,2,51.58099,-0.03291,490," 910GSTJMSST","Islington"
6808,5,51.58099,-0.03291,490," 910GSTJMSST","Islington"
7116,5,51.5345,-0.0885,490,"490G00006289","Islington"
7202,5,51.55737,-0.04341,490,"490G00010470","Islington"
7300,5,51.53165,-0.12489,910," 910GSTPXBOX","Islington"
7300,2,51.53165,-0.12489,910," 910GSTPXBOX","Islington"
7300,3,51.53165,-0.12489,910," 910GSTPXBOX","Islington"
7300,4,51.53165,-0.12489,910," 910GSTPXBOX","Islington"
7440,5,51.58844,-0.02042,490,"490G00004518","Islington"
7738,5,51.56744,-0.06091,490,"490G00006833","Islington"
8448,5,51.53749,-0.11652,490,"490G00015324","Islington"
8456,5,51.53774,-0.12278,490,"490G00011415","Islington"
