"node","layer","lat","lon","zone","atcocode","city"
21551,2,52.40618,-2.17636,910," 910GBLAKEDN","Kidderminster"
21551,5,52.40618,-2.17636,910," 910GBLAKEDN","Kidderminster"
23157,5,52.38449,-2.23848,910," 910GKDRMNST","Kidderminster"
23157,2,52.38449,-2.23848,910," 910GKDRMNST","Kidderminster"
52334,5,52.35065,-2.285,200," 2000G581585","Kidderminster"
52335,5,52.34944,-2.28539,200," 2000G581584","Kidderminster"
52336,5,52.38422,-2.30196,200," 2000G581580","Kidderminster"
53875,5,52.38318,-2.22398,200," 2000G196899","Kidderminster"
54636,5,52.38793,-2.23582,200," 2000G102000","Kidderminster"
54915,5,52.38407,-2.26911,200," 2000G502511","Kidderminster"
54916,5,52.38401,-2.27074,200," 2000G502510","Kidderminster"
54917,5,52.3833,-2.27375,200," 2000G502512","Kidderminster"
54918,5,52.38702,-2.25893,200," 2000G502515","Kidderminster"
54919,5,52.38579,-2.26317,200," 2000G502514","Kidderminster"
55180,5,52.35573,-2.29619,200," 2000G045399","Kidderminster"
55181,5,52.3535,-2.29416,200," 2000G045398","Kidderminster"
55182,5,52.34666,-2.29145,200," 2000G045395","Kidderminster"
55183,5,52.34289,-2.28558,200," 2000G045394","Kidderminster"
55184,5,52.3478,-2.296,200," 2000G045397","Kidderminster"
55187,5,52.34281,-2.28492,200," 2000G045393","Kidderminster"
56494,5,52.37999,-2.25353,200," 2000G502469","Kidderminster"
58042,5,52.34089,-2.26308,200," 2000G500593","Kidderminster"
58043,5,52.34111,-2.26191,200," 2000G500592","Kidderminster"
58044,5,52.34064,-2.26534,200," 2000G500591","Kidderminster"
58046,5,52.3399,-2.27081,200," 2000G500595","Kidderminster"
58339,5,52.37902,-2.22749,200," 2000G503108","Kidderminster"
59221,5,52.39607,-2.22811,200," 2000G196992","Kidderminster"
59222,5,52.39597,-2.23153,200," 2000G196993","Kidderminster"
59223,5,52.38854,-2.23314,200," 2000G196998","Kidderminster"
59224,5,52.38588,-2.2337,200," 2000G196999","Kidderminster"
60090,5,52.33192,-2.29628,200," 2000G500599","Kidderminster"
61389,5,52.35052,-2.37185,200," 2000G046500","Kidderminster"
62707,5,52.39255,-2.23176,200," 2000G102100","Kidderminster"
62987,5,52.39507,-2.23535,200,"2000QG581513","Kidderminster"
63633,5,52.33011,-2.26243,200," 2000G056300","Kidderminster"
64532,5,52.39859,-2.27508,200," 2000G502526","Kidderminster"
64537,5,52.39129,-2.27477,200," 2000G502529","Kidderminster"
66123,5,52.38565,-2.24555,200," 2000G502451","Kidderminster"
67532,5,52.36037,-2.15998,200," 2000G018502","Kidderminster"
67533,5,52.35955,-2.16179,200," 2000G018500","Kidderminster"
67534,5,52.36054,-2.15998,200," 2000G018501","Kidderminster"
68171,5,52.408,-2.17873,200," 2000G038402","Kidderminster"
68446,5,52.40339,-2.22882,200," 2000G502339","Kidderminster"
69098,5,52.39673,-2.27108,200," 2000G101297","Kidderminster"
69099,5,52.3952,-2.27225,200," 2000G101294","Kidderminster"
69100,5,52.395,-2.27413,200," 2000G101292","Kidderminster"
69117,5,52.35885,-2.23429,200," 2000G048501","Kidderminster"
69880,5,52.3919,-2.27254,200," 2000G198499","Kidderminster"
69881,5,52.3918,-2.27023,200," 2000G198498","Kidderminster"
69882,5,52.39031,-2.26534,200," 2000G198497","Kidderminster"
70345,5,52.36966,-2.24695,200," 2000G103099","Kidderminster"
70691,5,52.36664,-2.23226,200," 2000G610098","Kidderminster"
70692,5,52.36807,-2.23426,200," 2000G610099","Kidderminster"
70693,5,52.36989,-2.22628,200," 2000G610096","Kidderminster"
70694,5,52.36772,-2.22814,200," 2000G610097","Kidderminster"
70695,5,52.37471,-2.22908,200," 2000G610094","Kidderminster"
70696,5,52.36995,-2.22945,200," 2000G610095","Kidderminster"
70697,5,52.37024,-2.23131,200," 2000G610093","Kidderminster"
70698,5,52.377,-2.22783,200," 2000G610091","Kidderminster"
73503,5,52.35336,-2.29402,200," 2000G745398","Kidderminster"
73536,5,52.34777,-2.29539,200," 2000G045396","Kidderminster"
73550,5,52.34118,-2.28043,200," 2000G045392","Kidderminster"
73632,5,52.34951,-2.2807,200," 2000G045587","Kidderminster"
73956,5,52.38765,-2.27363,200," 2000G502530","Kidderminster"
75346,5,52.3682,-2.15359,200," 2000G018600","Kidderminster"
78501,5,52.36997,-2.30159,200," 2000G105100","Kidderminster"
79200,5,52.37155,-2.20376,200," 2000G581600","Kidderminster"
79221,5,52.3823,-2.22508,200," 2000G196300","Kidderminster"
79279,5,52.37125,-2.23664,200," 2000G097000","Kidderminster"
80416,5,52.37945,-2.22743,200," 2000G610088","Kidderminster"
80418,5,52.37617,-2.22861,200," 2000G610086","Kidderminster"
81384,5,52.34869,-2.27722,200," 2000G612331","Kidderminster"
82543,5,52.36419,-2.27633,200," 2000G102800","Kidderminster"
83043,5,52.34334,-2.27785,200," 2000G045617","Kidderminster"
83045,5,52.34696,-2.28279,200," 2000G045619","Kidderminster"
83499,5,52.3702,-2.18717,200," 2000G018700","Kidderminster"
83928,5,52.44689,-2.33728,350," 3500B465301","Kidderminster"
83929,5,52.44707,-2.33725,350," 3500B465300","Kidderminster"
84189,5,52.38942,-2.24729,200," 2000G038201","Kidderminster"
84190,5,52.38889,-2.24757,200," 2000G038200","Kidderminster"
84696,5,52.32608,-2.28864,200," 2000G045100","Kidderminster"
84697,5,52.32672,-2.28515,200," 2000G045102","Kidderminster"
84698,5,52.3318,-2.28834,200," 2000G045103","Kidderminster"
84701,5,52.32741,-2.28188,200," 2000G045106","Kidderminster"
84702,5,52.32941,-2.28445,200," 2000G045107","Kidderminster"
85022,5,52.38622,-2.26302,200," 2000G400098","Kidderminster"
87795,5,52.33608,-2.2842,200," 2000G045203","Kidderminster"
89366,5,52.39917,-2.18834,200," 2000G593089","Kidderminster"
90005,5,52.44108,-2.32167,350," 3500B131800","Kidderminster"
90732,5,52.40151,-2.24039,200," 2000G108298","Kidderminster"
91406,5,52.34049,-2.26886,200," 2000G500590","Kidderminster"
91785,5,52.37692,-2.30985,200," 2000G201100","Kidderminster"
92006,5,52.37115,-2.24427,200," 2000G610005","Kidderminster"
92164,5,52.40343,-2.17946,200," 2000G038301","Kidderminster"
93093,5,52.40254,-2.2627,200," 2000G701594","Kidderminster"
93410,5,52.40147,-2.2629,200," 2000G502559","Kidderminster"
93411,5,52.40139,-2.26328,200," 2000G502558","Kidderminster"
93412,5,52.4003,-2.265,200," 2000G502555","Kidderminster"
93413,5,52.40137,-2.26623,200," 2000G502557","Kidderminster"
93414,5,52.39928,-2.26388,200," 2000G502556","Kidderminster"
94530,5,52.3172,-2.28992,200," 2000G105300","Kidderminster"
95159,5,52.42131,-2.23278,200," 2000G101901","Kidderminster"
95160,5,52.42106,-2.23281,200," 2000G101900","Kidderminster"
96751,5,52.32247,-2.29534,200," 2000G656020","Kidderminster"
98096,5,52.39952,-2.26917,200," 2000G100300","Kidderminster"
99890,5,52.34402,-2.27593,200," 2000G201200","Kidderminster"
100197,5,52.37616,-2.31469,200," 2000G045999","Kidderminster"
100199,5,52.38003,-2.30117,200," 2000G045993","Kidderminster"
100200,5,52.3804,-2.29995,200," 2000G045992","Kidderminster"
100201,5,52.38065,-2.2978,200," 2000G045991","Kidderminster"
100202,5,52.38086,-2.29728,200," 2000G045990","Kidderminster"
100203,5,52.37693,-2.30851,200," 2000G045997","Kidderminster"
100204,5,52.37793,-2.30821,200," 2000G045996","Kidderminster"
100205,5,52.37855,-2.30608,200," 2000G045995","Kidderminster"
100206,5,52.379,-2.30512,200," 2000G045994","Kidderminster"
101161,5,52.38578,-2.26114,200," 2000G047402","Kidderminster"
101162,5,52.38612,-2.26295,200," 2000G047401","Kidderminster"
101163,5,52.38584,-2.2628,200," 2000G047400","Kidderminster"
101252,5,52.37039,-2.18727,200," 2000G718700","Kidderminster"
102221,5,52.30724,-2.27903,200," 2000G046200","Kidderminster"
102474,5,52.35174,-2.29091,200," 2000G105200","Kidderminster"
102985,5,52.40064,-2.23883,200," 2000G198298","Kidderminster"
103041,5,52.38908,-2.22127,200," 2000G096901","Kidderminster"
103053,5,52.39971,-2.26184,200," 2000G502560","Kidderminster"
103054,5,52.40114,-2.25466,200," 2000G502564","Kidderminster"
103055,5,52.39905,-2.25537,200," 2000G502565","Kidderminster"
103063,5,52.41999,-2.22883,200," 2000G101800","Kidderminster"
