"node","layer","lat","lon","zone","atcocode","city"
2884,5,53.6826,-0.43842,227,"227G00091033","Kingston upon Hull"
2887,5,53.68605,-0.43356,227,"227G00091034","Kingston upon Hull"
3948,2,53.68884,-0.44325,227," 910GBRTHMBR","Kingston upon Hull"
3948,5,53.68884,-0.44325,227," 910GBRTHMBR","Kingston upon Hull"
7551,2,53.71759,-0.44219,910,"  910GHESSLE","Kingston upon Hull"
7551,5,53.71759,-0.44219,910,"  910GHESSLE","Kingston upon Hull"
10045,5,53.69564,-0.36015,227,"227G00091422","Kingston upon Hull"
11956,2,53.78166,-0.40643,910,"  910GCTTGHM","Kingston upon Hull"
11956,5,53.78166,-0.40643,910,"  910GCTTGHM","Kingston upon Hull"
13754,4,53.73781,-0.39873,229,"900GNX000721","Kingston upon Hull"
13754,5,53.73781,-0.39873,229,"900GNX000721","Kingston upon Hull"
15595,5,53.68871,-0.32804,227,"227G00091121","Kingston upon Hull"
15597,5,53.67282,-0.34161,227,"227G00091120","Kingston upon Hull"
17409,5,53.6843,-0.44306,227,"227G00091032","Kingston upon Hull"
18002,5,53.69358,-0.39082,227," 910GBARWHVN","Kingston upon Hull"
18002,2,53.69358,-0.39082,227," 910GBARWHVN","Kingston upon Hull"
20498,2,53.70193,-0.3602,910,"    910GNHOL","Kingston upon Hull"
20498,5,53.70193,-0.3602,910,"    910GNHOL","Kingston upon Hull"
21989,5,53.68197,-0.43421,227,"227G00091026","Kingston upon Hull"
22001,5,53.68448,-0.44523,227,"227G00091029","Kingston upon Hull"
29121,5,53.67867,-0.37808,227,"227G00091024","Kingston upon Hull"
29122,5,53.68165,-0.42759,227,"227G00091025","Kingston upon Hull"
29124,5,53.6803,-0.37917,227,"227G00091022","Kingston upon Hull"
29128,5,53.67539,-0.38063,227,"227G00091023","Kingston upon Hull"
39276,5,53.66094,-0.28126,227,"227G00091099","Kingston upon Hull"
39277,5,53.6657,-0.27865,227,"227G00091098","Kingston upon Hull"
45116,4,53.74417,-0.34568,910,"    910GHULL","Kingston upon Hull"
45116,2,53.74417,-0.34568,910,"    910GHULL","Kingston upon Hull"
45116,5,53.74417,-0.34568,910,"    910GHULL","Kingston upon Hull"
48777,5,53.67672,-0.33713,227," 910GGOXHILL","Kingston upon Hull"
48777,2,53.67672,-0.33713,227," 910GGOXHILL","Kingston upon Hull"
51923,5,53.74985,-0.46945,220,"2200YEA00638","Kingston upon Hull"
51924,5,53.74953,-0.47095,220,"2200YEA00639","Kingston upon Hull"
52087,5,53.73723,-0.20627,220,"2200YEZ01361","Kingston upon Hull"
52570,5,53.79587,-0.32532,229,"2290YHA01167","Kingston upon Hull"
52582,5,53.78409,-0.31113,229,"2290YHA01163","Kingston upon Hull"
52583,5,53.7831,-0.30935,229,"2290YHA01162","Kingston upon Hull"
53671,5,53.80272,-0.3249,229,"2290YHA00769","Kingston upon Hull"
54021,5,53.75117,-0.45387,220,"2200YEA00633","Kingston upon Hull"
54022,5,53.75496,-0.44681,220,"2200YEA00630","Kingston upon Hull"
54023,5,53.75447,-0.4498,220,"2200YEA00631","Kingston upon Hull"
54027,5,53.75084,-0.4636,220,"2200YEA00636","Kingston upon Hull"
54029,5,53.75078,-0.46714,220,"2200YEA00637","Kingston upon Hull"
54031,5,53.75098,-0.45776,220,"2200YEA00634","Kingston upon Hull"
54034,5,53.75123,-0.45951,220,"2200YEA00635","Kingston upon Hull"
54055,5,53.74347,-0.31315,229,"2290YHA01527","Kingston upon Hull"
54056,5,53.76519,-0.28428,229,"2290YHA01525","Kingston upon Hull"
54057,5,53.7653,-0.28427,229,"2290YHA01524","Kingston upon Hull"
54058,5,53.77038,-0.29544,229,"2290YHA01523","Kingston upon Hull"
54059,5,53.77838,-0.29181,229,"2290YHA01521","Kingston upon Hull"
54060,5,53.78398,-0.29433,229,"2290YHA01520","Kingston upon Hull"
54067,5,53.74499,-0.33053,229,"2290YHA01529","Kingston upon Hull"
54388,5,53.73591,-0.36141,229,"2290YHA00599","Kingston upon Hull"
54389,5,53.73246,-0.38679,229,"2290YHA00598","Kingston upon Hull"
54390,5,53.72561,-0.41619,229,"2290YHA00591","Kingston upon Hull"
54391,5,53.72698,-0.41125,229,"2290YHA00593","Kingston upon Hull"
54393,5,53.73101,-0.39436,229,"2290YHA00595","Kingston upon Hull"
54394,5,53.7295,-0.40174,229,"2290YHA00594","Kingston upon Hull"
54395,5,53.73432,-0.36954,229,"2290YHA00597","Kingston upon Hull"
54396,5,53.73494,-0.36506,229,"2290YHA00596","Kingston upon Hull"
54857,5,53.77745,-0.42964,220,"2200YEA01240","Kingston upon Hull"
54858,5,53.78077,-0.41388,220,"2200YEA01241","Kingston upon Hull"
54859,5,53.78129,-0.41398,220,"2200YEA01242","Kingston upon Hull"
54860,5,53.78093,-0.41387,220,"2200YEA01243","Kingston upon Hull"
54863,5,53.78462,-0.41251,220,"2200YEA01246","Kingston upon Hull"
54864,5,53.78499,-0.40768,220,"2200YEA01247","Kingston upon Hull"
54865,5,53.78507,-0.40753,220,"2200YEA01248","Kingston upon Hull"
55185,5,53.78018,-0.42227,220,"2200YEA00411","Kingston upon Hull"
56079,5,53.77155,-0.29776,229,"2290YHA00685","Kingston upon Hull"
56080,5,53.76837,-0.29223,229,"2290YHA00686","Kingston upon Hull"
56081,5,53.78303,-0.30372,229,"2290YHA00680","Kingston upon Hull"
56082,5,53.76983,-0.29434,229,"2290YHA00689","Kingston upon Hull"
56083,5,53.77155,-0.29737,229,"2290YHA00688","Kingston upon Hull"
56716,5,53.7441,-0.32085,229,"2290YHA00443","Kingston upon Hull"
56717,5,53.74306,-0.32468,229,"2290YHA00441","Kingston upon Hull"
56718,5,53.74327,-0.32494,229,"2290YHA00440","Kingston upon Hull"
56719,5,53.74617,-0.33698,229,"2290YHA00447","Kingston upon Hull"
56720,5,53.74565,-0.338,229,"2290YHA00446","Kingston upon Hull"
56721,5,53.74554,-0.31474,229,"2290YHA00445","Kingston upon Hull"
56722,5,53.74673,-0.33526,229,"2290YHA00449","Kingston upon Hull"
57104,5,53.753,-0.19813,220,"2200YEA00885","Kingston upon Hull"
57105,5,53.75314,-0.19835,220,"2200YEA00884","Kingston upon Hull"
57106,5,53.75018,-0.19765,220,"2200YEA00887","Kingston upon Hull"
57107,5,53.75091,-0.19799,220,"2200YEA00886","Kingston upon Hull"
57108,5,53.74405,-0.19718,220,"2200YEA00889","Kingston upon Hull"
57109,5,53.74821,-0.19744,220,"2200YEA00888","Kingston upon Hull"
59896,5,53.74724,-0.45239,220,"2200YEA00119","Kingston upon Hull"
59897,5,53.748,-0.45289,220,"2200YEA00118","Kingston upon Hull"
59898,5,53.76169,-0.44837,220,"2200YEA00113","Kingston upon Hull"
59899,5,53.7621,-0.44924,220,"2200YEA00112","Kingston upon Hull"
59900,5,53.76204,-0.45095,220,"2200YEA00111","Kingston upon Hull"
59901,5,53.76191,-0.45093,220,"2200YEA00110","Kingston upon Hull"
59902,5,53.75036,-0.45354,220,"2200YEA00117","Kingston upon Hull"
59903,5,53.75037,-0.45341,220,"2200YEA00116","Kingston upon Hull"
59904,5,53.75317,-0.45472,220,"2200YEA00115","Kingston upon Hull"
59905,5,53.75342,-0.45391,220,"2200YEA00114","Kingston upon Hull"
60049,5,53.76278,-0.2579,229,"2290YHA00482","Kingston upon Hull"
60050,5,53.76429,-0.25914,229,"2290YHA00481","Kingston upon Hull"
