"node","layer","lat","lon","zone","atcocode","city"
42605,2,51.41797,-2.49563,910," 910GKEYNSHM","Kingswood"
42605,5,51.41797,-2.49563,910," 910GKEYNSHM","Kingswood"
52030,5,51.46253,-2.50503,17,"0170SGB20123","Kingswood"
52032,5,51.46211,-2.4989,17,"0170SGB20125","Kingswood"
52033,5,51.46218,-2.50105,17,"0170SGB20124","Kingswood"
52034,5,51.46067,-2.48769,17,"0170SGB20127","Kingswood"
52035,5,51.46152,-2.49444,17,"0170SGB20126","Kingswood"
52036,5,51.45985,-2.47536,17,"0170SGB20129","Kingswood"
52037,5,51.46012,-2.47983,17,"0170SGB20128","Kingswood"
53351,5,51.41592,-2.53448,10,"0100BAC30743","Kingswood"
53352,5,51.41598,-2.53437,10,"0100BAC30742","Kingswood"
54704,5,51.42951,-2.55077,10,"0100BRA10179","Kingswood"
54705,5,51.42867,-2.55306,10,"0100BRA10178","Kingswood"
54965,5,51.44779,-2.49622,17,"0170SGZ01516","Kingswood"
55297,5,51.46022,-2.49801,17,"0170SGB20309","Kingswood"
55298,5,51.43485,-2.49751,17,"0170SGB20301","Kingswood"
55299,5,51.43496,-2.49766,17,"0170SGB20300","Kingswood"
55300,5,51.43649,-2.49448,17,"0170SGB20303","Kingswood"
56874,5,51.42693,-2.46502,17,"0170SGB20275","Kingswood"
56875,5,51.42942,-2.47287,17,"0170SGB20274","Kingswood"
56876,5,51.42274,-2.45359,17,"0170SGB20277","Kingswood"
56877,5,51.42497,-2.46004,17,"0170SGB20276","Kingswood"
56878,5,51.43406,-2.48856,17,"0170SGB20271","Kingswood"
56879,5,51.43472,-2.48979,17,"0170SGB20270","Kingswood"
56880,5,51.43115,-2.48028,17,"0170SGB20273","Kingswood"
56881,5,51.43239,-2.4828,17,"0170SGB20272","Kingswood"
56885,5,51.41961,-2.44562,17,"0170SGB20279","Kingswood"
56886,5,51.4226,-2.45396,17,"0170SGB20278","Kingswood"
59184,5,51.43644,-2.54557,10,"0100BRA10924","Kingswood"
59185,5,51.43639,-2.54548,10,"0100BRA10925","Kingswood"
59186,5,51.43465,-2.54801,10,"0100BRA10926","Kingswood"
59187,5,51.4312,-2.55063,10,"0100BRA10927","Kingswood"
59188,5,51.43857,-2.54306,10,"0100BRA10922","Kingswood"
59189,5,51.43855,-2.54296,10,"0100BRA10923","Kingswood"
59190,5,51.43127,-2.55083,10,"0100BRA10928","Kingswood"
61145,5,51.44132,-2.4892,17,"0170SGB20233","Kingswood"
61146,5,51.44216,-2.49056,17,"0170SGB20232","Kingswood"
61776,5,51.44645,-2.48229,17,"0170SGB20136","Kingswood"
61777,5,51.44661,-2.47958,17,"0170SGB20137","Kingswood"
61778,5,51.44595,-2.48327,17,"0170SGB20134","Kingswood"
61779,5,51.44935,-2.47767,17,"0170SGB20132","Kingswood"
61780,5,51.44643,-2.48055,17,"0170SGB20133","Kingswood"
61781,5,51.45775,-2.47626,17,"0170SGB20130","Kingswood"
61782,5,51.45302,-2.47568,17,"0170SGB20131","Kingswood"
61785,5,51.44957,-2.4779,17,"0170SGB20138","Kingswood"
61786,5,51.45442,-2.47589,17,"0170SGB20139","Kingswood"
64882,5,51.4612,-2.4866,17,"0170SGB20319","Kingswood"
64883,5,51.45822,-2.48801,17,"0170SGB20315","Kingswood"
64884,5,51.45854,-2.49243,17,"0170SGB20312","Kingswood"
64885,5,51.4577,-2.49159,17,"0170SGB20313","Kingswood"
64886,5,51.45891,-2.49252,17,"0170SGB20311","Kingswood"
66493,5,51.44012,-2.49255,17,"0170SGB20268","Kingswood"
66494,5,51.44018,-2.49278,17,"0170SGB20269","Kingswood"
66496,5,51.44768,-2.4944,17,"0170SGB20262","Kingswood"
66497,5,51.44924,-2.49253,17,"0170SGB20263","Kingswood"
66498,5,51.44292,-2.49566,17,"0170SGB20260","Kingswood"
66499,5,51.44423,-2.49562,17,"0170SGB20261","Kingswood"
66500,5,51.44274,-2.49121,17,"0170SGB20266","Kingswood"
66501,5,51.44387,-2.49271,17,"0170SGB20267","Kingswood"
66502,5,51.45108,-2.48955,17,"0170SGB20264","Kingswood"
66503,5,51.45156,-2.48795,17,"0170SGB20265","Kingswood"
67090,5,51.46616,-2.5143,10,"0100BRA10861","Kingswood"
67091,5,51.46517,-2.51417,10,"0100BRA10860","Kingswood"
67092,5,51.46914,-2.51541,10,"0100BRA10863","Kingswood"
67093,5,51.46868,-2.51519,10,"0100BRA10862","Kingswood"
71277,5,51.45548,-2.50892,17,"0170SGB20109","Kingswood"
71278,5,51.45237,-2.51342,17,"0170SGB20108","Kingswood"
71281,5,51.44476,-2.5219,17,"0170SGB20103","Kingswood"
71283,5,51.44936,-2.51637,17,"0170SGB20107","Kingswood"
71284,5,51.44999,-2.52059,17,"0170SGB20105","Kingswood"
71285,5,51.44677,-2.52235,17,"0170SGB20104","Kingswood"
72762,5,51.46719,-2.49395,17,"0170SGB20400","Kingswood"
74208,5,51.46467,-2.54628,10,"0100BRA10501","Kingswood"
74241,5,51.43649,-2.49467,17,"0170SGB20302","Kingswood"
74313,5,51.46561,-2.48833,17,"0170SGB20322","Kingswood"
74314,5,51.46482,-2.48722,17,"0170SGB20321","Kingswood"
74315,5,51.46137,-2.48636,17,"0170SGB20320","Kingswood"
76026,5,51.44572,-2.49514,17,"0170SGB20259","Kingswood"
76027,5,51.4472,-2.49481,17,"0170SGB20258","Kingswood"
76028,5,51.44826,-2.49352,17,"0170SGB20257","Kingswood"
76029,5,51.45114,-2.48975,17,"0170SGB20256","Kingswood"
76030,5,51.45138,-2.48785,17,"0170SGB20255","Kingswood"
76031,5,51.44889,-2.48584,17,"0170SGB20254","Kingswood"
76032,5,51.44854,-2.48611,17,"0170SGB20253","Kingswood"
76033,5,51.44611,-2.4883,17,"0170SGB20252","Kingswood"
76034,5,51.44354,-2.49005,17,"0170SGB20251","Kingswood"
77435,5,51.46254,-2.51895,10,"0100BRA10481","Kingswood"
80972,5,51.45727,-2.50786,17,"0170SGB20110","Kingswood"
80973,5,51.45972,-2.50554,17,"0170SGB20111","Kingswood"
80974,5,51.46131,-2.50553,17,"0170SGB20112","Kingswood"
80975,5,51.46131,-2.50717,17,"0170SGB20113","Kingswood"
80976,5,51.46228,-2.50841,17,"0170SGB20114","Kingswood"
80977,5,51.46265,-2.50919,17,"0170SGB20115","Kingswood"
80978,5,51.46276,-2.50922,17,"0170SGB20116","Kingswood"
80979,5,51.46518,-2.5108,17,"0170SGB20117","Kingswood"
82067,5,51.40639,-2.50145,18,"0180BAC30782","Kingswood"
83759,5,51.44953,-2.46927,17,"0170SGA56542","Kingswood"
83760,5,51.45243,-2.4635,17,"0170SGA56541","Kingswood"
84503,5,51.43401,-2.55026,10,"0100BRC53398","Kingswood"
85703,5,51.43718,-2.4832,17,"0170SGB20248","Kingswood"
85706,5,51.44333,-2.50263,17,"0170SGB20244","Kingswood"
85707,5,51.44185,-2.49963,17,"0170SGB20245","Kingswood"
85708,5,51.43839,-2.49432,17,"0170SGB20246","Kingswood"
85709,5,51.43693,-2.48846,17,"0170SGB20247","Kingswood"
85711,5,51.44762,-2.51235,17,"0170SGB20241","Kingswood"
85712,5,51.44801,-2.513,17,"0170SGB20242","Kingswood"
86037,5,51.40586,-2.55538,18,"0180BRA10380","Kingswood"
86417,5,51.45471,-2.52528,10,"0100BRA10847","Kingswood"
86425,5,51.45696,-2.52147,10,"0100BRA10849","Kingswood"
86426,5,51.45463,-2.52515,10,"0100BRA10848","Kingswood"
89024,5,51.41537,-2.43903,18,"0180BAC30659","Kingswood"
89441,5,51.41639,-2.50855,18,"0180BAC23474","Kingswood"
89783,5,51.44275,-2.47022,17,"0170SGA56532","Kingswood"
90583,5,51.4522,-2.50087,17,"0170SGB20169","Kingswood"
90584,5,51.45196,-2.50481,17,"0170SGB20168","Kingswood"
90586,5,51.45142,-2.50892,17,"0170SGB20165","Kingswood"
90587,5,51.45205,-2.50554,17,"0170SGB20164","Kingswood"
90588,5,51.45155,-2.50604,17,"0170SGB20167","Kingswood"
90589,5,51.45128,-2.50888,17,"0170SGB20166","Kingswood"
90590,5,51.45649,-2.50587,17,"0170SGB20161","Kingswood"
90591,5,51.4567,-2.50591,17,"0170SGB20160","Kingswood"
90592,5,51.45463,-2.506,17,"0170SGB20163","Kingswood"
90593,5,51.45471,-2.50619,17,"0170SGB20162","Kingswood"
91206,5,51.41447,-2.50953,18,"0180BAC30787","Kingswood"
91207,5,51.41011,-2.51495,18,"0180BAC30786","Kingswood"
91208,5,51.40557,-2.51323,18,"0180BAC30785","Kingswood"
91209,5,51.40899,-2.50761,18,"0180BAC30784","Kingswood"
91210,5,51.40812,-2.5063,18,"0180BAC30783","Kingswood"
91211,5,51.41457,-2.49888,18,"0180BAC30780","Kingswood"
91213,5,51.4161,-2.51079,18,"0180BAC30788","Kingswood"
91314,5,51.41753,-2.49997,18,"0180BAC30696","Kingswood"
93428,5,51.42401,-2.45702,17,"0170SGA56551","Kingswood"
96168,5,51.46156,-2.52035,10,"0100BRA10854","Kingswood"
96169,5,51.4656,-2.52116,10,"0100BRA10855","Kingswood"
96170,5,51.46586,-2.52129,10,"0100BRA10856","Kingswood"
96171,5,51.46912,-2.52104,10,"0100BRA10857","Kingswood"
96172,5,51.45785,-2.52136,10,"0100BRA10850","Kingswood"
96173,5,51.4586,-2.52089,10,"0100BRA10851","Kingswood"
96174,5,51.45947,-2.52055,10,"0100BRA10852","Kingswood"
96175,5,51.46192,-2.52032,10,"0100BRA10853","Kingswood"
96176,5,51.47033,-2.52032,10,"0100BRA10858","Kingswood"
96177,5,51.4635,-2.51465,10,"0100BRA10859","Kingswood"
100260,5,51.4529,-2.49703,17,"0170SGB20172","Kingswood"
100261,5,51.453,-2.49689,17,"0170SGB20173","Kingswood"
100262,5,51.45235,-2.50074,17,"0170SGB20171","Kingswood"
100263,5,51.45197,-2.48584,17,"0170SGB20176","Kingswood"
100264,5,51.45078,-2.4859,17,"0170SGB20177","Kingswood"
100265,5,51.45335,-2.49386,17,"0170SGB20174","Kingswood"
100266,5,51.45222,-2.48533,17,"0170SGB20175","Kingswood"
100267,5,51.44987,-2.48307,17,"0170SGB20179","Kingswood"
108393,5,51.40352,-2.46319,18,"0180BAC30677","Kingswood"
108395,5,51.40217,-2.45872,18,"0180BAC30675","Kingswood"
108396,5,51.40161,-2.45657,18,"0180BAC30674","Kingswood"
108397,5,51.4011,-2.45619,18,"0180BAC30673","Kingswood"
108401,5,51.40668,-2.46853,18,"0180BAC30679","Kingswood"
108402,5,51.40591,-2.46784,18,"0180BAC30678","Kingswood"
109002,5,51.44785,-2.41726,17,"0170SGY43147","Kingswood"
109003,5,51.46623,-2.42667,17,"0170SGY43146","Kingswood"
