"node","layer","lat","lon","zone","atcocode","city"
78,5,53.78601,-1.57311,450,"    450G7857","Leeds"
989,5,53.79762,-1.49913,450,"    450G3364","Leeds"
1037,5,53.79603,-1.59893,450,"    450G2354","Leeds"
1210,5,53.75237,-1.48241,450,"    450G1922","Leeds"
1212,5,53.75514,-1.48556,450,"    450G1920","Leeds"
1338,5,53.80534,-1.51612,450,"    450G2990","Leeds"
1602,5,53.78814,-1.59279,450,"    450G5601","Leeds"
1685,5,53.81266,-1.44722,450,"    450G4261","Leeds"
2079,5,53.75519,-1.46713,450,"    450G3629","Leeds"
2324,5,53.80031,-1.48339,450,"    450G3130","Leeds"
2325,5,53.75235,-1.52191,450,"    450G3139","Leeds"
2330,5,53.75259,-1.48607,450,"    450G2849","Leeds"
2331,5,53.80247,-1.53715,450,"    450G2844","Leeds"
2401,5,53.79752,-1.60092,450,"    450G7726","Leeds"
2402,5,53.79918,-1.59886,450,"    450G7727","Leeds"
2403,5,53.79714,-1.59,450,"    450G7725","Leeds"
2406,5,53.79723,-1.59692,450,"    450G7728","Leeds"
2407,5,53.79652,-1.5924,450,"    450G7729","Leeds"
2530,5,53.80119,-1.52153,450,"    450G3000","Leeds"
2561,5,53.81114,-1.51043,450,"    450G3854","Leeds"
2563,5,53.8125,-1.50682,450,"    450G3856","Leeds"
2564,5,53.8127,-1.50294,450,"    450G3857","Leeds"
2568,5,53.80936,-1.50959,450,"    450G3853","Leeds"
2571,5,53.81275,-1.49854,450,"    450G3858","Leeds"
2657,5,53.79187,-1.4324,450,"    450G3101","Leeds"
2662,5,53.79186,-1.4432,450,"    450G3107","Leeds"
2905,5,53.80007,-1.50868,450,"    450G3369","Leeds"
3060,5,53.85164,-1.52058,450,"    450G3308","Leeds"
3061,5,53.85287,-1.51422,450,"    450G3309","Leeds"
3072,5,53.82474,-1.53268,450,"    450G2659","Leeds"
3073,5,53.8265,-1.53549,450,"    450G2658","Leeds"
3074,5,53.83158,-1.53858,450,"    450G2655","Leeds"
3075,5,53.83388,-1.53884,450,"    450G2654","Leeds"
3076,5,53.80159,-1.53327,450,"    450G2657","Leeds"
3077,5,53.8289,-1.53827,450,"    450G2656","Leeds"
3078,5,53.83608,-1.52622,450,"    450G2650","Leeds"
3079,5,53.83187,-1.52277,450,"    450G2653","Leeds"
3080,5,53.84035,-1.52736,450,"    450G2652","Leeds"
3349,5,53.78882,-1.53619,450,"    450G1801","Leeds"
3367,5,53.78657,-1.53348,450,"    450G1803","Leeds"
3375,5,53.77492,-1.56284,450,"    450G1802","Leeds"
3398,5,53.77317,-1.56547,450,"    450G1804","Leeds"
3411,5,53.7827,-1.52916,450,"    450G1807","Leeds"
3440,5,53.78001,-1.52483,450,"    450G1808","Leeds"
3728,5,53.79428,-1.49094,450,"    450G3642","Leeds"
3761,5,53.80493,-1.52177,450,"    450G2752","Leeds"
3762,5,53.8065,-1.51961,450,"    450G2753","Leeds"
3766,5,53.79414,-1.498,450,"    450G3647","Leeds"
3970,5,53.7992,-1.54261,450,"    450G4109","Leeds"
4146,5,53.8147,-1.51938,450,"    450G2592","Leeds"
