"node","layer","lat","lon","zone","atcocode","city"
268,5,53.24783,-0.52331,270,"270G00013152","Lincoln"
526,5,53.19902,-0.57379,270,"270GLLDR3796","Lincoln"
748,5,53.17363,-0.5531,270,"270G00010520","Lincoln"
749,5,53.16266,-0.54016,270,"270G00010521","Lincoln"
750,5,53.16091,-0.54034,270,"270G00010522","Lincoln"
751,5,53.17031,-0.53935,270,"270G00010523","Lincoln"
752,5,53.17657,-0.53867,270,"270G00010524","Lincoln"
753,5,53.198,-0.46797,270,"270G00010525","Lincoln"
754,5,53.19592,-0.47924,270,"270G00010526","Lincoln"
755,5,53.19856,-0.48954,270,"270G00010527","Lincoln"
756,5,53.19806,-0.48084,270,"270G00010528","Lincoln"
940,5,53.23519,-0.42229,270,"270G00013194","Lincoln"
941,5,53.23545,-0.42689,270,"270G00013195","Lincoln"
942,5,53.23475,-0.43398,270,"270G00013196","Lincoln"
947,5,53.23622,-0.43293,270,"270G00013193","Lincoln"
977,5,53.17863,-0.59524,270,"270G02700772","Lincoln"
1313,5,53.21672,-0.60653,270,"270GLLBS2787","Lincoln"
1314,5,53.21815,-0.60819,270,"270GLLBS2784","Lincoln"
1369,5,53.1561,-0.62894,270,"270G00013357","Lincoln"
1599,5,53.20203,-0.55429,270,"270GLLB00115","Lincoln"
2125,5,53.20928,-0.5811,270,"270GLLHS3823","Lincoln"
2948,5,53.20984,-0.57872,270,"270GLLHL2725","Lincoln"
3206,5,53.17266,-0.53942,270,"270G00014293","Lincoln"
3222,5,53.21505,-0.5444,270,"270G02700697","Lincoln"
3334,5,53.21558,-0.54606,270,"270GLLRH2549","Lincoln"
3527,5,53.15632,-0.6305,270,"270G00014394","Lincoln"
4109,5,53.28465,-0.45629,270,"270G00013752","Lincoln"
4111,5,53.28914,-0.45869,270,"270G00013751","Lincoln"
4114,5,53.28232,-0.44949,270,"270G00013754","Lincoln"
4466,5,53.19334,-0.46947,270,"270G00010529","Lincoln"
4477,5,53.23984,-0.45717,270,"270G00014148","Lincoln"
4734,5,53.30074,-0.4659,270,"270GLD006650","Lincoln"
5152,5,53.2307,-0.5301,270,"270G00013521","Lincoln"
5153,5,53.24285,-0.5095,270,"270G00013520","Lincoln"
5154,5,53.23032,-0.51618,270,"270G00013523","Lincoln"
5155,5,53.23083,-0.52448,270,"270G00013522","Lincoln"
5156,5,53.2307,-0.52149,270,"270G00013524","Lincoln"
5157,5,53.19269,-0.57309,270,"270G00013529","Lincoln"
5194,5,53.21971,-0.43017,270,"270G00013380","Lincoln"
5423,5,53.14523,-0.49426,270,"270GLDPA0654","Lincoln"
5601,5,53.24098,-0.54635,270,"270G02701510","Lincoln"
6021,5,53.19657,-0.53494,270,"270G02700126","Lincoln"
6392,5,53.22403,-0.55338,270,"270GLLTR2738","Lincoln"
6526,5,53.27073,-0.4199,270,"270G00013497","Lincoln"
6587,5,53.26978,-0.44775,270,"270G02700700","Lincoln"
6588,5,53.27,-0.44947,270,"270G02700701","Lincoln"
6975,5,53.18507,-0.55493,270,"270G00014286","Lincoln"
6981,5,53.17975,-0.55553,270,"270G00014280","Lincoln"
7117,5,53.2512,-0.5167,270,"270GLLNR3791","Lincoln"
7154,5,53.20619,-0.60164,270,"270GLLDP2802","Lincoln"
7466,5,53.22,-0.51639,270,"270G00010326","Lincoln"
7468,5,53.22352,-0.46724,270,"270G00010324","Lincoln"
7469,5,53.22305,-0.46818,270,"270G00010325","Lincoln"
7470,5,53.21752,-0.47148,270,"270G00010322","Lincoln"
7471,5,53.22406,-0.48028,270,"270G00010323","Lincoln"
7472,5,53.2203,-0.45777,270,"270G00010320","Lincoln"
7473,5,53.21844,-0.45911,270,"270G00010321","Lincoln"
7475,5,53.21159,-0.52276,270,"270G00010328","Lincoln"
7660,5,53.21013,-0.60574,270,"270GLLDP2637","Lincoln"
7661,5,53.20867,-0.60664,270,"270GLLDP2636","Lincoln"
7663,5,53.20956,-0.59918,270,"270GLLDP2639","Lincoln"
7705,5,53.23381,-0.55882,270,"270GLLCR2339","Lincoln"
7744,5,53.20537,-0.57491,270,"270G00010429","Lincoln"
7798,5,53.20491,-0.55132,270,"270GLLNR2566","Lincoln"
7799,5,53.20761,-0.55004,270,"270GLLNR2563","Lincoln"
8192,5,53.22425,-0.47476,270,"270GLWSS3118","Lincoln"
8287,5,53.22195,-0.54432,270,"270GLLSP2531","Lincoln"
8459,5,53.26736,-0.45105,270,"270GLSVL1225","Lincoln"
8806,5,53.20551,-0.60578,270,"270GLLDR2606","Lincoln"
8810,5,53.20368,-0.59831,270,"270GLLDR2603","Lincoln"
9179,5,53.16219,-0.54218,270,"270G02701044","Lincoln"
9182,5,53.21468,-0.6033,270,"270G02701041","Lincoln"
9611,5,53.17937,-0.55747,270,"270G00014279","Lincoln"
9618,5,53.18235,-0.5572,270,"270G00014275","Lincoln"
10150,5,53.2865,-0.57415,270,"270GLNC00665","Lincoln"
10177,5,53.21524,-0.5554,270,"270GLLBP2761","Lincoln"
10180,5,53.2137,-0.55855,270,"270GLLBP2764","Lincoln"
10220,5,53.19128,-0.52896,270,"270G00010946","Lincoln"
10221,5,53.19399,-0.53616,270,"270G00010947","Lincoln"
10222,5,53.18815,-0.53597,270,"270G00010944","Lincoln"
10223,5,53.19134,-0.53648,270,"270G00010945","Lincoln"
10224,5,53.19301,-0.53046,270,"270G00010943","Lincoln"
10227,5,53.19882,-0.53675,270,"270G00010948","Lincoln"
10228,5,53.20292,-0.53821,270,"270G00010949","Lincoln"
10759,5,53.19013,-0.55677,270,"270GLLBR2946","Lincoln"
10833,5,53.26588,-0.48893,270,"270GLNC00148","Lincoln"
10851,5,53.25048,-0.50754,270,"270G00013518","Lincoln"
10852,5,53.2487,-0.50285,270,"270G00013519","Lincoln"
10855,5,53.22198,-0.53461,270,"270G00013511","Lincoln"
10856,5,53.21961,-0.52163,270,"270G00013513","Lincoln"
10857,5,53.23518,-0.52275,270,"270G00013514","Lincoln"
10858,5,53.2524,-0.53991,270,"270G00013515","Lincoln"
10859,5,53.24605,-0.4999,270,"270G00013516","Lincoln"
10860,5,53.24635,-0.50425,270,"270G00013517","Lincoln"
11031,5,53.27382,-0.56578,270,"270GLSC04187","Lincoln"
11053,5,53.19535,-0.46857,270,"270G02700323","Lincoln"
11106,5,53.24615,-0.51407,270,"270GLLSG3783","Lincoln"
11258,5,53.18304,-0.58913,270,"270GLNHC3840","Lincoln"
11491,5,53.28366,-0.6342,270,"270G00011000","Lincoln"
11622,5,53.25129,-0.43787,270,"270G00013707","Lincoln"
11674,5,53.23527,-0.55432,270,"270G00013125","Lincoln"
11676,5,53.23272,-0.55493,270,"270G00013124","Lincoln"
11680,5,53.23272,-0.54744,270,"270G00013127","Lincoln"
11683,5,53.23395,-0.55097,270,"270G00013126","Lincoln"
