"node","layer","lat","lon","zone","atcocode","city"
12852,2,50.8101,-0.54599,440," 910GLTLHMPT","Littlehampton"
12852,5,50.8101,-0.54599,440," 910GLTLHMPT","Littlehampton"
12852,4,50.8101,-0.54599,440," 910GLTLHMPT","Littlehampton"
13162,2,50.81657,-0.48939,440," 910GANGMRNG","Littlehampton"
13162,5,50.81657,-0.48939,440," 910GANGMRNG","Littlehampton"
15113,4,50.81053,-0.50828,440,"900GNX001250","Littlehampton"
15113,5,50.81053,-0.50828,440,"900GNX001250","Littlehampton"
15393,2,50.8482,-0.54617,440," 910GARUNDEL","Littlehampton"
15393,5,50.8482,-0.54617,440," 910GARUNDEL","Littlehampton"
22094,2,50.82956,-0.57862,440,"    910GFORD","Littlehampton"
22094,5,50.82956,-0.57862,440,"    910GFORD","Littlehampton"
25029,2,50.89667,-0.54199,440,"    910GAMLY","Littlehampton"
25029,5,50.89667,-0.54199,440,"    910GAMLY","Littlehampton"
28468,4,50.85313,-0.55232,440,"900GNX000061","Littlehampton"
28468,5,50.85313,-0.55232,440,"900GNX000061","Littlehampton"
57431,5,50.80246,-0.52202,440,"  4400LH0008","Littlehampton"
57433,5,50.80253,-0.52563,440,"  4400LH0006","Littlehampton"
59793,5,50.85242,-0.56474,440,"  4400LH0989","Littlehampton"
65467,5,50.81665,-0.4752,440,"  4400LH0106","Littlehampton"
65468,5,50.81736,-0.47315,440,"  4400LH0105","Littlehampton"
65469,5,50.81737,-0.47111,440,"  4400LH0104","Littlehampton"
65470,5,50.81753,-0.47099,440,"  4400LH0103","Littlehampton"
65471,5,50.8151,-0.48594,440,"  4400LH0102","Littlehampton"
65472,5,50.8152,-0.486,440,"  4400LH0101","Littlehampton"
67033,5,50.82866,-0.54456,440,"  4400LH0079","Littlehampton"
67034,5,50.82386,-0.54281,440,"  4400LH0078","Littlehampton"
67038,5,50.81683,-0.55312,440,"  4400LH0070","Littlehampton"
70399,5,50.85397,-0.57184,440,"  4400LH0653","Littlehampton"
70401,5,50.85239,-0.56853,440,"  4400LH0651","Littlehampton"
70402,5,50.85351,-0.57226,440,"  4400LH0650","Littlehampton"
70403,5,50.85192,-0.56248,440,"  4400LH0655","Littlehampton"
70404,5,50.85183,-0.56234,440,"  4400LH0654","Littlehampton"
70405,5,50.84961,-0.56779,440,"  4400LH0659","Littlehampton"
70406,5,50.84924,-0.56769,440,"  4400LH0658","Littlehampton"
74098,5,50.87527,-0.59877,440,"  4400LH0759","Littlehampton"
74099,5,50.8726,-0.60613,440,"  4400LH0756","Littlehampton"
74885,5,50.81232,-0.48491,440,"  4400LH0110","Littlehampton"
74886,5,50.81157,-0.48505,440,"  4400LH0111","Littlehampton"
74887,5,50.81054,-0.4834,440,"  4400LH0112","Littlehampton"
74888,5,50.81,-0.48209,440,"  4400LH0113","Littlehampton"
74889,5,50.81011,-0.4819,440,"  4400LH0114","Littlehampton"
74890,5,50.81111,-0.52182,440,"  4400LH0115","Littlehampton"
74891,5,50.81081,-0.52164,440,"  4400LH0116","Littlehampton"
74892,5,50.81737,-0.51426,440,"  4400LH0117","Littlehampton"
74893,5,50.816,-0.51471,440,"  4400LH0118","Littlehampton"
74894,5,50.81529,-0.51508,440,"  4400LH0119","Littlehampton"
76381,5,50.84994,-0.56542,440,"  4400LH0275","Littlehampton"
76655,5,50.81393,-0.54485,440,"  4400LH0064","Littlehampton"
76656,5,50.81406,-0.545,440,"  4400LH0065","Littlehampton"
76657,5,50.81455,-0.5481,440,"  4400LH0066","Littlehampton"
76658,5,50.81493,-0.54976,440,"  4400LH0067","Littlehampton"
76659,5,50.80735,-0.52494,440,"  4400LH0060","Littlehampton"
76660,5,50.81194,-0.54356,440,"  4400LH0062","Littlehampton"
76661,5,50.81229,-0.5436,440,"  4400LH0063","Littlehampton"
76663,5,50.81496,-0.55021,440,"  4400LH0068","Littlehampton"
76664,5,50.81677,-0.55327,440,"  4400LH0069","Littlehampton"
76996,5,50.80387,-0.53328,440,"  4400LH0003","Littlehampton"
78727,5,50.82119,-0.47653,440,"  4400LH0969","Littlehampton"
80143,5,50.85449,-0.57041,440,"  4400LH0648","Littlehampton"
80144,5,50.85272,-0.56262,440,"  4400LH0646","Littlehampton"
80145,5,50.85435,-0.5652,440,"  4400LH0647","Littlehampton"
80146,5,50.84359,-0.61871,440,"  4400LH0641","Littlehampton"
84695,5,50.81337,-0.52216,440,"  4400LH0128","Littlehampton"
84699,5,50.81336,-0.51627,440,"  4400LH0121","Littlehampton"
84700,5,50.81347,-0.51603,440,"  4400LH0120","Littlehampton"
86236,5,50.87007,-0.57424,440,"  4400LH0782","Littlehampton"
86345,5,50.80755,-0.51221,440,"  4400LH0051","Littlehampton"
86346,5,50.8076,-0.51172,440,"  4400LH0050","Littlehampton"
86347,5,50.80778,-0.51484,440,"  4400LH0053","Littlehampton"
86348,5,50.80755,-0.51361,440,"  4400LH0052","Littlehampton"
86349,5,50.80695,-0.51746,440,"  4400LH0055","Littlehampton"
86350,5,50.80733,-0.51671,440,"  4400LH0054","Littlehampton"
86351,5,50.80688,-0.51951,440,"  4400LH0057","Littlehampton"
86352,5,50.80666,-0.5193,440,"  4400LH0056","Littlehampton"
