"node","layer","lat","lon","zone","atcocode","city"
234,4,53.40817,-2.96429,280,"900GNX000860","Liverpool"
234,5,53.40817,-2.96429,280,"900GNX000860","Liverpool"
925,5,53.4375,-2.98752,910," 910GBNKHALL","Liverpool"
925,2,53.4375,-2.98752,910," 910GBNKHALL","Liverpool"
3963,5,53.4052,-2.92291,910," 910GWVRTTEC","Liverpool"
3963,2,53.4052,-2.92291,910," 910GWVRTTEC","Liverpool"
5797,5,53.40596,-2.97845,910," 910GLVRPLCH","Liverpool"
5797,2,53.40596,-2.97845,910," 910GLVRPLCH","Liverpool"
7082,2,53.40667,-2.99057,910," 910GJAMESST","Liverpool"
7082,5,53.40667,-2.99057,910," 910GJAMESST","Liverpool"
7082,1,53.40667,-2.99057,910," 910GJAMESST","Liverpool"
11009,2,53.44091,-2.98112,910," 910GKRKDALE","Liverpool"
11009,5,53.44091,-2.98112,910," 910GKRKDALE","Liverpool"
13894,4,53.40829,-2.94365,280,"900GNX002005","Liverpool"
13894,5,53.40829,-2.94365,280,"900GNX002005","Liverpool"
13968,2,53.37906,-2.91545,910,"    910GMSLH","Liverpool"
13968,5,53.37906,-2.91545,910,"    910GMSLH","Liverpool"
18426,2,53.35877,-2.91201,910," 910GCRSNGTN","Liverpool"
18426,5,53.35877,-2.91201,910," 910GCRSNGTN","Liverpool"
25903,5,53.42995,-2.9915,910,"   910GSANDH","Liverpool"
25903,2,53.42995,-2.9915,910,"   910GSANDH","Liverpool"
27157,5,53.40201,-2.98811,280,"280G00000005","Liverpool"
41207,5,53.40263,-2.94649,910,"    910GEDGH","Liverpool"
41207,2,53.40263,-2.94649,910,"    910GEDGH","Liverpool"
41433,5,53.37562,-2.9528,910," 910GSTMCHLS","Liverpool"
41433,2,53.37562,-2.9528,910," 910GSTMCHLS","Liverpool"
49251,4,53.41027,-2.92609,280,"900GNX000857","Liverpool"
49251,5,53.41027,-2.92609,280,"900GNX000857","Liverpool"
51690,5,53.40131,-2.9328,280," 2800S41074A","Liverpool"
51691,5,53.40182,-2.93417,280," 2800S41074B","Liverpool"
52023,5,53.38306,-2.96285,280," 2800S41137B","Liverpool"
52492,5,53.41002,-2.98669,280," 2800S42054A","Liverpool"
53156,5,53.39549,-2.91553,280," 2800S43019A","Liverpool"
53426,5,53.42344,-2.99144,280," 2800S40164B","Liverpool"
53817,5,53.39789,-2.93828,280," 2800S41195A","Liverpool"
56176,5,53.43493,-2.93503,280," 2800S40036B","Liverpool"
56177,5,53.43409,-2.93606,280," 2800S40036A","Liverpool"
57658,5,53.4285,-2.98279,280," 2800S40082A","Liverpool"
57659,5,53.42685,-2.98285,280," 2800S40082B","Liverpool"
57968,5,53.43415,-2.95189,280," 2800S40058B","Liverpool"
57969,5,53.43484,-2.95119,280," 2800S40058A","Liverpool"
58281,5,53.39003,-2.93338,280," 2800S41110E","Liverpool"
58283,5,53.39004,-2.93322,280," 2800S41110A","Liverpool"
58285,5,53.38963,-2.93537,280," 2800S41110C","Liverpool"
58286,5,53.38974,-2.93432,280," 2800S41110B","Liverpool"
58466,5,53.42356,-2.94099,280," 2800S40024A","Liverpool"
58468,5,53.42252,-2.94118,280," 2800S40024E","Liverpool"
58777,5,53.41369,-2.97759,280," 2800S42035A","Liverpool"
58778,5,53.41355,-2.97794,280," 2800S42035B","Liverpool"
59134,5,53.4095,-2.93649,280," 2800S41091A","Liverpool"
59136,5,53.40927,-2.93677,280," 2800S41091B","Liverpool"
59886,5,53.37971,-2.95039,280," 2800S41051B","Liverpool"
59998,5,53.40134,-2.96965,280," 2800S41121A","Liverpool"
60000,5,53.40126,-2.96849,280," 2800S41121D","Liverpool"
60658,5,53.3853,-2.95773,280," 2800S41059A","Liverpool"
60904,5,53.39007,-2.92893,280," 2800S41086D","Liverpool"
60905,5,53.38999,-2.93206,280," 2800S41086F","Liverpool"
60906,5,53.39102,-2.93145,280," 2800S41086A","Liverpool"
60907,5,53.3909,-2.93125,280," 2800S41086C","Liverpool"
60908,5,53.39048,-2.93061,280," 2800S41086B","Liverpool"
61393,5,53.40027,-2.92771,280," 2800S41075B","Liverpool"
61394,5,53.40022,-2.92812,280," 2800S41075A","Liverpool"
62171,5,53.40937,-2.97664,280," 2800S42057C","Liverpool"
62172,5,53.40935,-2.97582,280," 2800S42057D","Liverpool"
63621,5,53.39036,-2.9444,280," 2800S41214A","Liverpool"
63622,5,53.39087,-2.94456,280," 2800S41214B","Liverpool"
64178,5,53.41875,-2.95136,280," 2800S40022C","Liverpool"
64179,5,53.41826,-2.9515,280," 2800S40022A","Liverpool"
65616,5,53.42193,-2.99676,280," 2800S40009B","Liverpool"
65945,5,53.41203,-2.94661,280," 2800S41025D","Liverpool"
65946,5,53.41108,-2.94802,280," 2800S41025E","Liverpool"
65947,5,53.41215,-2.9492,280," 2800S41025B","Liverpool"
65949,5,53.412,-2.94843,280," 2800S41025A","Liverpool"
66296,5,53.39281,-2.96202,280," 2800S41100A","Liverpool"
66297,5,53.39271,-2.96243,280," 2800S41100B","Liverpool"
67252,5,53.43174,-2.98416,280," 2800S40083D","Liverpool"
67253,5,53.43064,-2.98206,280," 2800S40083B","Liverpool"
67254,5,53.42977,-2.98347,280," 2800S40083A","Liverpool"
67626,5,53.43223,-2.95493,280," 2800S40057B","Liverpool"
67627,5,53.4331,-2.95496,280," 2800S40057C","Liverpool"
67628,5,53.43319,-2.95536,280," 2800S40057A","Liverpool"
67964,5,53.39515,-2.93071,280," 2800S41113A","Liverpool"
68538,5,53.38483,-2.93178,280," 2800S41221A","Liverpool"
68766,5,53.36187,-2.91314,280," 2800S43008B","Liverpool"
69004,5,53.43812,-2.98235,280," 2800S40094A","Liverpool"
69052,5,53.41248,-2.98728,280," 2800S42095B","Liverpool"
69053,5,53.41232,-2.98835,280," 2800S42095A","Liverpool"
69423,5,53.39807,-2.9147,280," 2800S41060G","Liverpool"
69563,5,53.39902,-2.96856,280," 2800S41122A","Liverpool"
69564,5,53.39912,-2.96832,280," 2800S41122C","Liverpool"
69650,5,53.44033,-2.98781,280," 2800S40046B","Liverpool"
69789,5,53.37545,-2.93828,280," 2800S41175A","Liverpool"
69790,5,53.37555,-2.93809,280," 2800S41175B","Liverpool"
70467,5,53.39286,-2.93426,280," 2800S41085A","Liverpool"
70468,5,53.39197,-2.9329,280," 2800S41085B","Liverpool"
70469,5,53.39224,-2.93303,280," 2800S41085C","Liverpool"
71271,5,53.38081,-2.96823,280," 2800S41135A","Liverpool"
71831,5,53.41919,-2.95489,280," 2800S40159B","Liverpool"
