"node","layer","lat","lon","zone","atcocode","city"
579,5,55.90165,-3.51263,629,"  629GFLINKL","Livingston"
1959,5,55.90238,-3.57175,629,"  629GLDN000","Livingston"
2625,2,55.91904,-3.50211,910,"  910GUPHALL","Livingston"
2625,5,55.91904,-3.50211,910,"  910GUPHALL","Livingston"
6948,5,55.8941,-3.5061,629,"  629GFLINKH","Livingston"
12814,2,55.88868,-3.43251,910," 910GKRKNWTN","Livingston"
12814,5,55.88868,-3.43251,910," 910GKRKNWTN","Livingston"
15521,2,55.97644,-3.59584,910," 910GLNLTHGW","Livingston"
15521,5,55.97644,-3.59584,910," 910GLNLTHGW","Livingston"
27243,5,55.87901,-3.52614,629,"629GHOMEBASE","Livingston"
27478,5,55.90718,-3.58023,629,"   629GDEANS","Livingston"
29196,5,55.9085,-3.51898,629,"  629GFLINKK","Livingston"
30163,5,55.87169,-3.50156,910," 910GLVNSTNS","Livingston"
30163,2,55.87169,-3.50156,910," 910GLVNSTNS","Livingston"
33078,5,55.90132,-3.51235,629," 629GLADYWPR","Livingston"
35069,5,55.90138,-3.54434,910," 910GLVNSTNN","Livingston"
35069,2,55.90138,-3.54434,910," 910GLVNSTNN","Livingston"
40560,5,55.90828,-3.51886,629," 629GKNIGHPR","Livingston"
43757,5,55.8538,-3.56701,910," 910GWCALDER","Livingston"
43757,2,55.8538,-3.56701,910," 910GWCALDER","Livingston"
43927,5,55.88895,-3.50924,629,"   629GHOWDV","Livingston"
45680,2,55.89911,-3.64097,910," 910GBTHGATE","Livingston"
45680,5,55.89911,-3.64097,910," 910GBTHGATE","Livingston"
47581,5,55.87413,-3.62265,629,"    629GCL90","Livingston"
52561,5,55.89894,-3.65988,629,"    6290B126","Livingston"
52562,5,55.89872,-3.65984,629,"    6290B127","Livingston"
52563,5,55.90013,-3.61276,629,"    6290B124","Livingston"
52564,5,55.89989,-3.6124,629,"    6290B123","Livingston"
52565,5,55.89663,-3.6615,629,"    6290B121","Livingston"
52566,5,55.90196,-3.60731,629,"    6290B129","Livingston"
56267,5,55.88955,-3.45832,629,"    6290EC14","Livingston"
57272,5,55.89395,-3.52956,629,"    6290LE02","Livingston"
57273,5,55.89775,-3.5345,629,"    6290LE03","Livingston"
57276,5,55.89477,-3.53987,629,"    6290LE07","Livingston"
57277,5,55.89765,-3.5348,629,"    6290LE04","Livingston"
57278,5,55.89701,-3.53521,629,"    6290LE05","Livingston"
57350,5,55.91785,-3.5489,629,"   6290BA001","Livingston"
57362,5,55.91746,-3.54908,629,"   6290BA002","Livingston"
57374,5,55.91526,-3.55734,629,"   6290BA004","Livingston"
57759,5,55.89958,-3.64585,629,"    6290B125","Livingston"
57760,5,55.90109,-3.61456,629,"    6290B122","Livingston"
