"node","layer","lat","lon","zone","atcocode","city"
259,5,51.51741,-0.12497,490,"490G00010131","London"
346,5,51.49935,-0.14803,490,"490G00014728","London"
835,5,51.52327,-0.14954,490,"490G00007807","London"
4742,5,51.51476,-0.1461,490,"490G00010531","London"
6244,4,51.52932,-0.16694,490,"490G00010816","London"
6244,5,51.52932,-0.16694,490,"490G00010816","London"
6793,5,51.52857,-0.18095,490,"490G00007679","London"
7125,5,51.51758,-0.12047,490," 940GZZLUHBN","London"
7125,3,51.51758,-0.12047,490," 940GZZLUHBN","London"
8582,5,51.51643,-0.13041,490," 940GZZLUTCR","London"
8582,3,51.51643,-0.13041,490," 940GZZLUTCR","London"
9028,5,51.51005,-0.13379,490," 940GZZLUPCC","London"
9028,3,51.51005,-0.13379,490," 940GZZLUPCC","London"
9432,5,51.51627,-0.10852,490,"490G00010211","London"
9684,5,51.51431,-0.14972,490," 940GZZLUBND","London"
9684,3,51.51431,-0.14972,490," 940GZZLUBND","London"
9772,4,51.51343,-0.15895,490," 940GZZLUMBA","London"
9772,5,51.51343,-0.15895,490," 940GZZLUMBA","London"
9772,3,51.51343,-0.15895,490," 940GZZLUMBA","London"
11420,5,51.53064,-0.17662,490,"490G00015334","London"
12674,5,51.52505,-0.16889,490,"490G00005311","London"
13745,4,51.51287,-0.10346,490," 910GCTMSLNK","London"
13745,2,51.51287,-0.10346,490," 910GCTMSLNK","London"
13745,1,51.51287,-0.10346,490," 910GCTMSLNK","London"
13745,5,51.51287,-0.10346,490," 910GCTMSLNK","London"
13745,3,51.51287,-0.10346,490," 910GCTMSLNK","London"
14219,4,51.51728,-0.15643,490,"490G00015317","London"
14219,5,51.51728,-0.15643,490,"490G00015317","London"
15317,5,51.51444,-0.15381,490,"490G00010622","London"
15318,5,51.52368,-0.17537,490,"490G00010621","London"
16192,5,51.52253,-0.16291,490," 910GMARYLBN","London"
16192,2,51.52253,-0.16291,490," 910GMARYLBN","London"
16192,3,51.52253,-0.16291,490," 910GMARYLBN","London"
16192,4,51.52253,-0.16291,490," 910GMARYLBN","London"
16715,5,51.52933,-0.1444,490,"490G00005126","London"
17334,5,51.52099,-0.11291,490,"490G00013476","London"
17687,5,51.5277,-0.17415,490,"490G00006984","London"
17953,5,51.52775,-0.14432,490,"490G00005131","London"
18045,5,51.49936,-0.13447,940," 940GZZLUSJP","London"
18045,3,51.49936,-0.13447,940," 940GZZLUSJP","London"
19152,5,51.51984,-0.1196,490,"490G00007834","London"
20145,5,51.52238,-0.17352,490,"490G00015285","London"
20348,5,51.5236,-0.14535,490," 940GZZLUGPS","London"
20348,3,51.5236,-0.14535,490," 940GZZLUGPS","London"
20532,5,51.50695,-0.14278,490," 940GZZLUGPK","London"
20532,3,51.50695,-0.14278,490," 940GZZLUGPK","London"
21268,5,51.52205,-0.11368,490,"490G00015447","London"
23334,5,51.51231,-0.12002,490,"490G00015764","London"
23478,5,51.50532,-0.15151,490,"490G00009277","London"
23864,5,51.50822,-0.13953,490,"490G00010526","London"
25571,5,51.5097,-0.1459,490,"490G00003923","London"
26472,5,51.51596,-0.13586,490,"490G00014214","London"
27028,5,51.50304,-0.15244,490," 940GZZLUHPC","London"
27028,3,51.50304,-0.15244,490," 940GZZLUHPC","London"
27585,5,51.51303,-0.11726,490,"490G00003191","London"
30347,5,51.51326,-0.12915,490,"490G00004695","London"
30599,5,51.52576,-0.17813,490,"490G00012747","London"
31532,5,51.50415,-0.14804,490,"490G00010574","London"
32223,5,51.51101,-0.11426,490," 940GZZLUTMP","London"
32223,3,51.51101,-0.11426,490," 940GZZLUTMP","London"
35458,5,51.52814,-0.13392,490,"  910GEUSTON","London"
35458,2,51.52814,-0.13392,490,"  910GEUSTON","London"
35458,3,51.52814,-0.13392,490,"  910GEUSTON","London"
35735,5,51.51523,-0.1419,490," 940GZZLUOXC","London"
35735,3,51.51523,-0.1419,490," 940GZZLUOXC","London"
35743,4,51.50803,-0.1248,910,"    910GCHRX","London"
35743,2,51.50803,-0.1248,910,"    910GCHRX","London"
35743,1,51.50803,-0.1248,910,"    910GCHRX","London"
35743,5,51.50803,-0.1248,910,"    910GCHRX","London"
35743,3,51.50803,-0.1248,910,"    910GCHRX","London"
36330,5,51.51782,-0.16798,490,"490G00015044","London"
37895,5,51.51825,-0.11158,490," 940GZZLUCHL","London"
37895,3,51.51825,-0.11158,490," 940GZZLUCHL","London"
37918,5,51.52151,-0.11332,490,"490G00007391","London"
38188,5,51.52576,-0.17892,490,"490G00005427","London"
38252,5,51.50825,-0.1544,490,"490G00006111","London"
38862,5,51.5203,-0.17015,490," 940GZZLUERB","London"
38862,3,51.5203,-0.17015,490," 940GZZLUERB","London"
42945,5,51.52308,-0.12428,490," 940GZZLURSQ","London"
42945,3,51.52308,-0.12428,490," 940GZZLURSQ","London"
44267,5,51.52978,-0.18576,940," 940GZZLUMVL","London"
44267,3,51.52978,-0.18576,940," 940GZZLUMVL","London"
44900,5,51.51212,-0.13979,490,"490G00004810","London"
45905,5,51.5163,-0.1648,490,"490G00007167","London"
46649,5,51.52576,-0.17039,490,"490G00006979","London"
47762,5,51.52732,-0.16434,490,"490G00003269","London"
48020,5,51.5206,-0.13436,490," 940GZZLUGDG","London"
48020,3,51.5206,-0.13436,490," 940GZZLUGDG","London"
49902,5,51.53055,-0.16963,490,"490G00009359","London"
51214,5,51.53064,-0.17661,490,"490G00007557","London"
55351,5,51.52106,-0.12348,490,"  490005624S","London"
70171,5,51.50716,-0.13251,490,"  490014273W","London"
74729,5,51.51236,-0.13093,490,"  490006008W","London"
80825,5,51.51081,-0.12024,490,"  490011938U","London"
84417,5,51.51162,-0.14256,490,"  490015097W","London"
93787,1,51.50696,-0.11752,930,"     9300FES","London"
97600,5,51.52069,-0.12769,490,"  490018893E","London"
98744,5,51.51988,-0.14386,490,"  490010198W","London"
109240,5,51.51754,-0.10122,490,"  490012637S","London"
110010,5,51.51828,-0.12798,490,"  490007414R","London"
110165,5,51.52796,-0.18279,490,"  490008926E","London"
115099,3,51.51304,-0.12438,940,"9400ZZLUCGN1","London"
116680,5,51.52548,-0.18062,490,"  490011418N","London"
121038,5,51.51053,-0.11893,490,"  490008932T","London"
128243,5,51.51388,-0.11043,490,"  490015067W","London"
136463,5,51.51269,-0.13039,490," 490016425WA","London"
136734,5,51.51869,-0.15567,490,"  490004096H","London"
149750,5,51.51637,-0.12384,490," 490006203RA","London"
154512,5,51.519,-0.12417,490,"  490003794O","London"
160694,5,51.52058,-0.14536,490,"  490011126K","London"
161708,5,51.5046,-0.12621,490," 490008376S1","London"
167914,5,51.52226,-0.13184,490,"  490005084D","London"
178470,5,51.52004,-0.124,490,"  490011815K","London"
197307,5,51.51685,-0.10674,490,"  490012429S","London"
200416,5,51.5122,-0.14207,490,"  490018807E","London"
219940,5,51.51041,-0.12192,490,"  490012247A","London"
222219,5,51.52617,-0.16198,490,"  490011716S","London"
240699,5,51.51255,-0.14142,490," 490005537AP","London"
250409,5,51.50396,-0.14775,490,"  490007492E","London"
251860,5,51.51093,-0.14402,490,"  490019140N","London"
261991,5,51.51673,-0.16559,490," 490007167N1","London"
262188,5,51.51883,-0.15843,490,"  490009990N","London"
262325,5,51.52295,-0.13289,490,"  490013720S","London"
