"node","layer","lat","lon","zone","atcocode","city"
761,5,52.46255,1.74075,390,"   390G70451","Lowestoft"
1463,5,52.50194,1.72389,390,"   390G70556","Lowestoft"
2545,5,52.42395,1.66499,390,"   390G70181","Lowestoft"
2576,5,52.4196,1.70599,390,"   390G70236","Lowestoft"
2577,5,52.41904,1.70622,390,"   390G70238","Lowestoft"
3224,5,52.49415,1.72,390,"   390G70881","Lowestoft"
3300,5,52.45577,1.687,390,"    390GCTC1","Lowestoft"
3680,5,52.46507,1.70326,390,"   390G70710","Lowestoft"
4128,5,52.40777,1.67871,390,"   390G70246","Lowestoft"
6813,5,52.47867,1.70645,390,"   390G70667","Lowestoft"
7042,5,52.46045,1.72272,390,"   390G70611","Lowestoft"
7483,5,52.52104,1.73981,390,"   390G70039","Lowestoft"
8244,5,52.42265,1.69939,390,"   390G70200","Lowestoft"
8246,5,52.43866,1.72234,390,"   390G70207","Lowestoft"
8932,5,52.4817,1.74298,390,"   390G70506","Lowestoft"
10011,5,52.45592,1.70993,390,"   390G70719","Lowestoft"
10516,5,52.46975,1.70798,390," 910GOULTNBS","Lowestoft"
10516,2,52.46975,1.70798,390," 910GOULTNBS","Lowestoft"
10723,5,52.448,1.69502,390,"   390G70580","Lowestoft"
11499,5,52.53493,1.73075,290,"     290G503","Lowestoft"
11502,5,52.53918,1.72375,290,"     290G506","Lowestoft"
11503,5,52.5384,1.72174,290,"     290G507","Lowestoft"
11504,5,52.5373,1.72961,290,"     290G504","Lowestoft"
11920,5,52.42419,1.63079,390,"   390G70177","Lowestoft"
12193,5,52.44996,1.728,390,"   390G70437","Lowestoft"
12922,5,52.46434,1.71769,390,"    390GLOW1","Lowestoft"
12924,5,52.46861,1.74545,390,"    390GLOW3","Lowestoft"
12926,5,52.45387,1.72555,390,"    390GLOW5","Lowestoft"
12927,5,52.4651,1.74359,390,"    390GLOW4","Lowestoft"
13006,5,52.494,1.74103,390,"    390GGUN1","Lowestoft"
13316,5,52.50937,1.73598,390,"   390G70394","Lowestoft"
14199,5,52.483,1.73518,390,"   390G70519","Lowestoft"
14420,5,52.4656,1.72189,390,"   390G70636","Lowestoft"
14707,5,52.45224,1.7114,390,"   390G70570","Lowestoft"
