"node","layer","lat","lon","zone","atcocode","city"
364,5,51.50856,-0.74149,36,"036G00006803","Maidenhead"
606,5,51.50399,-0.82066,35,"035G90540001","Maidenhead"
720,5,51.47232,-0.76149,36,"036G00005440","Maidenhead"
875,5,51.51523,-0.79169,36,"036G00006156","Maidenhead"
877,5,51.51556,-0.78276,36,"036G00006154","Maidenhead"
879,5,51.51617,-0.77669,36,"036G00006152","Maidenhead"
881,5,51.51802,-0.76773,36,"036G00006150","Maidenhead"
966,5,51.48334,-0.73258,36,"036G00006840","Maidenhead"
967,5,51.47898,-0.73954,36,"036G00006841","Maidenhead"
968,5,51.47379,-0.74303,36,"036G00006842","Maidenhead"
969,5,51.47002,-0.74335,36,"036G00006843","Maidenhead"
1577,5,51.49875,-0.70479,36,"036G00006294","Maidenhead"
1765,5,51.51585,-0.74293,36,"036G00006048","Maidenhead"
1965,5,51.52051,-0.7214,36," 910GMDNHEAD","Maidenhead"
1965,2,51.52051,-0.7214,36," 910GMDNHEAD","Maidenhead"
4074,5,51.50581,-0.73832,36,"036G00006023","Maidenhead"
4076,5,51.50929,-0.7353,36,"036G00006021","Maidenhead"
4078,5,51.50895,-0.74524,36,"036G00006027","Maidenhead"
4080,5,51.50654,-0.74007,36,"036G00006025","Maidenhead"
4081,5,51.5094,-0.75194,36,"036G00006029","Maidenhead"
4638,5,51.51576,-0.75913,36,"036G00006721","Maidenhead"
4639,5,51.51323,-0.80867,36,"036G00006723","Maidenhead"
4641,5,51.50599,-0.71304,36,"036G00006725","Maidenhead"
4685,5,51.55295,-0.73092,36,"036G00006184","Maidenhead"
4687,5,51.55197,-0.72667,36,"036G00006186","Maidenhead"
4689,5,51.5571,-0.7324,36,"036G00006180","Maidenhead"
4691,5,51.55488,-0.73186,36,"036G00006182","Maidenhead"
5746,5,51.53302,-0.72847,36,"  910GFURZEP","Maidenhead"
5746,2,51.53302,-0.72847,36,"  910GFURZEP","Maidenhead"
6580,5,51.52533,-0.7498,36,"036G00006818","Maidenhead"
6581,5,51.52687,-0.74113,36,"036G00006816","Maidenhead"
6582,5,51.52659,-0.73752,36,"036G00006815","Maidenhead"
6585,5,51.49868,-0.76457,36,"036G00006811","Maidenhead"
7806,5,51.4901,-0.68821,36,"036G00006615","Maidenhead"
8514,5,51.47803,-0.75736,36,"036G00007440","Maidenhead"
9601,5,51.52426,-0.74437,36,"036G00002051","Maidenhead"
