"node","layer","lat","lon","zone","atcocode","city"
6721,5,51.30696,0.42195,240,"  240G102729","Maidstone"
7186,2,51.27582,0.57759,240,"    910GBSTD","Maidstone"
7186,5,51.27582,0.57759,240,"    910GBSTD","Maidstone"
8758,2,51.30132,0.46618,240," 910GAYLESFD","Maidstone"
8758,5,51.30132,0.46618,240," 910GAYLESFD","Maidstone"
15388,5,51.22648,0.41217,240," 910GYALDING","Maidstone"
15388,2,51.22648,0.41217,240," 910GYALDING","Maidstone"
20765,5,51.29191,0.48373,240," 240G002820A","Maidstone"
22830,5,51.27783,0.5213,240," 910GMSTONEE","Maidstone"
22830,2,51.27783,0.5213,240," 910GMSTONEE","Maidstone"
22830,4,51.27783,0.5213,240," 910GMSTONEE","Maidstone"
29050,5,51.27525,0.49807,240,"   240G95616","Maidstone"
33146,5,51.2492,0.42003,240," 910GWTRNGBY","Maidstone"
33146,2,51.2492,0.42003,240," 910GWTRNGBY","Maidstone"
33950,2,51.27046,0.51578,240," 910GMSTONEW","Maidstone"
33950,5,51.27046,0.51578,240," 910GMSTONEW","Maidstone"
34110,5,51.27254,0.52668,240," 240G050700A","Maidstone"
39621,5,51.29841,0.41974,240," 240G002960A","Maidstone"
39639,2,51.26392,0.63249,240,"    910GHBRN","Maidstone"
39639,5,51.26392,0.63249,240,"    910GHBRN","Maidstone"
40529,2,51.28489,0.47896,240," 910GBARMING","Maidstone"
40529,5,51.28489,0.47896,240," 910GBARMING","Maidstone"
40827,2,51.25523,0.48473,240," 910GEFARLGH","Maidstone"
40827,5,51.25523,0.48473,240," 910GEFARLGH","Maidstone"
42652,5,51.29202,0.41866,240," 910GWMALING","Maidstone"
42652,2,51.29202,0.41866,240," 910GWMALING","Maidstone"
43692,2,51.28581,0.43928,240," 910GEMALING","Maidstone"
43692,5,51.28581,0.43928,240," 910GEMALING","Maidstone"
51572,5,51.31748,0.47851,240,"2400A003790A","Maidstone"
51734,5,51.27906,0.55201,240,"2400A001760A","Maidstone"
51850,5,51.25493,0.42532,240,"2400A000490A","Maidstone"
52138,5,51.26036,0.50819,240,"2400A003910A","Maidstone"
52140,5,51.29972,0.42393,240,"2400A005220A","Maidstone"
52296,5,51.25797,0.54904,240,"2400A001320A","Maidstone"
52458,5,51.30034,0.49991,240,"2400A003830A","Maidstone"
53262,5,51.2886,0.51251,240,"2400A003520A","Maidstone"
53273,5,51.26441,0.51154,240,"2400A003940A","Maidstone"
53465,5,51.29967,0.44913,240,"2400A002990A","Maidstone"
54244,5,51.27488,0.55187,240,"2400A001710A","Maidstone"
54362,5,51.24732,0.55533,240,"2400A060410A","Maidstone"
55039,5,51.3228,0.43907,240,"2400A014450A","Maidstone"
55349,5,51.31084,0.43635,240,"2400A004990A","Maidstone"
55572,5,51.24459,0.55214,240,"2400A001050A","Maidstone"
55631,5,51.22766,0.58952,240,"2400A036411A","Maidstone"
56019,5,51.25686,0.41539,240,"2400A000510A","Maidstone"
56962,5,51.26644,0.47644,240,"  2400102379","Maidstone"
56963,5,51.29391,0.42583,240,"  2400102372","Maidstone"
56964,5,51.26363,0.47036,240,"  2400102377","Maidstone"
57169,5,51.25503,0.52917,240,"2400A004590A","Maidstone"
57281,5,51.29626,0.46601,240,"2400A003020A","Maidstone"
57382,5,51.22916,0.63079,240,"2400A022510A","Maidstone"
57409,5,51.28579,0.53245,240,"2400A003180A","Maidstone"
57799,5,51.26471,0.49565,240,"2400A002230A","Maidstone"
57964,5,51.24898,0.61222,240,"2400A021340A","Maidstone"
57984,5,51.30088,0.47006,240,"  2400103348","Maidstone"
57985,5,51.26048,0.52232,240,"  2400103344","Maidstone"
57986,5,51.26151,0.51664,240,"  2400103346","Maidstone"
58277,5,51.26769,0.47157,240,"  2400100514","Maidstone"
58278,5,51.26772,0.4718,240,"  2400100517","Maidstone"
58504,5,51.31118,0.44423,240,"   240095624","Maidstone"
58506,5,51.30981,0.44687,240,"   240095626","Maidstone"
58649,5,51.26569,0.59659,240,"2400A021760A","Maidstone"
58693,5,51.26069,0.53539,240,"2400A001520A","Maidstone"
58979,5,51.26787,0.48999,240,"2400A000330A","Maidstone"
59829,5,51.25493,0.42468,240,"2400A000480A","Maidstone"
60029,5,51.27505,0.55142,240,"2400A001720A","Maidstone"
60140,5,51.29863,0.42154,240,"2400A005230A","Maidstone"
60753,5,51.29166,0.43815,240,"2400A005120A","Maidstone"
60754,5,51.26104,0.53539,240,"2400A001530A","Maidstone"
61223,5,51.18397,0.48702,240,"2400A060670A","Maidstone"
61349,5,51.25745,0.50355,240,"2400A003970A","Maidstone"
61775,5,51.24923,0.56021,240,"2400A001260A","Maidstone"
61788,5,51.27561,0.52033,240,"2400A000800A","Maidstone"
62307,5,51.26836,0.56603,240,"2400A001970A","Maidstone"
62379,5,51.28788,0.49031,240,"2400A002810A","Maidstone"
62494,5,51.24737,0.55556,240,"2400A060400A","Maidstone"
62663,5,51.25601,0.42178,240,"2400A074331A","Maidstone"
62674,5,51.30834,0.51428,240,"2400A003610A","Maidstone"
62942,5,51.25396,0.55211,240,"2400A001480A","Maidstone"
63189,5,51.26507,0.49177,240,"2400A002260A","Maidstone"
63493,5,51.24332,0.55125,240,"2400A001060A","Maidstone"
64599,5,51.28686,0.40191,240,"2400A000120A","Maidstone"
65225,5,51.23653,0.58511,240,"2400A071600A","Maidstone"
65310,5,51.29419,0.47205,240,"2400A003030A","Maidstone"
65681,5,51.27922,0.54047,240,"2400A003280A","Maidstone"
65793,5,51.27694,0.50485,240,"2400A002530A","Maidstone"
66723,5,51.26026,0.53826,240,"2400A001510A","Maidstone"
66834,5,51.31232,0.4275,240,"2400A014570A","Maidstone"
67657,5,51.27017,0.52913,240,"  2400103350","Maidstone"
67865,5,51.23044,0.50489,240,"2400A073960A","Maidstone"
68087,5,51.30356,0.42875,240,"2400A005200A","Maidstone"
68542,5,51.26219,0.51693,240,"2400A004340A","Maidstone"
68569,5,51.26008,0.56623,240,"2400A001990A","Maidstone"
69203,5,51.26228,0.51275,240,"2400A003960A","Maidstone"
69206,5,51.2255,0.63468,240,"2400A022430A","Maidstone"
69525,5,51.31353,0.39437,240,"  2400101834","Maidstone"
69607,5,51.27224,0.52107,240,"2400A000830A","Maidstone"
70298,5,51.28282,0.50049,240,"2400A002800A","Maidstone"
70377,5,51.31354,0.51251,240,"2400A003600A","Maidstone"
70927,5,51.25915,0.5419,240,"2400A001490A","Maidstone"
71025,5,51.22952,0.52598,240,"2400A004411A","Maidstone"
72159,5,51.25592,0.42139,240,"2400A074330A","Maidstone"
72460,5,51.28046,0.39531,240,"2400A000130A","Maidstone"
72573,5,51.23385,0.49009,240,"2400A004460A","Maidstone"
73158,5,51.29917,0.45418,240,"2400A003000A","Maidstone"
73476,5,51.28138,0.54159,240,"2400A003290A","Maidstone"
73615,5,51.27738,0.50546,240,"2400A002540A","Maidstone"
74371,5,51.29993,0.59184,240,"2400A036200A","Maidstone"
74502,5,51.26029,0.53879,240,"2400A001500A","Maidstone"
74668,5,51.23629,0.58476,240,"2400A071601A","Maidstone"
74923,5,51.26792,0.50539,240,"2400A002170A","Maidstone"
75988,5,51.3019,0.42635,240,"2400A005210A","Maidstone"
76472,5,51.26003,0.56831,240,"2400A001980A","Maidstone"
76476,5,51.26039,0.52224,240,"2400A004350A","Maidstone"
76520,5,51.26613,0.48283,240,"2400A000370A","Maidstone"
76669,5,51.18836,0.54684,240,"2400A023120A","Maidstone"
77060,5,51.26435,0.51212,240,"2400A003890A","Maidstone"
77175,5,51.22545,0.63457,240,"2400A022420A","Maidstone"
78427,5,51.2437,0.57797,240,"2400A036390A","Maidstone"
78564,5,51.20184,0.47626,240,"2400A036600A","Maidstone"
78981,5,51.27377,0.48324,240,"2400A002430A","Maidstone"
79249,5,51.27361,0.39564,240,"2400A073400A","Maidstone"
79257,5,51.26621,0.50123,240,"2400A002200A","Maidstone"
79657,5,51.26507,0.56429,240,"2400A002070A","Maidstone"
79877,5,51.3039,0.42244,240,"2400A011700A","Maidstone"
79928,5,51.25231,0.53917,240,"2400A000940A","Maidstone"
80657,5,51.29626,0.40977,240,"2400A000100A","Maidstone"
80730,5,51.22935,0.52609,240,"2400A004410A","Maidstone"
80998,5,51.29147,0.47619,240,"2400A033990A","Maidstone"
81362,5,51.20436,0.59225,240,"2400A022600A","Maidstone"
81408,5,51.2838,0.54965,240,"2400A073701A","Maidstone"
81410,5,51.29798,0.46001,240,"2400A003010A","Maidstone"
81572,5,51.19311,0.44324,240,"  2400102942","Maidstone"
81871,5,51.23584,0.48357,240,"2400A074041A","Maidstone"
81879,5,51.27916,0.50675,240,"2400A002550A","Maidstone"
82092,5,51.23547,0.59367,240,"2400A021390A","Maidstone"
82531,5,51.30041,0.59641,240,"2400A036210A","Maidstone"
82615,5,51.22578,0.43183,240,"   240098056","Maidstone"
82715,5,51.26616,0.53328,240,"2400A001570A","Maidstone"
83061,5,51.28901,0.43141,240,"2400A005090A","Maidstone"
83244,2,51.313,0.45493,910," 9100NWHYTHE","Maidstone"
83847,5,51.2628,0.47962,240,"  2400103027","Maidstone"
84486,5,51.32035,0.48234,240,"2400A003780A","Maidstone"
84513,5,51.22345,0.57031,240,"2400A004360A","Maidstone"
84576,5,51.26798,0.49671,240,"2400A000300A","Maidstone"
85131,5,51.22353,0.51067,240,"2400A004720A","Maidstone"
85171,5,51.23305,0.53173,240,"   240075426","Maidstone"
86364,5,51.24698,0.5697,240,"2400A036380A","Maidstone"
86427,5,51.27813,0.52789,240,"2400A003100A","Maidstone"
86924,5,51.27373,0.48243,240,"2400A002420A","Maidstone"
88538,5,51.21835,0.46112,240,"2400A004230A","Maidstone"
88578,5,51.26842,0.49769,240,"2400A000290A","Maidstone"
88590,5,51.28888,0.51722,240,"2400A003650A","Maidstone"
88758,5,51.29382,0.40851,240,"2400A000110A","Maidstone"
88851,5,51.23013,0.53217,240,"2400A004400A","Maidstone"
