"node","layer","lat","lon","zone","atcocode","city"
45,5,53.15842,-1.15516,330,"  330GMA0016","Mansfield"
46,5,53.15561,-1.17922,330,"  330GMA0014","Mansfield"
47,5,53.15574,-1.1586,330,"  330GMA0015","Mansfield"
48,5,53.14536,-1.15768,330,"  330GMA0012","Mansfield"
50,5,53.15788,-1.1477,330,"  330GMA0010","Mansfield"
51,5,53.21598,-1.16254,330,"  330GMA0011","Mansfield"
54,5,53.15839,-1.14751,330,"  330GMA0018","Mansfield"
55,5,53.15271,-1.16521,330,"  330GMA0019","Mansfield"
476,5,53.17267,-1.17686,330,"  330GMA0254","Mansfield"
477,5,53.1669,-1.17377,330,"  330GMA0255","Mansfield"
478,5,53.16573,-1.17249,330,"  330GMA0256","Mansfield"
479,5,53.16805,-1.17106,330,"  330GMA0257","Mansfield"
489,5,53.2089,-1.2289,100,"100G00014953","Mansfield"
490,5,53.21282,-1.22217,100,"100G00014952","Mansfield"
491,5,53.21227,-1.21367,100,"100G00014951","Mansfield"
492,5,53.21024,-1.21922,100,"100G00014950","Mansfield"
496,5,53.21337,-1.21643,100,"100G00014954","Mansfield"
1324,5,53.12639,-1.1611,330,"  330GMA0192","Mansfield"
1604,5,53.1171,-1.10764,330,"  330GNS0169","Mansfield"
1781,5,53.08344,-1.16453,330,"  330GGE0167","Mansfield"
1883,5,53.17649,-1.17595,330,"  330GMA0098","Mansfield"
1884,5,53.15695,-1.1505,330,"  330GMA0094","Mansfield"
1885,5,53.17021,-1.17233,330,"  330GMA0092","Mansfield"
1886,5,53.15293,-1.16143,330,"  330GMA0093","Mansfield"
1887,5,53.13721,-1.2165,330,"  330GMA0090","Mansfield"
2524,5,53.21482,-1.21829,100,"100G00015692","Mansfield"
3269,5,53.21423,-1.21975,100,"100G00022081","Mansfield"
3271,5,53.19908,-1.14745,330,"  330GMA0125","Mansfield"
4902,5,53.13299,-1.15726,330,"  330GMA0308","Mansfield"
4906,5,53.16861,-1.1941,330,"  330GMA0309","Mansfield"
5498,5,53.15026,-1.13947,330,"  330GMA0322","Mansfield"
5499,5,53.14943,-1.14513,330,"  330GMA0323","Mansfield"
5500,5,53.2112,-1.16477,330,"  330GMA0325","Mansfield"
5501,5,53.16144,-1.13225,330,"  330GMA0327","Mansfield"
5502,5,53.13633,-1.17986,330,"  330GMA0328","Mansfield"
5503,5,53.13491,-1.18171,330,"  330GMA0329","Mansfield"
5691,5,53.14379,-1.14953,330,"  330GMA0048","Mansfield"
5696,5,53.14265,-1.17174,330,"  330GMA0041","Mansfield"
5697,5,53.15204,-1.17829,330,"  330GMA0040","Mansfield"
5698,5,53.13256,-1.20123,330,"  330GMA0043","Mansfield"
5699,5,53.15717,-1.17858,330,"  330GMA0045","Mansfield"
5700,5,53.13464,-1.21766,330,"  330GMA0047","Mansfield"
6125,5,53.15648,-1.17132,330,"  330GMA0288","Mansfield"
6126,5,53.15825,-1.14353,330,"  330GMA0287","Mansfield"
6129,5,53.2087,-1.14509,330,"  330GMA0282","Mansfield"
7005,5,53.11917,-1.11312,330,"  330GNS0332","Mansfield"
7741,5,53.09091,-1.15605,330,"  330GGE0174","Mansfield"
7927,5,53.18491,-1.17131,330,"  330GMA0207","Mansfield"
7928,5,53.16849,-1.18032,330,"  330GMA0206","Mansfield"
7929,5,53.17369,-1.17713,330,"  330GMA0204","Mansfield"
7932,5,53.15715,-1.19526,330,"  330GMA0201","Mansfield"
7934,5,53.16059,-1.18701,330,"  330GMA0209","Mansfield"
7935,5,53.16305,-1.18496,330,"  330GMA0208","Mansfield"
8100,5,53.14944,-1.16664,330,"  330GMA0139","Mansfield"
8104,5,53.15705,-1.15912,330,"  330GMA0138","Mansfield"
8135,5,53.15698,-1.15726,330,"  330GMA0132","Mansfield"
8138,5,53.14522,-1.15505,330,"  330GMA0135","Mansfield"
8139,5,53.20467,-1.182,330,"  330GMA0134","Mansfield"
9065,5,53.14489,-1.2186,330,"  330GMA0185","Mansfield"
