"node","layer","lat","lon","zone","atcocode","city"
674,4,51.3908,1.40116,240,"900GNX000357","Margate"
674,5,51.3908,1.40116,240,"900GNX000357","Margate"
12278,2,51.3775,1.30142,240," 910GBCNGNOS","Margate"
12278,5,51.3775,1.30142,240," 910GBCNGNOS","Margate"
14615,2,51.38704,1.37758,240," 910GMARGATE","Margate"
14615,5,51.38704,1.37758,240," 910GMARGATE","Margate"
14615,4,51.38704,1.37758,240," 910GMARGATE","Margate"
17849,4,51.38595,1.40878,240,"900GNX000356","Margate"
17849,5,51.38595,1.40878,240,"900GNX000356","Margate"
18806,5,51.38145,1.33838,240," 910GWESGTOS","Margate"
18806,2,51.38145,1.33838,240," 910GWESGTOS","Margate"
18806,4,51.38145,1.33838,240," 910GWESGTOS","Margate"
22487,4,51.37389,1.3074,240,"900GNX000153","Margate"
22487,5,51.37389,1.3074,240,"900GNX000153","Margate"
52606,5,51.38399,1.36277,240,"2400A042710A","Margate"
53338,5,51.36923,1.30024,240,"2400A042510A","Margate"
54246,5,51.37643,1.40262,240,"2400A044710A","Margate"
54744,5,51.37797,1.28901,240,"2400A041870A","Margate"
56550,5,51.38027,1.38961,240,"2400A044910A","Margate"
57335,5,51.33797,1.28494,240,"2400A042330A","Margate"
58080,5,51.38728,1.38453,240,"   240096298","Margate"
58366,5,51.3919,1.39115,240,"  2400100332","Margate"
58871,5,51.38126,1.39841,240,"2400A044550A","Margate"
62210,5,51.3664,1.30775,240,"2400A042490A","Margate"
62357,5,51.3787,1.40056,240,"2400A044720A","Margate"
64498,5,51.38024,1.34368,240,"  2400100252","Margate"
64500,5,51.38307,1.34183,240,"  2400100256","Margate"
65402,5,51.3711,1.30185,240,"2400A073650A","Margate"
66524,5,51.37772,1.29237,240,"2400A041910A","Margate"
66856,5,51.38295,1.40604,240,"2400A044520A","Margate"
69152,5,51.36826,1.2987,240,"2400A042210A","Margate"
70183,5,51.38055,1.4027,240,"2400A044540A","Margate"
72321,5,51.37656,1.31425,240,"2400A042180A","Margate"
73205,5,51.33476,1.31027,240,"2400A042310A","Margate"
77136,5,51.37055,1.30186,240,"2400A042200A","Margate"
81990,5,51.38307,1.35877,240,"2400A042700A","Margate"
82856,5,51.38212,1.41027,240,"2400A044500A","Margate"
85119,5,51.37031,1.30941,240,"2400A042230A","Margate"
85162,5,51.39071,1.41339,240,"   240075424","Margate"
85675,5,51.37764,1.31759,240,"2400A041950A","Margate"
86706,5,51.38752,1.39833,240,"2400A044410A","Margate"
90024,5,51.38097,1.39315,240,"2400A044780A","Margate"
90965,5,51.38217,1.40966,240,"2400A044510A","Margate"
93171,5,51.36344,1.29169,240,"2400A042220A","Margate"
93791,5,51.3828,1.35433,240,"2400A042680A","Margate"
94389,5,51.37257,1.38884,240,"2400A046680A","Margate"
94823,5,51.38671,1.4018,240,"2400A044400A","Margate"
99529,5,51.3773,1.39254,240,"2400A044820A","Margate"
101189,5,51.34114,1.31609,240,"2400A042250A","Margate"
101483,5,51.38573,1.383,240,"2400A043840A","Margate"
101958,5,51.38007,1.35604,240,"2400A042580A","Margate"
102719,5,51.38956,1.39116,240,"2400A044430A","Margate"
104120,5,51.33566,1.30374,240,"2400A042410A","Margate"
105345,5,51.37241,1.32599,240,"2400A042070A","Margate"
