"node","layer","lat","lon","zone","atcocode","city"
32464,5,51.22402,-2.52342,360,"900GNX001080","Mendip"
44091,4,51.19159,-2.548,360,"900GNX001298","Mendip"
44091,5,51.19159,-2.548,360,"900GNX001298","Mendip"
51518,5,51.24126,-2.54995,360,"3600SOA56843","Mendip"
51521,5,51.24131,-2.54982,360,"3600SOA56844","Mendip"
57551,5,51.22944,-2.51211,360,"3600SOB21657","Mendip"
57552,5,51.22953,-2.51217,360,"3600SOB21656","Mendip"
57553,5,51.23798,-2.54199,360,"3600SOB21655","Mendip"
57554,5,51.23852,-2.54282,360,"3600SOB21654","Mendip"
57555,5,51.24534,-2.5714,360,"3600SOB21653","Mendip"
57556,5,51.24514,-2.57108,360,"3600SOB21652","Mendip"
61025,5,51.22584,-2.69884,360,"3600SOB21079","Mendip"
61026,5,51.22591,-2.69859,360,"3600SOB21078","Mendip"
61027,5,51.21371,-2.67739,360,"3600SOB21077","Mendip"
61028,5,51.21373,-2.67711,360,"3600SOB21076","Mendip"
61029,5,51.21178,-2.6727,360,"3600SOB21075","Mendip"
61030,5,51.21084,-2.67167,360,"3600SOB21074","Mendip"
61031,5,51.20893,-2.6652,360,"3600SOB21073","Mendip"
61032,5,51.20928,-2.6614,360,"3600SOB21072","Mendip"
61033,5,51.20937,-2.66145,360,"3600SOB21071","Mendip"
61034,5,51.21668,-2.66517,360,"3600SOB21070","Mendip"
67142,5,51.24419,-2.54232,360,"3600SOB21644","Mendip"
67143,5,51.24201,-2.54272,360,"3600SOB21645","Mendip"
67144,5,51.24193,-2.54268,360,"3600SOB21646","Mendip"
67145,5,51.25846,-2.53903,360,"3600SOB21640","Mendip"
67146,5,51.25854,-2.53938,360,"3600SOB21641","Mendip"
67147,5,51.24578,-2.54292,360,"3600SOB21642","Mendip"
67148,5,51.24418,-2.54246,360,"3600SOB21643","Mendip"
67151,5,51.2407,-2.54766,360,"3600SOB21648","Mendip"
67152,5,51.24413,-2.5554,360,"3600SOB21649","Mendip"
68929,5,51.18594,-2.55204,360,"3600SOA04168","Mendip"
70531,5,51.2192,-2.66928,360,"3600SOB21068","Mendip"
70532,5,51.21677,-2.66509,360,"3600SOB21069","Mendip"
70533,5,51.21371,-2.66089,360,"3600SOB21064","Mendip"
70534,5,51.21378,-2.66094,360,"3600SOB21065","Mendip"
70535,5,51.2192,-2.66915,360,"3600SOB21066","Mendip"
