"node","layer","lat","lon","zone","atcocode","city"
570,2,52.0343,-0.77414,49," 910GMKNSCEN","Milton Keynes"
570,5,52.0343,-0.77414,49," 910GMKNSCEN","Milton Keynes"
6157,5,52.06392,-0.86607,300,"     300G242","Milton Keynes"
6603,5,52.05012,-0.8824,300,"     300G122","Milton Keynes"
6744,5,52.07598,-0.84771,300,"    300G114B","Milton Keynes"
8874,4,52.05042,-0.73918,49,"049G04405035","Milton Keynes"
8874,5,52.05042,-0.73918,49,"049G04405035","Milton Keynes"
18107,5,52.0415,-0.75588,49,"049G03030942","Milton Keynes"
18110,5,52.04414,-0.75129,49,"049G03030947","Milton Keynes"
21856,5,52.03911,-0.76292,49,"049G03020937","Milton Keynes"
21857,5,52.03715,-0.76755,49,"049G03020933","Milton Keynes"
26888,5,52.02127,-0.74606,49,"049G04605869","Milton Keynes"
29153,5,52.06046,-0.8668,300,"    300G242B","Milton Keynes"
29160,5,52.05861,-0.86804,300,"    300G242C","Milton Keynes"
29176,5,52.06251,-0.86536,300,"    300G242A","Milton Keynes"
33709,5,52.04969,-0.88581,300,"    300G122A","Milton Keynes"
33711,5,52.05612,-0.88976,300,"    300G122C","Milton Keynes"
33712,5,52.05494,-0.88555,300,"    300G122B","Milton Keynes"
33713,5,52.05679,-0.89422,300,"    300G122E","Milton Keynes"
33714,5,52.05763,-0.89247,300,"    300G122D","Milton Keynes"
33715,5,52.05272,-0.89336,300,"    300G122G","Milton Keynes"
33716,5,52.05454,-0.8951,300,"    300G122F","Milton Keynes"
33717,5,52.05087,-0.89061,300,"    300G122H","Milton Keynes"
45149,2,52.06428,-0.80688,49,"    910GWLVR","Milton Keynes"
45149,5,52.06428,-0.80688,49,"    910GWLVR","Milton Keynes"
52350,5,52.03208,-0.74681,49,"049004305520","Milton Keynes"
52580,5,52.0211,-0.80658,49,"0490HLRDSIN2","Milton Keynes"
52581,5,52.02105,-0.80668,49,"0490HLRDSIN1","Milton Keynes"
52695,5,52.08886,-0.74344,49,"0490HLRDWES1","Milton Keynes"
52786,5,52.05005,-0.78131,49,"049003855671","Milton Keynes"
52937,5,52.05433,-0.80686,49,"049003295458","Milton Keynes"
53234,5,52.08473,-0.72849,49,"049003715749","Milton Keynes"
53302,5,52.05128,-0.83754,49,"049003155364","Milton Keynes"
53303,5,52.05144,-0.83762,49,"049003155368","Milton Keynes"
53310,5,52.0609,-0.7469,49,"049003915638","Milton Keynes"
53311,5,52.06032,-0.7463,49,"049003915633","Milton Keynes"
53404,5,52.02694,-0.78695,49,"049004165202","Milton Keynes"
54270,5,52.03344,-0.70081,49,"049004725165","Milton Keynes"
54621,5,52.08234,-0.74095,49,"049003675705","Milton Keynes"
54622,5,52.08445,-0.73516,49,"049003675706","Milton Keynes"
56997,5,52.02715,-0.69076,49,"049005185668","Milton Keynes"
56998,5,52.02724,-0.69038,49,"049005185669","Milton Keynes"
57489,5,52.05183,-0.79083,49,"049003415444","Milton Keynes"
57490,5,52.05198,-0.79152,49,"049003415441","Milton Keynes"
58112,5,52.05064,-0.8003,49,"049003325793","Milton Keynes"
58113,5,52.05033,-0.80095,49,"049003325794","Milton Keynes"
58619,5,52.02459,-0.75703,49,"049004255551","Milton Keynes"
58803,5,52.08526,-0.7309,49,"049003685726","Milton Keynes"
59345,5,52.06528,-0.74224,49,"049003615579","Milton Keynes"
59346,5,52.06588,-0.74139,49,"049003615570","Milton Keynes"
60061,5,52.01788,-0.74665,49,"049004595281","Milton Keynes"
60259,5,52.0217,-0.72606,49,"049005065216","Milton Keynes"
60794,5,52.0567,-0.82403,49,"049003195376","Milton Keynes"
60795,5,52.05429,-0.81804,49,"049003195375","Milton Keynes"
61046,5,52.09309,-0.64833,49,"049002539081","Milton Keynes"
62032,5,52.0777,-0.75363,49,"049003585423","Milton Keynes"
62053,5,52.11271,-0.83269,49,"049002319611","Milton Keynes"
62075,5,52.03216,-0.74451,49,"049004305510","Milton Keynes"
62100,5,52.08735,-0.73861,49,"0490HLRDWES4","Milton Keynes"
62466,5,52.05056,-0.78109,49,"049003855666","Milton Keynes"
63456,5,52.02089,-0.77586,49,"0490HLRDNOR2","Milton Keynes"
63457,5,52.02093,-0.77579,49,"0490HLRDNOR1","Milton Keynes"
63538,5,52.11406,-0.82742,49,"049002319101","Milton Keynes"
64165,5,51.99938,-0.86359,40,"040000004531","Milton Keynes"
64166,5,51.99931,-0.86352,40,"040000004532","Milton Keynes"
64171,5,52.00335,-0.86579,40,"040000004539","Milton Keynes"
64304,5,52.04964,-0.69187,49,"049000005096","Milton Keynes"
64363,5,52.0596,-0.78548,49,"049003385335","Milton Keynes"
64367,5,52.05763,-0.78565,49,"049003385336","Milton Keynes"
65760,5,52.04013,-0.80241,49,"049003795836","Milton Keynes"
65783,5,52.04316,-0.80338,49,"049003795833","Milton Keynes"
68076,5,52.03092,-0.74486,49,"049004305259","Milton Keynes"
69039,5,52.02852,-0.75308,49,"049004275533","Milton Keynes"
69040,5,52.02846,-0.75279,49,"049004275532","Milton Keynes"
69432,5,52.03319,-0.74025,49,"049004325537","Milton Keynes"
69592,5,52.01566,-0.80657,49,"049001945788","Milton Keynes"
69827,5,52.02239,-0.72593,49,"049005065222","Milton Keynes"
71460,5,52.06638,-0.76205,49,"0490HLRDSTA2","Milton Keynes"
71562,5,52.06241,-0.81908,49,"049003095305","Milton Keynes"
71563,5,52.06214,-0.82339,49,"049003095304","Milton Keynes"
71564,5,52.06269,-0.81498,49,"049003095306","Milton Keynes"
71577,5,52.11387,-0.82725,49,"049002319601","Milton Keynes"
71708,5,52.05356,-0.84636,49,"049003125356","Milton Keynes"
71709,5,52.05421,-0.848,49,"049003125357","Milton Keynes"
71869,5,52.05316,-0.81048,49,"049003275461","Milton Keynes"
71870,5,52.0533,-0.81064,49,"049003275462","Milton Keynes"
72220,5,52.05002,-0.69398,49,"049004515450","Milton Keynes"
72600,5,52.02469,-0.73416,49,"049004635249","Milton Keynes"
73003,5,52.04004,-0.80207,49,"049003795837","Milton Keynes"
73006,5,52.04342,-0.8032,49,"049003795832","Milton Keynes"
73052,5,52.11273,-0.83285,49,"049002319111","Milton Keynes"
73446,5,52.05625,-0.78762,49,"049003395694","Milton Keynes"
73447,5,52.0564,-0.78802,49,"049003395695","Milton Keynes"
73688,5,52.08228,-0.74024,49,"049003675727","Milton Keynes"
74812,5,52.08238,-0.7419,49,"049003665723","Milton Keynes"
76066,5,52.03687,-0.79854,49,"049003805657","Milton Keynes"
76068,5,52.03486,-0.8027,49,"049003805658","Milton Keynes"
76069,5,52.03497,-0.80287,49,"049003805659","Milton Keynes"
77221,5,52.02595,-0.80346,49,"0490HLRDMUN1","Milton Keynes"
77222,5,52.02583,-0.80344,49,"0490HLRDMUN2","Milton Keynes"
79560,5,52.04803,-0.70889,49,"049004485431","Milton Keynes"
79561,5,52.04818,-0.70935,49,"049004485430","Milton Keynes"
79858,5,52.03608,-0.68981,49,"049004705400","Milton Keynes"
80070,5,52.0506,-0.83544,49,"049003155874","Milton Keynes"
80552,5,52.12747,-0.77505,49,"049002739511","Milton Keynes"
80593,5,52.03218,-0.79038,49,"049003955548","Milton Keynes"
80594,5,52.03491,-0.78735,49,"049003955549","Milton Keynes"
81100,5,52.03349,-0.80236,49,"049003935546","Milton Keynes"
81101,5,52.03159,-0.79779,49,"049003935547","Milton Keynes"
81781,5,52.05111,-0.81742,49,"049003265379","Milton Keynes"
81961,5,52.05024,-0.69417,49,"049004515449","Milton Keynes"
82082,5,52.0346,-0.75033,49,"049004295796","Milton Keynes"
82083,5,52.03407,-0.75126,49,"049004295795","Milton Keynes"
82363,5,52.07825,-0.72941,49,"049003725772","Milton Keynes"
82433,5,52.0657,-0.79314,49,"049003355342","Milton Keynes"
82695,5,52.03933,-0.72908,49,"049004475427","Milton Keynes"
82697,5,52.03923,-0.72894,49,"049004475428","Milton Keynes"
83215,5,52.06093,-0.76192,49,"049003485320","Milton Keynes"
83818,5,52.02731,-0.80735,49,"0490HLRDHEN2","Milton Keynes"
83819,5,52.02738,-0.80729,49,"0490HLRDHEN1","Milton Keynes"
83926,5,52.08596,-0.7256,49,"049003695725","Milton Keynes"
84543,5,52.04648,-0.7777,49,"049003845655","Milton Keynes"
