"node","layer","lat","lon","zone","atcocode","city"
27943,5,54.07455,-2.83533,910,"  910GBARELA","Morecambe"
27943,2,54.07455,-2.83533,910,"  910GBARELA","Morecambe"
39655,4,54.10442,-2.79318,250,"900GNX000183","Morecambe"
39655,5,54.10442,-2.79318,250,"900GNX000183","Morecambe"
42525,4,54.07033,-2.86931,910," 910GMORCAME","Morecambe"
42525,2,54.07033,-2.86931,910," 910GMORCAME","Morecambe"
42525,5,54.07033,-2.86931,910," 910GMORCAME","Morecambe"
49979,4,54.12969,-2.77123,910,"    910GCRNF","Morecambe"
49979,2,54.12969,-2.77123,910,"    910GCRNF","Morecambe"
49979,5,54.12969,-2.77123,910,"    910GCRNF","Morecambe"
56230,5,54.06664,-2.83049,250,"     2500990","Morecambe"
56631,5,54.06497,-2.87859,250," 2500DCL4003","Morecambe"
56633,5,54.06569,-2.87995,250," 2500DCL4002","Morecambe"
56769,5,54.13391,-2.77074,250,"   250015502","Morecambe"
56911,5,54.03102,-2.91063,250,"2500LAA15740","Morecambe"
57063,5,54.12317,-2.76465,250," 2500LA00292","Morecambe"
57064,5,54.12307,-2.76454,250," 2500LA00293","Morecambe"
57065,5,54.12586,-2.76282,250," 2500LA00295","Morecambe"
57066,5,54.12843,-2.76664,250," 2500LA00296","Morecambe"
57067,5,54.12959,-2.76647,250," 2500LA00297","Morecambe"
57547,5,54.08772,-2.81703,250," 2500DCL2048","Morecambe"
58354,5,54.06637,-2.83191,250,"   250012537","Morecambe"
58357,5,54.06602,-2.88031,250,"   250012531","Morecambe"
58358,5,54.06381,-2.87614,250,"   250012530","Morecambe"
58360,5,54.06679,-2.83024,250,"   250012538","Morecambe"
60127,5,54.1004,-2.79381,250,"2500LAA16074","Morecambe"
64097,5,54.03829,-2.89851,250,"2500LAA07501","Morecambe"
64098,5,54.03558,-2.89715,250,"2500LAA07500","Morecambe"
64104,5,54.06457,-2.84335,250,"2500LAA07509","Morecambe"
65654,5,54.07646,-2.8595,250,"     2500964","Morecambe"
65655,5,54.06371,-2.87624,250,"     2500960","Morecambe"
65656,5,54.06468,-2.87779,250,"     2500962","Morecambe"
