"node","layer","lat","lon","zone","atcocode","city"
72,5,53.73941,-1.66247,450,"    450G7853","Morley"
532,5,53.75104,-1.53772,450,"    450G4561","Morley"
533,5,53.75123,-1.53242,450,"    450G4563","Morley"
1146,5,53.74624,-1.57766,450,"    450G4002","Morley"
1674,5,53.73227,-1.5277,450,"    450G2499","Morley"
1675,5,53.7286,-1.53169,450,"    450G2498","Morley"
2018,5,53.75488,-1.59748,450,"    450G2634","Morley"
2326,5,53.75056,-1.52474,450,"    450G3138","Morley"
2334,5,53.74792,-1.52489,450,"    450G2840","Morley"
2336,5,53.74958,-1.52596,450,"    450G2842","Morley"
2337,5,53.75065,-1.52585,450,"    450G2843","Morley"
3451,5,53.74051,-1.60995,450,"    450G4150","Morley"
3452,5,53.73802,-1.61186,450,"    450G4151","Morley"
3453,5,53.73703,-1.60865,450,"    450G4152","Morley"
3454,5,53.73655,-1.60303,450,"    450G4153","Morley"
4238,5,53.74153,-1.59295,450,"    450G6459","Morley"
4348,5,53.7244,-1.56312,450,"    450G5501","Morley"
4532,5,53.74489,-1.62276,450,"    450G5387","Morley"
4544,5,53.73675,-1.64048,450,"    450G5380","Morley"
5479,5,53.72481,-1.5606,450,"    450G5505","Morley"
5585,5,53.7393,-1.5469,450,"    450G2504","Morley"
5930,5,53.74871,-1.53703,450,"    450G2516","Morley"
5931,5,53.74933,-1.53335,450,"    450G2517","Morley"
5932,5,53.7484,-1.54158,450,"    450G2514","Morley"
6183,5,53.75087,-1.54688,450,"    450G4554","Morley"
6186,5,53.75137,-1.5429,450,"    450G4557","Morley"
6403,5,53.76084,-1.56681,450,"    450G3302","Morley"
6474,5,53.73955,-1.60441,450,"    450G9366","Morley"
6487,5,53.73845,-1.60538,450,"    450G9367","Morley"
6488,5,53.74189,-1.57017,450,"    450G5049","Morley"
6489,5,53.7361,-1.57493,450,"    450G5048","Morley"
6497,5,53.73061,-1.57708,450,"    450G5047","Morley"
6695,5,53.73605,-1.64282,450,"    450G6556","Morley"
6696,5,53.73319,-1.64624,450,"    450G6554","Morley"
7241,5,53.75007,-1.60607,450,"    450G4187","Morley"
7242,5,53.75111,-1.60379,450,"    450G4186","Morley"
7553,5,53.73464,-1.64466,450,"    450G6555","Morley"
7985,5,53.75373,-1.56069,450,"    450G2817","Morley"
7987,5,53.75265,-1.55964,450,"    450G2815","Morley"
8655,5,53.72478,-1.55001,450,"    450G5952","Morley"
9212,5,53.74755,-1.60893,450,"    450G4188","Morley"
9237,5,53.723,-1.58267,450,"    450G6610","Morley"
9238,5,53.71995,-1.5817,450,"    450G6613","Morley"
9495,2,53.74994,-1.59097,910,"    910GMRLY","Morley"
9495,5,53.74994,-1.59097,910,"    910GMRLY","Morley"
10014,5,53.76947,-1.59536,450,"    450G5191","Morley"
10021,5,53.7725,-1.59089,450,"    450G5190","Morley"
10038,5,53.72368,-1.53792,450,"    450G2495","Morley"
10207,5,53.73012,-1.56885,450,"    450G5526","Morley"
10214,5,53.72938,-1.56283,450,"    450G5525","Morley"
10618,5,53.7243,-1.57673,450,"    450G6582","Morley"
10662,5,53.73379,-1.65116,450,"    450G5376","Morley"
10685,5,53.73488,-1.64783,450,"    450G5378","Morley"
11101,5,53.7527,-1.59977,450,"    450G2631","Morley"
11840,5,53.74567,-1.57502,450,"    450G4001","Morley"
11842,5,53.74489,-1.59076,450,"    450G4006","Morley"
12820,5,53.7247,-1.57171,450,"    450G6581","Morley"
12876,5,53.7461,-1.60214,450,"    450G2619","Morley"
13012,5,53.75282,-1.60813,450,"    450G5556","Morley"
13091,5,53.76706,-1.578,450,"    450G2782","Morley"
13203,5,53.74106,-1.64884,450,"    450G5179","Morley"
14509,5,53.75916,-1.59299,450,"    450G2636","Morley"
15502,5,53.74253,-1.64578,450,"    450G5181","Morley"
16478,5,53.75246,-1.6585,450,"    450G7895","Morley"
17156,5,53.72697,-1.5517,450,"    450G5940","Morley"
17429,5,53.76242,-1.56352,450,"    450G3303","Morley"
18495,5,53.75962,-1.56667,450,"    450G3301","Morley"
18795,5,53.73197,-1.58013,450,"    450G5527","Morley"
18799,5,53.72838,-1.5562,450,"    450G5523","Morley"
19228,5,53.73612,-1.59546,450,"    450G2540","Morley"
19233,5,53.73802,-1.59682,450,"    450G2543","Morley"
19301,5,53.74167,-1.50755,450,"    450G2865","Morley"
19915,5,53.72663,-1.56998,450,"    450G5791","Morley"
19916,5,53.7253,-1.5696,450,"    450G5790","Morley"
19917,5,53.72489,-1.56409,450,"    450G5793","Morley"
19918,5,53.7279,-1.56666,450,"    450G5792","Morley"
19963,5,53.76352,-1.64019,450,"    450G4777","Morley"
19965,5,53.76337,-1.63761,450,"    450G4779","Morley"
20922,5,53.73621,-1.59862,450,"    450G4154","Morley"
21470,5,53.74673,-1.5212,450,"    450G2839","Morley"
21472,5,53.75277,-1.53023,450,"    450G2830","Morley"
22113,5,53.76038,-1.57472,450,"    450G8341","Morley"
22200,5,53.76118,-1.58927,450,"    450G2640","Morley"
22201,5,53.7627,-1.58592,450,"    450G2641","Morley"
23352,5,53.73872,-1.60216,450,"    450G6447","Morley"
23353,5,53.73716,-1.60465,450,"    450G6441","Morley"
25122,5,53.72811,-1.62147,450,"    450G6999","Morley"
25127,5,53.73541,-1.61413,450,"    450G6995","Morley"
25248,5,53.73687,-1.65489,450,"    450G5212","Morley"
25249,5,53.73871,-1.65313,450,"    450G5213","Morley"
27213,5,53.75107,-1.60455,450,"    450G5552","Morley"
27930,5,53.74623,-1.60183,450,"    450G2617","Morley"
28433,5,53.72129,-1.59017,450,"    450G5035","Morley"
28449,5,53.75021,-1.64164,450,"    450G6607","Morley"
28451,5,53.72487,-1.58427,450,"    450G6609","Morley"
28595,5,53.71555,-1.59199,450,"    450G5785","Morley"
29420,5,53.74775,-1.58318,450,"    450G7404","Morley"
29887,5,53.74922,-1.60722,450,"    450G6599","Morley"
29888,5,53.73211,-1.59058,450,"    450G6595","Morley"
30234,5,53.76525,-1.5812,450,"    450G2647","Morley"
30404,5,53.75236,-1.56979,450,"    450G3995","Morley"
30433,5,53.76204,-1.57025,450,"    450G2717","Morley"
30434,5,53.76427,-1.56212,450,"    450G2711","Morley"
30848,5,53.74222,-1.60375,450,"    450G2551","Morley"
30881,5,53.73417,-1.59061,450,"    450G5977","Morley"
31361,5,53.74123,-1.60135,450,"    450G2547","Morley"
32221,5,53.73987,-1.5918,450,"    450G5541","Morley"
32222,5,53.73991,-1.59622,450,"    450G5543","Morley"
32225,5,53.74936,-1.60381,450,"    450G5548","Morley"
32281,5,53.74925,-1.55511,450,"    450G3263","Morley"
32795,5,53.74599,-1.61932,450,"    450G5388","Morley"
33248,5,53.71597,-1.59327,450,"    450G5006","Morley"
33308,5,53.72377,-1.56702,450,"    450G5500","Morley"
33322,2,53.76783,-1.5877,910," 910GCOTNGLY","Morley"
33322,5,53.76783,-1.5877,910," 910GCOTNGLY","Morley"
33635,5,53.74852,-1.60257,450,"    450G2626","Morley"
34122,5,53.75307,-1.61311,450,"    450G6659","Morley"
34126,5,53.75174,-1.61065,450,"    450G6657","Morley"
34635,5,53.73874,-1.53729,450,"    450G8172","Morley"
35355,5,53.74814,-1.54785,450,"    450G2511","Morley"
35855,5,53.74198,-1.60709,450,"    450G4149","Morley"
35856,5,53.75054,-1.5999,450,"    450G4148","Morley"
35859,5,53.75723,-1.59486,450,"    450G4141","Morley"
36327,5,53.72567,-1.53477,450,"    450G2496","Morley"
36361,5,53.75077,-1.52901,450,"    450G2518","Morley"
36441,5,53.74391,-1.49987,450,"    450G3658","Morley"
36599,5,53.73882,-1.54334,450,"    450G2585","Morley"
36708,5,53.74275,-1.58946,450,"    450G6460","Morley"
36709,5,53.74406,-1.58407,450,"    450G6461","Morley"
37328,5,53.74378,-1.5497,450,"    450G2825","Morley"
37356,5,53.75075,-1.53136,450,"    450G2829","Morley"
38265,5,53.74314,-1.6628,450,"   450G10105","Morley"
38408,5,53.76575,-1.57537,450,"    450G2505","Morley"
38409,5,53.74229,-1.54765,450,"    450G2507","Morley"
38411,5,53.73705,-1.52283,450,"    450G2501","Morley"
38412,5,53.73354,-1.52058,450,"    450G2500","Morley"
38413,5,53.73892,-1.53207,450,"    450G2502","Morley"
38416,5,53.74586,-1.54778,450,"    450G2508","Morley"
38996,5,53.72536,-1.58456,450,"    450G5036","Morley"
39020,5,53.71601,-1.58791,450,"    450G5786","Morley"
39021,5,53.71627,-1.58234,450,"    450G5787","Morley"
39025,5,53.71615,-1.57956,450,"    450G5788","Morley"
39026,5,53.71482,-1.57611,450,"    450G5789","Morley"
