"node","layer","lat","lon","zone","atcocode","city"
4467,5,51.60584,-3.09223,910,"   910GRISCA","Newport"
4467,2,51.60584,-3.09223,910,"   910GRISCA","Newport"
5273,4,51.58974,-2.99865,910," 910GNWPTRTG","Newport"
5273,2,51.58974,-2.99865,910," 910GNWPTRTG","Newport"
5273,5,51.58974,-2.99865,910," 910GNWPTRTG","Newport"
19196,5,51.59561,-3.06663,910," 910GROGRSTN","Newport"
19196,2,51.59561,-3.06663,910," 910GROGRSTN","Newport"
52898,5,51.60263,-3.07764,554,"5540AWB33108","Newport"
53199,5,51.61772,-2.95973,531,"5310AWB30667","Newport"
53456,5,51.59182,-2.96279,531,"5310AWB30716","Newport"
53457,5,51.5902,-2.96167,531,"5310AWB30717","Newport"
53458,5,51.59378,-2.96153,531,"5310AWB30714","Newport"
53459,5,51.59449,-2.96458,531,"5310AWB30712","Newport"
53460,5,51.59409,-2.9622,531,"5310AWB30713","Newport"
53461,5,51.59438,-2.96953,531,"5310AWB30710","Newport"
53462,5,51.59424,-2.96993,531,"5310AWB30711","Newport"
53463,5,51.59068,-2.95961,531,"5310AWB30718","Newport"
53464,5,51.59285,-2.95871,531,"5310AWB30719","Newport"
53640,5,51.56053,-3.03275,531,"5310ANZ16899","Newport"
54996,5,51.54442,-3.07909,531,"5310AWB31072","Newport"
55131,5,51.61644,-2.96986,531,"5310AWB30663","Newport"
55133,5,51.61926,-2.9673,531,"5310AWB30661","Newport"
55136,5,51.61282,-2.95666,531,"5310AWB30664","Newport"
55137,5,51.61435,-2.95818,531,"5310AWB30665","Newport"
55138,5,51.61845,-2.9599,531,"5310AWB30668","Newport"
55139,5,51.62174,-2.96296,531,"5310AWB30669","Newport"
55494,5,51.54167,-3.07603,531,"5310AWB31074","Newport"
55495,5,51.53679,-3.07564,531,"5310AWB31075","Newport"
55496,5,51.53677,-3.07571,531,"5310AWB31076","Newport"
55497,5,51.5331,-3.06533,531,"5310AWB31077","Newport"
55498,5,51.55008,-3.06963,531,"5310AWB31070","Newport"
55499,5,51.54536,-3.07924,531,"5310AWB31071","Newport"
55500,5,51.54138,-3.07566,531,"5310AWB31073","Newport"
55501,5,51.53285,-3.06504,531,"5310AWB31078","Newport"
55502,5,51.53161,-3.06227,531,"5310AWB31079","Newport"
55650,5,51.57575,-2.96607,531,"5310AWB30950","Newport"
55651,5,51.57514,-2.96058,531,"5310AWB30951","Newport"
55652,5,51.57498,-2.9617,531,"5310AWB30952","Newport"
55653,5,51.57526,-2.95606,531,"5310AWB30953","Newport"
55654,5,51.57507,-2.95589,531,"5310AWB30954","Newport"
55655,5,51.57731,-2.9481,531,"5310AWB30955","Newport"
55656,5,51.57743,-2.94723,531,"5310AWB30956","Newport"
55657,5,51.57998,-2.94506,531,"5310AWB30957","Newport"
55658,5,51.58193,-2.94473,531,"5310AWB30958","Newport"
55659,5,51.58164,-2.9495,531,"5310AWB30959","Newport"
55948,5,51.58768,-2.99446,531,"5310AWB32207","Newport"
55949,5,51.58777,-2.99462,531,"5310AWB32204","Newport"
56236,5,51.59246,-3.06,531,"5310AWB33054","Newport"
56237,5,51.59416,-3.06061,531,"5310AWB33055","Newport"
56238,5,51.59479,-3.06207,531,"5310AWB33056","Newport"
56239,5,51.59503,-3.0622,531,"5310AWB33057","Newport"
56240,5,51.58595,-3.05656,531,"5310AWB33050","Newport"
56241,5,51.5872,-3.05805,531,"5310AWB33051","Newport"
56242,5,51.59177,-3.05966,531,"5310AWB33053","Newport"
56243,5,51.59307,-3.05383,531,"5310AWB33058","Newport"
56244,5,51.59423,-3.05717,531,"5310AWB33059","Newport"
58072,5,51.59003,-2.95412,531,"5310AWB35099","Newport"
58078,5,51.59039,-2.98265,531,"5310AWB35097","Newport"
62606,5,51.60394,-3.08433,554,"5540AWA17018","Newport"
62608,5,51.60796,-3.07863,554,"5540AWA17014","Newport"
63148,5,51.59018,-2.96616,531,"5310AWB30729","Newport"
63149,5,51.59428,-2.95327,531,"5310AWB30723","Newport"
63150,5,51.59363,-2.95534,531,"5310AWB30722","Newport"
63151,5,51.59314,-2.95806,531,"5310AWB30721","Newport"
63152,5,51.59301,-2.95912,531,"5310AWB30720","Newport"
63153,5,51.58834,-2.96615,531,"5310AWB30727","Newport"
63154,5,51.59557,-2.94982,531,"5310AWB30726","Newport"
63155,5,51.59559,-2.95017,531,"5310AWB30725","Newport"
63156,5,51.5942,-2.95321,531,"5310AWB30724","Newport"
64739,5,51.61534,-2.96963,531,"5310AWB30657","Newport"
64740,5,51.61388,-2.97467,531,"5310AWB30656","Newport"
64742,5,51.61559,-2.97751,531,"5310AWB30654","Newport"
64743,5,51.61394,-2.98075,531,"5310AWB30653","Newport"
64744,5,51.61301,-2.97851,531,"5310AWB30652","Newport"
64745,5,51.61183,-2.9778,531,"5310AWB30651","Newport"
64750,5,51.61691,-2.9734,531,"5310AWB30659","Newport"
64751,5,51.61553,-2.97056,531,"5310AWB30658","Newport"
65068,5,51.58335,-2.99961,531,"5310AWB31088","Newport"
65070,5,51.51567,-3.057,531,"5310AWB31081","Newport"
65071,5,51.53148,-3.0619,531,"5310AWB31080","Newport"
65072,5,51.53415,-3.01874,531,"5310AWB31083","Newport"
65073,5,51.52903,-3.0109,531,"5310AWB31085","Newport"
65074,5,51.53426,-3.01869,531,"5310AWB31084","Newport"
65075,5,51.56981,-3.01537,531,"5310AWB31087","Newport"
65076,5,51.56897,-3.01659,531,"5310AWB31086","Newport"
65454,5,51.57069,-3.01399,531,"5310AWB30499","Newport"
65455,5,51.57024,-3.01424,531,"5310AWB30498","Newport"
65456,5,51.57686,-3.05191,531,"5310AWB30491","Newport"
65457,5,51.57746,-3.04782,531,"5310AWB30493","Newport"
65458,5,51.57713,-3.04943,531,"5310AWB30492","Newport"
65541,5,51.58423,-2.9159,531,"5310AWB32232","Newport"
65542,5,51.58672,-2.99343,531,"5310AWB32231","Newport"
65543,5,51.58679,-2.99346,531,"5310AWB32230","Newport"
68804,5,51.61735,-2.86183,531,"5310AWB32052","Newport"
68805,5,51.61707,-2.86254,531,"5310AWB32051","Newport"
68806,5,51.61564,-2.86899,531,"5310AWB32050","Newport"
