"node","layer","lat","lon","zone","atcocode","city"
407,5,52.18273,-0.80496,300,"    300G189U","Northampton"
422,5,52.31945,-0.83902,300,"    300G189J","Northampton"
423,5,52.30522,-0.97945,300,"    300G189K","Northampton"
424,5,52.32158,-0.83847,300,"    300G189H","Northampton"
425,5,52.32036,-0.8386,300,"    300G189I","Northampton"
983,5,52.21382,-0.87934,300,"     300G179","Northampton"
1165,5,52.25096,-0.8985,300,"   300G019AA","Northampton"
1367,5,52.19438,-0.92841,300,"     300G231","Northampton"
1678,5,52.19713,-0.92804,300,"    300G231B","Northampton"
1679,5,52.19505,-0.92566,300,"    300G231C","Northampton"
1680,5,52.20987,-0.92213,300,"    300G231E","Northampton"
1681,5,52.20544,-0.92466,300,"    300G231F","Northampton"
1780,5,52.2974,-0.95961,300,"    300G092H","Northampton"
1783,5,52.28726,-0.94388,300,"    300G092S","Northampton"
1810,5,52.26317,-0.85021,300,"    300G007B","Northampton"
1811,5,52.27254,-0.85338,300,"    300G007A","Northampton"
1901,5,52.24192,-0.89858,300,"   300G019BS","Northampton"
1950,5,52.24408,-0.9556,300,"   300G024CH","Northampton"
1955,5,52.21827,-0.75102,300,"    300G126C","Northampton"
1961,5,52.24686,-0.96323,300,"   300G024CC","Northampton"
2296,5,52.27592,-0.86071,300,"   300G023F2","Northampton"
2516,5,52.25645,-0.88047,300,"   300G017E2","Northampton"
2581,5,52.28658,-0.85305,300,"   300G026MS","Northampton"
3205,5,52.27005,-0.89216,300,"   300G018BG","Northampton"
3208,5,52.26803,-0.89569,300,"   300G018BC","Northampton"
3244,5,52.27269,-0.8527,300,"   300G026T2","Northampton"
3280,5,52.23323,-0.94435,300,"    300G381S","Northampton"
3743,5,52.21123,-1.0107,300,"     300G082","Northampton"
3966,5,52.2585,-0.87657,300,"  300G031KEN","Northampton"
5021,5,52.23685,-0.94354,300,"    300G389P","Northampton"
5037,5,52.26725,-0.97821,300,"    300G389D","Northampton"
5041,5,52.23157,-1.0129,300,"    300G389M","Northampton"
5627,5,52.22298,-0.90752,300,"   300G011QE","Northampton"
5777,5,52.18759,-0.82116,300,"     300G175","Northampton"
6599,5,52.21388,-0.77603,300,"     300G126","Northampton"
6743,5,52.17062,-0.90021,300,"    300G114F","Northampton"
7047,5,52.18642,-0.88397,300,"   300G161RC","Northampton"
7334,5,52.32292,-0.90377,300,"   300G079C2","Northampton"
7335,5,52.31637,-0.90296,300,"   300G079C3","Northampton"
7814,5,52.24678,-0.92292,300,"    300G024R","Northampton"
7816,5,52.2538,-0.91579,300,"    300G024U","Northampton"
7817,5,52.2497,-0.91482,300,"    300G024V","Northampton"
7818,5,52.24879,-0.91165,300,"    300G024X","Northampton"
7819,5,52.24772,-0.91736,300,"    300G024Y","Northampton"
7820,5,52.24583,-0.91633,300,"    300G024Z","Northampton"
7822,5,52.25898,-0.95285,300,"    300G024B","Northampton"
7823,5,52.25471,-0.95203,300,"    300G024E","Northampton"
7824,5,52.25009,-0.96629,300,"    300G024F","Northampton"
7825,5,52.2479,-0.95789,300,"    300G024G","Northampton"
7826,5,52.24333,-0.94497,300,"    300G024H","Northampton"
7827,5,52.2429,-0.94274,300,"    300G024I","Northampton"
7828,5,52.24364,-0.93423,300,"    300G024J","Northampton"
7829,5,52.24196,-0.93163,300,"    300G024K","Northampton"
7830,5,52.24114,-0.92752,300,"    300G024L","Northampton"
7831,5,52.23973,-0.92893,300,"    300G024M","Northampton"
7832,5,52.24081,-0.92378,300,"    300G024O","Northampton"
