"node","layer","lat","lon","zone","atcocode","city"
73,5,52.62637,1.44428,290,"     290G795","Norwich"
712,5,52.65497,1.38498,290,"    290G1391","Norwich"
713,5,52.67922,1.32966,290,"    290G1390","Norwich"
1504,5,52.68069,1.21106,290,"     290G454","Norwich"
1505,5,52.68391,1.20342,290,"     290G455","Norwich"
1506,5,52.6856,1.19968,290,"     290G456","Norwich"
1521,5,52.6236,1.27678,290,"     290G186","Norwich"
1522,5,52.62236,1.27438,290,"     290G187","Norwich"
1523,5,52.62624,1.27517,290,"     290G184","Norwich"
1525,5,52.62636,1.27242,290,"     290G183","Norwich"
1526,5,52.62818,1.25964,290,"     290G180","Norwich"
1527,5,52.62624,1.26589,290,"     290G181","Norwich"
1531,5,52.62128,1.26416,290,"     290G188","Norwich"
1532,5,52.62274,1.2617,290,"     290G189","Norwich"
1774,5,52.5953,1.27543,290,"     290G237","Norwich"
2144,5,52.61555,1.2901,290,"     290G229","Norwich"
2145,5,52.6173,1.29128,290,"     290G228","Norwich"
2148,5,52.61434,1.28296,290,"     290G222","Norwich"
2149,5,52.62003,1.28372,290,"     290G221","Norwich"
2151,5,52.62161,1.29187,290,"     290G226","Norwich"
2152,5,52.62022,1.28647,290,"     290G225","Norwich"
2153,5,52.62071,1.28522,290,"     290G224","Norwich"
2600,5,52.55108,1.27,290,"    290G1886","Norwich"
2661,5,52.6887,1.19101,290,"    290G2039","Norwich"
3105,5,52.70638,1.28546,290,"    290G2218","Norwich"
3194,5,52.69075,1.28179,290,"    290G1296","Norwich"
3197,5,52.704,1.28072,290,"    290G1295","Norwich"
3200,5,52.71164,1.31291,290,"    290G1290","Norwich"
3273,5,52.64526,1.27636,290,"      290G16","Norwich"
3281,5,52.63576,1.29645,290,"      290G18","Norwich"
3843,5,52.63251,1.2204,290,"    290G2392","Norwich"
3846,5,52.70507,1.2386,290,"    290G2396","Norwich"
3847,5,52.57776,1.24976,290,"    290G2397","Norwich"
3848,5,52.68484,1.3193,290,"    290G2394","Norwich"
3849,5,52.68569,1.32698,290,"    290G2395","Norwich"
4463,5,52.65709,1.27896,290,"     290G387","Norwich"
4575,5,52.65968,1.28495,290,"     290G389","Norwich"
4922,5,52.70344,1.24009,290,"    290G1303","Norwich"
5358,5,52.63973,1.22597,290,"     290G137","Norwich"
5359,5,52.64065,1.22424,290,"     290G136","Norwich"
5360,5,52.64373,1.2217,290,"     290G134","Norwich"
5361,5,52.64404,1.22046,290,"     290G133","Norwich"
5362,5,52.6466,1.22209,290,"     290G132","Norwich"
5364,5,52.64949,1.21593,290,"     290G130","Norwich"
5369,5,52.64261,1.22836,290,"     290G139","Norwich"
5370,5,52.63795,1.22862,290,"     290G138","Norwich"
5572,5,52.56659,1.29723,290,"    290G2313","Norwich"
5573,5,52.54702,1.30847,290,"    290G2310","Norwich"
5574,5,52.56273,1.29654,290,"    290G2316","Norwich"
5576,5,52.57266,1.29558,290,"    290G2314","Norwich"
6426,5,52.64817,1.30574,290,"     290G340","Norwich"
6427,5,52.64525,1.30226,290,"     290G341","Norwich"
6428,5,52.64318,1.30032,290,"     290G342","Norwich"
6429,5,52.63919,1.2962,290,"     290G345","Norwich"
6430,5,52.64314,1.29709,290,"     290G346","Norwich"
6431,5,52.64607,1.29844,290,"     290G347","Norwich"
6432,5,52.649,1.29993,290,"     290G348","Norwich"
6433,5,52.65149,1.30145,290,"     290G349","Norwich"
6894,5,52.56945,1.40626,290,"    290G1542","Norwich"
7539,5,52.66416,1.38169,290,"    290G2118","Norwich"
7614,5,52.70875,1.3207,290,"    290G1289","Norwich"
7765,5,52.63792,1.36673,290,"     290G274","Norwich"
7766,5,52.63999,1.36451,290,"     290G275","Norwich"
7768,5,52.63362,1.36217,290,"     290G271","Norwich"
7769,5,52.63678,1.36338,290,"     290G273","Norwich"
7773,5,52.64557,1.36167,290,"     290G278","Norwich"
7774,5,52.64976,1.37021,290,"     290G279","Norwich"
8152,5,52.63082,1.29883,290,"      290G24","Norwich"
8159,5,52.63668,1.32809,290,"      290G28","Norwich"
8795,5,52.6469,1.20672,290,"    290G2267","Norwich"
8800,5,52.57858,1.29311,290,"    290G2261","Norwich"
8803,5,52.64501,1.21328,290,"    290G2268","Norwich"
8976,5,52.67376,1.23106,290,"     290G429","Norwich"
8977,5,52.66966,1.23997,290,"     290G428","Norwich"
8978,5,52.65992,1.25264,290,"     290G425","Norwich"
8979,5,52.66448,1.24746,290,"     290G427","Norwich"
8980,5,52.66189,1.25042,290,"     290G426","Norwich"
8981,5,52.66042,1.27495,290,"     290G421","Norwich"
8982,5,52.67003,1.25456,290,"     290G420","Norwich"
9187,5,52.62742,1.2815,290,"     290G185","Norwich"
9190,5,52.62633,1.2689,290,"     290G182","Norwich"
9481,5,52.61509,1.18966,290,"    290G1421","Norwich"
9482,5,52.63382,1.18402,290,"    290G1420","Norwich"
9582,5,52.6121,1.1821,290,"    290G2435","Norwich"
9623,5,52.6462,1.23475,290,"     290G110","Norwich"
10750,5,52.6758,1.22365,290,"      290G68","Norwich"
10751,5,52.61706,1.21996,290,"      290G69","Norwich"
10952,5,52.57846,1.33871,290,"   290GF1713","Norwich"
12250,5,52.66047,1.32872,290,"     290G332","Norwich"
12717,5,52.5594,1.27554,290,"    290G1517","Norwich"
12718,5,52.57476,1.24584,290,"    290G1516","Norwich"
12719,5,52.56932,1.2964,290,"    290G1519","Norwich"
12720,5,52.58739,1.29941,290,"    290G1518","Norwich"
12909,5,52.63064,1.27697,290,"     290G168","Norwich"
12915,5,52.63985,1.27903,290,"     290G161","Norwich"
12917,5,52.63617,1.28379,290,"     290G163","Norwich"
12918,5,52.63461,1.28573,290,"     290G164","Norwich"
12920,5,52.62961,1.28366,290,"     290G167","Norwich"
13107,2,52.62535,1.42324,290," 910GBRUNDLG","Norwich"
13107,5,52.62535,1.42324,290," 910GBRUNDLG","Norwich"
13204,5,52.61829,1.27914,290,"     290G220","Norwich"
13342,5,52.59219,1.35327,290,"    290G2145","Norwich"
14488,5,52.66607,1.26113,290,"     290G418","Norwich"
14492,5,52.66794,1.25801,290,"     290G419","Norwich"
15245,5,52.59795,1.36377,290,"    290G1416","Norwich"
15246,5,52.59463,1.38568,290,"    290G1417","Norwich"
15250,5,52.63243,1.18424,290,"    290G1419","Norwich"
15462,5,52.62582,1.22352,290,"     290G200","Norwich"
15463,5,52.61487,1.23254,290,"     290G202","Norwich"
15778,4,52.62616,1.29379,290,"    290G4444","Norwich"
15778,5,52.62616,1.29379,290,"    290G4444","Norwich"
16383,5,52.64047,1.29274,290,"    290G2233","Norwich"
16385,5,52.63808,1.30267,290,"    290G2239","Norwich"
16518,5,52.65133,1.31094,290,"      290G39","Norwich"
16519,5,52.62011,1.26979,290,"      290G38","Norwich"
16520,5,52.6286,1.24829,290,"      290G37","Norwich"
16521,5,52.63316,1.26094,290,"      290G36","Norwich"
17054,5,52.66117,1.25603,290,"    290G2370","Norwich"
17055,5,52.662,1.25863,290,"    290G2371","Norwich"
17056,5,52.66344,1.26126,290,"    290G2372","Norwich"
17057,5,52.66626,1.26644,290,"    290G2373","Norwich"
17060,5,52.68803,1.40345,290,"    290G2378","Norwich"
17167,5,52.64813,1.21324,290,"     290G128","Norwich"
17235,5,52.64058,1.34235,290,"     290G289","Norwich"
17236,5,52.63782,1.34288,290,"     290G288","Norwich"
17238,5,52.63958,1.34995,290,"     290G285","Norwich"
17239,5,52.64055,1.35116,290,"     290G284","Norwich"
17240,5,52.63562,1.34329,290,"     290G287","Norwich"
17241,5,52.63783,1.34751,290,"     290G286","Norwich"
17242,5,52.641,1.35717,290,"     290G281","Norwich"
17244,5,52.63293,1.35919,290,"     290G283","Norwich"
17245,5,52.63595,1.35873,290,"     290G282","Norwich"
17898,5,52.69411,1.24588,290,"    290G1304","Norwich"
18449,5,52.56622,1.34908,290,"    290G1528","Norwich"
18450,5,52.57208,1.32402,290,"    290G1520","Norwich"
18451,5,52.58927,1.3241,290,"    290G1521","Norwich"
18452,5,52.5839,1.33406,290,"    290G1522","Norwich"
18453,5,52.58204,1.33566,290,"    290G1523","Norwich"
18454,5,52.58033,1.33718,290,"    290G1524","Norwich"
18455,5,52.57271,1.34384,290,"    290G1526","Norwich"
18456,5,52.56971,1.34532,290,"    290G1527","Norwich"
18673,5,52.64441,1.23535,290,"     290G111","Norwich"
18675,5,52.64223,1.23565,290,"     290G117","Norwich"
19804,5,52.65828,1.29094,290,"     290G369","Norwich"
19805,5,52.65808,1.30147,290,"     290G362","Norwich"
19806,5,52.66895,1.29837,290,"     290G363","Norwich"
19807,5,52.66616,1.3151,290,"     290G361","Norwich"
19808,5,52.66302,1.29536,290,"     290G366","Norwich"
19809,5,52.66096,1.29327,290,"     290G367","Norwich"
19810,5,52.668,1.29636,290,"     290G364","Norwich"
19811,5,52.66593,1.29653,290,"     290G365","Norwich"
20574,5,52.67768,1.21969,290,"     290G444","Norwich"
20591,5,52.61302,1.25056,290,"     290G199","Norwich"
20592,5,52.61632,1.25104,290,"     290G198","Norwich"
20597,5,52.62016,1.24683,290,"     290G195","Norwich"
20598,5,52.62236,1.24772,290,"     290G194","Norwich"
20599,5,52.61576,1.25493,290,"     290G197","Norwich"
20843,5,52.61974,1.26071,290,"     290G191","Norwich"
20847,5,52.62079,1.26297,290,"     290G190","Norwich"
20849,5,52.61778,1.25133,290,"     290G193","Norwich"
20870,5,52.61754,1.2566,290,"     290G196","Norwich"
21229,5,52.67127,1.35265,290,"     290G871","Norwich"
21232,5,52.67876,1.36825,290,"     290G874","Norwich"
21233,5,52.68394,1.37425,290,"     290G875","Norwich"
21280,5,52.62487,1.31502,290,"     290G259","Norwich"
21281,5,52.61229,1.31719,290,"     290G256","Norwich"
21282,5,52.62188,1.2967,290,"     290G257","Norwich"
21283,5,52.61936,1.30358,290,"     290G254","Norwich"
21284,5,52.61801,1.30654,290,"     290G255","Norwich"
21285,5,52.61706,1.29944,290,"     290G252","Norwich"
21286,5,52.62013,1.30062,290,"     290G253","Norwich"
21287,5,52.61275,1.30005,290,"     290G250","Norwich"
21288,5,52.61511,1.29918,290,"     290G251","Norwich"
22511,5,52.65257,1.30761,290,"     290G339","Norwich"
22539,5,52.65892,1.32618,290,"     290G335","Norwich"
22547,5,52.6552,1.31792,290,"     290G337","Norwich"
22550,5,52.65663,1.32112,290,"     290G336","Norwich"
22733,5,52.6575,1.42023,290,"     290G887","Norwich"
22913,5,52.65206,1.27977,290,"     290G382","Norwich"
22926,5,52.65814,1.28439,290,"     290G388","Norwich"
22942,5,52.6277,1.37103,290,"    290G2416","Norwich"
25336,5,52.56556,1.23481,290,"    290G1514","Norwich"
25572,5,52.66457,1.31675,290,"     290G353","Norwich"
25573,5,52.66133,1.313,290,"     290G352","Norwich"
25574,5,52.65914,1.31063,290,"     290G351","Norwich"
25575,5,52.65485,1.30284,290,"     290G350","Norwich"
25576,5,52.66969,1.30661,290,"     290G357","Norwich"
25577,5,52.6765,1.31189,290,"     290G356","Norwich"
25578,5,52.66653,1.31002,290,"     290G355","Norwich"
25579,5,52.66622,1.31311,290,"     290G354","Norwich"
25581,5,52.667,1.30247,290,"     290G359","Norwich"
25582,5,52.66642,1.30528,290,"     290G358","Norwich"
26045,5,52.65365,1.24985,290,"     290G404","Norwich"
26088,5,52.54324,1.31107,290,"    290G1573","Norwich"
26316,5,52.63864,1.24159,290,"     290G142","Norwich"
26317,5,52.63844,1.24621,290,"     290G143","Norwich"
26318,5,52.63715,1.23443,290,"     290G140","Norwich"
26319,5,52.64023,1.23773,290,"     290G141","Norwich"
26320,5,52.63579,1.23473,290,"     290G146","Norwich"
26321,5,52.63323,1.23364,290,"     290G147","Norwich"
26322,5,52.63774,1.2531,290,"     290G144","Norwich"
26323,5,52.63735,1.25764,290,"     290G145","Norwich"
26325,5,52.63084,1.23847,290,"     290G148","Norwich"
26326,5,52.63184,1.24146,290,"     290G149","Norwich"
26586,5,52.63013,1.27289,290,"     290G169","Norwich"
26613,5,52.63715,1.28212,290,"     290G162","Norwich"
26624,5,52.62863,1.28658,290,"     290G165","Norwich"
26626,5,52.62558,1.2882,290,"     290G166","Norwich"
26955,5,52.62776,1.35293,290,"     290G267","Norwich"
26956,5,52.62616,1.34531,290,"     290G266","Norwich"
26957,5,52.62622,1.34112,290,"     290G265","Norwich"
26958,5,52.62636,1.33718,290,"     290G264","Norwich"
26959,5,52.62698,1.33002,290,"     290G263","Norwich"
26960,5,52.62905,1.32744,290,"     290G262","Norwich"
26961,5,52.62634,1.32404,290,"     290G261","Norwich"
26968,5,52.6285,1.3655,290,"     290G269","Norwich"
26969,5,52.62827,1.35792,290,"     290G268","Norwich"
28023,5,52.65004,1.34161,290,"    290G2253","Norwich"
28024,5,52.65929,1.33381,290,"    290G2252","Norwich"
28027,5,52.60126,1.30468,290,"    290G2257","Norwich"
28030,5,52.65126,1.34633,290,"    290G2254","Norwich"
28128,5,52.61814,1.25636,290,"     290G192","Norwich"
28185,5,52.65805,1.26468,290,"     290G410","Norwich"
28186,5,52.65851,1.26831,290,"     290G411","Norwich"
28187,5,52.65942,1.27116,290,"     290G412","Norwich"
28188,5,52.65771,1.27498,290,"     290G413","Norwich"
28189,5,52.65914,1.27262,290,"     290G414","Norwich"
28190,5,52.66104,1.26946,290,"     290G415","Norwich"
28191,5,52.66238,1.26724,290,"     290G416","Norwich"
28192,5,52.66398,1.26459,290,"     290G417","Norwich"
28434,5,52.63036,1.31338,290,"     290G299","Norwich"
28809,5,52.62743,1.22686,290,"    290G2424","Norwich"
28811,5,52.56847,1.38211,290,"    290G2426","Norwich"
28814,5,52.62983,1.21983,290,"    290G2423","Norwich"
29589,5,52.64777,1.28218,290,"     290G380","Norwich"
29590,5,52.64968,1.28086,290,"     290G381","Norwich"
29606,5,52.61924,1.29136,290,"     290G227","Norwich"
30017,5,52.60905,1.25139,290,"      290G52","Norwich"
30020,5,52.62273,1.24265,290,"      290G56","Norwich"
30492,5,52.61439,1.2669,290,"     290G216","Norwich"
30508,5,52.69694,1.23879,290,"    290G2353","Norwich"
30510,5,52.68517,1.18997,290,"    290G2351","Norwich"
30622,5,52.6105,1.30075,290,"      290G99","Norwich"
31447,5,52.64074,1.32879,290,"     290G308","Norwich"
31448,5,52.63888,1.33428,290,"     290G309","Norwich"
31450,5,52.63872,1.32006,290,"     290G304","Norwich"
31451,5,52.63996,1.32271,290,"     290G305","Norwich"
31452,5,52.63967,1.32724,290,"     290G306","Norwich"
31453,5,52.63832,1.32826,290,"     290G307","Norwich"
31454,5,52.63388,1.31742,290,"     290G301","Norwich"
31455,5,52.63524,1.32198,290,"     290G302","Norwich"
31456,5,52.6359,1.3219,290,"     290G303","Norwich"
31897,5,52.63562,1.33671,290,"    290G2051","Norwich"
32120,5,52.62939,1.25745,290,"     290G173","Norwich"
32121,5,52.62914,1.21918,290,"     290G172","Norwich"
32123,5,52.62957,1.26892,290,"     290G170","Norwich"
32124,5,52.62439,1.24848,290,"     290G175","Norwich"
32125,5,52.62895,1.2513,290,"     290G174","Norwich"
32405,5,52.64815,1.36567,290,"    290G1199","Norwich"
32469,5,52.62428,1.43309,290,"     290G792","Norwich"
32706,5,52.63961,1.21942,290,"     290G135","Norwich"
32710,5,52.64812,1.22003,290,"     290G131","Norwich"
32740,5,52.65155,1.44029,290,"     290G811","Norwich"
33196,5,52.68752,1.32696,290,"    290G1836","Norwich"
33197,5,52.6852,1.32245,290,"    290G1837","Norwich"
33198,5,52.69088,1.31878,290,"    290G1834","Norwich"
33200,5,52.68796,1.31678,290,"    290G1833","Norwich"
33895,5,52.63062,1.2942,290,"     290G463","Norwich"
33935,5,52.56644,1.29594,290,"    290G2315","Norwich"
34009,5,52.63347,1.30958,290,"     290G300","Norwich"
34368,5,52.64382,1.28061,290,"     290G397","Norwich"
34374,5,52.66454,1.28575,290,"     290G393","Norwich"
34390,5,52.65093,1.26293,290,"     290G399","Norwich"
34392,5,52.64695,1.27106,290,"     290G398","Norwich"
34543,5,52.59274,1.26614,290,"     290G238","Norwich"
34546,5,52.61431,1.29206,290,"     290G230","Norwich"
34547,5,52.61147,1.29168,290,"     290G231","Norwich"
34548,5,52.6111,1.281,290,"     290G232","Norwich"
34549,5,52.60888,1.27995,290,"     290G235","Norwich"
34550,5,52.60521,1.27919,290,"     290G236","Norwich"
35080,0,52.66794,1.2738,290,"    920GNWI1","Norwich"
35080,5,52.66794,1.2738,290,"    920GNWI1","Norwich"
35546,5,52.66675,1.33908,290,"    290G2226","Norwich"
35620,5,52.70873,1.32547,290,"    290G1288","Norwich"
35629,5,52.68779,1.33394,290,"    290G1287","Norwich"
35630,5,52.69943,1.34232,290,"    290G1286","Norwich"
35699,5,52.62569,1.26,290,"      290G22","Norwich"
35700,5,52.65494,1.27838,290,"      290G23","Norwich"
37032,2,52.61951,1.43931,290," 910GBRUNDAL","Norwich"
37032,5,52.61951,1.43931,290," 910GBRUNDAL","Norwich"
37842,5,52.62718,1.30683,290,"    910GNRCH","Norwich"
37842,2,52.62718,1.30683,290,"    910GNRCH","Norwich"
37843,5,52.65313,1.20648,290,"     290G124","Norwich"
37844,5,52.65016,1.20632,290,"     290G125","Norwich"
37845,5,52.64737,1.2093,290,"     290G126","Norwich"
37846,5,52.64687,1.21077,290,"     290G127","Norwich"
37847,5,52.64851,1.20684,290,"     290G121","Norwich"
37850,5,52.64924,1.21393,290,"     290G129","Norwich"
38052,5,52.68326,1.40578,290,"    290G2306","Norwich"
38056,5,52.54236,1.31682,290,"    290G2309","Norwich"
38140,5,52.62958,1.26128,290,"     290G171","Norwich"
38912,5,52.64424,1.28507,290,"     290G379","Norwich"
38913,5,52.64123,1.2882,290,"     290G378","Norwich"
38915,5,52.64543,1.29114,290,"     290G375","Norwich"
38916,5,52.64805,1.29099,290,"     290G374","Norwich"
38918,5,52.64268,1.29255,290,"     290G376","Norwich"
38919,5,52.65112,1.29191,290,"     290G373","Norwich"
38920,5,52.65556,1.291,290,"     290G372","Norwich"
40274,5,52.66219,1.37656,290,"     290G869","Norwich"
40278,5,52.67726,1.41053,290,"     290G867","Norwich"
40279,5,52.67771,1.41718,290,"     290G866","Norwich"
40306,5,52.60612,1.28643,290,"     290G241","Norwich"
40307,5,52.60938,1.28968,290,"     290G242","Norwich"
40308,5,52.60882,1.29736,290,"     290G244","Norwich"
40309,5,52.61396,1.29564,290,"     290G247","Norwich"
40310,5,52.6111,1.29679,290,"     290G246","Norwich"
40311,5,52.61982,1.29815,290,"     290G249","Norwich"
40312,5,52.61699,1.29697,290,"     290G248","Norwich"
40426,4,52.60424,1.21971,290,"    290G1418","Norwich"
40426,5,52.60424,1.21971,290,"    290G1418","Norwich"
40669,5,52.62987,1.29742,290,"    290G2802","Norwich"
40670,5,52.6301,1.29877,290,"    290G2803","Norwich"
40674,5,52.6845,1.32026,290,"    290G2809","Norwich"
40721,5,52.59851,1.18327,290,"    290G1868","Norwich"
40723,5,52.5926,1.17083,290,"    290G1865","Norwich"
40724,5,52.59432,1.16883,290,"    290G1864","Norwich"
40725,4,52.59604,1.17966,290,"    290G1867","Norwich"
40725,5,52.59604,1.17966,290,"    290G1867","Norwich"
40726,5,52.59189,1.17185,290,"    290G1866","Norwich"
40727,5,52.60089,1.17476,290,"    290G1861","Norwich"
40729,5,52.59838,1.16951,290,"    290G1863","Norwich"
40730,5,52.59696,1.16754,290,"    290G1862","Norwich"
41071,5,52.64336,1.34941,290,"     290G280","Norwich"
41247,5,52.70609,1.31528,290,"    290G2275","Norwich"
41413,5,52.68905,1.21226,290,"     290G438","Norwich"
41414,5,52.68718,1.21152,290,"     290G439","Norwich"
41418,5,52.67797,1.22535,290,"     290G432","Norwich"
41419,5,52.68164,1.2207,290,"     290G433","Norwich"
41421,5,52.67919,1.22271,290,"     290G434","Norwich"
41889,5,52.62395,1.22233,290,"     290G201","Norwich"
42770,5,52.60199,1.17814,290,"    290G1860","Norwich"
43889,5,52.62517,1.31977,290,"     290G260","Norwich"
44719,5,52.65412,1.32308,290,"     290G327","Norwich"
44720,5,52.64826,1.31638,290,"     290G324","Norwich"
44721,5,52.6497,1.31937,290,"     290G325","Norwich"
44722,5,52.64682,1.32983,290,"     290G322","Norwich"
44723,5,52.64633,1.3203,290,"     290G323","Norwich"
44724,5,52.64782,1.33354,290,"     290G321","Norwich"
45418,5,52.63621,1.26496,290,"     290G155","Norwich"
45419,5,52.63689,1.26144,290,"     290G154","Norwich"
45420,5,52.63261,1.28295,290,"     290G157","Norwich"
45422,5,52.63148,1.24715,290,"     290G151","Norwich"
45423,5,52.6332,1.2444,290,"     290G150","Norwich"
45424,5,52.63207,1.25589,290,"     290G153","Norwich"
45425,5,52.63119,1.25148,290,"     290G152","Norwich"
45427,5,52.63791,1.2788,290,"     290G159","Norwich"
45428,5,52.63607,1.27836,290,"     290G158","Norwich"
45442,5,52.6106,1.30101,290,"   290G12210","Norwich"
45794,5,52.67504,1.41272,290,"    290G2174","Norwich"
46483,5,52.60179,1.19823,290,"    290G1854","Norwich"
46484,5,52.60005,1.18945,290,"    290G1855","Norwich"
46485,5,52.60127,1.19004,290,"    290G1856","Norwich"
46486,5,52.60281,1.18843,290,"    290G1857","Norwich"
46493,5,52.60363,1.18527,290,"    290G1858","Norwich"
46494,5,52.6037,1.18007,290,"    290G1859","Norwich"
47011,5,52.57682,1.27986,290,"    290G2245","Norwich"
47035,5,52.6271,1.34946,290,"    290G2797","Norwich"
47036,4,52.61704,1.27533,290,"    290G2794","Norwich"
47036,5,52.61704,1.27533,290,"    290G2794","Norwich"
47037,5,52.61587,1.27184,290,"    290G2793","Norwich"
47043,5,52.63199,1.33875,290,"    290G2798","Norwich"
47185,5,52.65316,1.26036,290,"     290G403","Norwich"
47186,5,52.64837,1.25113,290,"     290G402","Norwich"
47187,5,52.64752,1.25387,290,"     290G401","Norwich"
47188,5,52.64971,1.26056,290,"     290G400","Norwich"
47189,5,52.65534,1.2674,290,"     290G407","Norwich"
47190,5,52.65362,1.26716,290,"     290G406","Norwich"
47191,5,52.65671,1.25111,290,"     290G405","Norwich"
47193,5,52.65682,1.26394,290,"     290G409","Norwich"
47194,5,52.65669,1.26563,290,"     290G408","Norwich"
47213,5,52.65311,1.16359,290,"    290GE024","Norwich"
47459,2,52.67227,1.39441,290," 910GSALHOUS","Norwich"
47459,5,52.67227,1.39441,290," 910GSALHOUS","Norwich"
47748,5,52.64335,1.36138,290,"     290G277","Norwich"
47909,5,52.60713,1.25269,290,"     290G212","Norwich"
47910,5,52.60398,1.25796,290,"     290G213","Norwich"
47911,5,52.60455,1.24049,290,"     290G211","Norwich"
47913,5,52.6112,1.25613,290,"     290G214","Norwich"
47914,5,52.61326,1.26306,290,"     290G215","Norwich"
47916,5,52.61317,1.27538,290,"     290G218","Norwich"
48122,5,52.66191,1.2741,290,"     290G422","Norwich"
48330,5,52.58318,1.37251,290,"    290G1532","Norwich"
48548,5,52.66784,1.28832,290,"     290G395","Norwich"
48549,5,52.66609,1.28163,290,"     290G394","Norwich"
48551,5,52.66393,1.2902,290,"     290G392","Norwich"
48552,5,52.66414,1.28273,290,"     290G391","Norwich"
48553,5,52.66142,1.2835,290,"     290G390","Norwich"
48962,5,52.63934,1.29042,290,"      290G41","Norwich"
49392,5,52.63385,1.27707,290,"     290G156","Norwich"
49489,5,52.63516,1.35208,290,"    290G2408","Norwich"
49497,5,52.66619,1.25125,290,"    290G2367","Norwich"
49501,5,52.66238,1.25446,290,"    290G2369","Norwich"
49502,5,52.66401,1.25264,290,"    290G2368","Norwich"
49701,5,52.63298,1.31906,290,"     290G298","Norwich"
49705,5,52.63425,1.33743,290,"     290G292","Norwich"
49706,5,52.64133,1.34257,290,"     290G290","Norwich"
49707,5,52.63204,1.34181,290,"     290G291","Norwich"
49708,5,52.63359,1.32774,290,"     290G296","Norwich"
49709,5,52.63228,1.32327,290,"     290G297","Norwich"
49710,5,52.635,1.33337,290,"     290G294","Norwich"
49711,5,52.63206,1.32638,290,"     290G295","Norwich"
49744,5,52.64272,1.2838,290,"     290G396","Norwich"
50460,5,52.64712,1.33544,290,"     290G316","Norwich"
50461,5,52.64497,1.34152,290,"     290G312","Norwich"
50790,5,52.60273,1.21962,290,"    290G3000","Norwich"
50927,5,52.63129,1.2358,290,"    290G2049","Norwich"
50930,5,52.65188,1.17579,290,"    290G2042","Norwich"
50931,5,52.65059,1.18256,290,"    290G2043","Norwich"
50932,5,52.59674,1.27486,290,"    290G2040","Norwich"
50933,5,52.60135,1.27816,290,"    290G2041","Norwich"
50934,5,52.63927,1.21632,290,"    290G2046","Norwich"
50935,5,52.64069,1.21732,290,"    290G2047","Norwich"
50936,5,52.63998,1.2105,290,"    290G2044","Norwich"
50937,5,52.63957,1.21399,290,"    290G2045","Norwich"
50983,5,52.58935,1.42606,290,"    290G1538","Norwich"
