"node","layer","lat","lon","zone","atcocode","city"
623,5,52.96609,-1.18617,339,"    339GBE35","Nottingham"
624,5,52.96401,-1.18749,339,"    339GBE36","Nottingham"
625,5,52.96213,-1.18831,339,"    339GBE37","Nottingham"
865,5,52.97126,-1.11997,330,"  330GGE0404","Nottingham"
2221,5,52.94192,-1.16021,339,"    339GME18","Nottingham"
2222,5,52.93811,-1.16004,339,"    339GME10","Nottingham"
2800,5,52.98431,-1.19811,339,"    339GCI13","Nottingham"
2921,5,52.97168,-1.10947,330,"  330GGE0128","Nottingham"
2922,5,52.96762,-1.09243,330,"  330GGE0129","Nottingham"
2924,5,52.96888,-1.09169,330,"  330GGE0122","Nottingham"
2926,5,52.97007,-1.09395,330,"  330GGE0124","Nottingham"
3112,5,52.96102,-1.13451,339,"    339GGR08","Nottingham"
3771,5,52.96816,-1.17256,339,"    339GHG07","Nottingham"
4216,5,52.9537,-1.12337,339,"    339GSN29","Nottingham"
4219,5,52.95194,-1.12682,339,"    339GSN28","Nottingham"
4231,5,52.94886,-1.13014,339,"    339GSN22","Nottingham"
4277,5,52.9594,-1.13099,339,"    339GGR25","Nottingham"
4597,5,52.98169,-1.17858,940," 940GZZNOBFD","Nottingham"
4597,3,52.98169,-1.17858,940," 940GZZNOBFD","Nottingham"
4972,5,52.96586,-1.22853,339,"    339GBI55","Nottingham"
5138,5,52.9824,-1.18449,339,"    339GBA30","Nottingham"
5167,5,52.94253,-1.1803,339,"    339GQM10","Nottingham"
5213,5,52.96155,-1.14678,339,"    339GMA04","Nottingham"
5216,5,52.96313,-1.14541,339,"    339GMA05","Nottingham"
5218,5,52.96534,-1.14435,339,"    339GMA06","Nottingham"
5247,5,52.97561,-1.21177,339,"    339GAS38","Nottingham"
5261,5,52.98246,-1.20308,339,"    339GAS32","Nottingham"
5386,5,52.96326,-1.09906,330,"  330GGE0003","Nottingham"
5531,5,52.96935,-1.12614,339,"    339GSA16","Nottingham"
5545,5,52.972,-1.20259,339,"    339GAS11","Nottingham"
5546,5,52.97224,-1.20526,339,"    339GAS10","Nottingham"
5547,5,52.96923,-1.19463,339,"    339GAS13","Nottingham"
5548,5,52.97137,-1.19898,339,"    339GAS12","Nottingham"
5549,5,52.96718,-1.18695,339,"    339GAS15","Nottingham"
5567,5,52.97367,-1.18644,339,"    339GWM11","Nottingham"
5568,5,52.97583,-1.18869,339,"    339GWM12","Nottingham"
5569,5,52.96798,-1.18423,339,"    339GWM17","Nottingham"
5570,5,52.97056,-1.18455,339,"    339GWM16","Nottingham"
5704,5,52.95543,-1.18053,339,"    339GRA05","Nottingham"
5706,5,52.9553,-1.18787,339,"    339GRA07","Nottingham"
5707,5,52.95613,-1.16718,339,"    339GRA01","Nottingham"
6274,5,52.94909,-1.19067,339,"    339GWO28","Nottingham"
6278,5,52.95469,-1.21109,339,"    339GWO22","Nottingham"
6280,5,52.95431,-1.19285,339,"    339GWO26","Nottingham"
6281,5,52.95198,-1.19127,339,"    339GWO27","Nottingham"
6342,5,52.96423,-1.17874,339,"    339GRA25","Nottingham"
6440,5,52.97196,-1.11088,330,"  330GGE0430","Nottingham"
7781,5,52.9394,-1.17339,339,"    339GLI25","Nottingham"
7782,5,52.93691,-1.17344,339,"    339GLI24","Nottingham"
7783,5,52.94391,-1.17731,339,"    339GLI27","Nottingham"
7784,5,52.94223,-1.1738,339,"    339GLI26","Nottingham"
7785,5,52.93535,-1.17258,339,"    339GLI23","Nottingham"
8258,5,52.9636,-1.11776,339,"    339GCA11","Nottingham"
8933,5,52.97782,-1.22521,339,"    339GBR11","Nottingham"
9193,5,52.9452,-1.16315,339,"    339GLE30","Nottingham"
9333,5,52.96665,-1.15355,339,"    339GFO07","Nottingham"
9357,5,52.96885,-1.14256,339,"    339GMA08","Nottingham"
10043,5,52.96238,-1.15128,339,"    339GFO09","Nottingham"
10044,5,52.96422,-1.1523,339,"    339GFO08","Nottingham"
10048,5,52.96876,-1.15377,339,"    339GFO04","Nottingham"
10114,5,52.96993,-1.16744,339,"    339GFF12","Nottingham"
10396,5,52.96179,-1.0944,330,"  330GGE0247","Nottingham"
10398,5,52.96251,-1.09256,330,"  330GGE0249","Nottingham"
10549,5,52.96,-1.1065,339,"    339GBF02","Nottingham"
10550,5,52.96015,-1.10334,339,"    339GBF03","Nottingham"
10551,5,52.95961,-1.11199,339,"    339GBF01","Nottingham"
10552,5,52.9585,-1.10561,339,"    339GBF07","Nottingham"
10553,5,52.95667,-1.10466,339,"    339GBF08","Nottingham"
10749,5,52.93623,-1.21782,330,"  330GBR0035","Nottingham"
10835,5,52.98224,-1.19434,339,"    339GCI08","Nottingham"
10836,5,52.98315,-1.19081,339,"    339GCI07","Nottingham"
10837,5,52.97943,-1.1931,339,"    339GCI05","Nottingham"
10838,5,52.9807,-1.19428,339,"    339GCI02","Nottingham"
11008,5,52.9361,-1.22052,330,"  330GBR0233","Nottingham"
11024,5,52.95035,-1.11535,339,"    339GCK01","Nottingham"
11058,5,52.97129,-1.1054,330,"  330GGE0036","Nottingham"
11060,5,52.96651,-1.08619,330,"  330GGE0034","Nottingham"
11310,5,52.97633,-1.20956,339,"    339GAS26","Nottingham"
11473,5,52.96055,-1.17427,339,"    339GRA34","Nottingham"
11478,5,52.96063,-1.17911,339,"    339GRA39","Nottingham"
