"node","layer","lat","lon","zone","atcocode","city"
6774,5,52.58125,-1.48292,260," 260GCC17502","Nuneaton"
23471,2,52.52639,-1.46387,910,"    910GNNTN","Nuneaton"
23471,5,52.52639,-1.46387,910,"    910GNNTN","Nuneaton"
28682,2,52.47931,-1.46739,910," 910GBEDWRTH","Nuneaton"
28682,5,52.47931,-1.46739,910," 910GBEDWRTH","Nuneaton"
29161,5,52.54699,-1.44489,260," 260GCC15903","Nuneaton"
37237,5,52.60416,-1.47701,260,"260GCC17702A","Nuneaton"
40624,2,52.57898,-1.55281,910," 910GATHRSTN","Nuneaton"
40624,5,52.57898,-1.55281,910," 910GATHRSTN","Nuneaton"
41198,5,52.55555,-1.43951,260," 260GCC15902","Nuneaton"
41200,5,52.55558,-1.43656,260," 260GCC15901","Nuneaton"
41209,5,52.5542,-1.44048,260," 260GCC15904","Nuneaton"
51597,5,52.47205,-1.48364,420," 4200F124391","Nuneaton"
51756,5,52.53667,-1.51342,420," 4200F130201","Nuneaton"
51757,5,52.53686,-1.51339,420," 4200F130202","Nuneaton"
52114,5,52.4797,-1.47612,420," 4200F136702","Nuneaton"
52115,5,52.47966,-1.47638,420," 4200F136701","Nuneaton"
52985,5,52.48012,-1.48134,420," 4200F138401","Nuneaton"
53399,5,52.49004,-1.4746,420," 4200F016700","Nuneaton"
53447,5,52.50796,-1.46433,420," 4200F051001","Nuneaton"
53448,5,52.50659,-1.46361,420," 4200F051000","Nuneaton"
53449,5,52.50783,-1.46422,420," 4200F051002","Nuneaton"
53885,5,52.53371,-1.44186,420," 4200F215901","Nuneaton"
54143,5,52.51636,-1.5095,420," 4200F184602","Nuneaton"
54145,5,52.51621,-1.50971,420," 4200F184601","Nuneaton"
54984,5,52.48105,-1.42387,420," 4200F135502","Nuneaton"
55593,5,52.52752,-1.53232,420," 4200F131702","Nuneaton"
55594,5,52.52758,-1.53254,420," 4200F131701","Nuneaton"
56295,5,52.517,-1.5543,420," 4200F001900","Nuneaton"
56500,5,52.47498,-1.464,420," 4200F133801","Nuneaton"
58195,5,52.58397,-1.54556,420," 4200F155970","Nuneaton"
59049,5,52.48778,-1.46262,420," 4200F123472","Nuneaton"
59054,5,52.48759,-1.46221,420," 4200F123471","Nuneaton"
59294,5,52.56944,-1.52904,420," 4200F042101","Nuneaton"
59412,5,52.45493,-1.40803,420," 4200F061000","Nuneaton"
59763,5,52.5371,-1.51744,420," 4200F130301","Nuneaton"
59764,5,52.53729,-1.51753,420," 4200F130302","Nuneaton"
59911,5,52.5212,-1.46301,420," 4200F125601","Nuneaton"
60085,5,52.48494,-1.47395,420," 4200F136401","Nuneaton"
60086,5,52.48481,-1.47379,420," 4200F136402","Nuneaton"
60352,5,52.52761,-1.45639,420," 4200F213601","Nuneaton"
60456,5,52.53525,-1.52642,420," 4200F131402","Nuneaton"
60620,5,52.50877,-1.43163,420," 4200F127002","Nuneaton"
60621,5,52.50863,-1.43141,420," 4200F127001","Nuneaton"
61646,5,52.53544,-1.44502,420," 4200F051100","Nuneaton"
62967,5,52.48288,-1.42556,420," 4200F135402","Nuneaton"
63519,5,52.52953,-1.52998,420," 4200F131602","Nuneaton"
63520,5,52.53016,-1.52977,420," 4200F131601","Nuneaton"
64319,5,52.53719,-1.5304,420," 4200F001800","Nuneaton"
64320,5,52.54424,-1.55527,420," 4200F001801","Nuneaton"
65226,5,52.56395,-1.55664,420," 4200F003900","Nuneaton"
65486,5,52.57565,-1.54777,420," 4200F178601","Nuneaton"
66397,5,52.51537,-1.50421,420," 4200F183201","Nuneaton"
66805,5,52.52375,-1.51769,420," 4200F186102","Nuneaton"
66806,5,52.52374,-1.51804,420," 4200F186101","Nuneaton"
67119,5,52.49948,-1.43636,420," 4200F129190","Nuneaton"
67439,5,52.53124,-1.51479,420," 4200F047213","Nuneaton"
68036,5,52.48248,-1.47324,420," 4200F136501","Nuneaton"
68037,5,52.48262,-1.47355,420," 4200F136502","Nuneaton"
68158,5,52.51796,-1.45892,420," 4200F125802","Nuneaton"
68829,4,52.4805,-1.47391,420," 4200F006703","Nuneaton"
68829,5,52.4805,-1.47391,420," 4200F006703","Nuneaton"
68923,5,52.52847,-1.45598,420," 4200F213401","Nuneaton"
68935,5,52.4759,-1.48017,420," 4200F138601","Nuneaton"
69121,5,52.46977,-1.47051,420," 4200F132891","Nuneaton"
69523,5,52.48005,-1.47669,420," 4200F190401","Nuneaton"
69645,5,52.55943,-1.58297,420," 4200F008400","Nuneaton"
69987,5,52.53428,-1.49702,420," 4200F129801","Nuneaton"
69988,5,52.51899,-1.50205,420," 4200F185001","Nuneaton"
69989,5,52.53439,-1.49687,420," 4200F129802","Nuneaton"
70726,5,52.50969,-1.56103,420," 4200F172302","Nuneaton"
70727,5,52.52132,-1.48444,420," 4200F049613","Nuneaton"
71534,5,52.53305,-1.52789,420," 4200F131501","Nuneaton"
71995,5,52.52232,-1.47342,420," 4200F124102","Nuneaton"
72251,5,52.51768,-1.55582,420," 4200F001701","Nuneaton"
72252,5,52.52174,-1.56202,420," 4200F001700","Nuneaton"
72361,5,52.48241,-1.42546,420," 4200F135501","Nuneaton"
73185,5,52.53574,-1.45174,420," 4200F050100","Nuneaton"
74742,5,52.48059,-1.47288,420," 4200F132720","Nuneaton"
75939,5,52.49083,-1.47339,420," 4200F136202","Nuneaton"
75940,5,52.49142,-1.47368,420," 4200F136201","Nuneaton"
76277,5,52.52967,-1.46252,420," 4200F075800","Nuneaton"
76446,5,52.50648,-1.43186,420," 4200F127201","Nuneaton"
76827,5,52.47539,-1.4824,420," 4200F138702","Nuneaton"
76870,5,52.52818,-1.4951,420," 4200F132702","Nuneaton"
76872,5,52.52814,-1.49552,420," 4200F132701","Nuneaton"
77070,5,52.47684,-1.42558,420," 4200F123803","Nuneaton"
77071,5,52.51332,-1.46753,420," 4200F123802","Nuneaton"
77072,5,52.51332,-1.46775,420," 4200F123801","Nuneaton"
77492,5,52.5823,-1.53936,420," 4200F155950","Nuneaton"
77493,5,52.5824,-1.53917,420," 4200F155951","Nuneaton"
77544,5,52.47971,-1.4819,420," 4200F190501","Nuneaton"
77545,5,52.47953,-1.4823,420," 4200F190502","Nuneaton"
77666,5,52.51308,-1.49301,420," 4200F130550","Nuneaton"
77762,5,52.50329,-1.44312,420," 4200F129290","Nuneaton"
78039,5,52.53533,-1.50011,420," 4200F129901","Nuneaton"
78040,5,52.51771,-1.5011,420," 4200F185101","Nuneaton"
78878,5,52.52911,-1.43403,420," 4200F128601","Nuneaton"
78879,5,52.52933,-1.43375,420," 4200F128602","Nuneaton"
79980,5,52.48694,-1.4815,420," 4200F189902","Nuneaton"
81016,5,52.53449,-1.46798,420," 4200F211301","Nuneaton"
81451,5,52.51312,-1.48223,420," 4200F050000","Nuneaton"
81964,5,52.53445,-1.5079,420," 4200F133102","Nuneaton"
82351,5,52.47603,-1.41993,420," 4200F135801","Nuneaton"
82629,5,52.51395,-1.45427,420," 4200F123761","Nuneaton"
83358,5,52.52688,-1.47634,420," 4200F182701","Nuneaton"
83503,5,52.46933,-1.48064,420," 4200F137201","Nuneaton"
83504,5,52.46788,-1.48135,420," 4200F137202","Nuneaton"
83505,5,52.4695,-1.48079,420," 4200F137203","Nuneaton"
83946,5,52.51004,-1.47623,420," 4200F049500","Nuneaton"
84016,5,52.48831,-1.47348,420," 4200F136302","Nuneaton"
84017,5,52.48934,-1.47331,420," 4200F136301","Nuneaton"
84495,5,52.50574,-1.4308,420," 4200F127301","Nuneaton"
84903,5,52.48774,-1.48144,420," 4200F138002","Nuneaton"
85080,5,52.51498,-1.47042,420," 4200F123904","Nuneaton"
