"node","layer","lat","lon","zone","atcocode","city"
7270,5,53.53887,-2.01384,910,"    910GGFLD","Oldham"
7270,2,53.53887,-2.01384,910,"    910GGFLD","Oldham"
51557,5,53.53706,-2.04952,180," 1800ED45401","Oldham"
51617,5,53.56703,-2.124,180," 1800EDH1011","Oldham"
51851,5,53.55893,-2.14832,180," 1800ED03801","Oldham"
52249,5,53.59248,-2.04078,180," 1800ED12471","Oldham"
52280,5,53.56152,-2.12018,180," 1800ED17151","Oldham"
52588,5,53.51097,-2.16949,180," 1800ED04741","Oldham"
52866,5,53.5703,-2.10457,180," 1800ED16631","Oldham"
53007,5,53.53708,-2.02897,180," 1800ED24061","Oldham"
53021,5,53.54185,-2.13851,180," 1800ED00511","Oldham"
53025,5,53.53248,-2.0927,180," 1800ED08721","Oldham"
53200,5,53.56892,-2.09836,180," 1800ED16531","Oldham"
53360,5,53.5691,-2.13262,180," 1800EDH1061","Oldham"
53571,5,53.5249,-2.15077,180," 1800ED22481","Oldham"
53585,5,53.54428,-2.06787,180," 1800ED30681","Oldham"
53957,5,53.55434,-2.08378,180," 1800ED10911","Oldham"
54040,5,53.55037,-2.09542,180," 1800ED19121","Oldham"
54043,5,53.55694,-2.00645,180," 1800ED13481","Oldham"
54477,5,53.55823,-2.1323,180," 1800EDH0981","Oldham"
54537,5,53.53859,-2.12458,180," 1800ED24921","Oldham"
54620,5,53.5355,-2.09729,180," 1800ED15741","Oldham"
54637,5,53.53801,-2.12304,180," 1800ED00461","Oldham"
54641,5,53.53375,-2.12403,180," 1800ED08611","Oldham"
54978,5,53.54652,-2.08945,180," 1800EDH2931","Oldham"
55067,5,53.5562,-2.01316,180," 1800ED13281","Oldham"
55221,5,53.52282,-2.12527,180," 1800ED29001","Oldham"
55346,5,53.54692,-2.11506,180," 1800ED15581","Oldham"
55388,5,53.54623,-2.0634,180," 1800ED12051","Oldham"
55576,5,53.54612,-2.09256,180," 1800ED18601","Oldham"
55745,5,53.54469,-2.08847,180," 1800ED19011","Oldham"
55820,5,53.52815,-2.1077,180," 1800ED28381","Oldham"
56112,5,53.56753,-2.1235,180," 1800ED16851","Oldham"
56197,5,53.53778,-2.05882,180," 1800EDH1931","Oldham"
56461,5,53.51369,-2.14394,180," 1800ED28141","Oldham"
56637,5,53.53911,-2.11835,180," 1800ED10621","Oldham"
56640,5,53.55416,-2.01659,180," 1800ED13191","Oldham"
56677,5,53.54387,-2.09876,180," 1800ED15901","Oldham"
56922,5,53.53708,-2.04127,180," 1800ED12931","Oldham"
57407,5,53.54703,-2.08838,180," 1800EDH0831","Oldham"
57879,5,53.5563,-2.14732,180," 1800ED10721","Oldham"
57913,5,53.51884,-2.16767,180," 1800EB08001","Oldham"
57999,5,53.53788,-2.06374,180," 1800ED30801","Oldham"
58174,5,53.55278,-2.13097,180," 1800ED01091","Oldham"
58267,5,53.54555,-2.0086,180," 1800ED13061","Oldham"
58623,5,53.56431,-2.0209,180," 1800ED12271","Oldham"
58882,5,53.56075,-2.10329,180," 1800ED14311","Oldham"
58942,5,53.54559,-2.10625,180," 1800ED19271","Oldham"
58949,5,53.55375,-2.12095,180," 1800EDH3271","Oldham"
59285,5,53.51309,-2.12764,180," 1800ED28851","Oldham"
59432,5,53.51757,-2.14667,180," 1800ED24661","Oldham"
59482,5,53.54437,-2.13784,180," 1800ED00981","Oldham"
59497,5,53.54727,-2.07702,180," 1800ED07821","Oldham"
59742,5,53.53984,-2.08829,180," 1800ED30931","Oldham"
59759,5,53.55014,-2.07521,180," 1800EDH1691","Oldham"
59817,5,53.54507,-2.09544,180," 1800ED15941","Oldham"
59990,5,53.55067,-2.12974,180," 1800ED22691","Oldham"
60114,5,53.57731,-2.10654,180," 1800EDH0681","Oldham"
60174,5,53.53608,-2.12641,180," 1800ED00501","Oldham"
60175,5,53.58154,-2.08649,180," 1800ED10171","Oldham"
60346,5,53.56785,-2.02386,180," 1800ED12301","Oldham"
60376,5,53.5523,-2.08958,180," 1800EDH0111","Oldham"
60755,5,53.57059,-2.13199,180," 1800EDH1161","Oldham"
60923,5,53.57093,-2.09861,180," 1800ED16551","Oldham"
60940,5,53.53778,-2.15116,180," 1800ED19851","Oldham"
61206,5,53.54566,-2.14405,180," 1800ED02131","Oldham"
61264,5,53.5368,-2.04887,180," 1800ED45411","Oldham"
61640,5,53.53678,-2.00889,180," 1800ED13611","Oldham"
61662,5,53.58493,-2.09248,180," 1800ED16391","Oldham"
61762,5,53.53785,-2.14294,180," 1800ED22581","Oldham"
61864,5,53.55838,-2.10426,180," 1800ED14321","Oldham"
61984,5,53.58423,-2.0393,180," 1800ED12441","Oldham"
62016,5,53.559,-2.1207,180," 1800ED17161","Oldham"
62708,5,53.53146,-2.14172,180," 1800ED00521","Oldham"
62709,5,53.53061,-2.08924,180," 1800ED08731","Oldham"
