"node","layer","lat","lon","zone","atcocode","city"
182,5,51.73185,-1.23517,340,"  340G004106","Oxford"
7272,4,51.76277,-1.18199,340,"900GNX002115","Oxford"
7272,5,51.76277,-1.18199,340,"900GNX002115","Oxford"
7463,5,51.74797,-1.25651,340,"340G00001097","Oxford"
7464,5,51.74844,-1.25795,340,"340G00001095","Oxford"
7465,4,51.75262,-1.25103,340,"340G00001092","Oxford"
7465,5,51.75262,-1.25103,340,"340G00001092","Oxford"
9427,4,51.75747,-1.2211,340,"  340G001319","Oxford"
9427,5,51.75747,-1.2211,340,"  340G001319","Oxford"
15180,5,51.73415,-1.21187,340,"  340G001257","Oxford"
20293,2,51.7535,-1.27015,340,"    910GOXFD","Oxford"
20293,5,51.7535,-1.27015,340,"    910GOXFD","Oxford"
21395,2,51.82576,-1.23818,340,"   910GISLIP","Oxford"
21395,5,51.82576,-1.23818,340,"   910GISLIP","Oxford"
21421,5,51.82823,-1.3224,340," 340G0001866","Oxford"
28935,5,51.76182,-1.18106,340,"     340G124","Oxford"
36635,5,51.73369,-1.2674,340," 340G0003262","Oxford"
38731,0,51.83287,-1.31236,340,"    920GOXF1","Oxford"
38731,5,51.83287,-1.31236,340,"    920GOXF1","Oxford"
39623,5,51.76341,-1.22056,340," 340G0000JRH","Oxford"
40349,4,51.76014,-1.21113,340," 340G0001309","Oxford"
40349,5,51.76014,-1.21113,340," 340G0001309","Oxford"
51618,5,51.73266,-1.24927,340,"340001266OPP","Oxford"
51687,5,51.73954,-1.25333,340,"340000989OPP","Oxford"
51762,5,51.75236,-1.25541,340,"340000002TOR","Oxford"
51904,5,51.7342,-1.20163,340,"340004118SOU","Oxford"
52139,5,51.76084,-1.26211,340,"340001002OUT","Oxford"
52332,5,51.83006,-1.29811,340,"340001581BRI","Oxford"
52392,5,51.76903,-1.22068,340,"340001276RBE","Oxford"
53032,5,51.76419,-1.22645,340,"340001279OPP","Oxford"
53365,5,51.72766,-1.22434,340,"340001135SOU","Oxford"
53406,5,51.72477,-1.21726,340,"340000958OSW","Oxford"
53452,5,51.74335,-1.29588,340,"340001098OPL","Oxford"
54017,5,51.74633,-1.24082,340,"340001130OPP","Oxford"
54511,5,51.75222,-1.25561,340," 340000002I1","Oxford"
54512,5,51.75211,-1.25651,340," 340000002I2","Oxford"
54563,5,51.74121,-1.1557,340,"340000875WAY","Oxford"
55114,5,51.82367,-1.29152,340,"340001333OUT","Oxford"
55129,5,51.78629,-1.37856,340,"340002013OPP","Oxford"
55149,5,51.7506,-1.24005,340,"340001317OUT","Oxford"
55196,5,51.75796,-1.35827,340," 34001908ELM","Oxford"
55464,5,51.76228,-1.20175,340,"340001308OPP","Oxford"
55575,5,51.73443,-1.23211,340,"340001133CNR","Oxford"
55811,5,51.76162,-1.20563,340,"340001312OPP","Oxford"
56008,5,51.70237,-1.18085,340,"340000760CRO","Oxford"
56096,5,51.73799,-1.1697,340,"340001677WES","Oxford"
56167,5,51.75465,-1.22245,340,"340001314OPP","Oxford"
56333,5,51.80933,-1.28222,340,"340004035WES","Oxford"
56360,5,51.76126,-1.23587,340,"340001269OPP","Oxford"
56393,5,51.73984,-1.20262,340,"340001366OPF","Oxford"
56440,5,51.72841,-1.21167,340,"340001253OPP","Oxford"
56690,5,51.77479,-1.37983,340,"  340002018A","Oxford"
56853,5,51.71537,-1.17637,340,"340000433MHP","Oxford"
57171,5,51.74104,-1.1596,340,"340000874CRO","Oxford"
57480,5,51.74251,-1.11751,340," 340001693KA","Oxford"
57522,5,51.7344,-1.249,340,"340001250FOX","Oxford"
57682,5,51.76213,-1.21495,340,"340000008JR6","Oxford"
57726,5,51.75037,-1.25696,340," 340000004G1","Oxford"
57727,5,51.75116,-1.25732,340," 340000004G3","Oxford"
57728,5,51.75083,-1.25713,340," 340000004G2","Oxford"
57729,5,51.75164,-1.25756,340," 340000004G5","Oxford"
57730,5,51.75146,-1.25748,340," 340000004G4","Oxford"
57742,5,51.71921,-1.19095,340,"340001227CNM","Oxford"
58118,5,51.81411,-1.28606,340,"340004038NOR","Oxford"
58569,5,51.76767,-1.23697,340,"340001272CNR","Oxford"
59762,5,51.78533,-1.28032,340,"340001005OUT","Oxford"
59821,5,51.76056,-1.34854,340," 340001822SH","Oxford"
60035,5,51.74678,-1.23402,340,"340001198OPP","Oxford"
