"node","layer","lat","lon","zone","atcocode","city"
353,5,51.48529,-0.0696,490,"490G00009531","Peckham"
642,4,51.48891,-0.07779,490,"490G00006266","Peckham"
642,5,51.48891,-0.07779,490,"490G00006266","Peckham"
811,2,51.46683,-0.05227,490," 910GNUNHEAD","Peckham"
811,5,51.46683,-0.05227,490," 910GNUNHEAD","Peckham"
974,5,51.48571,-0.06434,490,"490G00014029","Peckham"
1026,5,51.45162,-0.05922,490,"490G00006921","Peckham"
1389,5,51.49197,-0.06099,490,"490G00003311","Peckham"
1574,5,51.45921,-0.05738,490,"490G00011841","Peckham"
2154,5,51.46008,-0.04359,490,"490G00013851","Peckham"
2252,5,51.45414,-0.00853,490,"490G00013624","Peckham"
2447,5,51.45108,-0.06431,490,"490G00015713","Peckham"
2729,5,51.47793,-0.08261,490,"490G00011974","Peckham"
3008,5,51.47431,-0.07738,490,"490G00012248","Peckham"
3597,5,51.44999,-0.0455,490," 910GHONROPK","Peckham"
3597,2,51.44999,-0.0455,490," 910GHONROPK","Peckham"
3718,5,51.4898,-0.08706,490,"490G00019184","Peckham"
4154,5,51.48436,-0.0741,490,"490G00014117","Peckham"
4172,5,51.4419,-0.06582,490,"490G00009362","Peckham"
4173,5,51.44332,-0.07074,490,"490G00009363","Peckham"
4176,2,51.48814,-0.05467,490," 910GSBRMNDS","Peckham"
4176,5,51.48814,-0.05467,490," 910GSBRMNDS","Peckham"
4227,5,51.48715,-0.06576,490,"490G00004873","Peckham"
4249,5,51.46311,-0.02912,490,"490G00004274","Peckham"
4678,5,51.46277,-0.02392,490,"490G00004446","Peckham"
5275,5,51.45804,-0.02657,490,"490G00011172","Peckham"
5308,5,51.47999,-0.04103,490,"490G00005634","Peckham"
5976,5,51.44229,-0.04563,490,"490G00006920","Peckham"
6391,5,51.48744,-0.04347,490,"490G00003241","Peckham"
6451,5,51.4805,-0.06717,490,"490G00004027","Peckham"
7337,5,51.45566,-0.07646,490,"490G00006335","Peckham"
7762,5,51.44913,-0.07425,490,"490G00015428","Peckham"
7792,5,51.49497,-0.05913,490,"490G00013562","Peckham"
8471,5,51.46237,-0.02532,490,"490G00013889","Peckham"
8659,5,51.49251,-0.05931,490,"490G00011450","Peckham"
9185,5,51.45871,0.0019,490,"490G00004257","Peckham"
9514,5,51.45812,-0.05392,490,"490G00012957","Peckham"
10149,5,51.49,-0.06534,490,"490G00006639","Peckham"
10307,5,51.46227,-0.06748,490,"490G00008809","Peckham"
11129,5,51.48554,-0.04244,490,"490G00007534","Peckham"
11223,5,51.49142,-0.08202,490,"490G00006379","Peckham"
11273,5,51.45782,-0.07518,490,"490G00010346","Peckham"
11387,5,51.45333,-0.06706,490,"490G00013902","Peckham"
11423,5,51.45331,-0.02931,490,"490G00006967","Peckham"
12243,5,51.46238,-0.02142,490,"490G00012059","Peckham"
13142,5,51.44761,-0.06301,490,"490G00008959","Peckham"
13546,5,51.47367,-0.08782,490,"490G00012713","Peckham"
13801,5,51.46084,-0.01295,490,"490G00009963","Peckham"
15332,5,51.48716,-0.08465,490,"490G00003274","Peckham"
15333,5,51.49365,-0.07436,490,"490G00003275","Peckham"
15395,5,51.45274,-0.03031,490,"490G00009621","Peckham"
15617,5,51.44706,-0.05442,490,"490G00006716","Peckham"
16023,5,51.49014,-0.08279,490,"490G00003756","Peckham"
16057,5,51.46767,-0.04387,490,"490G00008859","Peckham"
16370,5,51.4548,-0.07169,490,"490G00005875","Peckham"
16761,5,51.45726,-0.01171,490,"490G00005658","Peckham"
17081,5,51.4568,-0.06438,490,"490G00007032","Peckham"
17430,5,51.48691,-0.06242,490,"490G00013058","Peckham"
17551,5,51.4767,-0.07971,490,"490G00012249","Peckham"
17923,5,51.46064,-0.0109,490,"490G00009105","Peckham"
18224,5,51.47918,-0.07113,490,"490G00015073","Peckham"
18235,5,51.4454,-0.06563,490,"490G00015714","Peckham"
18295,5,51.45035,-0.05569,490,"490G00015711","Peckham"
18447,5,51.45625,-0.01903,490,"    910GLDYW","Peckham"
18447,2,51.45625,-0.01903,490,"    910GLDYW","Peckham"
18567,5,51.48607,-0.07408,490,"490G00010282","Peckham"
18581,5,51.48471,-0.09392,490,"490G00014501","Peckham"
18659,5,51.45309,-0.07734,490,"490G00008041","Peckham"
19024,5,51.46075,-0.02152,490,"490G00005418","Peckham"
19455,5,51.47905,-0.05548,490,"490G00008461","Peckham"
19976,5,51.48423,-0.08517,490,"490G00003143","Peckham"
20517,5,51.4449,-0.06349,490,"490G00009794","Peckham"
21199,5,51.4655,-0.07625,490,"490G00003513","Peckham"
21728,5,51.46465,-0.03753,490," 910GBROCKLY","Peckham"
21728,2,51.46465,-0.03753,490," 910GBROCKLY","Peckham"
21997,5,51.46123,-0.04352,490,"490G00004389","Peckham"
22272,2,51.47004,-0.06941,490," 910GPCKHMRY","Peckham"
22272,5,51.47004,-0.06941,490," 910GPCKHMRY","Peckham"
22505,5,51.48637,-0.07301,490,"490G00013761","Peckham"
22513,5,51.46174,-0.07005,490,"490G00010490","Peckham"
22825,5,51.48177,-0.07404,490,"490G00012709","Peckham"
23414,5,51.44932,-0.05506,490,"490G00004279","Peckham"
23425,5,51.48158,-0.09441,490,"490G00003138","Peckham"
23690,2,51.46569,-0.01402,490," 910GLEWISHM","Peckham"
23690,5,51.46569,-0.01402,490," 910GLEWISHM","Peckham"
23690,3,51.46569,-0.01402,490," 910GLEWISHM","Peckham"
23690,4,51.46569,-0.01402,490," 910GLEWISHM","Peckham"
23747,5,51.49129,-0.0754,490,"490G00009480","Peckham"
25805,5,51.45161,-0.07151,490,"490G00007293","Peckham"
26025,5,51.46134,-0.06249,490,"490G00012221","Peckham"
26307,5,51.45439,-0.06946,490,"490G00013900","Peckham"
26364,5,51.43926,-0.06276,490,"490G00013132","Peckham"
28059,5,51.45547,-0.07604,490,"490G00006340","Peckham"
28709,4,51.47513,-0.0404,910," 910GNEWXGEL","Peckham"
28709,2,51.47513,-0.0404,910," 910GNEWXGEL","Peckham"
28709,5,51.47513,-0.0404,910," 910GNEWXGEL","Peckham"
28925,5,51.48159,-0.08581,490,"490G00012710","Peckham"
29098,5,51.4591,-0.0301,490,"490G00009988","Peckham"
29168,5,51.45638,-0.05074,490,"490G00013043","Peckham"
29438,5,51.46281,-0.00392,490,"490G00013561","Peckham"
29451,5,51.45882,-0.0121,490,"490G00010038","Peckham"
30151,5,51.48344,-0.06492,490,"490G00010880","Peckham"
30228,5,51.48305,-0.08905,490,"490G00011132","Peckham"
31028,5,51.45904,-0.0662,490,"490G00010885","Peckham"
31415,5,51.46315,-0.06655,490,"490G00008807","Peckham"
31432,5,51.48242,-0.09305,490,"490G00018967","Peckham"
31719,5,51.47788,-0.06948,490,"490G00005525","Peckham"
31964,5,51.47422,-0.02243,490," 940GZZDLDEP","Peckham"
31964,3,51.47422,-0.02243,490," 940GZZDLDEP","Peckham"
32565,5,51.46068,-0.06631,490,"490G00013366","Peckham"
32584,5,51.45763,-0.04412,490,"490G00012820","Peckham"
34081,5,51.44855,-0.0737,490,"490G00006232","Peckham"
34520,5,51.44515,-0.07034,490,"490G00010671","Peckham"
34600,5,51.47635,-0.03242,910," 910GNWCRELL","Peckham"
34600,2,51.47635,-0.03242,910," 910GNWCRELL","Peckham"
37030,5,51.45083,-0.07601,490,"490G00005874","Peckham"
37155,5,51.45556,-0.04617,490,"490G00015712","Peckham"
37780,5,51.47935,-0.05958,490,"490G00004813","Peckham"
38378,5,51.45825,-0.00195,490,"490G00018705","Peckham"
39156,5,51.44987,-0.05821,490,"490G00014911","Peckham"
39669,5,51.47373,-0.08298,490,"490G00012357","Peckham"
39671,5,51.49243,-0.06513,490,"490G00012353","Peckham"
39872,5,51.44017,-0.06389,490,"490G00008352","Peckham"
39876,5,51.44057,-0.06197,490,"490G00008350","Peckham"
40171,5,51.49828,-0.07159,490,"490G00017367","Peckham"
40172,5,51.49761,-0.0778,490,"490G00017366","Peckham"
40177,5,51.45397,-0.06247,490,"490G00006264","Peckham"
40524,5,51.44463,-0.05517,490,"490G00008349","Peckham"
41004,5,51.44464,-0.0426,490,"490G00004396","Peckham"
41403,5,51.45974,-0.00405,490,"490G00003868","Peckham"
41406,5,51.46183,-0.00717,490,"490G00003864","Peckham"
41562,5,51.49871,-0.06991,490,"490G00003034","Peckham"
41639,5,51.45705,-0.06754,490,"490G00013918","Peckham"
41642,5,51.44653,-0.07233,490,"490G00013919","Peckham"
42256,5,51.46852,-0.04207,490,"490G00014133","Peckham"
43181,5,51.4979,-0.07476,490,"490G00018248","Peckham"
43463,5,51.48209,-0.04171,490,"490G00005460","Peckham"
45189,5,51.44382,-0.06818,490,"490G00007586","Peckham"
45401,5,51.49512,-0.07695,490,"490G00012367","Peckham"
45513,5,51.49991,-0.07219,490,"490G00006091","Peckham"
45948,5,51.48133,-0.05368,490,"490G00009560","Peckham"
46691,5,51.47084,-0.03558,490,"490G00012652","Peckham"
47926,5,51.46337,-0.06287,490,"490G00004773","Peckham"
48253,5,51.46939,-0.02271,910," 910GSTJOHNS","Peckham"
48253,2,51.46939,-0.02271,910," 910GSTJOHNS","Peckham"
48273,5,51.46278,-0.06466,490,"490G00010886","Peckham"
48309,5,51.49266,-0.07423,490,"490G00009307","Peckham"
48326,5,51.47619,-0.06948,490,"490G00004140","Peckham"
48374,5,51.47357,-0.05731,490," 910GPCKHMQD","Peckham"
48374,2,51.47357,-0.05731,490," 910GPCKHMQD","Peckham"
48585,5,51.4615,-0.08057,490," 910GEDULWCH","Peckham"
48585,2,51.4615,-0.08057,490," 910GEDULWCH","Peckham"
48591,2,51.45519,-0.0365,490,"    910GCFPK","Peckham"
48591,5,51.45519,-0.0365,490,"    910GCFPK","Peckham"
48966,5,51.48037,-0.05896,490,"490G00005526","Peckham"
49360,5,51.47397,-0.04855,490,"490G00010205","Peckham"
