"node","layer","lat","lon","zone","atcocode","city"
651,5,52.56204,-0.25883,59,"    059GPB97","Peterborough"
916,5,52.5595,-0.11628,50,"050GWY054055","Peterborough"
965,5,52.56851,-0.3885,50," 940GZZNVWSF","Peterborough"
1006,5,52.57802,-0.29077,59,"    059GPB51","Peterborough"
1007,5,52.60576,-0.2392,59,"    059GPB52","Peterborough"
1008,5,52.64322,-0.31557,59,"    059GPB53","Peterborough"
1009,5,52.6376,-0.30963,59,"    059GPB54","Peterborough"
1010,5,52.6383,-0.29806,59,"    059GPB55","Peterborough"
1011,5,52.54834,-0.24998,59,"    059GPB57","Peterborough"
1012,5,52.55544,-0.25934,59,"    059GPB58","Peterborough"
1013,5,52.55587,-0.25522,59,"    059GPB59","Peterborough"
1135,5,52.57583,-0.20824,59,"    059GP243","Peterborough"
1136,5,52.5771,-0.21221,59,"    059GP242","Peterborough"
1137,5,52.57867,-0.21493,59,"    059GP241","Peterborough"
1138,5,52.57925,-0.21083,59,"    059GP240","Peterborough"
1139,5,52.57103,-0.22486,59,"    059GP247","Peterborough"
1140,5,52.57096,-0.22194,59,"    059GP246","Peterborough"
1141,5,52.57096,-0.21803,59,"    059GP245","Peterborough"
1142,5,52.57262,-0.21138,59,"    059GP244","Peterborough"
1144,5,52.57288,-0.26488,59,"    059GP249","Peterborough"
1145,5,52.57289,-0.26052,59,"    059GP248","Peterborough"
1497,5,52.50048,-0.2946,50,"050GFW002003","Peterborough"
2945,5,52.48965,-0.29592,50,"050GSL002004","Peterborough"
5005,5,52.55744,-0.26487,59,"    059GP148","Peterborough"
5006,5,52.54806,-0.27008,59,"    059GP149","Peterborough"
5008,5,52.5807,-0.24329,59,"    059GP140","Peterborough"
5009,5,52.5804,-0.23925,59,"    059GP141","Peterborough"
5010,5,52.57711,-0.24045,59,"    059GP142","Peterborough"
5011,5,52.56537,-0.25142,59,"    059GP144","Peterborough"
6024,5,52.61145,-0.27944,59,"    059GP379","Peterborough"
6025,5,52.57405,-0.24116,59,"    059GP377","Peterborough"
6026,5,52.60017,-0.26427,59,"    059GP376","Peterborough"
6027,5,52.57891,-0.22784,59,"    059GP375","Peterborough"
6028,5,52.5824,-0.26105,59,"    059GP374","Peterborough"
6029,5,52.60613,-0.26367,59,"    059GP373","Peterborough"
6030,5,52.57911,-0.26121,59,"    059GP372","Peterborough"
6031,5,52.55774,-0.24711,59,"    059GP371","Peterborough"
6032,5,52.55729,-0.24971,59,"    059GP370","Peterborough"
6621,5,52.55329,-0.20727,59,"    059GPB87","Peterborough"
6624,5,52.61207,-0.27636,59,"    059GPB81","Peterborough"
6627,5,52.54847,-0.32768,59,"    059GPB88","Peterborough"
7611,2,52.57499,-0.24983,59,"    910GPBRO","Peterborough"
7611,5,52.57499,-0.24983,59,"    910GPBRO","Peterborough"
7611,4,52.57499,-0.24983,59,"    910GPBRO","Peterborough"
8210,5,52.51078,-0.14262,50,"050GWY044045","Peterborough"
8473,5,52.60616,-0.24727,59,"    059GPB09","Peterborough"
8476,5,52.58332,-0.24514,59,"    059GPB05","Peterborough"
8478,5,52.55815,-0.22924,59,"    059GPB03","Peterborough"
8479,5,52.59537,-0.24175,59,"    059GPB02","Peterborough"
8520,5,52.59076,-0.23751,59,"    059GP230","Peterborough"
8521,5,52.59061,-0.24041,59,"    059GP231","Peterborough"
8522,5,52.58541,-0.2424,59,"    059GP236","Peterborough"
8523,5,52.58354,-0.23755,59,"    059GP237","Peterborough"
8524,5,52.58582,-0.23868,59,"    059GP235","Peterborough"
8525,5,52.58035,-0.20975,59,"    059GP239","Peterborough"
8704,5,52.52106,-0.24683,50,"050GYX010011","Peterborough"
9188,5,52.5149,-0.27005,50,"050GYX015023","Peterborough"
9251,5,52.49414,-0.29042,50,"050GSL003010","Peterborough"
10015,5,52.57009,-0.24318,59,"    059GP383","Peterborough"
10527,5,52.52017,-0.26949,50,"050GYX036037","Peterborough"
11646,5,52.59216,-0.25453,59,"    059GPB16","Peterborough"
11807,5,52.60729,-0.19658,59,"    059GP306","Peterborough"
11808,5,52.60524,-0.19974,59,"    059GP307","Peterborough"
11810,5,52.60901,-0.19033,59,"    059GP305","Peterborough"
11811,5,52.55581,-0.22711,59,"    059GP302","Peterborough"
11813,5,52.54907,-0.22799,59,"    059GP301","Peterborough"
11817,5,52.64287,-0.24317,59,"    059GP308","Peterborough"
12575,5,52.55355,-0.21611,59,"    059GP113","Peterborough"
13515,5,52.55915,-0.13412,50,"050GWY003004","Peterborough"
14204,5,52.57131,-0.29594,59,"    059GPB77","Peterborough"
14205,5,52.61827,-0.28582,59,"    059GPB74","Peterborough"
14206,5,52.59961,-0.2496,59,"    059GPB75","Peterborough"
14207,5,52.55136,-0.22573,59,"    059GPB72","Peterborough"
14208,5,52.59269,-0.23396,59,"    059GPB73","Peterborough"
14209,5,52.54247,-0.30095,59,"    059GPB70","Peterborough"
14210,5,52.64033,-0.22239,59,"    059GPB71","Peterborough"
14211,5,52.57094,-0.34001,59,"    059GPB78","Peterborough"
14212,5,52.57538,-0.35283,59,"    059GPB79","Peterborough"
14314,5,52.60388,-0.28626,59,"    059GP269","Peterborough"
14315,5,52.59992,-0.28891,59,"    059GP268","Peterborough"
14320,5,52.57301,-0.28115,59,"    059GP260","Peterborough"
14321,5,52.57516,-0.29565,59,"    059GP263","Peterborough"
14322,5,52.57305,-0.28955,59,"    059GP262","Peterborough"
14323,5,52.58582,-0.28664,59,"    059GP265","Peterborough"
14324,5,52.5824,-0.28802,59,"    059GP264","Peterborough"
14328,5,52.51976,-0.2501,50,"050GYX009018","Peterborough"
14343,5,52.59408,-0.2359,59,"    059GP198","Peterborough"
14344,5,52.59657,-0.23444,59,"    059GP197","Peterborough"
14345,5,52.59731,-0.23598,59,"    059GP196","Peterborough"
14346,5,52.59914,-0.23178,59,"    059GP195","Peterborough"
14347,5,52.60054,-0.23087,59,"    059GP194","Peterborough"
14348,5,52.6009,-0.23357,59,"    059GP193","Peterborough"
14349,5,52.59802,-0.23837,59,"    059GP192","Peterborough"
14350,5,52.59584,-0.24627,59,"    059GP191","Peterborough"
14351,5,52.59485,-0.24944,59,"    059GP190","Peterborough"
14780,5,52.51256,-0.26815,50,"050GYX001003","Peterborough"
15083,5,52.54192,-0.22908,50,"050GFR002008","Peterborough"
18316,5,52.55133,-0.3146,59,"    059GP168","Peterborough"
18317,5,52.55488,-0.28412,59,"    059GP169","Peterborough"
18318,5,52.55347,-0.31771,59,"    059GP166","Peterborough"
18319,5,52.55198,-0.32113,59,"    059GP167","Peterborough"
18320,5,52.55509,-0.31427,59,"    059GP164","Peterborough"
18321,5,52.55284,-0.31445,59,"    059GP165","Peterborough"
18322,5,52.55819,-0.31265,59,"    059GP162","Peterborough"
18323,5,52.55718,-0.3179,59,"    059GP163","Peterborough"
