"node","layer","lat","lon","zone","atcocode","city"
338,5,50.36055,-4.17478,930,"     930GCRE","Plymouth"
338,1,50.36055,-4.17478,930,"     930GCRE","Plymouth"
962,2,50.37852,-4.17075,910," 910GDEVNPRT","Plymouth"
962,5,50.37852,-4.17075,910," 910GDEVNPRT","Plymouth"
4802,5,50.37614,-4.18412,930,"     930GDVP","Plymouth"
4802,1,50.37614,-4.18412,930,"     930GDVP","Plymouth"
8773,5,50.37782,-4.14336,910,"  910GPLYMTH","Plymouth"
8773,2,50.37782,-4.14336,910,"  910GPLYMTH","Plymouth"
16172,5,50.37541,-4.193,930,"     930GTPT","Plymouth"
16172,1,50.37541,-4.193,930,"     930GTPT","Plymouth"
24326,5,50.36101,-4.13023,930,"     930GPMB","Plymouth"
24326,1,50.36101,-4.13023,930,"     930GPMB","Plymouth"
27133,4,50.40735,-4.20916,910,"    910GSASH","Plymouth"
27133,2,50.40735,-4.20916,910,"    910GSASH","Plymouth"
27133,5,50.40735,-4.20916,910,"    910GSASH","Plymouth"
33814,5,50.40138,-4.18686,910," 9100STBDXFR","Plymouth"
33814,2,50.40138,-4.18686,910," 9100STBDXFR","Plymouth"
36564,5,50.3656,-4.16447,930,"     930GYVZ","Plymouth"
36564,1,50.3656,-4.16447,930,"     930GYVZ","Plymouth"
39157,2,50.402,-4.18745,910," 910GSTBDXVR","Plymouth"
39157,5,50.402,-4.18745,910," 910GSTBDXVR","Plymouth"
39568,5,50.45127,-4.18148,910," 910GBEREFRS","Plymouth"
39568,2,50.45127,-4.18148,910," 910GBEREFRS","Plymouth"
44675,5,50.36567,-4.13418,930,"     930GPBA","Plymouth"
44675,1,50.36567,-4.13418,930,"     930GPBA","Plymouth"
44677,2,50.38216,-4.17594,910," 910GDOCKYDP","Plymouth"
44677,5,50.38216,-4.17594,910," 910GDOCKYDP","Plymouth"
51401,2,50.38987,-4.17964,910,"  910GKEYHAM","Plymouth"
51401,5,50.38987,-4.17964,910,"  910GKEYHAM","Plymouth"
51539,5,50.39018,-4.09737,118,"1180PLB11648","Plymouth"
52947,5,50.38511,-4.06517,118,"1180PLB11523","Plymouth"
53347,5,50.35331,-4.11283,118,"1180PLB11983","Plymouth"
53349,5,50.35635,-4.11827,118,"1180PLB11980","Plymouth"
54298,5,50.38671,-4.04681,118,"1180PLB11514","Plymouth"
54299,5,50.38636,-4.04692,118,"1180PLB11515","Plymouth"
54300,5,50.3825,-4.04283,118,"1180PLB11510","Plymouth"
54301,5,50.38337,-4.04276,118,"1180PLB11511","Plymouth"
54302,5,50.38403,-4.04552,118,"1180PLB11512","Plymouth"
54303,5,50.38396,-4.04618,118,"1180PLB11513","Plymouth"
54939,5,50.40708,-4.22795,80,"0800COZ06380","Plymouth"
54991,5,50.3952,-4.14541,118,"1180PLA10897","Plymouth"
55238,5,50.41555,-4.17187,118,"1180PLA10160","Plymouth"
55470,5,50.35314,-4.10099,118,"1180PLA06924","Plymouth"
55471,5,50.37888,-4.11362,118,"1180PLA06927","Plymouth"
55472,5,50.43097,-4.13508,118,"1180PLA06920","Plymouth"
55473,5,50.35797,-4.06371,118,"1180PLA06923","Plymouth"
55999,5,50.36106,-4.08188,118,"1180PLA10719","Plymouth"
56001,5,50.36457,-4.08337,118,"1180PLA10710","Plymouth"
56002,5,50.36376,-4.08122,118,"1180PLA10712","Plymouth"
56004,5,50.36149,-4.07274,118,"1180PLA10716","Plymouth"
56005,5,50.36113,-4.06993,118,"1180PLA10717","Plymouth"
56759,5,50.42984,-4.12531,118,"1180PLY38488","Plymouth"
56760,5,50.35174,-4.10357,118,"1180PLY38482","Plymouth"
56761,5,50.36246,-4.08582,118,"1180PLY38480","Plymouth"
56762,5,50.35058,-4.10192,118,"1180PLY38481","Plymouth"
56763,5,50.35362,-4.09547,118,"1180PLY38486","Plymouth"
56764,5,50.36121,-4.09661,118,"1180PLY38487","Plymouth"
56765,5,50.35623,-4.11834,118,"1180PLY38484","Plymouth"
56766,5,50.35315,-4.09194,118,"1180PLY38485","Plymouth"
57175,5,50.42664,-4.14483,118,"1180PLA11155","Plymouth"
57176,5,50.43289,-4.11093,118,"1180PLA11157","Plymouth"
57208,5,50.40067,-4.1264,118,"1180PLB11580","Plymouth"
57304,5,50.3868,-4.01644,110,"1100PLA11319","Plymouth"
57305,5,50.38749,-4.01772,110,"1100PLA11318","Plymouth"
57306,5,50.38767,-4.01936,110,"1100PLA11317","Plymouth"
57512,5,50.39783,-4.15269,118,"1180PLB11738","Plymouth"
57514,5,50.39654,-4.15127,118,"1180PLB11737","Plymouth"
57515,5,50.39923,-4.14947,118,"1180PLB11730","Plymouth"
57516,5,50.3977,-4.14916,118,"1180PLB11731","Plymouth"
57517,5,50.39691,-4.14641,118,"1180PLB11732","Plymouth"
57518,5,50.39691,-4.14673,118,"1180PLB11733","Plymouth"
58098,5,50.4261,-4.11799,118,"1180PLA11100","Plymouth"
59484,5,50.41034,-4.17795,118,"1180PLA10048","Plymouth"
59485,5,50.40917,-4.17784,118,"1180PLA10049","Plymouth"
59486,5,50.39132,-4.17063,118,"1180PLA10040","Plymouth"
59487,5,50.39026,-4.16818,118,"1180PLA10041","Plymouth"
59488,5,50.38871,-4.16584,118,"1180PLA10042","Plymouth"
59489,5,50.38749,-4.16386,118,"1180PLA10043","Plymouth"
59490,5,50.38677,-4.1598,118,"1180PLA10044","Plymouth"
59491,5,50.38431,-4.15501,118,"1180PLA10045","Plymouth"
59492,5,50.41016,-4.17777,118,"1180PLA10046","Plymouth"
59534,5,50.34647,-4.22046,80,"0800COB20059","Plymouth"
59535,5,50.34715,-4.22582,80,"0800COB20058","Plymouth"
59537,5,50.35455,-4.24036,80,"0800COB20054","Plymouth"
59538,5,50.35264,-4.23354,80,"0800COB20057","Plymouth"
59539,5,50.35442,-4.24057,80,"0800COB20056","Plymouth"
59540,5,50.35396,-4.25891,80,"0800COB20051","Plymouth"
59541,5,50.35559,-4.26438,80,"0800COB20050","Plymouth"
59542,5,50.35483,-4.25435,80,"0800COB20053","Plymouth"
59543,5,50.3548,-4.25478,80,"0800COB20052","Plymouth"
59794,5,50.41046,-4.13669,118,"1180PLA11212","Plymouth"
59795,5,50.40879,-4.13298,118,"1180PLA11213","Plymouth"
59796,5,50.41197,-4.144,118,"1180PLA11210","Plymouth"
59797,5,50.4113,-4.13974,118,"1180PLA11211","Plymouth"
59798,5,50.40223,-4.14027,118,"1180PLA11216","Plymouth"
59799,5,50.40234,-4.14025,118,"1180PLA11217","Plymouth"
59800,5,50.40146,-4.13759,118,"1180PLA11214","Plymouth"
59801,5,50.40147,-4.13818,118,"1180PLA11215","Plymouth"
59802,5,50.40322,-4.14319,118,"1180PLA11218","Plymouth"
59803,5,50.40328,-4.14308,118,"1180PLA11219","Plymouth"
59983,5,50.37482,-4.23751,80,"0800COB20039","Plymouth"
60201,5,50.36788,-4.14382,118,"1180PLC30022","Plymouth"
60822,5,50.41088,-4.2354,80,"0800COZ06371","Plymouth"
60830,5,50.41007,-4.23149,80,"0800COZ06376","Plymouth"
60964,5,50.42921,-4.12622,118,"1180PLA10448","Plymouth"
60965,5,50.43574,-4.11662,118,"1180PLA10444","Plymouth"
60966,5,50.42862,-4.11654,118,"1180PLA10445","Plymouth"
60967,5,50.42969,-4.11915,118,"1180PLA10446","Plymouth"
60968,5,50.42978,-4.12138,118,"1180PLA10447","Plymouth"
60969,5,50.43351,-4.11523,118,"1180PLA10440","Plymouth"
60970,5,50.43346,-4.11544,118,"1180PLA10441","Plymouth"
60972,5,50.43612,-4.1136,118,"1180PLA10443","Plymouth"
62009,5,50.35009,-4.08487,118,"1180PLZ01933","Plymouth"
62010,5,50.36948,-4.16974,118,"1180PLZ01931","Plymouth"
62011,5,50.36953,-4.16964,118,"1180PLZ01930","Plymouth"
62012,5,50.3653,-4.08261,118,"1180PLZ01937","Plymouth"
62013,5,50.36039,-4.10501,118,"1180PLZ01935","Plymouth"
62014,5,50.35017,-4.08514,118,"1180PLZ01934","Plymouth"
62481,5,50.38389,-4.06397,118,"1180PLB11520","Plymouth"
62492,5,50.38483,-4.06508,118,"1180PLB11522","Plymouth"
63776,5,50.41895,-4.13807,118,"1180PLA01860","Plymouth"
63777,5,50.42427,-4.14156,118,"1180PLA01861","Plymouth"
63778,5,50.38118,-4.13401,118,"1180PLA01863","Plymouth"
63780,5,50.36996,-4.11796,118,"1180PLA01865","Plymouth"
63781,5,50.37108,-4.15182,118,"1180PLA01866","Plymouth"
63782,5,50.37138,-4.15328,118,"1180PLA01867","Plymouth"
