"node","layer","lat","lon","zone","atcocode","city"
86,4,50.68649,-2.11013,120,"900GNX001667","Poole"
86,5,50.68649,-2.11013,120,"900GNX001667","Poole"
2695,5,50.72518,-2.01937,910,"  910GHMWTHY","Poole"
2695,2,50.72518,-2.01937,910,"  910GHMWTHY","Poole"
2704,2,50.69287,-2.11526,910,"  910GWARHAM","Poole"
2704,5,50.69287,-2.11526,910,"  910GWARHAM","Poole"
7382,4,50.71941,-1.98333,910,"   910GPOOLE","Poole"
7382,2,50.71941,-1.98333,910,"   910GPOOLE","Poole"
7382,5,50.71941,-1.98333,910,"   910GPOOLE","Poole"
14552,5,50.67996,-1.95002,930,"     930GHVN","Poole"
14552,1,50.67996,-1.95002,930,"     930GHVN","Poole"
22564,5,50.71187,-1.98544,930,"     930GPOP","Poole"
22564,1,50.71187,-1.98544,930,"     930GPOP","Poole"
25714,5,50.6834,-1.94872,930,"     930GSWD","Poole"
25714,1,50.6834,-1.94872,930,"     930GSWD","Poole"
28520,5,50.7231,-1.94896,910,"  910GPSTONE","Poole"
28520,2,50.7231,-1.94896,910,"  910GPSTONE","Poole"
33675,4,50.63833,-2.05512,940," 940GZZSRCFC","Poole"
33675,5,50.63833,-2.05512,940," 940GZZSRCFC","Poole"
33675,3,50.63833,-2.05512,940," 940GZZSRCFC","Poole"
45825,4,50.72894,-1.9396,128,"900GNX001119","Poole"
45825,5,50.72894,-1.9396,128,"900GNX001119","Poole"
54990,5,50.71209,-1.97654,128,"1280POA11075","Poole"
55485,5,50.74531,-2.01182,128,"1280POA11159","Poole"
55486,5,50.74295,-2.0121,128,"1280POA11158","Poole"
55487,5,50.74285,-2.01225,128,"1280POA11157","Poole"
55850,5,50.72849,-1.93899,128,"1280POA11848","Poole"
56180,5,50.71704,-1.95017,128,"1280POA11799","Poole"
56181,5,50.7187,-1.95298,128,"1280POA11798","Poole"
56182,5,50.72137,-1.95545,128,"1280POA11793","Poole"
56183,5,50.71874,-1.95347,128,"1280POA11792","Poole"
56184,5,50.71527,-1.95398,128,"1280POA11791","Poole"
56185,5,50.71348,-1.95191,128,"1280POA11790","Poole"
56186,5,50.71878,-1.95284,128,"1280POA11797","Poole"
56187,5,50.71936,-1.95334,128,"1280POA11796","Poole"
56188,5,50.72299,-1.9537,128,"1280POA11795","Poole"
56189,5,50.72277,-1.95407,128,"1280POA11794","Poole"
57719,5,50.71242,-1.99089,128,"1280POA11086","Poole"
57720,5,50.71498,-1.98897,128,"1280POA11085","Poole"
57721,5,50.71525,-1.98759,128,"1280POA11084","Poole"
57723,5,50.71604,-1.98804,128,"1280POA11088","Poole"
58584,5,50.75344,-2.07964,120,"1200POA10204","Poole"
58939,5,50.71789,-1.97777,128,"1280POA11821","Poole"
58940,5,50.71789,-1.97785,128,"1280POA11820","Poole"
58941,5,50.71356,-1.99173,128,"1280POA11822","Poole"
60404,5,50.73502,-2.08797,120,"1200DOA25120","Poole"
60808,5,50.72914,-1.94361,128,"1280POA11593","Poole"
61967,5,50.71795,-1.97838,128,"1280POA11813","Poole"
61985,5,50.74635,-1.94407,128,"1280POA51526","Poole"
62158,5,50.72988,-1.9867,128,"1280POA11208","Poole"
62281,5,50.74841,-1.98386,128,"1280POZ00726","Poole"
63185,5,50.7131,-1.97748,128,"1280POA05958","Poole"
63186,5,50.76372,-1.98457,128,"1280POA05959","Poole"
63190,5,50.71394,-1.98205,128,"1280POA05957","Poole"
63479,5,50.79535,-1.97794,120,"1200DOY38822","Poole"
63480,5,50.80333,-1.98615,120,"1200DOY38823","Poole"
65010,5,50.66022,-2.09195,120,"1200DOZ04940","Poole"
65066,5,50.73096,-2.02154,128,"1280POA11142","Poole"
65067,5,50.72452,-2.03208,128,"1280POA11141","Poole"
65417,5,50.72187,-2.0813,120,"1200POA10180","Poole"
65614,5,50.73512,-2.02571,120,"1200POA11190","Poole"
65674,5,50.72344,-1.96227,128,"1280POA90816","Poole"
65676,5,50.72129,-1.9571,128,"1280POA90814","Poole"
65678,5,50.72122,-1.95723,128,"1280POA90813","Poole"
65682,5,50.74217,-1.99807,128,"1280POA90811","Poole"
65725,1,50.68867,-1.95636,930,"     9300BSI","Poole"
65777,5,50.71057,-1.94762,128,"1280POA11788","Poole"
65778,5,50.71183,-1.94966,128,"1280POA11789","Poole"
65780,5,50.68728,-1.94643,128,"1280POA11783","Poole"
65781,5,50.68773,-1.94202,128,"1280POA11784","Poole"
65782,5,50.69208,-1.93439,128,"1280POA11785","Poole"
66269,5,50.73532,-1.97181,128,"1280POA11469","Poole"
67364,5,50.71373,-2.00446,128,"1280POA11094","Poole"
67365,5,50.71197,-2.00681,128,"1280POA11096","Poole"
67366,5,50.71182,-1.99578,128,"1280POA11091","Poole"
67367,5,50.71195,-1.99659,128,"1280POA11092","Poole"
67368,5,50.71311,-2.00025,128,"1280POA11093","Poole"
67371,5,50.71297,-2.01214,128,"1280POA11098","Poole"
67372,5,50.71413,-2.01931,128,"1280POA11099","Poole"
70452,5,50.74334,-1.9859,128,"1280POY28447","Poole"
70453,5,50.73204,-1.98312,128,"1280POY28445","Poole"
70454,5,50.73481,-1.97694,128,"1280POY28443","Poole"
70455,5,50.73516,-1.9768,128,"1280POY28442","Poole"
70456,5,50.73692,-1.9764,128,"1280POY28441","Poole"
70457,5,50.73706,-1.97594,128,"1280POY28440","Poole"
72708,5,50.75593,-1.98344,128,"1280POA05928","Poole"
72709,5,50.75319,-1.98509,128,"1280POA05925","Poole"
72710,5,50.7554,-1.98718,128,"1280POA05924","Poole"
72711,5,50.75591,-1.98358,128,"1280POA05927","Poole"
72712,5,50.75456,-1.98364,128,"1280POA05926","Poole"
72713,5,50.75551,-1.98718,128,"1280POA05923","Poole"
74258,5,50.71695,-1.97708,128,"1280POA05818","Poole"
74517,5,50.74192,-2.0056,128,"1280POA11177","Poole"
74518,5,50.74036,-2.00204,128,"1280POA11176","Poole"
74519,5,50.74024,-2.00102,128,"1280POA11175","Poole"
74520,5,50.74001,-1.99836,128,"1280POA11174","Poole"
74522,5,50.74064,-1.99671,128,"1280POA11172","Poole"
74523,5,50.74045,-1.99646,128,"1280POA11171","Poole"
