"node","layer","lat","lon","zone","atcocode","city"
18044,4,53.7808,-2.69813,250,"900GNX000569","Preston"
18044,5,53.7808,-2.69813,250,"900GNX000569","Preston"
18962,5,53.75687,-2.70812,910,"    910GPRST","Preston"
18962,2,53.75687,-2.70812,910,"    910GPRST","Preston"
51692,5,53.76725,-2.7031,250,"   250014203","Preston"
51997,5,53.77381,-2.68982,250,"    25001160","Preston"
52124,5,53.83002,-2.61745,250," 2500IMG1438","Preston"
53036,5,53.76119,-2.69599,250,"    2500JB29","Preston"
53037,5,53.76091,-2.69584,250,"    2500JB28","Preston"
53039,5,53.76048,-2.69569,250,"    2500JB20","Preston"
53040,5,53.76069,-2.69575,250,"    2500JB23","Preston"
53041,5,53.76073,-2.69578,250,"    2500JB24","Preston"
53042,5,53.76086,-2.69583,250,"    2500JB27","Preston"
53043,5,53.76082,-2.69581,250,"    2500JB26","Preston"
53075,5,53.7694,-2.73565,250,"2500GCS10056","Preston"
53078,5,53.76173,-2.7289,250,"2500GCS10055","Preston"
53079,5,53.7686,-2.74017,250,"2500GCS10052","Preston"
53080,5,53.77486,-2.65201,250,"2500GCS10050","Preston"
53081,5,53.76626,-2.69571,250,"2500GCS10051","Preston"
53083,5,53.78014,-2.74462,250,"2500GCS10058","Preston"
53084,5,53.74956,-2.68269,250,"2500GCS10059","Preston"
53588,5,53.78645,-2.67805,250,"2500LAA15914","Preston"
53589,5,53.78996,-2.65707,250,"2500LAA15917","Preston"
53775,4,53.76158,-2.69668,250,"    25003150","Preston"
53776,5,53.76163,-2.69669,250,"    25003151","Preston"
53777,5,53.76171,-2.69672,250,"    25003153","Preston"
54530,5,53.77125,-2.66999,250,"   250012960","Preston"
54686,5,53.73743,-2.68086,250," 2500DCL3271","Preston"
55237,5,53.76875,-2.69133,250,"   250011440","Preston"
55703,5,53.79396,-2.68308,250,"2500LAA15896","Preston"
56206,5,53.73679,-2.65844,250," 2500IMG1267","Preston"
56773,5,53.74333,-2.6185,250,"   250015508","Preston"
58398,5,53.7873,-2.69862,250,"   250015619","Preston"
58549,5,53.81199,-2.79085,250,"     2500598","Preston"
60129,5,53.76453,-2.76942,250,"2500LAA16079","Preston"
60525,5,53.76696,-2.76526,250,"  2500IMG855","Preston"
60526,5,53.76747,-2.76093,250,"  2500IMG854","Preston"
60527,5,53.76673,-2.76764,250,"  2500IMG857","Preston"
60528,5,53.76673,-2.76546,250,"  2500IMG856","Preston"
60529,5,53.77755,-2.73234,250,"  2500IMG852","Preston"
60530,5,53.76746,-2.76715,250,"  2500IMG859","Preston"
60531,5,53.76679,-2.7698,250,"  2500IMG858","Preston"
60915,5,53.79033,-2.78132,250,"2500LAA07721","Preston"
60917,5,53.79034,-2.78166,250,"2500LAA07722","Preston"
60918,5,53.76062,-2.69572,250,"    2500JB21","Preston"
61090,5,53.77511,-2.72942,250,"2500GCS10057","Preston"
62214,5,53.72566,-2.7914,250,"   250012348","Preston"
62704,5,53.76144,-2.69607,250,"    2500JB31","Preston"
62755,5,53.78404,-2.7607,250,"2500GCS10069","Preston"
62756,5,53.76961,-2.73515,250,"2500GCS10068","Preston"
62757,5,53.78706,-2.67378,250,"2500GCS10063","Preston"
62760,5,53.75719,-2.7192,250,"2500GCS10060","Preston"
62761,5,53.77033,-2.7178,250,"2500GCS10067","Preston"
62762,5,53.76322,-2.72478,250,"2500GCS10066","Preston"
62763,5,53.76911,-2.74538,250,"2500GCS10065","Preston"
62764,5,53.79182,-2.70536,250,"2500GCS10064","Preston"
64095,5,53.78086,-2.76608,250,"2500LAA07507","Preston"
64105,5,53.78091,-2.76656,250,"2500LAA07508","Preston"
64292,5,53.7737,-2.79616,250," 2500LA00018","Preston"
64997,5,53.80623,-2.61897,250,"   250014978","Preston"
65159,5,53.77858,-2.66532,250,"    25001161","Preston"
67992,5,53.77084,-2.65874,250,"   250012503","Preston"
68881,5,53.80642,-2.61882,250,"  2500DCL401","Preston"
69708,5,53.77031,-2.83624,250,"2500LAA16064","Preston"
70062,5,53.78712,-2.74732,250,"  2500IMG845","Preston"
70063,5,53.7895,-2.74766,250,"  2500IMG842","Preston"
70064,5,53.78927,-2.74451,250,"  2500IMG843","Preston"
70712,5,53.74508,-2.67269,250,"2500LAA08209","Preston"
70792,5,53.76133,-2.74985,250,"2500PRE00006","Preston"
70793,5,53.75774,-2.71762,250,"2500PRE00007","Preston"
70794,5,53.76021,-2.75414,250,"2500PRE00004","Preston"
70795,5,53.76127,-2.7504,250,"2500PRE00005","Preston"
70796,5,53.76217,-2.7442,250,"2500PRE00002","Preston"
70797,5,53.76019,-2.75457,250,"2500PRE00003","Preston"
70798,5,53.76205,-2.74415,250,"2500PRE00001","Preston"
72056,5,53.81226,-2.79097,250,"2500LAA07606","Preston"
72057,5,53.8142,-2.79323,250,"2500LAA07607","Preston"
72058,5,53.81231,-2.75849,250,"2500LAA07605","Preston"
72062,5,53.80716,-2.75913,250,"2500LAA07601","Preston"
72265,5,53.75438,-2.71492,250,"2500GCS10075","Preston"
72267,5,53.75901,-2.69806,250,"2500GCS10077","Preston"
72402,5,53.76915,-2.69921,250," 2500DCL3198","Preston"
72777,5,53.73734,-2.68069,250,"   250015183","Preston"
72911,5,53.7582,-2.83905,250," 2500LA00094","Preston"
72912,5,53.75856,-2.83683,250," 2500LA00095","Preston"
72913,5,53.76401,-2.80776,250," 2500LA00092","Preston"
72914,5,53.75819,-2.82455,250," 2500LA00093","Preston"
72915,5,53.7664,-2.81033,250," 2500LA00090","Preston"
72916,5,53.7643,-2.80759,250," 2500LA00091","Preston"
74022,5,53.79374,-2.71418,250,"   250014049","Preston"
76712,5,53.77171,-2.75142,250,"2500LAA00486","Preston"
76965,5,53.76048,-2.69622,250,"    25003126","Preston"
77689,5,53.80488,-2.72057,250,"   250015639","Preston"
77981,5,53.77728,-2.65886,250,"2500LAA00511","Preston"
78631,5,53.74009,-2.6154,250," 2500IMG1497","Preston"
78632,5,53.73843,-2.60781,250," 2500IMG1496","Preston"
78633,5,53.7385,-2.60743,250," 2500IMG1495","Preston"
78634,5,53.73994,-2.61448,250," 2500IMG1494","Preston"
78978,5,53.76543,-2.69157,250,"   250014369","Preston"
79011,5,53.76201,-2.78946,250,"    2500JB14","Preston"
79460,5,53.72899,-2.73042,250,"2500LAA16091","Preston"
79461,5,53.72915,-2.7305,250,"2500LAA16090","Preston"
79462,5,53.79769,-2.71672,250,"2500LAA16093","Preston"
79465,5,53.74175,-2.71339,250,"2500LAA16094","Preston"
79554,5,53.72496,-2.7601,250," 2500IMG1087","Preston"
80949,5,53.73726,-2.66786,250,"   2500JB150","Preston"
81691,5,53.80934,-2.61353,250," 2500IMG1764","Preston"
81984,5,53.76917,-2.74742,250,"2500GCS10005","Preston"
81985,5,53.76839,-2.75537,250,"2500GCS10006","Preston"
81986,5,53.75153,-2.71101,250,"2500GCS10003","Preston"
82079,5,53.76544,-2.68254,250," 2500RIB0001","Preston"
82131,5,53.77313,-2.68262,250,"   250015681","Preston"
82640,5,53.77258,-2.83321,250," 2500LA00087","Preston"
82641,5,53.77259,-2.83199,250," 2500LA00086","Preston"
82642,5,53.76607,-2.81226,250," 2500LA00089","Preston"
83482,5,53.7572,-2.69111,250,"    2500JB47","Preston"
84161,5,53.74961,-2.68613,250," 2500DCL3123","Preston"
84637,5,53.79869,-2.63492,250,"  2500DCL348","Preston"
85563,5,53.76744,-2.76023,250,"   250012271","Preston"
86456,5,53.82223,-2.66877,250,"    25001699","Preston"
86799,5,53.78956,-2.65002,250,"2500LAA15892","Preston"
86800,5,53.78965,-2.64976,250,"2500LAA15893","Preston"
86801,5,53.79196,-2.68479,250,"2500LAA15894","Preston"
86802,5,53.79178,-2.6853,250,"2500LAA15895","Preston"
86804,5,53.7939,-2.68296,250,"2500LAA15897","Preston"
86805,5,53.77134,-2.76143,250,"2500LAA15898","Preston"
86806,5,53.77118,-2.7615,250,"2500LAA15899","Preston"
