"node","layer","lat","lon","zone","atcocode","city"
689,5,51.28322,-0.0862,400,"400G4410085A","Purley"
707,5,51.29087,-0.07539,400,"400G4410110A","Purley"
1533,5,51.33091,-0.11294,490,"490G00018187","Purley"
1866,5,51.33798,-0.08223,490,"490G00011261","Purley"
1907,5,51.34248,-0.10978,490,"490G00010002","Purley"
1998,5,51.29938,-0.01927,400,"400G4410143A","Purley"
2449,5,51.31548,-0.06147,400,"400G4410163B","Purley"
2523,5,51.33758,-0.11403,490,"  910GPURLEY","Purley"
2523,2,51.33758,-0.11403,490,"  910GPURLEY","Purley"
2829,5,51.34763,-0.10993,490,"490G00009479","Purley"
2896,5,51.33371,-0.13954,490,"490G00013952","Purley"
3133,5,51.28215,9e-04,400,"400G4410139B","Purley"
3146,5,51.28124,-0.10589,400,"400G4410095B","Purley"
3368,5,51.30144,-0.08828,400,"400G4410226A","Purley"
3438,5,51.30996,-0.08114,400," 910GWHYTELF","Purley"
3438,2,51.30996,-0.08114,400," 910GWHYTELF","Purley"
3444,5,51.31886,-0.08664,490,"490G00006064","Purley"
3727,5,51.30197,-0.11374,490,"490G00008324","Purley"
3879,5,51.29677,-0.05599,400,"400G4410121A","Purley"
4119,5,51.33153,-0.07551,490,"490G00011899","Purley"
4121,5,51.32903,-0.07357,490,"490G00011897","Purley"
4123,5,51.33448,-0.08176,490,"490G00011895","Purley"
4740,5,51.30696,-0.12009,490,"490G00010535","Purley"
5172,5,51.31404,-0.04537,400,"400G4410150B","Purley"
5305,5,51.29624,-0.10888,490,"490G00005638","Purley"
6267,5,51.2761,-0.07187,400,"400G4410082B","Purley"
8495,5,51.34411,-0.1116,490,"490G00014983","Purley"
9044,5,51.33112,-0.12341,490," 910GREEDHMS","Purley"
9044,2,51.33112,-0.12341,490," 910GREEDHMS","Purley"
10541,2,51.29016,-0.05186,400," 910GWLDNGHM","Purley"
10541,5,51.29016,-0.05186,400," 910GWLDNGHM","Purley"
10670,5,51.30554,-0.08628,400,"400G4410105A","Purley"
10760,5,51.30562,-0.1144,490,"490G00008679","Purley"
11424,5,51.28845,-0.03932,400,"400G4410124B","Purley"
11654,5,51.33204,-0.10702,490,"490G00006177","Purley"
12808,5,51.30435,-0.14818,490,"490G00014843","Purley"
12819,5,51.32828,-0.10629,490,"490G00009074","Purley"
13020,2,51.30355,-0.07669,400," 910GWHYTLFS","Purley"
13020,5,51.30355,-0.07669,400," 910GWHYTLFS","Purley"
13425,5,51.30422,-0.03235,400,"400G4410145A","Purley"
13893,5,51.287,-0.08883,400,"400G4410087C","Purley"
14607,5,51.29441,-0.10467,400,"400G4410093A","Purley"
14739,5,51.31933,-0.04249,400,"400G4410149B","Purley"
15453,2,51.28214,-0.0783,400," 910GCATERHM","Purley"
15453,5,51.28214,-0.0783,400," 910GCATERHM","Purley"
15599,5,51.29088,-0.09634,400,"400G4410311A","Purley"
15849,5,51.31638,-0.03665,400,"400G4410313A","Purley"
15961,5,51.3439,-0.10707,490,"490G00013543","Purley"
16438,5,51.29223,-0.09016,400,"400G4410100A","Purley"
16741,5,51.31871,-0.116,490,"490G00014580","Purley"
17090,5,51.2771,-0.03372,400,"400G4410127A","Purley"
17338,5,51.35291,-0.13744,490,"490G00013472","Purley"
17423,4,51.31584,-0.13788,490," 910GCOLSDNS","Purley"
17423,2,51.31584,-0.13788,490," 910GCOLSDNS","Purley"
17423,5,51.31584,-0.13788,490," 910GCOLSDNS","Purley"
17888,2,51.31902,-0.15426,910," 910GWDMNSTR","Purley"
17888,5,51.31902,-0.15426,910," 910GWDMNSTR","Purley"
18458,5,51.30573,-0.07017,400,"400G4410156A","Purley"
18951,5,51.34307,-0.13616,490,"490G00014828","Purley"
18956,2,51.33249,-0.09938,910," 910GRDLSDWN","Purley"
18956,5,51.33249,-0.09938,910," 910GRDLSDWN","Purley"
19326,5,51.31717,-0.12787,490,"490G00004116","Purley"
20108,5,51.28479,-0.09613,400,"400G4410089A","Purley"
20494,5,51.35371,-0.12934,490,"490G00008775","Purley"
21564,5,51.33825,-0.14339,490,"490G00014832","Purley"
21732,5,51.29221,-0.09997,400,"400G4410310A","Purley"
22312,5,51.28922,-0.09933,400,"400G4410038A","Purley"
22570,5,51.35281,-0.13274,490,"490G00011729","Purley"
22867,5,51.31603,-0.04418,400,"400G4410228A","Purley"
22931,5,51.3179,-0.03925,400,"400G4410148B","Purley"
23248,5,51.30073,-0.11407,490,"490G00014107","Purley"
24309,5,51.34279,-0.13066,490,"490G00013272","Purley"
24606,5,51.28716,-0.0978,400,"400G4410090A","Purley"
24992,5,51.33982,-0.07018,490,"490G00011898","Purley"
24997,5,51.33693,-0.07593,490,"490G00011894","Purley"
25304,5,51.33324,-0.08359,490,"490G00004161","Purley"
26046,5,51.29368,-0.07893,400,"400G4410803A","Purley"
26112,5,51.29035,-0.08926,400,"400G4410099B","Purley"
26807,5,51.3151,-0.03336,400,"400G4410147A","Purley"
27529,5,51.32576,-0.06922,490,"490G00014394","Purley"
28125,5,51.31122,-0.134,490,"490G00004231","Purley"
28292,5,51.29044,-0.09003,400,"400G4410044A","Purley"
28327,5,51.31928,-0.14343,490,"490G00011136","Purley"
28376,2,51.32478,-0.10092,490,"    910GKNLY","Purley"
28376,5,51.32478,-0.10092,490,"    910GKNLY","Purley"
28997,5,51.31558,-0.11491,490,"490G00004761","Purley"
29581,5,51.34179,-0.14048,490,"490G00015514","Purley"
29889,5,51.29697,-0.09246,400,"400G4410102A","Purley"
30256,5,51.30931,-0.13258,490,"490G00009776","Purley"
30258,5,51.30782,-0.12855,490,"490G00009770","Purley"
30442,5,51.28087,-0.10795,400,"400G4410096B","Purley"
30513,5,51.28024,-0.03435,400,"400G4410225A","Purley"
31989,5,51.33866,-0.07341,490,"490G00007775","Purley"
32360,5,51.32129,-0.09037,490,"490G00007129","Purley"
32385,5,51.31451,-0.12419,490,"490G00005639","Purley"
32569,5,51.30194,-0.11815,490,"490G00013168","Purley"
32691,5,51.34047,-0.08573,490,"490G00011273","Purley"
32910,5,51.34489,-0.11421,490,"490G00006420","Purley"
32979,5,51.3311,-0.08569,490,"490G00009954","Purley"
