"node","layer","lat","lon","zone","atcocode","city"
139,5,51.48289,-0.95966,39,"039G25120001","Reading"
512,5,51.4581,-0.92598,35,"035G90140001","Reading"
918,5,51.45499,-0.98137,39,"039G27710001","Reading"
1320,5,51.47721,-0.99174,39,"039G27340001","Reading"
1776,5,51.45121,-1.05576,30,"030G50570001","Reading"
1798,5,51.4528,-1.02105,39,"039G27460001","Reading"
1894,5,51.45533,-1.03648,39,"039G26850001","Reading"
2082,5,51.44296,-1.0328,30,"030G51050001","Reading"
2333,5,51.45295,-1.03177,39,"039G25730001","Reading"
2502,5,51.46819,-0.97435,39,"039G25460001","Reading"
2738,5,51.45018,-0.96456,39,"039G26610001","Reading"
2787,5,51.45337,-0.92853,35,"035G85040001","Reading"
2968,5,51.43158,-0.96214,39,"039G25700001","Reading"
3085,5,51.43595,-0.9731,39,"039G25350001","Reading"
3152,5,51.48674,-0.96022,39,"039G26480001","Reading"
3162,5,51.45949,-1.04829,39,"039G26800001","Reading"
3371,5,51.45471,-1.01439,39,"039G25830001","Reading"
3394,5,51.44278,-0.95477,39,"039G25570001","Reading"
3719,5,51.47353,-0.90352,35,"035G92040001","Reading"
3954,5,51.4078,-1.04347,30,"030G55110001","Reading"
4048,5,51.4459,-1.00736,39,"039G25620001","Reading"
4157,5,51.46846,-0.9595,39,"039G27360001","Reading"
4318,5,51.42533,-0.98457,39,"039G26150001","Reading"
4484,5,51.42358,-0.98812,39,"039G26180001","Reading"
4826,5,51.44894,-0.99196,39,"039G25200001","Reading"
4987,5,51.48069,-1.05237,30,"030G54900001","Reading"
4999,5,51.46392,-1.0473,39,"039G26940001","Reading"
5022,5,51.4368,-0.96802,39,"039G26070001","Reading"
5197,5,51.45085,-1.04677,39,"039G25160001","Reading"
5255,5,51.44269,-1.01802,39,"039G25090001","Reading"
5619,5,51.45686,-1.04404,39,"039G25510001","Reading"
5820,5,51.4578,-1.0107,39,"039G25320001","Reading"
5867,5,51.44011,-0.94837,39,"039G28000001","Reading"
6329,5,51.44705,-0.97645,39,"039G25000001","Reading"
6471,5,51.48054,-1.09491,30,"030G57490001","Reading"
7131,5,51.51544,-0.86967,35,"035G90740001","Reading"
7266,5,51.47681,-0.94608,39,"039G25960001","Reading"
7686,5,51.44764,-0.99539,39,"039G27230001","Reading"
8182,5,51.44424,-1.04896,30,"030G51580001","Reading"
8292,5,51.45339,-1.02872,39,"039G25590001","Reading"
8400,5,51.4018,-1.06219,30,"030G55980001","Reading"
8513,5,51.46709,-1.03137,39,"039G25860001","Reading"
8635,5,51.4852,-0.96511,39,"039G25490001","Reading"
9034,5,51.47488,-0.94229,39,"039G26300001","Reading"
9143,5,51.43075,-0.96861,39,"039G27790001","Reading"
9543,5,51.45697,-0.93146,35,"035G90120001","Reading"
9630,2,51.45545,-0.99029,910," 910GREDGWST","Reading"
9630,5,51.45545,-0.99029,910," 910GREDGWST","Reading"
9848,5,51.43364,-0.96846,39,"039G25390001","Reading"
10232,5,51.46736,-1.02248,39,"039G27720001","Reading"
10378,5,51.44174,-1.03431,30,"030G53430001","Reading"
10469,5,51.45898,-0.95882,39,"039G28010001","Reading"
10709,5,51.4311,-1.02231,30,"030G56020001","Reading"
10761,2,51.45878,-0.97187,39," 910GRDNGSTN","Reading"
10761,5,51.45878,-0.97187,39," 910GRDNGSTN","Reading"
10784,5,51.46379,-1.01594,39,"039G25650001","Reading"
10805,5,51.47854,-1.04756,30,"030G52430001","Reading"
10842,5,51.43072,-0.97528,39,"039G28060003","Reading"
10975,5,51.4725,-0.91263,35,"035G90340001","Reading"
11108,5,51.47492,-0.98913,39,"039G26250001","Reading"
11400,5,51.44209,-1.026,30,"030G55830001","Reading"
11493,5,51.45306,-0.95045,39,"039G25480001","Reading"
11497,5,51.40077,-1.06548,30,"030G54480001","Reading"
11687,5,51.44432,-1.00084,39,"039G27220001","Reading"
11749,5,51.44558,-0.96566,39,"039G27800001","Reading"
11806,5,51.45487,-0.94126,39,"039G26570001","Reading"
11917,5,51.46944,-1.04418,30,"030G56370001","Reading"
11975,5,51.47089,-1.0547,30,"030G51780001","Reading"
12191,5,51.44041,-1.0476,30,"030G50400001","Reading"
12500,5,51.46103,-1.01844,39,"039G27130001","Reading"
12614,5,51.46254,-1.03399,39,"039G26450001","Reading"
12750,5,51.4589,-1.02757,39,"039G25580001","Reading"
12949,5,51.47798,-0.99515,39,"039G26220001","Reading"
13217,5,51.45932,-1.03873,39,"039G27550001","Reading"
13441,5,51.4634,-1.04426,39,"039G26950001","Reading"
13805,5,51.47239,-1.05333,30,"030G50040001","Reading"
14041,2,51.43345,-1.07497,30,"  910GTHEALE","Reading"
14041,5,51.43345,-1.07497,30,"  910GTHEALE","Reading"
14228,5,51.44946,-0.93839,39,"039G26890001","Reading"
14610,5,51.47423,-1.04912,30,"030G56520001","Reading"
14665,5,51.45936,-0.92165,35,"035G90160001","Reading"
14740,5,51.44631,-0.98172,39,"039G27190001","Reading"
15330,5,51.4697,-0.914,35,"035G90320001","Reading"
15404,5,51.44317,-0.96337,39,"039G25560003","Reading"
15433,5,51.45259,-1.01039,39,"039G27690001","Reading"
15831,5,51.44572,-0.95097,39,"039G27310001","Reading"
15906,5,51.44031,-0.95204,39,"039G25500001","Reading"
16031,5,51.44962,-0.98805,39,"039G25890001","Reading"
