"node","layer","lat","lon","zone","atcocode","city"
323,5,51.21953,-0.20039,400,"400G4409032A","Reigate"
907,5,51.23476,-0.19489,400,"400G4409125A","Reigate"
1057,5,51.18862,-0.32206,400,"400G4408073B","Reigate"
1079,5,51.23725,-0.19228,400,"400G4409121B","Reigate"
2186,5,51.20579,-0.20316,400,"400G4409023B","Reigate"
2216,5,51.20442,-0.20888,400,"400G4409022B","Reigate"
3071,5,51.22279,-0.19246,400,"400G4409312A","Reigate"
3594,5,51.22194,-0.20684,400,"400G4409108A","Reigate"
3819,5,51.22739,-0.21012,400,"400G4409106A","Reigate"
3956,5,51.17762,-0.18099,400,"400G4409014B","Reigate"
4213,5,51.17213,-0.28505,400,"400G4408950A","Reigate"
4293,2,51.25006,-0.2664,400," 910GBTCHWTH","Reigate"
4293,5,51.25006,-0.2664,400," 910GBTCHWTH","Reigate"
4917,5,51.21527,-0.2805,400,"400G4408025B","Reigate"
5173,5,51.23079,-0.20268,400,"400G4409104A","Reigate"
5257,5,51.22824,-0.2075,400,"400G4409205A","Reigate"
6518,5,51.21405,-0.32772,400,"400G4408301A","Reigate"
6733,5,51.23419,-0.19833,400,"400G4409124A","Reigate"
7254,5,51.22353,-0.19561,400,"400G4409111E","Reigate"
7355,5,51.17917,-0.27665,400,"400G4408011A","Reigate"
7419,5,51.23405,-0.20383,400,"400G4409103A","Reigate"
8714,5,51.24124,-0.29108,400,"400G4408050B","Reigate"
9236,5,51.21026,-0.25732,400,"400G4408019B","Reigate"
9445,5,51.25338,-0.27942,400,"400G4408031B","Reigate"
9751,5,51.1925,-0.19686,400,"400G4409027A","Reigate"
9825,5,51.27869,-0.21656,400,"400G4409085B","Reigate"
10016,5,51.17914,-0.17603,400,"400G4409013B","Reigate"
10288,5,51.22804,-0.18897,400,"400G4409813A","Reigate"
10581,5,51.20974,-0.26086,400,"400G4408020B","Reigate"
11251,5,51.24044,-0.28366,400,"400G4408046A","Reigate"
11793,5,51.17952,-0.19519,400,"400G4409024A","Reigate"
12444,5,51.22649,-0.28354,400,"400G4408028A","Reigate"
14038,5,51.17725,-0.1809,400,"400G4409347A","Reigate"
14265,5,51.2341,-0.20247,400,"400G4409123B","Reigate"
15622,5,51.27374,-0.214,400,"400G4409086A","Reigate"
15846,5,51.23222,-0.2867,400,"400G4408029A","Reigate"
16389,5,51.23538,-0.2886,400,"400G4408048C","Reigate"
17593,5,51.18057,-0.20829,400,"400G4409016A","Reigate"
18149,5,51.24052,-0.22208,400,"400G4409098A","Reigate"
18229,5,51.17576,-0.28318,400,"400G4408808E","Reigate"
18230,5,51.18698,-0.2692,400,"400G4408808D","Reigate"
18231,5,51.20395,-0.25385,400,"400G4408808B","Reigate"
18232,5,51.20652,-0.2494,400,"400G4408808A","Reigate"
18294,5,51.22397,-0.1995,400,"400G4409111C","Reigate"
18296,5,51.22479,-0.1996,400,"400G4409111A","Reigate"
18656,5,51.24013,-0.26319,400,"400G4408041A","Reigate"
18930,5,51.20813,-0.25008,400,"400G4408017C","Reigate"
19334,5,51.19001,-0.19647,400,"400G4409026A","Reigate"
20131,5,51.23563,-0.18771,400,"400G4409126A","Reigate"
21043,5,51.24145,-0.27926,400,"400G4408912A","Reigate"
21433,5,51.20223,-0.21277,400,"400G4409021A","Reigate"
22068,5,51.24052,-0.266,400,"400G4408042A","Reigate"
22153,5,51.22304,-0.31915,400,"400G4408056A","Reigate"
22650,5,51.22307,-0.20284,400,"400G4409109B","Reigate"
22784,5,51.19413,-0.21387,400,"400G4409019A","Reigate"
23852,5,51.21666,-0.20177,400,"400G4409031B","Reigate"
23992,5,51.22023,-0.28179,400,"400G4408026B","Reigate"
23995,5,51.26311,-0.26601,400,"400G4408807B","Reigate"
25840,5,51.20276,-0.3291,400,"400G4408077A","Reigate"
26066,5,51.23108,-0.1907,400,"400G4409132B","Reigate"
27531,5,51.241,-0.23093,400,"400G4409097B","Reigate"
27872,5,51.18009,-0.2751,400,"400G4408012A","Reigate"
28040,5,51.26959,-0.21145,400,"400G4409087A","Reigate"
28389,5,51.20971,-0.2529,400,"400G4408018B","Reigate"
28918,5,51.26165,-0.2002,400,"400G4409090A","Reigate"
29284,5,51.2133,-0.32838,400,"400G4408080B","Reigate"
29637,5,51.21698,-0.32315,400,"400G4408060B","Reigate"
30445,5,51.21432,-0.32383,400,"400G4408903A","Reigate"
31631,5,51.19211,-0.32379,400,"400G4408074A","Reigate"
31763,5,51.18925,-0.20958,400,"400G4409018A","Reigate"
32363,5,51.18984,-0.26881,400,"400G4408015B","Reigate"
32431,5,51.2252,-0.21025,400,"400G4409107A","Reigate"
32432,5,51.22398,-0.21147,400,"400G4409107C","Reigate"
33235,5,51.24007,-0.27056,400,"400G4408043B","Reigate"
33339,5,51.24989,-0.20214,400,"400G4409092B","Reigate"
33482,5,51.23797,-0.19709,400,"400G4409120A","Reigate"
