"node","layer","lat","lon","zone","atcocode","city"
7485,2,51.68133,-3.37636,910,"    910GMASH","Rhondda"
7485,5,51.68133,-3.37636,910,"    910GMASH","Rhondda"
10416,5,51.6478,-3.4862,910," 910GTONPNTR","Rhondda"
10416,2,51.6478,-3.4862,910," 910GTONPNTR","Rhondda"
19056,2,51.68649,-3.3959,910," 910GFERNHIL","Rhondda"
19056,5,51.68649,-3.3959,910," 910GFERNHIL","Rhondda"
23882,2,51.67224,-3.53632,910," 910GTREHRBT","Rhondda"
23882,5,51.67224,-3.53632,910," 910GTREHRBT","Rhondda"
36376,5,51.64364,-3.4667,910," 910GYTRHOND","Rhondda"
36376,2,51.64364,-3.4667,910," 910GYTRHOND","Rhondda"
38125,5,51.65753,-3.50575,910," 910GTREORCY","Rhondda"
38125,2,51.65753,-3.50575,910," 910GTREORCY","Rhondda"
49361,5,51.66497,-3.52161,910," 910GYNYSWEN","Rhondda"
49361,2,51.66497,-3.52161,910," 910GYNYSWEN","Rhondda"
50971,2,51.66992,-3.35996,910," 910GPNRHCBR","Rhondda"
50971,5,51.66992,-3.35996,910," 910GPNRHCBR","Rhondda"
52203,5,51.66259,-3.44782,552,"5520AWA13716","Rhondda"
52204,5,51.66255,-3.44792,552,"5520AWA13715","Rhondda"
52205,5,51.65855,-3.44558,552,"5520AWA13714","Rhondda"
52206,5,51.65621,-3.44276,552,"5520AWA13713","Rhondda"
52207,5,51.65607,-3.44196,552,"5520AWA13712","Rhondda"
52208,5,51.65376,-3.43449,552,"5520AWA13711","Rhondda"
52209,5,51.6532,-3.43344,552,"5520AWA13710","Rhondda"
52210,5,51.66953,-3.45282,552,"5520AWA13719","Rhondda"
52211,5,51.66775,-3.44719,552,"5520AWA13718","Rhondda"
55817,5,51.66429,-3.44694,552,"5520AWA13717","Rhondda"
57696,5,51.64438,-3.43283,552,"5520AWA13698","Rhondda"
59357,5,51.64318,-3.45936,552,"5520AWA13539","Rhondda"
59358,5,51.64185,-3.45579,552,"5520AWA13538","Rhondda"
59705,5,51.67543,-3.54139,552,"5520AWA13602","Rhondda"
60220,5,51.67684,-3.5641,552,"5520AWA13618","Rhondda"
63188,5,51.64552,-3.43183,552,"5520WDB22019","Rhondda"
63424,5,51.662,-3.35686,552,"5520AWA13819","Rhondda"
67770,5,51.64457,-3.47806,552,"5520AWZ26199","Rhondda"
67772,5,51.6752,-3.48522,552,"5520AWZ26192","Rhondda"
69173,5,51.68401,-3.55366,552,"5520AWA13622","Rhondda"
69183,5,51.65453,-3.49455,552,"5520AWA13628","Rhondda"
72931,5,51.68552,-3.39948,552,"5520AWA13861","Rhondda"
75808,5,51.68623,-3.55229,552,"5520AWA13624","Rhondda"
76208,5,51.65373,-3.49493,552,"5520AWA13629","Rhondda"
79525,5,51.68024,-3.5545,552,"5520AWA13612","Rhondda"
79526,5,51.68019,-3.55448,552,"5520AWA13613","Rhondda"
79527,5,51.68079,-3.55245,552,"5520AWA13610","Rhondda"
79529,5,51.67766,-3.56212,552,"5520AWA13616","Rhondda"
79530,5,51.67697,-3.56405,552,"5520AWA13617","Rhondda"
82584,5,51.66584,-3.50954,552,"5520AWA13576","Rhondda"
82598,5,51.6588,-3.50111,552,"5520AWA13570","Rhondda"
88672,5,51.68557,-3.45122,552,"5520AWA14119","Rhondda"
88875,5,51.66612,-3.36446,552,"5520AWA13849","Rhondda"
88879,5,51.67342,-3.37746,552,"5520AWA13844","Rhondda"
88882,5,51.67518,-3.37893,552,"5520AWA13842","Rhondda"
88883,5,51.67616,-3.37955,552,"5520AWA13841","Rhondda"
89017,5,51.67524,-3.48511,552,"5520AWA13748","Rhondda"
89070,5,51.67092,-3.47924,552,"5520AWA13740","Rhondda"
89082,5,51.67375,-3.48418,552,"5520AWA13743","Rhondda"
89200,5,51.6852,-3.5515,552,"5520AWA13623","Rhondda"
89202,5,51.68252,-3.55171,552,"5520AWA13621","Rhondda"
89203,5,51.6827,-3.55178,552,"5520AWA13620","Rhondda"
89484,5,51.66531,-3.45079,552,"5520AWA13754","Rhondda"
90300,5,51.65518,-3.51095,552,"5520WDB23854","Rhondda"
90352,5,51.67222,-3.48235,552,"5520AWA13741","Rhondda"
90353,5,51.67261,-3.48311,552,"5520AWA13742","Rhondda"
90354,5,51.67421,-3.48483,552,"5520AWA13744","Rhondda"
90355,5,51.67818,-3.48672,552,"5520AWA13747","Rhondda"
92281,5,51.66808,-3.36742,552,"5520AWA13848","Rhondda"
92282,5,51.66826,-3.36733,552,"5520AWA13847","Rhondda"
92283,5,51.6695,-3.37018,552,"5520AWA13846","Rhondda"
92284,5,51.66957,-3.37017,552,"5520AWA13845","Rhondda"
92286,5,51.67357,-3.37739,552,"5520AWA13843","Rhondda"
92289,5,51.67615,-3.37944,552,"5520AWA13840","Rhondda"
97678,5,51.65274,-3.43408,552,"5520RCX16394","Rhondda"
