"node","layer","lat","lon","zone","atcocode","city"
1325,5,53.6869,-2.09732,450,"    450G3949","Rochdale"
10140,5,53.70181,-2.10661,450,"    450G3937","Rochdale"
20285,2,53.59186,-2.17823,910,"    910GCSTL","Rochdale"
20285,5,53.59186,-2.17823,910,"    910GCSTL","Rochdale"
24588,5,53.67756,-2.0855,450,"    450G3947","Rochdale"
24590,5,53.69019,-2.10182,450,"    450G3945","Rochdale"
24591,5,53.68832,-2.10062,450,"    450G3942","Rochdale"
26576,5,53.67504,-2.08429,450,"    450G3955","Rochdale"
26585,5,53.68249,-2.09012,450,"    450G3954","Rochdale"
26756,2,53.64301,-2.09465,910," 910GLITLBRO","Rochdale"
26756,5,53.64301,-2.09465,910," 910GLITLBRO","Rochdale"
33227,5,53.68351,-2.09228,450,"    450G3953","Rochdale"
37930,5,53.6913,-2.10105,450,"    450G3926","Rochdale"
37970,5,53.61032,-2.15352,910," 910GRCHDALE","Rochdale"
37970,2,53.61032,-2.15352,910," 910GRCHDALE","Rochdale"
42594,2,53.63327,-2.1135,910,"    910GSMBG","Rochdale"
42594,5,53.63327,-2.1135,910,"    910GSMBG","Rochdale"
49664,5,53.70091,-2.10529,450,"    450G5631","Rochdale"
51218,5,53.69628,-2.10446,910,"    910GWDEN","Rochdale"
51218,2,53.69628,-2.10446,910,"    910GWDEN","Rochdale"
51440,5,53.68464,-2.09419,450,"    450G3950","Rochdale"
51532,5,53.64504,-2.18071,250," 2500DCL5618","Rochdale"
51534,5,53.64065,-2.17863,250," 2500DCL5615","Rochdale"
51535,5,53.63956,-2.17675,250," 2500DCL5614","Rochdale"
51567,5,53.62284,-2.18919,180," 1800NE48691","Rochdale"
51796,5,53.63108,-2.18585,180," 1800NE48901","Rochdale"
52041,5,53.6151,-2.10926,180," 1800NE25591","Rochdale"
52109,5,53.64404,-2.10935,180," 1800NEH0441","Rochdale"
52166,5,53.62082,-2.15362,180," 1800NE33321","Rochdale"
52506,5,53.62129,-2.16074,180," 1800NE19741","Rochdale"
52793,5,53.59285,-2.21264,180," 1800NE05061","Rochdale"
53045,5,53.59452,-2.18145,180," 1800NE03371","Rochdale"
53208,5,53.62632,-2.20644,180," 1800NE48581","Rochdale"
53373,5,53.62851,-2.18322,180," 1800NE48871","Rochdale"
53483,5,53.61018,-2.14929,180," 1800NE17291","Rochdale"
53579,5,53.61062,-2.10788,180," 1800NE25281","Rochdale"
53584,5,53.64841,-2.18036,250,"    25001441","Rochdale"
53846,5,53.62213,-2.18258,180," 1800NE48741","Rochdale"
54071,5,53.62695,-2.15653,180," 1800NE19631","Rochdale"
54161,5,53.63203,-2.1071,180," 1800NE49371","Rochdale"
54459,5,53.63262,-2.10064,180," 1800NE49421","Rochdale"
54840,5,53.6439,-2.11077,180," 1800NEH2851","Rochdale"
55782,5,53.59627,-2.16977,180," 1800NE19921","Rochdale"
55831,5,53.60262,-2.22363,180," 1800NE32251","Rochdale"
55884,5,53.64546,-2.07338,180," 1800NE24031","Rochdale"
56405,5,53.62319,-2.18195,180," 1800NE16461","Rochdale"
56914,5,53.67897,-2.16591,250,"2500LAA15743","Rochdale"
56915,5,53.67544,-2.1684,250,"2500LAA15744","Rochdale"
56916,5,53.67097,-2.17103,250,"2500LAA15745","Rochdale"
56917,5,53.66608,-2.17049,250,"2500LAA15746","Rochdale"
56918,5,53.65594,-2.17741,250,"2500LAA15747","Rochdale"
57194,5,53.60076,-2.14569,180," 1800NE32651","Rochdale"
57237,5,53.58607,-2.11517,180," 1800ED14221","Rochdale"
57258,5,53.64539,-2.07349,180," 1800NE07301","Rochdale"
57316,5,53.6218,-2.16439,180," 1800NE19811","Rochdale"
57991,5,53.60826,-2.16471,180," 1800NE25801","Rochdale"
58182,5,53.61767,-2.1552,180," 1800REBS001","Rochdale"
58460,5,53.64503,-2.13456,180," 1800NE33111","Rochdale"
58906,5,53.64256,-2.10097,180," 1800NE49031","Rochdale"
59063,5,53.68116,-2.16482,250,"    25001416","Rochdale"
60072,5,53.58569,-2.10976,180," 1800EDH2061","Rochdale"
60151,5,53.63465,-2.13475,180," 1800NE33021","Rochdale"
60446,5,53.598,-2.19916,180," 1800NE21921","Rochdale"
60451,5,53.62278,-2.20943,180," 1800NEH0861","Rochdale"
