"node","layer","lat","lon","zone","atcocode","city"
271,5,51.60756,0.22336,490,"490G00007828","Romford"
273,5,51.60541,0.22596,490,"490G00007827","Romford"
858,5,51.59277,0.23314,490," 910GHRLDWOD","Romford"
858,2,51.59277,0.23314,490," 910GHRLDWOD","Romford"
886,5,51.59843,0.15946,490,"490G00009801","Romford"
999,4,51.58071,0.18239,490,"490G00011659","Romford"
999,5,51.58071,0.18239,490,"490G00011659","Romford"
1118,5,51.56073,0.22628,490,"490G00012536","Romford"
1194,5,51.60893,0.20775,490,"490G00007644","Romford"
1582,5,51.57944,0.17773,490,"490G00010407","Romford"
2069,5,51.61047,0.21869,490,"490G00006127","Romford"
2077,5,51.60917,0.22177,490,"490G00006122","Romford"
2095,5,51.56553,0.17633,490,"490G00005926","Romford"
2096,5,51.56481,0.17597,490,"490G00005927","Romford"
2377,5,51.58894,0.21133,490,"490G00014445","Romford"
2673,5,51.59145,0.21071,490,"490G00013930","Romford"
3126,5,51.5628,0.17558,490,"490G00011799","Romford"
3172,5,51.60816,0.22138,490,"490G00005187","Romford"
3261,5,51.57512,0.21836,490,"490G00007963","Romford"
3426,5,51.56156,0.23166,490,"490G00007919","Romford"
3434,5,51.58155,0.22038,490,"490G00007915","Romford"
4702,5,51.60573,0.2129,490,"490G00004992","Romford"
4733,5,51.58488,0.16338,490,"490G00013045","Romford"
4797,5,51.59839,0.23224,490,"490G00007591","Romford"
5711,5,51.59929,0.16323,490,"490G00005438","Romford"
5894,5,51.60195,0.2103,490,"490G00010143","Romford"
5901,5,51.58523,0.17242,490,"490G00011657","Romford"
5941,5,51.59714,0.23929,490,"490G00006851","Romford"
5988,5,51.6103,0.17825,490,"490G00012738","Romford"
6194,5,51.55902,0.25089,490," 910GUPMNSTR","Romford"
6194,2,51.55902,0.25089,490," 910GUPMNSTR","Romford"
6194,3,51.55902,0.25089,490," 910GUPMNSTR","Romford"
6234,5,51.60412,0.17547,490,"490G00015132","Romford"
6575,5,51.56551,0.18741,490,"490G00011669","Romford"
6584,5,51.57421,0.16922,490,"490G00011547","Romford"
6806,5,51.63531,0.08699,150,"150G00000913","Romford"
6911,5,51.61294,0.12067,490,"490G00007646","Romford"
6938,5,51.60547,0.13313,490,"490G00007649","Romford"
7043,5,51.58368,0.19098,490,"490G00011426","Romford"
7602,5,51.60523,0.23488,490,"490G00013497","Romford"
7634,5,51.57847,0.21903,490,"490G00003532","Romford"
8474,5,51.61416,0.21455,490,"490G00008889","Romford"
8494,5,51.55333,0.24761,490,"490G00012679","Romford"
8496,5,51.57465,0.20389,490,"490G00005709","Romford"
8511,5,51.60506,0.15553,490,"490G00012587","Romford"
8680,5,51.65521,0.12643,150,"150G00002599","Romford"
8681,5,51.65635,0.1297,150,"150G00002598","Romford"
8683,5,51.65722,0.14428,150,"150G00002595","Romford"
8684,5,51.65693,0.16332,150,"150G00002594","Romford"
8685,5,51.65629,0.13344,150,"150G00002597","Romford"
8686,5,51.65716,0.1386,150,"150G00002596","Romford"
8687,5,51.63166,0.17495,150,"150G00002591","Romford"
8688,5,51.63375,0.17177,150,"150G00002590","Romford"
8689,5,51.62695,0.18734,150,"150G00002593","Romford"
8690,5,51.628,0.18343,150,"150G00002592","Romford"
8986,5,51.57879,0.17188,490,"490G00005096","Romford"
9319,5,51.6032,0.16546,490,"490G00004594","Romford"
9449,5,51.60746,0.21822,490,"490G00006762","Romford"
9662,5,51.5944,0.14222,490,"490G00009671","Romford"
10086,5,51.54322,0.28809,490,"490G00005274","Romford"
10093,5,51.60334,0.17574,490,"490G00003491","Romford"
10175,5,51.57266,0.2023,490,"490G00016074","Romford"
10176,5,51.57069,0.20854,490,"490G00016072","Romford"
