"node","layer","lat","lon","zone","atcocode","city"
7995,5,53.71066,-2.13902,450,"    450G3963","Rossendale"
8033,5,53.70951,-2.15234,450,"    450G3966","Rossendale"
9621,5,53.71044,-2.15454,450,"    450G3967","Rossendale"
11197,5,53.71239,-2.16132,450,"    450G3969","Rossendale"
16267,5,53.70977,-2.14973,450,"    450G3965","Rossendale"
16281,5,53.71159,-2.15897,450,"    450G3968","Rossendale"
43604,5,53.71351,-2.16306,450,"    450G3970","Rossendale"
53677,5,53.6969,-2.25509,250,"  2500DCL511","Rossendale"
53686,5,53.69941,-2.27085,250,"  2500DCL513","Rossendale"
56912,5,53.70042,-2.19862,250,"2500LAA15741","Rossendale"
56913,5,53.69413,-2.1904,250,"2500LAA15742","Rossendale"
56919,5,53.70328,-2.19115,250,"2500LAA15748","Rossendale"
56920,5,53.70327,-2.19138,250,"2500LAA15749","Rossendale"
59060,5,53.69177,-2.22983,250,"    25001417","Rossendale"
60916,5,53.699,-2.28968,250,"2500LAA07720","Rossendale"
62188,5,53.70337,-2.32553,250,"    25001382","Rossendale"
62189,5,53.69549,-2.31319,250,"    25001380","Rossendale"
62190,5,53.69558,-2.32731,250,"    25001386","Rossendale"
62638,5,53.71176,-2.32505,250,"   250011918","Rossendale"
62827,5,53.65511,-2.30369,180," 1800NC07501","Rossendale"
62965,5,53.71015,-2.28986,250,"   250014127","Rossendale"
63278,5,53.70427,-2.29088,250,"   250015199","Rossendale"
64000,5,53.64572,-2.3193,180," 1800NC07221","Rossendale"
64093,5,53.6962,-2.30995,250,"2500LAA07505","Rossendale"
64094,5,53.69563,-2.31243,250,"2500LAA07504","Rossendale"
64096,5,53.69921,-2.29875,250,"2500LAA07506","Rossendale"
64099,5,53.69648,-2.31738,250,"2500LAA07503","Rossendale"
64338,5,53.65739,-2.30347,180," 1800NC07481","Rossendale"
66536,5,53.6713,-2.30552,250,"2500LAA15732","Rossendale"
66766,5,53.65005,-2.30921,180," 1800NCH0041","Rossendale"
66928,5,53.65141,-2.31648,180," 1800NC01621","Rossendale"
68043,5,53.64922,-2.3181,180," 1800NC00431","Rossendale"
68699,5,53.64293,-2.26255,180," 1800NEH1911","Rossendale"
69146,5,53.70835,-2.32386,250,"2500LAA15982","Rossendale"
69147,5,53.70333,-2.29604,250,"2500LAA15983","Rossendale"
71735,5,53.69773,-2.25294,250,"    25001394","Rossendale"
71737,5,53.70322,-2.29613,250,"    25001397","Rossendale"
72084,5,53.69286,-2.21953,250,"2500LAA16172","Rossendale"
72144,5,53.70043,-2.32004,250,"   250011901","Rossendale"
72145,5,53.69081,-2.32575,250,"   250011907","Rossendale"
72146,5,53.69903,-2.33341,250,"   250011906","Rossendale"
72477,5,53.68847,-2.17178,250," 2500DCL5648","Rossendale"
72478,5,53.68855,-2.17236,250," 2500DCL5649","Rossendale"
72479,5,53.68372,-2.16584,250," 2500DCL5646","Rossendale"
72480,5,53.6857,-2.1668,250," 2500DCL5647","Rossendale"
73077,5,53.69782,-2.31934,250,"2500LAA07186","Rossendale"
75445,5,53.64428,-2.30296,180," 1800NC08801","Rossendale"
76217,5,53.64535,-2.30333,180," 1800NC08691","Rossendale"
76697,5,53.72858,-2.24133,250,"2500LAA00481","Rossendale"
76755,5,53.69163,-2.31822,250,"  2500DCL506","Rossendale"
76756,5,53.69892,-2.32562,250,"  2500DCL505","Rossendale"
76757,5,53.71486,-2.32438,250,"  2500DCL504","Rossendale"
77928,5,53.67324,-2.3059,250,"   250013872","Rossendale"
78298,5,53.71538,-2.29222,250," 2500IMG2892","Rossendale"
78299,5,53.70872,-2.28905,250," 2500IMG2893","Rossendale"
78300,5,53.72383,-2.28756,250," 2500IMG2890","Rossendale"
78301,5,53.70511,-2.28596,250," 2500IMG2896","Rossendale"
78303,5,53.70658,-2.28716,250," 2500IMG2894","Rossendale"
78304,5,53.70741,-2.28839,250," 2500IMG2895","Rossendale"
79454,5,53.65932,-2.31348,250,"2500LAA07216","Rossendale"
79455,5,53.66512,-2.30744,250,"2500LAA07211","Rossendale"
79456,5,53.66531,-2.30741,250,"2500LAA07210","Rossendale"
79472,5,53.66366,-2.29326,250,"2500LAA07218","Rossendale"
80180,5,53.69889,-2.34236,250,"  2500DCL508","Rossendale"
80433,5,53.6983,-2.34237,250,"2500LAA08211","Rossendale"
81888,5,53.69253,-2.32934,250,"   250011932","Rossendale"
82081,5,53.72302,-2.19771,250," 2500DCL5780","Rossendale"
82266,5,53.6474,-2.30603,180," 1800NC50001","Rossendale"
86074,5,53.64696,-2.31888,180," 1800NCH0851","Rossendale"
86448,5,53.70374,-2.27879,250,"  2500DCL510","Rossendale"
86450,5,53.70056,-2.28505,250,"  2500DCL514","Rossendale"
86451,5,53.70431,-2.28393,250,"  2500DCL515","Rossendale"
86452,5,53.71778,-2.29069,250,"  2500DCL516","Rossendale"
88024,5,53.72517,-2.28643,250," 2500IMG2889","Rossendale"
88355,5,53.69297,-2.18855,250," 2500IMG1549","Rossendale"
88402,5,53.7027,-2.27372,250,"   250013764","Rossendale"
91375,5,53.70278,-2.29229,250,"2500LAA16157","Rossendale"
91376,5,53.70272,-2.29228,250,"2500LAA16158","Rossendale"
91817,5,53.70167,-2.26904,250,"   250014159","Rossendale"
92685,5,53.72531,-2.28612,250," 2500IMG2528","Rossendale"
92796,5,53.70608,-2.19245,250,"  2500DCL705","Rossendale"
92797,5,53.70294,-2.19973,250,"  2500DCL704","Rossendale"
92799,5,53.69144,-2.22566,250,"  2500DCL706","Rossendale"
92800,5,53.6983,-2.19398,250,"  2500DCL701","Rossendale"
92801,5,53.70292,-2.19424,250,"  2500DCL700","Rossendale"
92802,5,53.69391,-2.20721,250,"  2500DCL703","Rossendale"
92803,5,53.6905,-2.179,250,"  2500DCL702","Rossendale"
93952,5,53.64806,-2.31552,180," 1800NC08781","Rossendale"
94812,5,53.65115,-2.31714,180," 1800NC04971","Rossendale"
94869,5,53.70283,-2.19945,250,"    25001940","Rossendale"
96126,5,53.71198,-2.25106,250,"2500LAA07101","Rossendale"
96127,5,53.71152,-2.25075,250,"2500LAA07100","Rossendale"
96128,5,53.71371,-2.2516,250,"2500LAA07103","Rossendale"
96129,5,53.71335,-2.25135,250,"2500LAA07102","Rossendale"
96130,5,53.71558,-2.24993,250,"2500LAA07105","Rossendale"
96131,5,53.71934,-2.24843,250,"2500LAA07107","Rossendale"
96132,5,53.71585,-2.24953,250,"2500LAA07106","Rossendale"
96133,5,53.72176,-2.2457,250,"2500LAA07109","Rossendale"
96134,5,53.71947,-2.24851,250,"2500LAA07108","Rossendale"
97814,5,53.70321,-2.24673,250,"2500LAA07079","Rossendale"
97815,5,53.6953,-2.24897,250,"2500LAA07078","Rossendale"
97818,5,53.69528,-2.24878,250,"2500LAA07077","Rossendale"
98044,5,53.65643,-2.30335,180," 1800NC07491","Rossendale"
98586,5,53.69831,-2.26129,250," 2500IMG2163","Rossendale"
98589,5,53.70335,-2.2911,250," 2500IMG2164","Rossendale"
99781,5,53.6938,-2.24899,250," 2500WAT0001","Rossendale"
103594,5,53.64781,-2.3148,180," 1800NC08791","Rossendale"
105862,5,53.73254,-2.24063,250,"2500LAA07116","Rossendale"
105863,5,53.7367,-2.23803,250,"2500LAA07117","Rossendale"
105864,5,53.72622,-2.243,250,"2500LAA07114","Rossendale"
105866,5,53.72459,-2.24428,250,"2500LAA07112","Rossendale"
105867,5,53.72624,-2.24315,250,"2500LAA07113","Rossendale"
105868,5,53.72179,-2.24587,250,"2500LAA07110","Rossendale"
105869,5,53.72451,-2.24422,250,"2500LAA07111","Rossendale"
107282,5,53.71773,-2.19927,250," 2500DCL5783","Rossendale"
109482,5,53.64741,-2.31084,180," 1800NCH0841","Rossendale"
110900,5,53.69281,-2.32895,250,"   250011943","Rossendale"
110901,5,53.68576,-2.33058,250,"   250011941","Rossendale"
111568,5,53.64962,-2.32281,180," 1800NCH3431","Rossendale"
115709,5,53.7166,-2.17567,250,"2500LAA07123","Rossendale"
115710,5,53.71522,-2.17801,250,"2500LAA07122","Rossendale"
115712,5,53.70081,-2.19299,250,"2500LAA07126","Rossendale"
115713,5,53.70106,-2.19284,250,"2500LAA07125","Rossendale"
115714,5,53.71754,-2.1719,250,"2500LAA07124","Rossendale"
117315,5,53.71783,-2.28755,250,"    25001407","Rossendale"
117679,5,53.68932,-2.1743,250," 2500IMG1642","Rossendale"
117874,5,53.71201,-2.32481,250," 2500IMG1959","Rossendale"
118099,5,53.67843,-2.31692,250,"2500LAA00343","Rossendale"
118546,5,53.70995,-2.32595,250,"   250011915","Rossendale"
118552,5,53.70249,-2.32366,250,"   250011912","Rossendale"
119369,5,53.6887,-2.30944,250,"2500LAA15778","Rossendale"
119374,5,53.69729,-2.28567,250,"2500LAA15771","Rossendale"
119376,5,53.6819,-2.30408,250,"2500LAA15773","Rossendale"
120389,5,53.71521,-2.17825,250,"2500LAA00002","Rossendale"
121972,5,53.6997,-2.27228,250," 2500IMG2519","Rossendale"
121973,5,53.70032,-2.27945,250," 2500IMG2518","Rossendale"
121975,5,53.70058,-2.2848,250," 2500IMG2513","Rossendale"
121976,5,53.70054,-2.28536,250," 2500IMG2512","Rossendale"
121977,5,53.70039,-2.28451,250," 2500IMG2517","Rossendale"
