"node","layer","lat","lon","zone","atcocode","city"
18955,5,52.2845,-1.53621,910," 910GLMNGTNS","Royal Leamington Spa"
18955,2,52.2845,-1.53621,910," 910GLMNGTNS","Royal Leamington Spa"
31292,2,52.28655,-1.58186,910," 910GWARWICK","Royal Leamington Spa"
31292,5,52.28655,-1.58186,910," 910GWARWICK","Royal Leamington Spa"
52401,5,52.26946,-1.53958,420," 4200F087700","Royal Leamington Spa"
52766,4,52.28639,-1.61295,420," 4200F085800","Royal Leamington Spa"
52766,5,52.28639,-1.61295,420," 4200F085800","Royal Leamington Spa"
53858,5,52.30453,-1.56097,420," 4200F051700","Royal Leamington Spa"
54649,5,52.28999,-1.61237,420," 4200F128352","Royal Leamington Spa"
54651,5,52.29,-1.61204,420," 4200F128351","Royal Leamington Spa"
55041,5,52.20102,-1.48623,420," 4200F037101","Royal Leamington Spa"
55069,5,52.25802,-1.61814,420," 4200F122691","Royal Leamington Spa"
55106,5,52.29268,-1.59982,420," 4200F146502","Royal Leamington Spa"
55107,5,52.29224,-1.59994,420," 4200F146501","Royal Leamington Spa"
55663,5,52.28203,-1.59166,420," 4200F127351","Royal Leamington Spa"
56073,5,52.27974,-1.5919,420," 4200F148401","Royal Leamington Spa"
56292,5,52.31089,-1.50125,420," 4200F017900","Royal Leamington Spa"
57963,5,52.28481,-1.59,420," 4200F072302","Royal Leamington Spa"
58600,5,52.30718,-1.51377,420," 4200F151201","Royal Leamington Spa"
58629,5,52.2648,-1.53078,420," 4200F143901","Royal Leamington Spa"
59252,5,52.2907,-1.56254,420," 4200F147500","Royal Leamington Spa"
59253,5,52.29143,-1.56281,420," 4200F147501","Royal Leamington Spa"
59254,5,52.28897,-1.5619,420," 4200F147502","Royal Leamington Spa"
59407,5,52.28398,-1.52839,420," 4200F209001","Royal Leamington Spa"
59626,5,52.28615,-1.59567,420," 4200F145801","Royal Leamington Spa"
59770,5,52.25577,-1.44593,420," 4200F071000","Royal Leamington Spa"
59827,5,52.23474,-1.45035,420," 4200F196601","Royal Leamington Spa"
62423,5,52.29504,-1.53994,420," 4200F226901","Royal Leamington Spa"
63103,5,52.29026,-1.59603,420," 4200F146402","Royal Leamington Spa"
63104,5,52.29046,-1.59613,420," 4200F146401","Royal Leamington Spa"
63376,5,52.30274,-1.65838,420," 4200F027300","Royal Leamington Spa"
63817,5,52.27653,-1.516,420," 4200F036300","Royal Leamington Spa"
64793,5,52.26769,-1.52452,420," 4200F078500","Royal Leamington Spa"
65846,5,52.30513,-1.52396,420," 4200F152202","Royal Leamington Spa"
65933,5,52.25954,-1.38921,420," 4200F195802","Royal Leamington Spa"
66995,5,52.26884,-1.47437,420," 4200F128833","Royal Leamington Spa"
66996,5,52.26896,-1.47425,420," 4200F128832","Royal Leamington Spa"
66997,5,52.27409,-1.48234,420," 4200F128831","Royal Leamington Spa"
67489,5,52.34658,-1.56296,420," 4200F123071","Royal Leamington Spa"
67536,5,52.27207,-1.53435,420," 4200F204301","Royal Leamington Spa"
68364,5,52.2883,-1.60591,420," 4200F087900","Royal Leamington Spa"
68789,5,52.27679,-1.517,420," 4200F126981","Royal Leamington Spa"
71079,5,52.29587,-1.59333,420," 4200F146701","Royal Leamington Spa"
71084,5,52.27946,-1.59425,420," 4200F148201","Royal Leamington Spa"
71114,5,52.28946,-1.52711,420," 4200F126851","Royal Leamington Spa"
71702,5,52.24064,-1.60647,420," 4200F005501","Royal Leamington Spa"
71703,5,52.24059,-1.60621,420," 4200F005500","Royal Leamington Spa"
71851,5,52.27641,-1.53218,420," 4200F036200","Royal Leamington Spa"
72689,5,52.26483,-1.51933,420," 4200F078400","Royal Leamington Spa"
73058,5,52.2484,-1.54818,420," 4200F164902","Royal Leamington Spa"
73471,5,52.29473,-1.5314,420," 4200F153501","Royal Leamington Spa"
74835,5,52.27054,-1.52154,420," 4200F205501","Royal Leamington Spa"
74863,5,52.28032,-1.5345,420," 4200F144302","Royal Leamington Spa"
75177,5,52.29222,-1.54908,420," 4200F073900","Royal Leamington Spa"
76876,5,52.21169,-1.56952,420," 4200F045300","Royal Leamington Spa"
79162,5,52.29568,-1.59861,420," 4200F146601","Royal Leamington Spa"
79163,5,52.29556,-1.59845,420," 4200F146602","Royal Leamington Spa"
79964,5,52.29181,-1.52656,420," 4200F036500","Royal Leamington Spa"
81056,5,52.27853,-1.54023,420," 4200F126590","Royal Leamington Spa"
81283,5,52.22091,-1.51679,420," 4200F164801","Royal Leamington Spa"
81442,5,52.26816,-1.52948,420," 4200F144102","Royal Leamington Spa"
82103,5,52.30288,-1.63411,420," 4200F126470","Royal Leamington Spa"
82240,5,52.19799,-1.48827,420," 4200F037100","Royal Leamington Spa"
82248,5,52.20052,-1.48545,420," 4200F037102","Royal Leamington Spa"
82451,5,52.28548,-1.57383,420," 4200F150102","Royal Leamington Spa"
82835,5,52.2448,-1.608,420," 4200F127411","Royal Leamington Spa"
82986,5,52.27197,-1.5226,420," 4200F205401","Royal Leamington Spa"
83011,5,52.27555,-1.53484,420," 4200F144201","Royal Leamington Spa"
83209,5,52.2908,-1.58767,420," 4200F147802","Royal Leamington Spa"
83351,5,52.28221,-1.51297,420," 4200F207301","Royal Leamington Spa"
83797,5,52.29301,-1.57023,420," 4200F074400","Royal Leamington Spa"
84499,5,52.31232,-1.50694,420," 4200F084800","Royal Leamington Spa"
84713,5,52.28711,-1.5508,420," 4200F126211","Royal Leamington Spa"
86305,5,52.31245,-1.45003,420," 4200F028700","Royal Leamington Spa"
87105,5,52.28849,-1.5938,420," 4200F146101","Royal Leamington Spa"
87247,5,52.28487,-1.59024,420," 4200F072301","Royal Leamington Spa"
87248,5,52.289,-1.5934,420," 4200F072300","Royal Leamington Spa"
87679,5,52.27965,-1.53398,420," 4200F206701","Royal Leamington Spa"
87716,5,52.34517,-1.55572,420," 4200F129910","Royal Leamington Spa"
87788,5,52.31115,-1.5231,420," 4200F037801","Royal Leamington Spa"
87790,5,52.31077,-1.52331,420," 4200F037802","Royal Leamington Spa"
87941,5,52.27844,-1.5338,420," 4200F036400","Royal Leamington Spa"
87942,5,52.27803,-1.53354,420," 4200F036401","Royal Leamington Spa"
88539,5,52.30029,-1.52437,420," 4200F038300","Royal Leamington Spa"
88802,5,52.34099,-1.57839,420," 4200F031900","Royal Leamington Spa"
88803,5,52.34119,-1.57823,420," 4200F031901","Royal Leamington Spa"
88956,5,52.28488,-1.51765,420," 4200F156730","Royal Leamington Spa"
89119,4,52.28893,-1.5336,420," 4200F153110","Royal Leamington Spa"
89523,5,52.24989,-1.54365,420," 4200F010500","Royal Leamington Spa"
89767,5,52.2993,-1.53054,420," 4200F153301","Royal Leamington Spa"
90418,5,52.28532,-1.52071,420," 4200F126831","Royal Leamington Spa"
90494,5,52.3008,-1.51453,420," 4200F150601","Royal Leamington Spa"
90745,5,52.28998,-1.54501,420," 4200F226802","Royal Leamington Spa"
91090,5,52.27672,-1.5287,420," 4200F205701","Royal Leamington Spa"
91997,5,52.28507,-1.52103,420," 4200F208701","Royal Leamington Spa"
93204,5,52.32876,-1.5604,420," 4200F166102","Royal Leamington Spa"
93590,5,52.23515,-1.45503,420," 4200F026613","Royal Leamington Spa"
94367,5,52.27635,-1.52651,420," 4200F143001","Royal Leamington Spa"
94790,5,52.33729,-1.58267,420," 4200F109802","Royal Leamington Spa"
95059,5,52.29012,-1.59229,420," 4200F148001","Royal Leamington Spa"
95157,5,52.2874,-1.59166,420," 4200F146002","Royal Leamington Spa"
95158,5,52.28762,-1.59154,420," 4200F146001","Royal Leamington Spa"
95484,5,52.28471,-1.40379,420," 4200F040200","Royal Leamington Spa"
95486,5,52.28236,-1.39054,420," 4200F040202","Royal Leamington Spa"
95728,5,52.27682,-1.53468,420," 4200F206801","Royal Leamington Spa"
95845,5,52.31191,-1.52196,420," 4200F037900","Royal Leamington Spa"
95996,5,52.31164,-1.53952,420," 4200F149502","Royal Leamington Spa"
97096,5,52.26827,-1.52977,420," 4200F203701","Royal Leamington Spa"
97757,2,52.28611,-1.61206,910," 9100WARWPWY","Royal Leamington Spa"
98622,5,52.29936,-1.51261,420," 4200F150702","Royal Leamington Spa"
98625,5,52.29978,-1.51203,420," 4200F150701","Royal Leamington Spa"
99173,5,52.26878,-1.52273,420," 4200F205601","Royal Leamington Spa"
99224,5,52.26585,-1.52892,420," 4200F144002","Royal Leamington Spa"
99356,5,52.25572,-1.44656,420," 4200F070800","Royal Leamington Spa"
100060,5,52.28322,-1.62282,420," 4200F025700","Royal Leamington Spa"
100340,5,52.26973,-1.53388,420," 4200F204201","Royal Leamington Spa"
100818,5,52.27636,-1.52763,420," 4200F143002","Royal Leamington Spa"
102300,5,52.27908,-1.51913,420," 4200F068700","Royal Leamington Spa"
102302,5,52.26359,-1.53516,420," 4200F143101","Royal Leamington Spa"
102303,5,52.26305,-1.53506,420," 4200F143102","Royal Leamington Spa"
102599,5,52.2545,-1.4344,420," 4200F153552","Royal Leamington Spa"
103599,5,52.31027,-1.51149,420," 4200F018100","Royal Leamington Spa"
103764,5,52.3044,-1.52886,420," 4200F037601","Royal Leamington Spa"
103765,5,52.30346,-1.52958,420," 4200F037600","Royal Leamington Spa"
103953,5,52.30855,-1.53875,420," 4200F149601","Royal Leamington Spa"
105930,5,52.30287,-1.51591,420," 4200F150902","Royal Leamington Spa"
106666,5,52.29981,-1.52395,420," 4200F150401","Royal Leamington Spa"
106667,5,52.29532,-1.52191,420," 4200F150400","Royal Leamington Spa"
107913,5,52.29061,-1.59178,420," 4200F148301","Royal Leamington Spa"
108450,5,52.27627,-1.59973,420," 4200F072800","Royal Leamington Spa"
108451,5,52.27608,-1.59969,420," 4200F072801","Royal Leamington Spa"
109846,5,52.27872,-1.49969,420," 4200F126810","Royal Leamington Spa"
109867,5,52.23626,-1.45619,420," 4200F155701","Royal Leamington Spa"
110364,5,52.31311,-1.5397,420," 4200F149501","Royal Leamington Spa"
