"node","layer","lat","lon","zone","atcocode","city"
7218,2,51.07346,0.31319,910," 910GWADHRST","Royal Tunbridge Wells"
7218,5,51.07346,0.31319,910," 910GWADHRST","Royal Tunbridge Wells"
9133,4,51.10043,0.39221,240,"900GNX000808","Royal Tunbridge Wells"
9133,5,51.10043,0.39221,240,"900GNX000808","Royal Tunbridge Wells"
9470,5,51.08896,0.20144,140,"  910GERIDGE","Royal Tunbridge Wells"
9470,2,51.08896,0.20144,140,"  910GERIDGE","Royal Tunbridge Wells"
21164,5,51.1494,0.27735,240," 910GHBROOMS","Royal Tunbridge Wells"
21164,2,51.1494,0.27735,240," 910GHBROOMS","Royal Tunbridge Wells"
27111,4,51.15652,0.25995,240,"900GNX001342","Royal Tunbridge Wells"
27111,5,51.15652,0.25995,240,"900GNX001342","Royal Tunbridge Wells"
28659,5,51.12358,0.25299,240," 940GZZSLTWW","Royal Tunbridge Wells"
32066,2,51.10402,0.29456,140,"   910GFRANT","Royal Tunbridge Wells"
32066,5,51.10402,0.29456,140,"   910GFRANT","Royal Tunbridge Wells"
45538,4,51.13515,0.26368,240," 240G008110A","Royal Tunbridge Wells"
45538,5,51.13515,0.26368,240," 240G008110A","Royal Tunbridge Wells"
45782,2,51.13023,0.26282,240," 910GTUNWELL","Royal Tunbridge Wells"
45782,5,51.13023,0.26282,240," 910GTUNWELL","Royal Tunbridge Wells"
45782,4,51.13023,0.26282,240," 910GTUNWELL","Royal Tunbridge Wells"
50895,5,51.12866,0.15266,240," 910GASHURST","Royal Tunbridge Wells"
50895,2,51.12866,0.15266,240," 910GASHURST","Royal Tunbridge Wells"
52272,5,51.13164,0.23075,240,"  2400102632","Royal Tunbridge Wells"
52928,5,51.12898,0.19693,240,"2400A007790A","Royal Tunbridge Wells"
53669,5,51.14315,0.37887,240,"2400A072330A","Royal Tunbridge Wells"
54074,5,51.13294,0.27619,240,"2400A013600A","Royal Tunbridge Wells"
54747,5,51.13964,0.28406,240,"2400A014220A","Royal Tunbridge Wells"
55248,5,51.14538,0.32858,240,"2400A013420A","Royal Tunbridge Wells"
55387,5,51.11643,0.24272,240,"2400A014660B","Royal Tunbridge Wells"
55389,5,51.11687,0.24294,240,"2400A014660A","Royal Tunbridge Wells"
56329,5,51.1625,0.25502,240,"2400A008210A","Royal Tunbridge Wells"
56476,5,51.1265,0.28111,240,"   240096580","Royal Tunbridge Wells"
56477,5,51.12577,0.27987,240,"   240096582","Royal Tunbridge Wells"
56676,5,51.15176,0.21639,240,"2400A035050A","Royal Tunbridge Wells"
57209,5,51.15328,0.37252,240,"2400A037730A","Royal Tunbridge Wells"
58178,5,51.14664,0.27466,240,"2400A014160A","Royal Tunbridge Wells"
59568,5,51.15137,0.38083,240,"2400A037810A","Royal Tunbridge Wells"
60983,5,51.16285,0.17727,240,"2400A007780A","Royal Tunbridge Wells"
62838,5,51.10109,0.13663,140,"  1400WE0456","Royal Tunbridge Wells"
63356,5,51.11962,0.24208,240,"2400A014670A","Royal Tunbridge Wells"
64116,5,51.1388,0.26607,240,"2400A013980A","Royal Tunbridge Wells"
64358,5,51.16073,0.25688,240,"2400A008200A","Royal Tunbridge Wells"
65208,5,51.13607,0.34981,240,"2400A037700A","Royal Tunbridge Wells"
65895,5,51.13551,0.2842,240,"2400A013580A","Royal Tunbridge Wells"
65944,5,51.1514,0.28571,240,"2400A035260A","Royal Tunbridge Wells"
66209,5,51.1421,0.26934,240,"2400A014190A","Royal Tunbridge Wells"
66607,5,51.11143,0.17821,140," 1400WE95616","Royal Tunbridge Wells"
66757,5,51.08336,0.28985,140,"  1400WE0488","Royal Tunbridge Wells"
66760,5,51.07815,0.29943,140,"  1400WE0487","Royal Tunbridge Wells"
66761,5,51.07846,0.29949,140,"  1400WE0486","Royal Tunbridge Wells"
66762,5,51.06502,0.33352,140,"  1400WE0481","Royal Tunbridge Wells"
66763,5,51.06647,0.3275,140,"  1400WE0483","Royal Tunbridge Wells"
67871,5,51.12249,0.25993,240,"2400A013810A","Royal Tunbridge Wells"
69042,5,51.13547,0.35037,240,"2400A037690A","Royal Tunbridge Wells"
70315,5,51.15322,0.33029,240,"2400A013500A","Royal Tunbridge Wells"
70632,5,51.05547,0.2477,140,"  1400WE1123","Royal Tunbridge Wells"
70634,5,51.05534,0.24781,140,"  1400WE1124","Royal Tunbridge Wells"
72087,5,51.13922,0.26612,240,"2400A013990A","Royal Tunbridge Wells"
72983,5,51.14239,0.26019,240,"2400A072990A","Royal Tunbridge Wells"
73729,5,51.13316,0.2773,240,"2400A013590A","Royal Tunbridge Wells"
73840,5,51.14033,0.27551,240,"2400A035310A","Royal Tunbridge Wells"
73908,5,51.13971,0.28269,240,"2400A014020A","Royal Tunbridge Wells"
74056,5,51.14126,0.26851,240,"2400A014180A","Royal Tunbridge Wells"
76080,5,51.15488,0.26003,240,"2400A008180A","Royal Tunbridge Wells"
76317,5,51.09667,0.26711,140,"  1400WE0496","Royal Tunbridge Wells"
76318,5,51.13507,0.1426,140,"  1400WE0497","Royal Tunbridge Wells"
76320,5,51.09929,0.33926,140,"  1400WE0492","Royal Tunbridge Wells"
76321,5,51.08982,0.26666,140,"  1400WE0490","Royal Tunbridge Wells"
76322,5,51.09908,0.33925,140,"  1400WE0491","Royal Tunbridge Wells"
76950,5,51.13574,0.34868,240,"2400A037680A","Royal Tunbridge Wells"
76958,5,51.13514,0.23093,240,"2400A007890A","Royal Tunbridge Wells"
77271,5,51.14423,0.31447,240,"2400A013330A","Royal Tunbridge Wells"
78406,5,51.13641,0.25611,240,"  2400103064","Royal Tunbridge Wells"
78630,5,51.13946,0.25325,240,"  2400103062","Royal Tunbridge Wells"
78747,5,51.06176,0.34009,140," 1400RR80636","Royal Tunbridge Wells"
79452,5,51.12253,0.25047,240,"2400A014610A","Royal Tunbridge Wells"
80549,5,51.15683,0.29307,240,"2400A035230A","Royal Tunbridge Wells"
81574,5,51.14305,0.37912,240,"  2400102946","Royal Tunbridge Wells"
81935,5,51.13983,0.27377,240,"2400A035300A","Royal Tunbridge Wells"
82120,5,51.13786,0.27755,240,"2400A014030A","Royal Tunbridge Wells"
82325,5,51.13799,0.24599,240,"2400A072140A","Royal Tunbridge Wells"
82409,5,51.14101,0.28624,240,"2400A014280A","Royal Tunbridge Wells"
83871,5,51.11762,0.25943,240,"2400A013830A","Royal Tunbridge Wells"
84193,5,51.13058,0.24242,240,"  2400102238","Royal Tunbridge Wells"
84941,5,51.14216,0.25989,240,"2400A008060A","Royal Tunbridge Wells"
85236,5,51.14332,0.31705,240,"2400A013340A","Royal Tunbridge Wells"
87796,5,51.12659,0.2813,240,"   240090655","Royal Tunbridge Wells"
89011,5,51.12795,0.25145,240,"2400A007930A","Royal Tunbridge Wells"
89535,5,51.14324,0.32168,240,"2400A013460A","Royal Tunbridge Wells"
89822,5,51.13087,0.20439,240,"   240099995","Royal Tunbridge Wells"
90422,5,51.14266,0.28631,240,"2400A014290A","Royal Tunbridge Wells"
92911,5,51.15312,0.26097,240,"2400A008010A","Royal Tunbridge Wells"
93033,5,51.15603,0.28973,240,"2400A035240A","Royal Tunbridge Wells"
93116,5,51.15391,0.21799,240,"  2400102985","Royal Tunbridge Wells"
93317,5,51.14288,0.3218,240,"2400A013350A","Royal Tunbridge Wells"
93895,5,51.13202,0.23778,240,"  2400102242","Royal Tunbridge Wells"
93896,5,51.13512,0.23041,240,"  2400102240","Royal Tunbridge Wells"
93898,5,51.12887,0.19699,240,"  2400102246","Royal Tunbridge Wells"
93899,5,51.13204,0.23382,240,"  2400102244","Royal Tunbridge Wells"
95267,5,51.15197,0.27161,240,"2400A014110A","Royal Tunbridge Wells"
97001,5,51.12794,0.25181,240,"2400A007920A","Royal Tunbridge Wells"
97525,5,51.14215,0.3299,240,"2400A013410A","Royal Tunbridge Wells"
97593,5,51.15731,0.29443,240,"2400A035190A","Royal Tunbridge Wells"
98027,5,51.14051,0.27801,240,"2400A035320A","Royal Tunbridge Wells"
98210,5,51.13981,0.28254,240,"2400A014010A","Royal Tunbridge Wells"
98593,5,51.13021,0.27696,240,"   240090649","Royal Tunbridge Wells"
100769,5,51.1506,0.21903,240,"2400A007690A","Royal Tunbridge Wells"
103170,5,51.15213,0.27135,240,"2400A014100A","Royal Tunbridge Wells"
105560,5,51.14189,0.33016,240,"2400A013400A","Royal Tunbridge Wells"
105977,5,51.13299,0.27209,240,"2400A013670A","Royal Tunbridge Wells"
106066,5,51.14021,0.27545,240,"2400A035330A","Royal Tunbridge Wells"
109169,5,51.15045,0.39996,240,"2400A037780A","Royal Tunbridge Wells"
109532,5,51.13982,0.33455,240,"2400A013370A","Royal Tunbridge Wells"
109664,5,51.13447,0.2365,240,"  2400103125","Royal Tunbridge Wells"
111346,5,51.1544,0.27307,240,"  2400103109","Royal Tunbridge Wells"
111364,5,51.15102,0.27435,240,"2400A014130A","Royal Tunbridge Wells"
112453,5,51.06423,0.17853,140,"  1400WE0026","Royal Tunbridge Wells"
113026,5,51.14015,0.24996,240,"  2400103072","Royal Tunbridge Wells"
113027,5,51.13347,0.25579,240,"  2400103070","Royal Tunbridge Wells"
113028,5,51.14218,0.2549,240,"  2400103076","Royal Tunbridge Wells"
113029,5,51.14133,0.25174,240,"  2400103074","Royal Tunbridge Wells"
113365,5,51.14797,0.30705,240,"  2400102260","Royal Tunbridge Wells"
113630,5,51.1457,0.32877,240,"2400A013430A","Royal Tunbridge Wells"
114083,5,51.1414,0.30353,240,"2400A013660A","Royal Tunbridge Wells"
114221,5,51.14066,0.27128,240,"2400A035340A","Royal Tunbridge Wells"
117388,5,51.14995,0.26181,240,"2400A008020A","Royal Tunbridge Wells"
