"node","layer","lat","lon","zone","atcocode","city"
4789,5,52.33457,-1.18048,300,"    300G222B","Rugby"
12051,5,52.45431,-1.21315,260," 260GCC11411","Rugby"
14602,5,52.4358,-1.21289,260," 260GCC21306","Rugby"
16580,5,52.37431,-1.12404,300,"   300G399CR","Rugby"
19113,5,52.38688,-1.129,300,"     300G099","Rugby"
20522,5,52.34638,-1.13761,300,"   300G115MC","Rugby"
21522,5,52.28945,-1.21717,300,"     300G076","Rugby"
25625,2,52.37911,-1.25048,910,"   910GRUGBY","Rugby"
25625,5,52.37911,-1.25048,910,"   910GRUGBY","Rugby"
29413,5,52.34383,-1.13543,300,"    300G115W","Rugby"
32130,5,52.35283,-1.17224,300,"   300G115CA","Rugby"
32132,5,52.35222,-1.17206,300,"   300G115CB","Rugby"
33762,5,52.33059,-1.20055,300,"    300G060B","Rugby"
34059,5,52.37337,-1.12154,300,"     300G399","Rugby"
39183,5,52.34913,-1.13829,300,"    300G115Y","Rugby"
39192,5,52.34903,-1.14637,300,"    300G115M","Rugby"
40294,5,52.29063,-1.21326,300,"   300G076CH","Rugby"
40547,5,52.32872,-1.20508,300,"     300G060","Rugby"
48796,5,52.38767,-1.17558,300,"     300G201","Rugby"
49525,5,52.42316,-1.22435,260,"260GCC21306A","Rugby"
50471,5,52.33376,-1.17505,300,"     300G222","Rugby"
53827,5,52.36471,-1.28189,420," 4200F009200","Rugby"
53903,5,52.29855,-1.28016,420," 4200F024001","Rugby"
53904,5,52.29857,-1.27991,420," 4200F024000","Rugby"
57166,5,52.30172,-1.24124,420," 4200F082500","Rugby"
57167,5,52.30266,-1.23455,420," 4200F082501","Rugby"
57168,5,52.30271,-1.2343,420," 4200F082502","Rugby"
57383,5,52.36749,-1.26457,420," 4200F225101","Rugby"
57630,5,52.37769,-1.23677,420," 4200F123101","Rugby"
60045,5,52.37782,-1.23641,420," 4200F123102","Rugby"
60798,5,52.45518,-1.25122,260,"   260017600","Rugby"
61769,5,52.37346,-1.27665,420," 4200F118601","Rugby"
62751,5,52.36488,-1.27221,420," 4200F224401","Rugby"
62867,5,52.32879,-1.37719,420," 4200F023100","Rugby"
65515,5,52.36224,-1.26695,420," 4200F223402","Rugby"
65517,5,52.36228,-1.26665,420," 4200F223401","Rugby"
65813,5,52.36459,-1.28184,420," 4200F009201","Rugby"
65837,5,52.36966,-1.26928,420," 4200F221301","Rugby"
66620,5,52.3656,-1.29029,420," 4200F111701","Rugby"
67178,5,52.39396,-1.24369,420," 4200F115501","Rugby"
68966,5,52.37347,-1.26246,420," 4200F083700","Rugby"
