"node","layer","lat","lon","zone","atcocode","city"
2626,5,53.26087,-2.75509,61,"     061GVR5","Runcorn"
4757,5,53.2871,-2.73487,61,"   061GVR212","Runcorn"
5321,5,53.30546,-2.69796,61,"   061GVR134","Runcorn"
5800,5,53.31246,-2.6804,61,"    061GVR75","Runcorn"
6769,2,53.29588,-2.72312,910,"  910GFRDSHM","Runcorn"
6769,5,53.29588,-2.72312,910,"  910GFRDSHM","Runcorn"
12863,5,53.26032,-2.67913,61,"   061GVR162","Runcorn"
16807,5,53.29197,-2.71159,61,"   061GVR263","Runcorn"
16812,5,53.29461,-2.71502,61,"   061GVR264","Runcorn"
19093,5,53.27875,-2.75528,61,"    061GVR55","Runcorn"
19095,5,53.27718,-2.76381,61,"    061GVR57","Runcorn"
19096,5,53.27968,-2.74974,61,"    061GVR56","Runcorn"
23304,2,53.27517,-2.77076,910,"  910GHELSBY","Runcorn"
23304,5,53.27517,-2.77076,910,"  910GHELSBY","Runcorn"
24637,5,53.30962,-2.64284,61,"   061GVR210","Runcorn"
28501,5,53.30968,-2.68946,61,"   061GVR209","Runcorn"
30300,5,53.26304,-2.67826,61,"   061GVR285","Runcorn"
30739,5,53.29876,-2.71457,61,"    061GVR39","Runcorn"
30745,5,53.26905,-2.67546,61,"    061GVR30","Runcorn"
31343,5,53.32785,-2.66615,910," 910GRUNCRNE","Runcorn"
31343,2,53.32785,-2.66615,910," 910GRUNCRNE","Runcorn"
35563,5,53.28674,-2.71375,61,"    061GVR73","Runcorn"
38264,5,53.28143,-2.74408,61,"    061GVR49","Runcorn"
38268,5,53.31006,-2.68505,61,"    061GVR43","Runcorn"
38269,5,53.30038,-2.70769,61,"    061GVR40","Runcorn"
38272,5,53.27823,-2.75887,61,"    061GVR44","Runcorn"
38273,5,53.28776,-2.73302,61,"    061GVR45","Runcorn"
43979,5,53.30024,-2.71486,61,"    061GVR17","Runcorn"
44198,5,53.27359,-2.69848,61,"   061GVR307","Runcorn"
44199,5,53.26618,-2.76418,61,"   061GVR309","Runcorn"
48111,2,53.33871,-2.73925,910," 910GRUNCORN","Runcorn"
48111,5,53.33871,-2.73925,910," 910GRUNCORN","Runcorn"
50171,5,53.28962,-2.71407,61,"   061GVR262","Runcorn"
50173,5,53.28958,-2.71091,61,"   061GVR261","Runcorn"
55568,5,53.34079,-2.84055,280," 2800S48007A","Runcorn"
