"node","layer","lat","lon","zone","atcocode","city"
7386,5,51.36133,1.4221,240," 240G046820A","Saint Peters"
10022,4,51.38127,1.41384,240,"900GNX001071","Saint Peters"
10022,5,51.38127,1.41384,240,"900GNX001071","Saint Peters"
44086,5,51.36068,1.43358,240,"    910GBRSR","Saint Peters"
44086,2,51.36068,1.43358,240,"    910GBRSR","Saint Peters"
44086,4,51.36068,1.43358,240,"    910GBRSR","Saint Peters"
50550,4,51.36747,1.42357,240,"900GNX001366","Saint Peters"
50550,5,51.36747,1.42357,240,"900GNX001366","Saint Peters"
54883,5,51.35773,1.40879,240,"  2400100240","Saint Peters"
56314,5,51.36563,1.41866,240,"2400A072800A","Saint Peters"
58867,5,51.35848,1.43922,240,"2400A047060A","Saint Peters"
60158,5,51.35337,1.40127,240,"2400A046580A","Saint Peters"
64502,5,51.36013,1.40641,240,"  2400100258","Saint Peters"
66385,5,51.37436,1.41785,240,"2400A045020A","Saint Peters"
68105,5,51.35765,1.40643,240,"2400A047790A","Saint Peters"
68673,5,51.36053,1.41939,240,"  2400100202","Saint Peters"
74081,5,51.38434,1.42671,240,"  2400103033","Saint Peters"
74082,5,51.38308,1.42521,240,"  2400103031","Saint Peters"
74091,5,51.37054,1.42592,240,"2400A044990A","Saint Peters"
74207,5,51.37461,1.41795,240,"2400A045030A","Saint Peters"
75836,5,51.38699,1.41945,240,"  2400100402","Saint Peters"
75998,5,51.35752,1.40885,240,"2400A047780A","Saint Peters"
78789,5,51.36149,1.41273,240,"2400A046810A","Saint Peters"
79754,5,51.38514,1.42319,240,"2400A044290A","Saint Peters"
83452,5,51.36156,1.41839,240,"2400A047350A","Saint Peters"
83675,5,51.38897,1.42502,240,"2400A044130A","Saint Peters"
84062,5,51.35806,1.41156,240,"2400A047770A","Saint Peters"
85648,5,51.35162,1.42767,240,"2400A047110A","Saint Peters"
86072,5,51.36983,1.40581,240,"2400A044830A","Saint Peters"
86747,5,51.36107,1.41124,240,"2400A046800A","Saint Peters"
87722,5,51.38481,1.42285,240,"2400A044280A","Saint Peters"
89736,5,51.36808,1.43163,240,"2400A046980A","Saint Peters"
91491,5,51.37597,1.41084,240,"2400A044680A","Saint Peters"
92113,5,51.35777,1.41453,240,"2400A047760A","Saint Peters"
92769,5,51.36362,1.42337,240,"  2400101875","Saint Peters"
95462,5,51.35644,1.43871,240,"2400A047070A","Saint Peters"
96914,5,51.36474,1.41891,240,"2400A072790A","Saint Peters"
97735,5,51.37013,1.43383,240,"2400A046990A","Saint Peters"
100404,5,51.36282,1.39467,240,"2400A046650A","Saint Peters"
101549,5,51.3562,1.40389,240,"2400A047820A","Saint Peters"
103390,5,51.36083,1.44289,240,"2400A047040A","Saint Peters"
104836,5,51.36092,1.41023,240,"2400A046790A","Saint Peters"
104951,5,51.36259,1.4154,240,"  2400100436","Saint Peters"
104952,5,51.36281,1.41546,240,"  2400100434","Saint Peters"
104953,5,51.36138,1.41287,240,"  2400100438","Saint Peters"
106568,5,51.36279,1.42744,240,"  2400101881","Saint Peters"
106569,5,51.36136,1.42915,240,"  2400101883","Saint Peters"
106570,5,51.36112,1.42958,240,"  2400101885","Saint Peters"
108854,5,51.35695,1.39813,240,"2400A046600A","Saint Peters"
109756,5,51.35407,1.40352,240,"2400A047830A","Saint Peters"
111067,5,51.35399,1.43148,240,"2400A047090A","Saint Peters"
111516,5,51.35866,1.44215,240,"2400A047050A","Saint Peters"
113838,5,51.35631,1.41792,240,"  2400100198","Saint Peters"
113840,5,51.35497,1.42537,240,"  2400100194","Saint Peters"
113841,5,51.35596,1.4211,240,"  2400100196","Saint Peters"
113842,5,51.35482,1.42538,240,"  2400100192","Saint Peters"
115879,5,51.35361,1.44013,240,"2400A047390A","Saint Peters"
116585,5,51.36079,1.4103,240,"  2400100328","Saint Peters"
117008,5,51.35909,1.39793,240,"2400A046630A","Saint Peters"
117484,5,51.35858,1.40625,240,"   240075422","Saint Peters"
118035,5,51.35761,1.40676,240,"2400A047800A","Saint Peters"
119856,5,51.36528,1.44329,240,"2400A047020A","Saint Peters"
123039,5,51.3787,1.41279,240,"2400A044670A","Saint Peters"
123592,5,51.38669,1.42388,240,"2400A044210A","Saint Peters"
123927,5,51.35765,1.41399,240,"  2400103297","Saint Peters"
125987,5,51.3563,1.40446,240,"2400A047810A","Saint Peters"
126555,5,51.37181,1.41855,240,"2400A045040A","Saint Peters"
127152,5,51.37475,1.4289,240,"  2400100222","Saint Peters"
127836,5,51.36244,1.44253,240,"2400A047030A","Saint Peters"
131257,5,51.37939,1.40974,240,"2400A044660A","Saint Peters"
131810,5,51.38852,1.42677,240,"2400A044200A","Saint Peters"
132661,5,51.3752,1.42922,240,"2400A045080A","Saint Peters"
133280,5,51.35893,1.407,240,"  2400103293","Saint Peters"
133282,5,51.35907,1.40682,240,"  2400103291","Saint Peters"
134737,5,51.36941,1.42284,240,"2400A045050A","Saint Peters"
135252,5,51.36339,1.44272,240,"2400A046920A","Saint Peters"
138029,5,51.36026,1.39462,240,"   240097319","Saint Peters"
138033,5,51.36033,1.3946,240,"   240097317","Saint Peters"
139241,5,51.36474,1.42998,240,"2400A046870A","Saint Peters"
139325,5,51.35857,1.39605,240,"2400A046610A","Saint Peters"
142810,5,51.38039,1.4197,240,"2400A044940A","Saint Peters"
142941,5,51.37038,1.42547,240,"2400A045060A","Saint Peters"
143280,5,51.36338,1.41691,240,"  2400103289","Saint Peters"
143776,5,51.35684,1.41707,240,"2400A047750A","Saint Peters"
146866,5,51.35924,1.39778,240,"2400A046620A","Saint Peters"
146875,5,51.36432,1.4147,240,"2400A044850A","Saint Peters"
149659,5,51.35755,1.39774,240,"2400A046640A","Saint Peters"
151068,5,51.38115,1.42846,240,"2400A044950A","Saint Peters"
151212,5,51.37329,1.42738,240,"2400A045070A","Saint Peters"
152249,5,51.38653,1.42929,240,"2400A044190A","Saint Peters"
152885,5,51.35535,1.39959,240,"2400A046590A","Saint Peters"
153707,5,51.3556,1.42185,240,"2400A070510A","Saint Peters"
155092,5,51.36428,1.41487,240,"2400A044840A","Saint Peters"
156746,5,51.35457,1.43477,240,"2400A047280A","Saint Peters"
159431,5,51.36911,1.42333,240,"2400A045000A","Saint Peters"
163869,5,51.36445,1.43017,240,"2400A046840A","Saint Peters"
164817,5,51.35678,1.43866,240,"2400A047290A","Saint Peters"
167582,5,51.37103,1.41872,240,"2400A045010A","Saint Peters"
168732,5,51.35882,1.43932,240,"2400A047300A","Saint Peters"
171225,5,51.36973,1.40582,240,"2400A044860A","Saint Peters"
175586,5,51.37276,1.42766,240,"2400A044980A","Saint Peters"
176889,5,51.35587,1.44142,240,"2400A047370A","Saint Peters"
178923,5,51.35179,1.42756,240,"2400A047260A","Saint Peters"
184335,5,51.36528,1.44243,240,"2400A046930A","Saint Peters"
184940,5,51.35612,1.44166,240,"2400A047360A","Saint Peters"
187627,5,51.38747,1.43126,240,"2400A044180A","Saint Peters"
187968,5,51.36063,1.42898,240,"2400A047330A","Saint Peters"
188449,5,51.37541,1.41032,240,"2400A044750A","Saint Peters"
192777,5,51.38494,1.4182,240,"2400A044260A","Saint Peters"
193256,5,51.35347,1.40299,240,"  2400101901","Saint Peters"
193258,5,51.377,1.4181,240,"  2400101905","Saint Peters"
193834,5,51.35428,1.43444,240,"2400A047080A","Saint Peters"
195070,5,51.3546,1.40353,240,"2400A047840A","Saint Peters"
196133,5,51.36441,1.43929,240,"2400A046940A","Saint Peters"
196440,5,51.37851,1.41255,240,"2400A044760A","Saint Peters"
202045,5,51.36756,1.39368,240,"2400A046760A","Saint Peters"
202136,5,51.36152,1.39664,240,"  2400103267","Saint Peters"
202137,5,51.36165,1.39662,240,"  2400103263","Saint Peters"
205748,5,51.35446,1.4284,240,"2400A047100A","Saint Peters"
207156,5,51.35894,1.41335,240,"2400A072440A","Saint Peters"
208942,5,51.38779,1.42461,240,"2400A044240A","Saint Peters"
209614,5,51.38493,1.41804,240,"2400A044110A","Saint Peters"
209982,5,51.36323,1.39489,240,"2400A046770A","Saint Peters"
212180,5,51.36573,1.43626,240,"2400A046960A","Saint Peters"
213062,5,51.35439,1.4296,240,"2400A047270A","Saint Peters"
216575,5,51.38025,1.41972,240,"  2400100236","Saint Peters"
216576,5,51.35888,1.4131,240,"  2400100238","Saint Peters"
216888,5,51.38683,1.42236,240,"2400A044230A","Saint Peters"
217157,5,51.37524,1.40625,240,"  2400100334","Saint Peters"
217786,5,51.38924,1.42911,240,"2400A044160A","Saint Peters"
218243,5,51.35389,1.43248,240,"  2400100190","Saint Peters"
220385,5,51.36753,1.4347,240,"2400A046970A","Saint Peters"
223383,5,51.35719,1.39729,240,"   240090643","Saint Peters"
224955,5,51.37728,1.43252,240,"2400A045090A","Saint Peters"
225201,5,51.38719,1.42021,240,"2400A044220A","Saint Peters"
226054,5,51.38818,1.43203,240,"2400A044170A","Saint Peters"
226087,5,51.35366,1.44045,240,"2400A047380A","Saint Peters"
226476,5,51.35805,1.4183,240,"  2400100204","Saint Peters"
226477,5,51.35754,1.41832,240,"  2400100206","Saint Peters"
226478,5,51.35994,1.41931,240,"  2400100200","Saint Peters"
228452,5,51.35857,1.44232,240,"2400A046900A","Saint Peters"
228758,5,51.38095,1.42742,240,"2400A045100A","Saint Peters"
229642,5,51.35144,1.40138,240,"  2400103301","Saint Peters"
233869,5,51.36266,1.42759,240,"  2400101879","Saint Peters"
233873,5,51.36431,1.42092,240,"  2400101871","Saint Peters"
233879,5,51.36359,1.42408,240,"  2400101877","Saint Peters"
234075,5,51.38929,1.42468,240,"2400A044140A","Saint Peters"
235739,5,51.36464,1.42048,240,"  2400101873","Saint Peters"
236137,5,51.38292,1.41256,240,"  2400100210","Saint Peters"
237052,5,51.36274,1.43619,240,"2400A070600A","Saint Peters"
237806,5,51.35658,1.44044,240,"  2400100326","Saint Peters"
237807,5,51.35671,1.44041,240,"  2400100324","Saint Peters"
237913,5,51.36941,1.43913,240,"2400A047000A","Saint Peters"
241626,5,51.35166,1.40187,240,"  2400103299","Saint Peters"
241715,5,51.35826,1.41166,240,"  2400103295","Saint Peters"
242147,5,51.38969,1.42754,240,"2400A044150A","Saint Peters"
244027,5,51.37648,1.4319,240,"2400A044970A","Saint Peters"
246106,5,51.3659,1.3948,240,"  2400100262","Saint Peters"
246107,5,51.36025,1.40643,240,"  2400100260","Saint Peters"
246108,5,51.3528,1.40203,240,"  2400100266","Saint Peters"
246109,5,51.35498,1.40008,240,"  2400100264","Saint Peters"
246212,5,51.36851,1.44316,240,"2400A047010A","Saint Peters"
257022,5,51.37518,1.40602,240,"2400A044700A","Saint Peters"
257587,5,51.38293,1.41271,240,"2400A044360A","Saint Peters"
259729,5,51.3663,1.39435,240,"2400A046660A","Saint Peters"
260761,5,51.36153,1.44208,240,"2400A046910A","Saint Peters"
261013,5,51.37503,1.40779,240,"2400A044690A","Saint Peters"
