"node","layer","lat","lon","zone","atcocode","city"
16823,4,53.42511,-2.32605,180,"900GNX001256","Sale"
16823,5,53.42511,-2.32605,180,"900GNX001256","Sale"
24578,5,53.41739,-2.32587,940," 940GZZMABKS","Sale"
24578,3,53.41739,-2.32587,940," 940GZZMABKS","Sale"
24686,5,53.43031,-2.31139,940," 9400ZZMADNE","Sale"
24686,3,53.43031,-2.31139,940," 9400ZZMADNE","Sale"
27779,5,53.42425,-2.31914,940," 940GZZMASLE","Sale"
27779,3,53.42425,-2.31914,940," 940GZZMASLE","Sale"
36201,4,53.42515,-2.25421,180,"900GNX002045","Sale"
36201,5,53.42515,-2.25421,180,"900GNX002045","Sale"
51516,5,53.40085,-2.29591,180," 1800SB41731","Sale"
51546,5,53.41768,-2.31969,180," 1800SJ47201","Sale"
51556,5,53.42336,-2.31457,180," 1800SJ47411","Sale"
52713,5,53.422,-2.24563,180," 1800SB33851","Sale"
53179,5,53.42356,-2.32455,180," 1800SJ47331","Sale"
53389,5,53.40682,-2.25506,180," 1800SB42251","Sale"
54663,5,53.39756,-2.26441,180," 1800SB12861","Sale"
55037,5,53.41931,-2.29316,180," 1800SJ47551","Sale"
55127,5,53.40597,-2.31392,180," 1800SB47181","Sale"
55331,5,53.39895,-2.28112,180," 1800SBH1221","Sale"
55960,5,53.42638,-2.30093,180," 1800SJ47881","Sale"
56190,5,53.42066,-2.26359,180," 1800SBH0851","Sale"
56653,5,53.41009,-2.29122,180," 1800SB42471","Sale"
56838,5,53.41335,-2.28327,180," 1800SB47491","Sale"
57927,5,53.40695,-2.26024,180," 1800SB14551","Sale"
58686,5,53.41191,-2.28082,180," 1800SB14791","Sale"
58722,5,53.40548,-2.33076,180," 1800SJ09361","Sale"
59249,5,53.42857,-2.33571,180," 1800SJ04381","Sale"
61214,5,53.40803,-2.28752,180," 1800SB41721","Sale"
61249,5,53.41768,-2.31561,180," 1800SJ47211","Sale"
62347,5,53.42479,-2.3154,180," 1800SJH2091","Sale"
62395,5,53.42208,-2.24549,180," 1800SB33841","Sale"
63462,5,53.40338,-2.30197,180," 1800SB41781","Sale"
64194,5,53.40851,-2.30896,180," 1800SBH0931","Sale"
64646,5,53.41626,-2.289,180," 1800SJ47541","Sale"
65193,5,53.41119,-2.31563,180," 1800SJH1041","Sale"
65556,5,53.42312,-2.29624,180," 1800SJ47891","Sale"
66106,5,53.42506,-2.32461,180," 1800SJ12451","Sale"
66298,5,53.40976,-2.29174,180," 1800SB42461","Sale"
66464,5,53.42596,-2.35355,180," 1800SJ03631","Sale"
66599,5,53.40086,-2.29293,180," 1800SB41881","Sale"
66606,5,53.39485,-2.26779,180," 1800SB42791","Sale"
66749,5,53.42648,-2.35392,180," 1800SJH0471","Sale"
66769,5,53.39727,-2.25693,180," 1800SB16411","Sale"
66879,5,53.42175,-2.35519,180," 1800SJ03801","Sale"
67140,5,53.42639,-2.33244,180," 1800SJ04481","Sale"
68340,5,53.41194,-2.27959,180," 1800SB14781","Sale"
68899,5,53.43137,-2.33203,180," 1800SJ04391","Sale"
69675,5,53.40799,-2.28794,180," 1800SB17421","Sale"
70280,5,53.39668,-2.26597,180," 1800SB16341","Sale"
70394,5,53.41672,-2.335,180," 1800SJ03351","Sale"
70802,5,53.42123,-2.30824,180," 1800SJ47261","Sale"
71001,5,53.42945,-2.27162,180," 1800SBH0271","Sale"
71262,5,53.42816,-2.2525,180," 1800SB33581","Sale"
71656,5,53.43069,-2.27331,180," 1800SB16741","Sale"
71871,5,53.42322,-2.35245,180," 1800SJ03791","Sale"
71916,5,53.42011,-2.24294,180," 1800SB33871","Sale"
74308,5,53.39534,-2.2639,180," 1800SB42781","Sale"
74631,5,53.41168,-2.30767,180," 1800SJH1051","Sale"
76272,5,53.40293,-2.25549,180," 1800SB14681","Sale"
76469,5,53.42098,-2.35795,180," 1800SJ03811","Sale"
77665,5,53.41477,-2.32283,180," 1800SJ49501","Sale"
78988,5,53.42535,-2.30694,180," 1800SJ17101","Sale"
80137,5,53.42068,-2.33052,180," 1800SJ03341","Sale"
80445,5,53.40143,-2.29436,180," 1800SB41701","Sale"
80488,5,53.42233,-2.31175,180," 1800SJ47271","Sale"
81643,5,53.42066,-2.24264,180," 1800SB33861","Sale"
83376,5,53.38916,-2.25617,180," 1800SB18421","Sale"
84577,5,53.41094,-2.34168,180," 1800SJ48491","Sale"
85806,5,53.4005,-2.28948,180," 1800SB41861","Sale"
85928,5,53.40439,-2.25876,180," 1800SB14691","Sale"
86124,5,53.41973,-2.36044,180," 1800SJ03821","Sale"
86922,5,53.41288,-2.33935,180," 1800SJ17201","Sale"
87473,5,53.41434,-2.28652,180," 1800SB47531","Sale"
88516,5,53.40661,-2.29553,180," 1800SB41601","Sale"
89754,5,53.43316,-2.31666,180," 1800SJ00261","Sale"
89768,5,53.41199,-2.34073,180," 1800SJ03371","Sale"
90065,5,53.40301,-2.3028,180," 1800SB41771","Sale"
90112,5,53.41988,-2.30511,180," 1800SJ47241","Sale"
91205,5,53.41756,-2.24535,180," 1800SB33891","Sale"
91872,5,53.41973,-2.29468,180," 1800SJ47461","Sale"
92997,5,53.41003,-2.28303,180," 1800SB42501","Sale"
93032,5,53.38929,-2.25603,180," 1800SB18431","Sale"
93098,5,53.39442,-2.26147,180," 1800SB15951","Sale"
93537,5,53.41657,-2.30289,180," 1800SJ47751","Sale"
94298,5,53.40899,-2.34433,180," 1800SJ48481","Sale"
95550,5,53.42441,-2.35046,180," 1800SJ04291","Sale"
95645,5,53.40069,-2.28834,180," 1800SB41871","Sale"
95923,5,53.41735,-2.36194,180," 1800SJ03831","Sale"
96178,5,53.42683,-2.32274,180," 1800SJ47361","Sale"
96669,5,53.41044,-2.25605,180," 1800SB14591","Sale"
97186,5,53.4135,-2.28424,180," 1800SB47521","Sale"
97781,5,53.4286,-2.32168,180," 1800SJ03291","Sale"
98471,5,53.41573,-2.30869,180," 1800SJ47771","Sale"
98729,5,53.41965,-2.29674,180," 1800SJ08621","Sale"
99415,5,53.41482,-2.33724,180," 1800SJ03361","Sale"
99699,5,53.40126,-2.30296,180," 1800SB41761","Sale"
100896,5,53.41812,-2.245,180," 1800SB33881","Sale"
101120,5,53.42742,-2.23999,180," 1800SB33711","Sale"
101240,5,53.39575,-2.27843,180," 1800SB46521","Sale"
101538,5,53.41699,-2.2889,180," 1800SJ47471","Sale"
102222,5,53.39273,-2.2635,180," 1800SB42811","Sale"
102908,5,53.4142,-2.32216,180," 1800SJ47071","Sale"
103050,5,53.41977,-2.2989,180," 1800SJ47451","Sale"
105275,5,53.40069,-2.28563,180," 1800SB41841","Sale"
106875,5,53.41241,-2.281,180," 1800SB47511","Sale"
106998,5,53.40702,-2.32289,180," 1800SJ49241","Sale"
107049,5,53.40952,-2.27385,180," 1800SB14741","Sale"
107062,5,53.42053,-2.24029,180," 1800SB34291","Sale"
107101,5,53.4071,-2.3228,180," 1800SJ09391","Sale"
107108,5,53.42825,-2.25183,180," 1800SB11621","Sale"
108290,5,53.42851,-2.27044,180," 1800SB16551","Sale"
109204,5,53.42489,-2.32589,180," 1800SJ03311","Sale"
109391,5,53.43387,-2.31664,180," 1800SJ03481","Sale"
109463,5,53.40097,-2.30153,180," 1800SB41751","Sale"
109475,5,53.39978,-2.27764,180," 1800SB45991","Sale"
109732,5,53.4148,-2.29844,180," 1800SJ47711","Sale"
110014,5,53.4146,-2.24882,180," 1800SB16361","Sale"
110167,5,53.41269,-2.31953,180," 1800SJH0771","Sale"
110503,5,53.42413,-2.3027,180," 1800SJH1301","Sale"
