"node","layer","lat","lon","zone","atcocode","city"
1593,3,53.47437,-2.29338,940," 940GZZMAHCY","Salford"
15213,4,53.4763,-2.26722,180,"900GNX001257","Salford"
15213,5,53.4763,-2.26722,180,"900GNX001257","Salford"
23737,5,53.47033,-2.28476,940," 940GZZMASQY","Salford"
23737,3,53.47033,-2.28476,940," 940GZZMASQY","Salford"
33817,5,53.46667,-2.28217,940," 940GZZMAEXC","Salford"
33817,3,53.46667,-2.28217,940," 940GZZMAEXC","Salford"
34325,4,53.4866,-2.27575,910,"  910GSLFDCT","Salford"
34325,2,53.4866,-2.27575,910,"  910GSLFDCT","Salford"
34325,5,53.4866,-2.27575,910,"  910GSLFDCT","Salford"
39652,5,53.4735,-2.28609,940," 940GZZMAANC","Salford"
39652,3,53.4735,-2.28609,940," 940GZZMAANC","Salford"
43935,5,53.47197,-2.29821,940," 940GZZMAMCU","Salford"
43935,3,53.47197,-2.29821,940," 940GZZMAMCU","Salford"
46796,5,53.48068,-2.29631,940," 940GZZMALWY","Salford"
46796,3,53.48068,-2.29631,940," 940GZZMALWY","Salford"
50009,5,53.48252,-2.308,940," 940GZZMAWST","Salford"
50009,3,53.48252,-2.308,940," 940GZZMAWST","Salford"
52133,5,53.49812,-2.27367,180," 1800NF01961","Salford"
52456,5,53.49666,-2.28371,180," 1800NF40551","Salford"
52978,5,53.50831,-2.29459,180," 1800NF02501","Salford"
53945,5,53.49409,-2.2663,180," 1800NF40231","Salford"
54334,5,53.49947,-2.29673,180," 1800NF09071","Salford"
55321,5,53.50042,-2.28724,180," 1800NF01371","Salford"
55640,5,53.49972,-2.26766,180," 1800NF40301","Salford"
56245,5,53.48779,-2.27986,180," 1800NF31241","Salford"
56804,5,53.49873,-2.28747,180," 1800NF01401","Salford"
56938,5,53.48882,-2.28933,180," 1800NF30991","Salford"
57147,5,53.48747,-2.30129,180," 1800NF30551","Salford"
58061,5,53.49995,-2.30697,180," 1800NF31461","Salford"
59180,5,53.48426,-2.3017,180," 1800NF30671","Salford"
59356,5,53.49627,-2.27319,180," 1800NF03651","Salford"
59529,5,53.48483,-2.27905,180," 1800NF31061","Salford"
61820,5,53.48405,-2.29781,180," 1800NF04621","Salford"
61881,5,53.49725,-2.27814,180," 1800NF01971","Salford"
63273,5,53.50502,-2.26013,180," 1800NF41451","Salford"
63994,5,53.50082,-2.29951,180," 1800NF09061","Salford"
65223,5,53.49735,-2.26412,180," 1800NF40331","Salford"
66111,5,53.49196,-2.29628,180," 1800NF30531","Salford"
67746,5,53.50086,-2.30875,180," 1800NF31471","Salford"
68065,5,53.47433,-2.26954,180," 1800NF01721","Salford"
68842,5,53.48413,-2.30077,180," 1800NF30661","Salford"
69941,5,53.46663,-2.29004,180," 1800SJ15591","Salford"
70012,5,53.49925,-2.27176,180," 1800NF40441","Salford"
71683,5,53.49564,-2.28175,180," 1800NF40531","Salford"
71993,5,53.49535,-2.29176,180," 1800NF09121","Salford"
72456,3,53.46515,-2.27832,940," 9400ZZMAPOM","Salford"
72773,5,53.50261,-2.2587,180," 1800NF41441","Salford"
73087,5,53.49191,-2.26434,180," 1800NF40211","Salford"
73440,5,53.50087,-2.30657,180," 1800NF09011","Salford"
74044,5,53.49769,-2.28683,180," 1800NF40601","Salford"
74435,5,53.48312,-2.26544,180," 1800NF31181","Salford"
74451,5,53.48687,-2.29494,180," 1800NF30631","Salford"
74652,5,53.49715,-2.26433,180," 1800NF40321","Salford"
76324,5,53.51037,-2.29421,180," 1800NF40671","Salford"
76957,5,53.47577,-2.26923,180," 1800NF30251","Salford"
77089,5,53.49432,-2.29642,180," 1800NF31391","Salford"
77708,5,53.47426,-2.27489,180," 1800NF01731","Salford"
78485,5,53.48381,-2.29582,180," 1800NF30651","Salford"
79363,5,53.48515,-2.29018,180," 1800NF02981","Salford"
80548,5,53.49201,-2.28483,180," 1800NF40511","Salford"
81411,5,53.49208,-2.28454,180," 1800NF40521","Salford"
82818,5,53.50177,-2.25872,180," 1800NF40261","Salford"
83146,5,53.49239,-2.30596,180," 1800NF30511","Salford"
