"node","layer","lat","lon","zone","atcocode","city"
15523,4,54.2798,-0.40571,910," 910GSCARBRO","Scarborough"
15523,2,54.2798,-0.40571,910," 910GSCARBRO","Scarborough"
15523,5,54.2798,-0.40571,910," 910GSCARBRO","Scarborough"
25905,4,54.33495,-0.44966,320,"900GNX002263","Scarborough"
25905,5,54.33495,-0.44966,320,"900GNX002263","Scarborough"
29014,4,54.24266,-0.36576,320,"900GNX000311","Scarborough"
29841,2,54.24076,-0.41703,910,"  910GSEAMER","Scarborough"
29841,5,54.24076,-0.41703,910,"  910GSEAMER","Scarborough"
53498,5,54.29632,-0.51503,320,"3200YNA04942","Scarborough"
53499,5,54.29626,-0.51528,320,"3200YNA04943","Scarborough"
53976,5,54.27662,-0.41976,320,"3200YNA01226","Scarborough"
53977,5,54.27698,-0.4136,320,"3200YNA01224","Scarborough"
53978,5,54.27653,-0.41952,320,"3200YNA01225","Scarborough"
53979,5,54.27681,-0.41344,320,"3200YNA01223","Scarborough"
53980,5,54.27682,-0.42306,320,"3200YNA01228","Scarborough"
53981,5,54.27671,-0.4226,320,"3200YNA01229","Scarborough"
56899,5,54.33251,-0.44944,320,"3200YNA90597","Scarborough"
61252,5,54.24836,-0.48833,320,"3200YNA01293","Scarborough"
63601,5,54.28131,-0.43723,320,"3200YNA01219","Scarborough"
63602,5,54.27924,-0.43854,320,"3200YNA01218","Scarborough"
63604,5,54.28704,-0.42955,320,"3200YNA01213","Scarborough"
63605,5,54.28952,-0.43079,320,"3200YNA01212","Scarborough"
63606,5,54.29167,-0.42951,320,"3200YNA01210","Scarborough"
63607,5,54.28036,-0.4339,320,"3200YNA01217","Scarborough"
63608,5,54.28406,-0.43032,320,"3200YNA01216","Scarborough"
63609,5,54.2841,-0.43007,320,"3200YNA01215","Scarborough"
63610,5,54.28675,-0.42964,320,"3200YNA01214","Scarborough"
70540,5,54.27304,-0.41184,320,"3200YNE04286","Scarborough"
